,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-2806.136747674648,-12025.531313016492,9219.394565341845
gene_2,-2461.753508773239,-3158.4256115913654,696.6721028181264
gene_3,-3545.8336770759884,-9768.23496307628,6222.401286000291
gene_4,-3094.591160186689,-3197.9230460707495,103.33188588406028
gene_5,-6966.037158172409,-51459.75356125629,44493.71640308388
gene_6,-7011.600430661302,-8687.518910010342,1675.9184793490394
gene_7,-1126.7974477269915,-3270.9097516081947,2144.112303881203
gene_8,-476.5151543422445,-749.2473973703961,272.73224302815163
gene_9,-3008.265872846597,-4991.37217994677,1983.1063071001731
gene_10,-778.5260238190992,-1017.7907094119186,239.26468559281932
gene_11,-5696.053962190948,-24459.914804701184,18763.860842510236
gene_12,-2266.2526401585224,-3871.7886357258703,1605.535995567348
gene_13,-3802.547663828002,-9430.150779478994,5627.603115650993
gene_14,-1188.2228262060526,-1536.5418635064261,348.31903730037357
gene_15,-12554.784495584243,-48077.696741537045,35522.9122459528
gene_16,-2637.9921123618115,-5774.195153552697,3136.2030411908854
gene_17,-7612.064025095968,-26866.555656207387,19254.49163111142
gene_18,-1619.959114055141,-3222.8885854825235,1602.9294714273824
gene_19,-2038.23366491042,-3174.933198425592,1136.6995335151719
gene_20,-869.4858508974812,-1125.934832273169,256.4489813756877
gene_21,-3269.9184557555905,-40925.45086515714,37655.532409401545
gene_22,-3817.0479372614573,-6188.357113988243,2371.309176726786
gene_23,-4009.1637942980565,-43045.65475128987,39036.49095699181
gene_24,-4100.609872211156,-5398.953100146328,1298.3432279351728
gene_25,-5327.34482436383,-18828.587936536536,13501.243112172706
gene_26,-3116.0423315800053,-3913.3675169599474,797.325185379942
gene_27,-2179.0844267906987,-9150.626213114785,6971.541786324086
gene_28,-1391.692073853986,-1770.503727195027,378.81165334104116
gene_29,-2433.8710846102176,-17215.64992897414,14781.778844363922
gene_30,-863.8097786813983,-1574.457167594766,710.6473889133676
gene_31,-3567.511896547135,-32038.0510148528,28470.539118305667
gene_32,-2555.3556302019992,-3953.940738071765,1398.5851078697656
gene_33,-4302.865479460414,-29905.98597243667,25603.120492976253
gene_34,-3440.753172954453,-6998.8063033851,3558.0531304306473
gene_35,-7746.5429875424015,-30232.165114191474,22485.622126649072
gene_36,-1829.2881841688607,-4003.6350469463678,2174.3468627775073
gene_37,-5494.743024609091,-20843.21344091103,15348.470416301938
gene_38,-2275.07556807912,-4383.905588401884,2108.8300203227645
gene_39,-7761.701428648016,-18982.33281691649,11220.631388268474
gene_40,-1582.142646387735,-2156.3117213352116,574.1690749474765
gene_41,-5700.278238587398,-25949.99436304512,20249.716124457722
gene_42,-1334.4245917660853,-2976.3499466317435,1641.9253548656582
gene_43,-7823.475891225707,-22322.657774690357,14499.181883464651
gene_44,-2088.995522813511,-3045.2408933975744,956.2453705840635
gene_45,-18958.402215481987,-57033.489892546735,38075.087677064745
gene_46,-7644.213015016716,-10235.240776026616,2591.0277610099
gene_47,-14543.474684041328,-26605.735667361354,12062.260983320026
gene_48,-4556.056268486586,-5888.614924317068,1332.5586558304813
gene_49,-19320.82382047589,-66954.71132572477,47633.88750524888
gene_50,-4831.139573878551,-10339.226071766796,5508.086497888245
gene_51,-9515.9210228073,-33358.26030071882,23842.339277911524
gene_52,-2244.042670424621,-5020.707367027167,2776.6646966025455
gene_53,-6407.106501757957,-18074.815496154395,11667.708994396438
gene_54,-3383.2471030489583,-4846.920966801326,1463.673863752368
gene_55,-19812.718095334196,-39397.357699135784,19584.63960380159
gene_56,-9619.564011628621,-11662.473903096667,2042.9098914680453
gene_57,-10985.060182636438,-26206.444140545194,15221.383957908756
gene_58,-4655.048867754916,-5703.4330472687025,1048.3841795137869
gene_59,-9635.090453572187,-44993.91561217401,35358.82515860182
gene_60,-4621.960409015229,-5274.784545053744,652.8241360385155
gene_61,-32875.012454713695,-135391.3078281044,102516.29537339072
gene_62,-15820.802203158692,-42803.61939107773,26982.817187919038
gene_63,-15200.438982006704,-63293.707282925796,48093.268300919095
gene_64,-7536.785652383371,-20901.21597426414,13364.43032188077
gene_65,-23359.08749847457,-61189.850819175816,37830.76332070124
gene_66,-5287.845617391548,-14075.93955563818,8788.093938246631
gene_67,-10439.937035514195,-24021.283630184746,13581.346594670551
gene_68,-2700.935277941635,-3405.8732699493403,704.9379920077054
gene_69,-3754.6715609902103,-14744.250378161107,10989.578817170895
gene_70,-1586.5823299660985,-1880.4506239822997,293.86829401620116
gene_71,-3481.002734362111,-7943.910120585384,4462.907386223273
gene_72,-2701.1865728897596,-3072.9433877673773,371.75681487761767
gene_73,-1420.404892113975,-3841.54514533147,2421.1402532174952
gene_74,-1707.593041345264,-1872.948886352937,165.355845007673
gene_75,-1252.7829197589945,-3798.073616556367,2545.2906967973727
gene_76,-1287.7742903387702,-1495.528007530969,207.7537171921988
gene_77,-617.7442830148426,-2040.589517399223,1422.8452343843805
gene_78,-870.8479318559428,-989.3876970928011,118.53976523685833
gene_79,-1852.9170576117951,-7135.7752608528735,5282.858203241079
gene_80,-1082.9267178340422,-1521.1059836716493,438.1792658376071
gene_81,-2811.73478038394,-22765.441598995,19953.70681861106
gene_82,-8244.268890722104,-17248.79186623048,9004.522975508376
gene_83,-16705.11033235829,-56809.34431016023,40104.23397780194
gene_84,-10649.813970007674,-16737.034336304132,6087.220366296458
gene_85,-14254.35768855478,-50053.095962814405,35798.738274259624
gene_86,-9745.464901082913,-12170.950726716821,2425.4858256339085
gene_87,-8245.361520351524,-26406.14728527659,18160.785764925065
gene_88,-5189.078785106893,-6096.754282573175,907.6754974662826
gene_89,-4736.222691905773,-7449.566355743517,2713.3436638377443
gene_90,-3014.3480648246464,-5134.961139510871,2120.613074686225
gene_91,-12205.20182214866,-68877.60424635449,56672.40242420583
gene_92,-6025.183057255965,-7752.698716643634,1727.515659387669
gene_93,-11904.400293630419,-37615.33277386467,25710.932480234253
gene_94,-3329.487580338959,-3673.2281033096424,343.7405229706833
gene_95,-11710.777438080053,-25609.95260136392,13899.175163283866
gene_96,-3075.9950177696787,-3534.347911468834,458.3528936991552
gene_97,-31862.235619573115,-55480.94458998692,23618.7089704138
gene_98,-2851.9857154853903,-10215.137505928577,7363.151790443186
gene_99,-9575.993589463711,-41972.97751467052,32396.983925206812
gene_100,-4541.940572844269,-8168.366573112577,3626.4260002683077
gene_101,-7139.404353122306,-32727.282347591754,25587.877994469447
gene_102,-2420.303179816085,-4188.209198809877,1767.9060189937923
gene_103,-16659.86386332685,-40659.05927936404,23999.19541603719
gene_104,-12368.68892588457,-19950.356507728717,7581.667581844147
gene_105,-5669.648902214342,-41717.1606185433,36047.511716328954
gene_106,-4532.584045707176,-7692.691553047961,3160.1075073407847
gene_107,-3491.8965522230083,-22127.24211830847,18635.34556608546
gene_108,-3042.333000360141,-4030.0338478390113,987.7008474788704
gene_109,-6197.5164083515865,-50667.63493354265,44470.118525191065
gene_110,-10854.760293650881,-15449.930004942791,4595.16971129191
gene_111,-6167.498214310431,-23907.498735011643,17740.00052070121
gene_112,-3766.4550679497393,-4684.185082243737,917.730014293998
gene_113,-6284.9470351527925,-42291.40589134259,36006.4588561898
gene_114,-2963.773461256379,-3785.0980351055023,821.3245738491232
gene_115,-16148.492947801866,-34988.82274994405,18840.32980214218
gene_116,-11661.253440959892,-14409.325485783416,2748.0720448235243
gene_117,-7873.556867450261,-16602.437991051713,8728.881123601452
gene_118,-5169.192269794666,-6275.791016134625,1106.5987463399597
gene_119,-7967.127023442426,-35306.79745697753,27339.670433535106
gene_120,-5976.838239681668,-9151.583671850449,3174.745432168781
gene_121,-5279.421432240238,-21690.884306013606,16411.46287377337
gene_122,-3125.980186592062,-4269.97134069199,1143.9911540999278
gene_123,-9008.602178609844,-23619.06711200738,14610.464933397534
gene_124,-6284.309678492229,-8106.434922201826,1822.1252437095973
gene_125,-61772.59659714661,-202597.41232771528,140824.81573056866
gene_126,-12596.07940196628,-15634.351356047915,3038.2719540816342
gene_127,-4326.687420441476,-8998.709425748091,4672.022005306615
gene_128,-739.2087406381182,-1136.2585598220976,397.04981918397937
gene_129,-5225.789240015039,-17202.24582860101,11976.456588585974
gene_130,-2410.5257700582574,-3741.772008301098,1331.2462382428407
gene_131,-1714.661352871469,-9256.945290316917,7542.283937445448
gene_132,-1379.8562968518215,-1801.6897570331294,421.8334601813078
gene_133,-23193.744478409193,-63931.07005237649,40737.3255739673
gene_134,-7455.74421047854,-18655.786170530377,11200.041960051836
gene_135,-11126.61835796108,-38244.18885445776,27117.57049649668
gene_136,-3076.8401364135175,-7029.399195535248,3952.55905912173
gene_137,-7783.075936279782,-22730.85511993045,14947.779183650668
gene_138,-2470.0612955254137,-3595.652215801319,1125.5909202759053
