,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-1695.8660609017634,-9896.612485556438,8200.746424654673,0:00:02.792378,0
gene_2,-128.09502660914288,-127.23382151454521,-0.8612050945976648,0:00:04.842266,0
gene_3,-3902.0076687536252,-9076.199782197657,5174.192113444031,0:00:02.652295,0
gene_4,-136.27431830545413,-108.91609696867313,-27.358221336781,0:01:11.800026,0
gene_5,-7246.04555250631,-25621.66972220817,18375.624169701863,0:00:02.613898,0
gene_6,-189.00022085596387,-214.19818551605104,25.197964660087166,0:00:12.750092,0
gene_7,-28837.946404695584,-80628.0928821885,51790.14647749292,0:00:03.031865,0
gene_8,-480.0976774848105,-761.4814124513609,281.38373496655043,0:00:17.284553,0
gene_9,-13024.502065422317,-36735.23370660837,23710.731641186052,0:00:03.287983,0
gene_10,-273.6217469732091,-370.1786081809077,96.5568612076986,0:00:08.558134,0
gene_11,-8981.32116386529,-34573.12387207931,25591.80270821402,0:00:03.209669,0
gene_12,-187.63983462569846,-206.09684576696958,18.457011141271124,0:00:15.852902,0
gene_13,-16544.389731486783,-34512.509450195976,17968.119718709193,0:00:02.530238,0
gene_14,-200.818160956186,-235.29535236732238,34.477191411136374,0:00:08.626933,0
gene_15,-7373.059024312571,-34937.243752009526,27564.184727696957,0:00:02.683401,0
gene_16,-202.29607641801195,-261.17861672509713,58.88254030708518,0:00:10.970786,0
gene_17,-4953.3239499506035,-18733.042320346176,13779.718370395572,0:00:04.113162,0
gene_18,-156.72074770505853,-178.75306608592058,22.03231838086205,0:00:06.286833,0
gene_19,-2302.9609039267334,-5783.364236551596,3480.4033326248627,0:00:02.395684,0
gene_20,-105.13770423994684,-103.8898760430519,-1.2478281968949432,0:00:06.945527,0
gene_21,-2547.573792834624,-8756.774957371526,6209.201164536902,0:00:02.947829,0
gene_22,-117.39794663151623,-114.33921979248511,-3.0587268390311237,0:00:06.513696,0
gene_23,-3956.2218025991074,-69242.42862633198,65286.20682373287,0:00:04.443683,0
gene_24,-144.25428492212362,-141.30893960606784,-2.9453453160557785,0:00:16.142544,0
gene_25,-508.3667663695781,-2879.8641752028598,2371.4974088332815,0:00:02.443820,0
gene_26,-99.12192765225473,-96.40631228221088,-2.7156153700438495,0:00:04.504603,0
gene_27,-1547.5381151515091,-4424.596205970543,2877.058090819034,0:00:02.808304,0
gene_28,-119.36686615355968,-117.47078851842461,-1.8960776351350717,0:00:05.639222,0
gene_29,-2201.0580981367957,-11464.426106817104,9263.368008680307,0:00:03.342749,0
gene_30,-122.32969855369089,-116.61859696637448,-5.711101587316406,0:00:09.975136,0
gene_31,-3378.457365379126,-16617.91569870884,13239.458333329712,0:00:04.364897,0
gene_32,-130.3247348797563,-129.42034399992468,-0.9043908798316238,0:00:20.273305,0
gene_33,-1453.607624140841,-7140.473397991589,5686.865773850748,0:00:05.106398,0
gene_34,-101.85460439940226,-99.99012670339457,-1.8644776960076967,0:00:08.214023,0
gene_35,-2103.782589696775,-23831.701481518357,21727.91889182158,0:00:03.443873,0
gene_36,-216.9649038828881,-221.13188598071784,4.166982097829731,0:00:11.852751,0
gene_37,-9377.795616249598,-32823.70093050332,23445.905314253723,0:00:06.013813,0
