,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_1,-44.530639557757944,-110.72795149934096,66.19731194158302,0:00:00.777276,0:00:00.777276
gene_2,-109.40137967434757,-134.90692741045592,25.505547736108355,0:00:00.819663,0:00:00.819663
gene_3,-48.087837852868496,-71.58474854998543,23.496910697116938,0:00:00.736000,0:00:00.736000
gene_4,-83.81951701483158,-97.19389491405369,13.374377899222111,0:00:00.804980,0:00:00.804980
gene_5,-76.23722956266657,-372.4329134398285,296.1956838771619,0:00:00.839953,0:00:00.839953
gene_6,-157.24971234342615,-169.388427624948,12.138715281521854,0:00:00.970116,0:00:00.970116
gene_7,-31.575971387279218,-45.90298527271145,14.32701388543223,0:00:00.734543,0:00:00.734543
gene_8,-93.33428217356935,-93.9312618547602,0.5969796811908452,0:00:00.894439,0:00:00.894439
gene_9,-57.964771573889934,-147.3840216148725,89.41925004098256,0:00:02.522176,0:00:02.522176
gene_10,-177.59794974338354,-222.99449390644017,45.39654416305663,0:00:00.998588,0:00:00.998588
gene_11,-86.81151220455386,-240.2376197568929,153.42610755233903,0:00:00.825052,0:00:00.825052
gene_12,-149.93553018659594,-152.9194224853856,2.9838922987896694,0:00:01.194682,0:00:01.194682
gene_13,-79.12273672070629,-302.9698663881196,223.84712966741333,0:00:00.813636,0:00:00.813636
gene_14,-280.29637551555663,-351.76765208191784,71.47127656636121,0:00:00.991197,0:00:00.991197
gene_15,-58.20034993346197,-161.18629961636861,102.98594968290664,0:00:00.798071,0:00:00.798071
gene_16,-160.48534367222135,-175.63699974973662,15.15165607751527,0:00:01.187940,0:00:01.187940
gene_17,-53.91434596611467,-112.69525423418386,58.7809082680692,0:00:00.754619,0:00:00.754619
gene_18,-118.95428443404076,-128.11602894155712,9.16174450751636,0:00:01.197634,0:00:01.197634
gene_19,-45.77910219452778,-128.57849273529365,82.79939054076587,0:00:00.797511,0:00:00.797511
gene_20,-123.59569143326502,-123.5299204212994,0.0,0:00:01.272071,0:00:01.272071
gene_21,-54.34843269643359,-71.4912056216166,17.14277292518301,0:00:00.741246,0:00:00.741246
gene_22,-78.56370416357576,-78.56338916982071,0.0,0:00:01.241131,0:00:01.241131
gene_23,-109.18593933973516,-387.1013060539625,277.91536671422733,0:00:01.151955,0:00:01.151955
gene_24,-110.28030500041609,-110.19873219280542,0.0,0:00:00.845259,0:00:00.845259
gene_25,-84.30132062004085,-166.1380700614054,81.83674944136453,0:00:01.898657,0:00:01.898657
gene_26,-79.25441639657959,-77.25833971868606,0.0,0:00:01.282202,0:00:01.282202
gene_27,-59.69686407105665,-121.17039887192183,61.47353480086518,0:00:00.768321,0:00:00.768321
gene_28,-67.54162443299106,-68.0613223171089,0.5196978841178463,0:00:01.186723,0:00:01.186723
gene_29,-76.41905108515483,-148.77449238732024,72.3554413021654,0:00:00.798914,0:00:00.798914
gene_30,-117.90566010105252,-149.16198870660523,31.25632860555271,0:00:00.980333,0:00:00.980333
gene_31,-91.44308572980766,-240.40114369932408,148.9580579695164,0:00:00.810616,0:00:00.810616
gene_32,-149.63405066877897,-164.48092052426978,14.846869855490809,0:00:00.903006,0:00:00.903006
gene_33,-85.3977238637401,-132.60981745625077,47.21209359251067,0:00:00.749299,0:00:00.749299
gene_34,-98.43390464964851,-96.51338780546703,0.0,0:00:00.928784,0:00:00.928784
gene_35,-80.51240931545551,-261.6987786259979,181.18636931054237,0:00:00.801047,0:00:00.801047
gene_36,-130.94009737450367,-134.31272412525732,3.3726267507536534,0:00:01.011358,0:00:01.011358
gene_37,-89.61625992105034,-212.74338614762527,123.12712622657493,0:00:00.797511,0:00:00.797511
gene_38,-271.7384303361582,-352.0616153884558,80.32318505229756,0:00:00.978667,0:00:00.978667
gene_39,-51.85245212884362,-133.20694137038805,81.35448924154443,0:00:01.858823,0:00:01.858823
gene_40,-184.01818524328593,-217.4615462727355,33.44336102944956,0:00:00.988604,0:00:00.988604
gene_41,-91.2284501187306,-312.1786261589988,220.95017604026816,0:00:00.826595,0:00:00.826595
gene_42,-134.7354585949285,-176.01670445055055,41.281245855622046,0:00:01.200429,0:00:01.200429
gene_43,-113.53645168376985,-368.9811844731253,255.44473278935547,0:00:00.952504,0:00:00.952504
gene_44,-221.05126323466106,-247.07771843877936,26.026455204118292,0:00:00.932419,0:00:00.932419
gene_45,-73.45531356292662,-170.09143943533476,96.63612587240814,0:00:00.848885,0:00:00.848885
gene_46,-110.32708070555302,-121.86821328011521,11.541132574562198,0:00:00.961176,0:00:00.961176
gene_47,-79.68480045152755,-132.38059703091,52.695796579382446,0:00:00.856360,0:00:00.856360
gene_48,-118.07376092445098,-148.37051250867054,30.296751584219564,0:00:01.518267,0:00:01.518267
gene_49,-51.40617668728794,-162.14471265749515,110.73853597020721,0:00:00.763307,0:00:00.763307
gene_50,-119.87353743380046,-126.01598734702456,6.142449913224098,0:00:00.823767,0:00:00.823767
gene_51,-99.18240028204035,-176.50105003913222,77.31864975709188,0:00:00.822246,0:00:00.822246
gene_52,-124.20908555367534,-186.9929883794554,62.78390282578006,0:00:00.903398,0:00:00.903398
gene_53,-159.1122210403318,-250.217302906314,91.10508186598219,0:00:00.990125,0:00:00.990125
gene_54,-112.16556341559561,-136.21121664376543,24.04565322816981,0:00:00.869895,0:00:00.869895
gene_55,-157.62091323068208,-258.44427589447105,100.82336266378897,0:00:00.784513,0:00:00.784513
gene_56,-281.75832042144884,-360.26427065761123,78.50595023616239,0:00:01.632716,0:00:01.632716
gene_57,-58.53860493780669,-276.70205023640443,218.16344529859774,0:00:00.825119,0:00:00.825119
gene_58,-214.25816954736362,-256.4662639107037,42.20809436334005,0:00:01.042274,0:00:01.042274
gene_59,-109.15792255283631,-411.76177289539896,302.6038503425626,0:00:00.828768,0:00:00.828768
gene_60,-142.59273380949477,-180.6985874613334,38.10585365183863,0:00:01.006566,0:00:01.006566
gene_61,-124.15507762466623,-415.2368927772035,291.0818151525373,0:00:00.923071,0:00:00.923071
gene_62,-412.2457200294394,-534.2400634218793,121.99434339243993,0:00:01.371612,0:00:01.371612
gene_63,-63.05967539444966,-199.50901687616698,136.4493414817173,0:00:00.743958,0:00:00.743958
gene_64,-203.50319415323395,-258.4774016593705,54.974207506136565,0:00:01.416008,0:00:01.416008
gene_65,-189.69581705050348,-287.2516084697911,97.55579141928763,0:00:00.845131,0:00:00.845131
gene_66,-159.59539191339888,-179.22871076474945,19.633318851350566,0:00:01.441376,0:00:01.441376
gene_67,-65.96628170169123,-469.71624069206416,403.74995899037293,0:00:00.912206,0:00:00.912206
gene_68,-296.287516275458,-327.56041963822565,31.272903362767636,0:00:00.948292,0:00:00.948292
gene_69,-51.1310495699006,-209.10758728779322,157.97653771789263,0:00:00.874115,0:00:00.874115
gene_70,-149.69518389238786,-146.3365605572949,0.0,0:00:00.902863,0:00:00.902863
gene_71,-82.93728082849155,-120.3725407353646,37.43525990687304,0:00:00.792518,0:00:00.792518
gene_72,-111.48454982666672,-107.44378365994281,0.0,0:00:01.123474,0:00:01.123474
gene_73,-62.497436270976685,-183.7484572520286,121.25102098105191,0:00:00.817516,0:00:00.817516
gene_74,-113.29960944314077,-158.65947526895707,45.3598658258163,0:00:01.035759,0:00:01.035759
gene_75,-47.21179641744377,-104.91430868421425,57.702512266770476,0:00:00.763841,0:00:00.763841
gene_76,-83.1252181624769,-93.23413360682406,10.108915444347161,0:00:00.862645,0:00:00.862645
gene_77,-42.64957298947614,-69.54133884170209,26.891765852225944,0:00:00.749761,0:00:00.749761
gene_78,-74.38037004700746,-78.62110443905992,4.24073439205246,0:00:00.827951,0:00:00.827951
gene_79,-44.43172278764314,-57.118062364305736,12.686339576662597,0:00:00.721113,0:00:00.721113
gene_80,-110.38558522754772,-116.51322420858715,6.127638981039425,0:00:01.006151,0:00:01.006151
gene_81,-79.06185433017069,-262.25235080808557,183.19049647791488,0:00:00.784309,0:00:00.784309
gene_82,-204.2617611315866,-239.07307137465543,34.81131024306882,0:00:01.006424,0:00:01.006424
gene_83,-133.9561943412121,-291.5357352250172,157.57954088380512,0:00:00.917483,0:00:00.917483
gene_84,-156.9156528519017,-354.61226743591016,197.69661458400844,0:00:01.102362,0:00:01.102362
gene_85,-74.94389430974647,-245.98644566060042,171.04255135085396,0:00:02.985333,0:00:02.985333
gene_86,-241.14749382902818,-317.68659235467504,76.53909852564686,0:00:01.095839,0:00:01.095839
gene_87,-57.998312457378255,-149.28184610250352,91.28353364512526,0:00:00.805513,0:00:00.805513
gene_88,-211.02544039966537,-230.40971836137942,19.384277961714048,0:00:01.171501,0:00:01.171501
gene_89,-71.566553431305,-104.1842934429298,32.617740011624804,0:00:00.814371,0:00:00.814371
gene_90,-151.80805073831618,-156.11119812028724,4.303147381971058,0:00:01.304914,0:00:01.304914
gene_91,-60.01356252669487,-109.32243352403245,49.30887099733758,0:00:00.766564,0:00:00.766564
gene_92,-77.72762162154783,-77.72728399565639,0.0,0:00:01.611637,0:00:01.611637
gene_93,-48.1931217639405,-81.76814986887823,33.57502810493772,0:00:00.741983,0:00:00.741983
gene_94,-95.32932596467681,-95.47978029469408,0.1504543300172685,0:00:01.223559,0:00:01.223559
gene_95,-39.78597179423993,-66.61430150517796,26.828329710938036,0:00:00.733605,0:00:00.733605
gene_96,-73.61539841582389,-72.52829311326686,0.0,0:00:01.414862,0:00:01.414862
gene_97,-82.52641775992615,-194.7655285999508,112.23911084002467,0:00:06.047471,0:00:06.047471
gene_98,-256.5203334086426,-295.97531514800664,39.45498173936403,0:00:00.857097,0:00:00.857097
gene_99,-70.4815243021071,-139.71868088846333,69.23715658635622,0:00:05.594780,0:00:05.594780
gene_100,-139.49653951871508,-165.02091361990034,25.52437410118526,0:00:00.832088,0:00:00.832088
gene_101,-73.98671711709324,-154.37312981780727,80.38641270071403,0:00:01.889208,0:00:01.889208
gene_102,-133.25385235885793,-147.47631732194273,14.222464963084803,0:00:01.179431,0:00:01.179431
gene_103,-112.34578692001635,-234.5998059715836,122.25401905156725,0:00:00.803642,0:00:00.803642
gene_104,-558.3564359187245,-597.4192870731272,39.062851154402665,0:00:01.005324,0:00:01.005324
gene_105,-62.76509467042214,-277.08773043611933,214.32263576569719,0:00:00.831392,0:00:00.831392
gene_106,-511.3296598440503,-524.7212187016232,13.391558857572932,0:00:01.771176,0:00:01.771176
gene_107,-63.70279726977736,-161.43078529596576,97.7279880261884,0:00:00.790537,0:00:00.790537
gene_108,-331.27637803856925,-329.9180248665095,0.0,0:00:01.386343,0:00:01.386343
