,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-44.53063936789381,-110.72795117844841,66.1973118105546
gene_2,-109.40138000039076,-134.9069218477574,25.50554184736663
gene_3,-48.08783789816486,-71.58474831539,23.496910417225145
gene_4,-83.81950767611332,-97.19389500202544,13.374387325912124
gene_5,-76.23713594414619,-372.43291252068224,296.19577657653605
gene_6,-157.24685550600236,-169.3885132001313,12.141657694128952
gene_7,-31.575996031063326,-45.902985263834225,14.326989232770899
gene_8,-93.33428695912801,-93.93125491679866,0.5969679576706568
gene_9,-57.96477220044035,-147.3840203189202,89.41924811847984
gene_10,-177.59801460241943,-222.99448270709277,45.396468104673346
gene_11,-86.81153672516163,-240.2376173424979,153.42608061733628
gene_12,-148.68156244227868,-152.91941412791178,4.237851685633103
gene_13,-79.12275116745069,-302.969865576395,223.84711440894432
gene_14,-280.28391548420706,-351.7676386497213,71.48372316551422
gene_15,-58.20035116734344,-161.18629859427767,102.98594742693423
gene_16,-160.48574227583705,-175.63726914517707,15.151526869340017
gene_17,-53.91434530243784,-112.6952529210379,58.78090761860007
gene_18,-118.95436830474246,-128.11601476654258,9.161646461800117
gene_19,-45.77910163145876,-128.57811630074957,82.79901466929081
gene_20,-123.59568886283677,-123.52991434358375,-0.06577451925301148
gene_21,-54.34843224079895,-71.49120531031431,17.142773069515364
gene_22,-78.56419306132533,-78.56338688963578,-0.0008061716895468862
gene_23,-109.18589428236366,-387.10130579050224,277.91541150813856
gene_24,-110.28030341320986,-110.19871509920891,-0.08158831400095323
gene_25,-84.30131983471456,-166.13806953048316,81.8367496957686
gene_26,-79.254956730875,-77.25833402120769,-1.9966227096673066
gene_27,-59.69686416909056,-90.61174080958388,30.91487664049332
gene_28,-67.54281069198032,-68.06131267117094,0.5185019791906171
gene_29,-76.41904456378839,-148.7744908344218,72.35544627063342
gene_30,-117.90576940532725,-149.16197174536845,31.2562023400412
gene_31,-91.4430888816043,-240.40114271798421,148.95805383637992
gene_32,-149.63377409958463,-164.4809171937614,14.847143094176772
gene_33,-85.40389766607079,-132.60964277344334,47.20574510737255
gene_34,-98.43390844195773,-96.51338318154666,-1.9205252604110683
gene_35,-80.51240864580697,-261.69877791909005,181.18636927328308
gene_36,-130.94014606740623,-134.31291201697547,3.372765949569242
gene_37,-121.53124707334995,-309.62288471298086,188.0916376396309
gene_38,-306.09703154370175,-437.1918313210997,131.09479977739795
gene_39,-65.81520694749524,-175.98173579200272,110.16652884450748
gene_40,-223.6862227533794,-272.6042931034336,48.918070350054165
gene_41,-86.52756500229262,-134.34422354920895,47.81665854691633
gene_42,-255.32603229320063,-287.29126497078187,31.96523267758124
gene_43,-110.11320080643735,-233.9368914649415,123.82369065850416
gene_44,-264.9892109378202,-380.4529329588673,115.46372202104709
gene_45,-89.69657089942164,-180.3968497061284,90.70027880670675
gene_46,-164.782491328389,-187.6676899764354,22.885198648046412
gene_47,-108.0749057495169,-231.32435410884406,123.24944835932716
gene_48,-160.00722024259113,-181.85475584750805,21.847535604916914
gene_49,-210.075434950975,-496.32874722763444,286.25331227665947
gene_50,-298.36577221241765,-400.8584714479379,102.49269923552026
gene_51,-120.93651938299169,-236.9519611742832,116.01544179129152
gene_52,-179.7385735420209,-224.72019881119593,44.98162526917503
gene_53,-161.2420966287016,-239.11345347269906,77.87135684399746
gene_54,-151.12305749951472,-186.7468825985698,35.6238250990551
gene_55,-157.62091130368114,-258.4442732762047,100.82336197252354
gene_56,-281.75718935854576,-360.2642896148905,78.50710025634476
gene_57,-58.5386049213891,-276.70204941460946,218.16344449322037
gene_58,-214.25942764597798,-256.4662384361217,42.20681079014375
gene_59,-109.15792330315901,-411.7617718854538,302.6038485822948
gene_60,-142.59041216381954,-180.69859633305683,38.10818416923729
gene_61,-124.15510489092296,-415.2368895201844,291.0817846292614
gene_62,-412.2448787783901,-534.240056613765,121.99517783537488
gene_63,-63.05967416284506,-199.50901553637726,136.4493413735322
gene_64,-203.5030887311431,-258.4774131905158,54.974324459372696
gene_65,-189.69576647705398,-287.25160123807,97.55583476101603
gene_66,-159.5955608264026,-179.22862814499007,19.63306731858748
gene_67,-65.96627019566883,-469.7162394444626,403.7499692487938
gene_68,-296.282366640809,-327.5604114719224,31.27804483111339
gene_69,-51.13105017651489,-209.10758495674162,157.97653478022673
gene_70,-149.69522506564073,-146.33651383123046,-3.358711234410265
gene_71,-82.93727191877645,-120.37253822184314,37.4352663030667
gene_72,-111.56045850741631,-107.44356329165123,-4.1168952157650835
gene_73,-47.69525675882889,-130.08305430430718,82.38779754547829
gene_74,-136.75094433860778,-164.24105148186345,27.49010714325567
gene_75,-42.797495445670954,-87.0840584743767,44.28656302870575
gene_76,-102.25981760191203,-108.71180544105297,6.451987839140941
gene_77,-35.10249833117587,-57.25114737890851,22.14864904773264
gene_78,-78.12004995131049,-78.46663852684256,0.346588575532067
gene_79,-39.64068558596579,-60.074203811383974,20.433518225418183
gene_80,-81.80045542062825,-108.50117986096514,26.700724440336884
gene_81,-67.13074507298322,-86.07599827755958,18.94525320457636
gene_82,-89.90208280771273,-87.31638915174798,-2.5856936559647465
gene_83,-179.8646933395515,-475.45522931280675,295.5905359732552
gene_84,-278.7753337324328,-327.25382537388566,48.47849164145288
gene_85,-107.15240297101833,-369.30842605757294,262.1560230865546
gene_86,-159.93943314315166,-250.0966975080883,90.15726436493665
gene_87,-156.84594395828304,-271.65684785476515,114.8109038964821
gene_88,-288.9456060731189,-322.8810102841151,33.93540421099624
gene_89,-119.41091086906081,-131.6340405730685,12.223129704007675
gene_90,-204.0248857460522,-217.3192759629809,13.29439021692869
gene_91,-42.623754365170186,-95.53758837978958,52.9138340146194
gene_92,-88.69730834179859,-93.00852386473207,4.31121552293348
gene_93,-53.38283605767229,-96.40804126278785,43.025205205115554
gene_94,-93.69277538812752,-95.78910767038636,2.0963322822588424
gene_95,-46.30883106143921,-73.52727753889613,27.218446477456922
gene_96,-76.78903872428378,-77.75251026069208,0.9634715364082922
gene_97,-80.78529929677637,-198.20847430282586,117.42317500604949
gene_98,-313.10508130324695,-428.191917455876,115.08683615262908
gene_99,-50.36413090044434,-117.04754029523785,66.68340939479351
gene_100,-143.22536120197128,-158.68247334835655,15.45711214638527
gene_101,-47.89638095432841,-114.67889085408282,66.78250989975442
gene_102,-100.96422861915937,-101.46376424062134,0.4995356214619733
gene_103,-133.41642923277163,-216.53083182016564,83.11440258739401
gene_104,-244.33938823482413,-255.31500429747544,10.975616062651312
gene_105,-73.25998986111574,-187.63399404361365,114.37400418249791
gene_106,-122.7152119415364,-134.5869509721351,11.871739030598704
gene_107,-69.72082403211975,-114.0186965481835,44.29787251606375
gene_108,-102.23981826032353,-109.72149988473673,7.4816816244131985
gene_109,-44.778861057281865,-78.65304095688151,33.874179899599646
gene_110,-130.60623343021643,-146.93246779487717,16.326234364660735
gene_111,-43.88756305039585,-74.13052886076584,30.242965810369988
gene_112,-98.93106383160766,-97.07719558829248,-1.8538682433151763
gene_113,-74.36649339471828,-240.47299279183824,166.10649939711996
gene_114,-126.41735230953198,-141.0935373300785,14.676185020546527
gene_115,-41.61069091219007,-53.31578426631537,11.705093354125296
gene_116,-103.80766157909375,-122.18731666392513,18.379655084831384
gene_117,-69.02093886851102,-109.97176571373248,40.95082684522146
gene_118,-207.908136506534,-240.52758461061865,32.619448104084654
gene_119,-107.42922446024437,-328.64356571661233,221.21434125636796
gene_120,-178.73423353134217,-189.07373291773416,10.339499386391992
gene_121,-95.04559317339674,-206.02221175052182,110.97661857712508
gene_122,-276.390084251983,-367.3103469822142,90.92026273023117
gene_123,-54.45606871794454,-106.30590513236876,51.849836414424225
gene_124,-136.3173007772875,-170.49111104019553,34.173810262908034
gene_125,-120.53737210100246,-510.2664214862105,389.72904938520804
gene_126,-137.3774865109643,-140.8283747031943,3.4508881922299963
