,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-35.43376469125007,-74.08858473568647,38.6548200444364,0:00:02.224454,0
gene_2,-50.6350618978091,-49.99496303416441,-0.6400988636446954,0:00:04.851360,0
gene_3,-52.31335486061943,-70.57033697031133,18.256982109691904,0:00:02.062033,0
gene_4,-52.247190865976826,-51.203278786555586,-1.04391207942124,0:00:02.527117,0
gene_5,-99.76523644544518,-333.56415882063584,233.79892237519067,0:00:01.946243,0
gene_6,-60.411752680080596,-59.96723416128365,-0.44451851879694715,0:00:03.841559,0
gene_7,-51.75822736804068,-117.22866851500908,65.4704411469684,0:00:02.745005,0
gene_8,-59.934228569842126,-59.85799149970858,-0.0762370701335442,0:00:02.950667,0
gene_9,-39.01190783669865,-73.63921648597888,34.62730864928023,0:00:02.246370,0
gene_10,-55.40003060951437,-53.182072204954,-2.2179584045603704,0:00:02.418570,0
gene_11,-93.55983749980079,-194.77347475444353,101.21363725464273,0:00:03.083502,0
gene_12,-56.34351504306507,-55.520304589200634,-0.8232104538644336,0:00:02.974719,0
gene_13,-56.190637707521105,-104.02932450811502,47.83868680059392,0:00:01.954451,0
gene_14,-49.751832275592136,-49.75157576971982,-0.00025650587231496047,0:00:03.428761,0
gene_15,-34.114836703317074,-62.00963643030079,27.894799726983713,0:00:02.057089,0
gene_16,-46.16049076452778,-46.160398831262206,-9.193326557266346e-05,0:00:02.321455,0
gene_17,-43.55138249931764,-50.18690299739761,6.63552049807997,0:00:01.749794,0
gene_18,-48.51842127808841,-48.518316879160125,-0.00010439892828628672,0:00:02.478273,0
gene_19,-107.0182474333978,-151.46557080744378,44.44732337404598,0:00:01.759804,0
gene_20,-59.44815280621632,-59.28421281084756,-0.16393999536875725,0:00:03.087380,0
gene_21,-57.55288262425917,-81.85146219447131,24.29857957021214,0:00:02.380544,0
gene_22,-57.1229670632474,-56.590657325637736,-0.5323097376096655,0:00:02.956298,0
gene_23,-90.05809742909177,-517.3638813553055,427.3057839262137,0:00:02.045222,0
gene_24,-59.00215758230469,-57.931098423360964,-1.0710591589437257,0:00:02.423661,0
gene_25,-89.96246261215613,-150.78554419566274,60.82308158350661,0:00:01.701331,0
gene_26,-62.269020014255375,-62.187586760537066,-0.08143325371830912,0:00:02.431885,0
gene_27,-53.646047434064286,-238.09150014722053,184.44545271315624,0:00:01.931318,0
gene_28,-66.85750200769972,-65.49916523688245,-1.3583367708172744,0:00:03.378020,0
gene_29,-60.91233081813701,-180.96254902714023,120.05021820900322,0:00:02.051049,0
gene_30,-66.5472249633723,-65.34189125974149,-1.2053337036308136,0:00:03.799411,0
gene_31,-48.553437453572776,-66.43908888356827,17.885651429995498,0:00:02.395906,0
gene_32,-47.39624877766285,-47.396163437563715,-8.534009913319096e-05,0:00:03.609072,0
gene_33,-43.1828761244327,-61.794947892511885,18.612071768079183,0:00:02.267389,0
gene_34,-49.95921331184235,-49.958540297106566,-0.0006730147357814076,0:00:02.818856,0
gene_35,-71.25512629071949,-125.54813127458593,54.29300498386644,0:00:01.934733,0
gene_36,-59.859628285961634,-59.30907319265411,-0.5505550933075227,0:00:02.541838,0
gene_37,-50.44668241529842,-95.74439655706972,45.2977141417713,0:00:01.731683,0
gene_38,-53.70081075491421,-52.05328257376094,-1.6475281811532696,0:00:02.715296,0
gene_39,-37.8921146054879,-91.68236635075156,53.79025174526367,0:00:02.008903,0
gene_40,-53.1896326994067,-52.018317169405066,-1.1713155300016354,0:00:02.431925,0
gene_41,-65.01283207466192,-322.8234395952721,257.8106075206102,0:00:01.888620,0
gene_42,-61.12417169130782,-60.882545779744,-0.24162591156382263,0:00:02.491248,0
gene_43,-81.26208886976218,-113.07256304746858,31.810474177706396,0:00:01.762097,0
gene_44,-56.83340561189038,-56.26004478693821,-0.573360824952168,0:00:03.044134,0
gene_45,-49.134260889564125,-73.1343111578312,24.00005026826708,0:00:02.303771,0
gene_46,-54.382637087163864,-52.99004945057809,-1.3925876365857732,0:00:02.984151,0
gene_47,-62.33458133042625,-196.57735374873945,134.2427724183132,0:00:02.084976,0
gene_48,-57.94548763757299,-56.422680313149456,-1.5228073244235318,0:00:03.175374,0
gene_49,-121.82367659168406,-265.56809224116796,143.7444156494839,0:00:01.800695,0
gene_50,-67.63560425724538,-66.77273013648461,-0.8628741207607646,0:00:03.549071,0
gene_51,-74.74610818775017,-119.11482521640475,44.368717028654586,0:00:01.919519,0
gene_52,-59.63596004455888,-59.63515617616934,-0.0008038683895392751,0:00:03.720812,0
gene_53,-123.45767262063708,-202.27495106839004,78.81727844775295,0:00:03.032450,0
gene_54,-60.5889191322886,-60.10852998670469,-0.48038914558391355,0:00:03.293746,0
gene_55,-111.66704251349617,-202.04182425148977,90.3747817379936,0:00:08.618516,0
gene_56,-58.960097752704456,-57.84639366075244,-1.113704091952016,0:00:02.418073,0
gene_57,-72.79421112568637,-128.11118516836865,55.316974042682276,0:00:01.921336,0
gene_58,-58.22939235683892,-57.72948511617103,-0.4999072406678948,0:00:02.624023,0
gene_59,-85.20200727794861,-228.5103987452812,143.3083914673326,0:00:02.081601,0
gene_60,-60.89057167634383,-59.82823309362395,-1.0623385827198817,0:00:03.029786,0
gene_61,-116.1891857090663,-399.88852728429623,283.69934157522994,0:00:03.199259,0
gene_62,-75.56817855517384,-73.93437447015128,-1.633804085022561,0:00:04.366921,0
gene_63,-81.72508700582588,-223.80049480643612,142.07540780061024,0:00:02.485398,0
gene_64,-66.6117802047986,-65.57235581010694,-1.0394243946916646,0:00:04.571516,0
gene_65,-108.21972957620278,-258.15402937691005,149.93429980070727,0:00:02.419489,0
gene_66,-65.66513885723808,-64.54825646761408,-1.1168823896239957,0:00:03.235332,0
gene_67,-120.5385427788024,-460.73857550587263,340.20003272707027,0:00:11.017218,0
gene_68,-72.84632711222676,-71.37077334165407,-1.475553770572688,0:00:03.147291,0
gene_69,-78.7834608223801,-236.47916497402397,157.69570415164387,0:00:02.020355,0
gene_70,-62.99910429783911,-62.42849362934818,-0.5706106684909287,0:00:03.073352,0
gene_71,-88.44972494584796,-135.58203665537684,47.13231170952888,0:00:01.881748,0
gene_72,-61.46905487749528,-61.43850363840163,-0.030551239093654203,0:00:05.355983,0
gene_73,-101.62792932032842,-575.9780753188096,474.3501459984812,0:00:02.716571,0
gene_74,-70.68664623848717,-69.28994082025137,-1.396705418235797,0:00:03.778136,0
gene_75,-64.44623560118255,-268.38003484719417,203.93379924601163,0:00:02.473097,0
gene_76,-63.280781421826966,-62.473925251962015,-0.8068561698649503,0:00:02.523086,0
gene_77,-54.40697593992061,-164.7919206282649,110.38494468834429,0:00:02.038843,0
gene_78,-59.20906741198343,-59.06666911893937,-0.14239829304406015,0:00:02.290187,0
gene_79,-148.9655397408128,-455.3496681694031,306.3841284285903,0:00:04.029177,0
gene_80,-69.25109947499324,-68.16379444897716,-1.0873050260160824,0:00:03.589532,0
gene_81,-80.63911755733253,-232.6810929927159,152.04197543538336,0:00:03.148921,0
gene_82,-63.96886689179869,-63.65772754691954,-0.31113934487915174,0:00:03.812604,0
gene_83,-79.0293568916291,-291.7491685435141,212.71981165188498,0:00:02.545979,0
gene_84,-68.17670042981061,-66.85516857659603,-1.32153185321458,0:00:03.855232,0
gene_85,-61.694025383163556,-74.77243477440392,13.078409391240363,0:00:02.796846,0
gene_86,-49.67415598120259,-49.67361394966067,-0.000542031541918675,0:00:03.086562,0
gene_87,-50.307926362782204,-61.12102815480637,10.813101792024163,0:00:02.154920,0
gene_88,-51.192980264234976,-51.19273316286706,-0.00024710136791838977,0:00:02.946635,0
gene_89,-67.93248869001755,-94.45976092972295,26.527272239705397,0:00:02.333670,0
gene_90,-53.12465656510375,-51.79394434066016,-1.3307122244435874,0:00:03.089484,0
gene_91,-156.50577277306823,-470.20698657111814,313.70121379804993,0:00:02.484615,0
gene_92,-74.60683271107222,-75.13293236361459,0.5260996525423707,0:00:04.080386,0
gene_93,-48.80224425938094,-322.23007668518653,273.4278324258056,0:00:02.717882,0
gene_94,-73.41192865802925,-72.20349014445223,-1.208438513577022,0:00:03.641084,0
gene_95,-44.89555480764969,-204.02602843972065,159.13047363207096,0:00:01.954138,0
gene_96,-68.26325694124208,-67.25219840807922,-1.0110585331628528,0:00:02.886217,0
gene_97,-62.42746217762978,-98.92483386979181,36.497371692162034,0:00:01.916598,0
gene_98,-57.15151987058156,-56.46603470900248,-0.6854851615790807,0:00:02.778180,0
gene_99,-47.12560993316575,-224.7918529852971,177.66624305213136,0:00:01.894505,0
gene_100,-63.44630719393798,-62.577315868996344,-0.8689913249416392,0:00:02.706196,0
gene_101,-48.04328225526493,-213.8141314348561,165.77084917959118,0:00:01.861687,0
gene_102,-62.59526623092519,-61.81218851535151,-0.7830777155736826,0:00:02.465345,0
gene_103,-63.14503363592817,-206.6168734560454,143.47183982011722,0:00:03.793044,0
gene_104,-64.11857634468893,-63.147390134489605,-0.9711862101993276,0:00:02.792616,0
gene_105,-45.161373604922275,-112.55076868632852,67.38939508140625,0:00:03.128072,0
gene_106,-57.83181008110244,-57.83084552065933,-0.000964560443108553,0:00:02.745662,0
gene_107,-39.00298570759755,-83.41355352396903,44.410567816371476,0:00:07.227872,0
gene_108,-57.620145974119666,-56.8735222909728,-0.7466236831468649,0:00:02.370937,0
gene_109,-64.04491825173587,-320.77801415868043,256.7330959069446,0:00:08.790814,0
gene_110,-63.07105280038614,-62.244230006739,-0.8268227936471391,0:00:02.492363,0
gene_111,-86.92688592739624,-224.75640779341524,137.82952186601898,0:00:01.856636,0
gene_112,-67.57964243584644,-66.34803106360097,-1.2316113722454674,0:00:03.650449,0
gene_113,-61.07980337978666,-266.83563453340827,205.7558311536216,0:00:02.463744,0
gene_114,-69.52787020442558,-68.35425910317234,-1.1736111012532433,0:00:03.139478,0
gene_115,-29.653694547406097,-107.0737908911905,77.4200963437844,0:00:07.668867,0
gene_116,-53.58030831907706,-53.57987456291066,-0.00043375616640162207,0:00:02.898259,0
gene_117,-53.112377140209986,-123.95878055598043,70.84640341577044,0:00:01.808217,0
gene_118,-53.679606481779786,-53.67556744835973,-0.004039033420056626,0:00:03.962639,0
gene_119,-112.40030233532056,-324.7824285431048,212.38212620778424,0:00:01.901809,0
gene_120,-60.399009741937455,-59.48768548986682,-0.911324252070635,0:00:02.497111,0
gene_121,-80.83052113826923,-107.47267799730072,26.642156859031488,0:00:01.647209,0
gene_122,-55.480897236929714,-55.479959937487436,-0.000937299442277606,0:00:02.840146,0
gene_123,-49.69809568028796,-61.072489775670896,11.374394095382932,0:00:01.744053,0
gene_124,-51.24385428736681,-51.24369065454123,-0.00016363282557563252,0:00:02.863197,0
gene_125,-180.30145182872113,-712.71756164556,532.4161098168388,0:00:01.957479,0
gene_126,-62.458836707355886,-61.828263854415816,-0.6305728529400696,0:00:02.414175,0
gene_127,-79.36707032606252,-178.9591704185813,99.59210009251878,0:00:01.810172,0
gene_128,-65.53528526285304,-65.59911385560237,0.06382859274933139,0:00:02.703214,0
gene_129,-94.30015481672592,-191.36912053085933,97.06896571413341,0:00:01.921431,0
gene_130,-64.35709281992231,-63.46786635318168,-0.889226466740638,0:00:02.641671,0
gene_131,-91.40985568677026,-161.33985103865635,69.92999535188609,0:00:01.913454,0
gene_132,-64.29323545157274,-63.18041317347554,-1.1128222780971981,0:00:02.656171,0
gene_133,-45.23824434532753,-92.55983699060624,47.32159264527871,0:00:01.877578,0
gene_134,-55.081398570855654,-54.14853189082845,-0.9328666800272032,0:00:02.581028,0
