,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,17.993091802283914,19.804631233601576,-1.8115394313176623
gene_2,40.87569876249029,40.894430767277925,-0.018732004787636924
gene_3,18.662188282117164,33.073801233067634,-14.41161295095047
gene_4,46.745549598582386,46.75681306656459,-0.011263467982203679
gene_5,38.792306721704364,54.69302524627231,-15.90071852456795
gene_6,63.61248850021662,63.61283757380434,-0.0003490735877207385
gene_7,18.798348868315724,20.833758126868783,-2.0354092585530594
gene_8,34.484122155637536,34.48154891371786,0.002573241919677116
gene_9,15.054595849557177,22.678168075439704,-7.623572225882526
gene_10,40.361932706069794,40.15017716339497,0.21175554267482255
gene_11,35.43173968262107,45.663200242141876,-10.231460559520805
gene_12,66.85771908548948,67.05810329474811,-0.20038420925862965
gene_13,31.602497508370934,31.60639280629899,-0.0038952979280573174
gene_14,40.90734554378893,40.90459560007543,0.00274994371349635
gene_15,35.46460010729107,35.46824017076417,-0.0036400634730995307
gene_16,63.06063319014996,63.06253205932504,-0.0018988691750791986
gene_17,43.554624234335925,43.562309120652074,-0.00768488631614872
gene_18,59.777968473929434,59.834261526236894,-0.056293052307459845
gene_19,24.55859286030345,24.5344446364689,0.024148223834547622
gene_20,40.02618265980586,39.88203739766997,0.1441452621358934
gene_21,58.36815934664935,32.26246776766708,26.105691578982267
gene_22,58.45818683850784,58.45365140799021,0.004535430517634609
gene_23,37.174180420538285,39.2177235278506,-2.043543107312317
gene_24,67.35871093872602,67.3695723597475,-0.010861421021473916
gene_25,21.613938151163264,37.57705996481206,-15.963121813648794
gene_26,53.02765150445711,53.02846231400926,-0.0008108095521492942
gene_27,23.869978290086834,38.9029953285085,-15.033017038421669
gene_28,49.94115971971416,49.91165098651366,0.029508733200493964
gene_29,29.0944255637397,47.77417738513026,-18.679751821390557
gene_30,76.61987301625955,53.207235519745915,23.412637496513632
gene_31,32.21710089168084,28.021773195195337,4.195327696485506
gene_32,54.01104489927407,53.99266042751203,0.018384471762040278
gene_33,27.16622279278023,36.89524464657829,-9.729021853798063
gene_34,64.50351563689992,64.50543760887138,-0.001921971971455605
gene_35,48.499379696733676,42.338684819105396,6.160694877628281
gene_36,65.07782643170934,65.27742182426134,-0.19959539255199843
gene_37,16.981325643385926,21.90695201090779,-4.925626367521865
gene_38,56.81421240483228,55.691873225250575,1.122339179581708
gene_39,31.754841056603915,31.771454780901216,-0.01661372429730079
gene_40,59.08444179001521,60.054701777366624,-0.9702599873514117
gene_41,34.35328174424379,51.51265584878535,-17.159374104541563
gene_42,30.835046968669076,64.11988307134237,-33.284836102673296
gene_43,19.504771917709363,31.11179369126438,-11.607021773555019
gene_44,53.582089884249726,54.85056315538218,-1.2684732711324571
gene_45,45.61444534089083,42.12960458464591,3.484840756244921
gene_46,71.814841859887,71.82245705655575,-0.007615196668751878
gene_47,56.67927814233,56.6837660896037,-0.004487947273702275
gene_48,73.18959808747238,73.18935215985051,0.0002459276218615969
gene_49,29.305239553668677,31.665795686553018,-2.3605561328843407
gene_50,60.82220632217767,66.34976264401067,-5.527556321832996
gene_51,27.644885050996997,32.23886539285662,-4.59398034185962
gene_52,57.283185494518094,60.40186083264442,-3.118675338126323
gene_53,29.76408644362398,53.84062571987086,-24.076539276246876
gene_54,68.62182903837281,68.61766336952785,0.004165668844962056
gene_55,18.010221792062282,18.60244289732415,-0.5922211052618671
gene_56,56.98822416679639,56.998528615499794,-0.010304448703401192
gene_57,33.62618594268612,34.1363316011075,-0.5101456584213793
gene_58,55.094905327930086,55.116636693879585,-0.021731365949499093
gene_59,75.5144752607199,52.653552868431845,22.86092239228806
gene_60,68.77111231062244,68.82404896691628,-0.052936656293837814
gene_61,35.43441221180782,43.71315580277416,-8.278743590966343
gene_62,80.82671360614628,80.17070679726488,0.6560068088814006
gene_63,35.01546809585058,43.37469124250535,-8.35922314665477
gene_64,70.8418669787832,69.801537891203,1.0403290875802043
gene_65,63.046296375864735,63.16349998644149,-0.11720361057675177
gene_66,82.74777803374484,80.82841352672237,1.9193645070224647
gene_67,26.27905624472075,34.50818546664327,-8.22912922192252
gene_68,61.33107410872685,61.314886246937846,0.016187861789006774
gene_69,25.179084368008336,33.3618151495278,-8.182730781519464
gene_70,56.28820157621587,56.325670060036714,-0.03746848382084522
gene_71,26.17584196634046,50.467097290728546,-24.291255324388086
gene_72,60.34977878894191,60.34831955728412,0.001459231657790383
gene_73,15.36451475766973,16.997488374884945,-1.6329736172152156
gene_74,38.13827346119292,38.141764400981934,-0.0034909397890174887
gene_75,28.336189711100037,28.33595723672716,0.0002324743728756573
gene_76,47.84768734115919,47.84872339365697,-0.0010360524977812702
gene_77,42.337751502452164,35.057595603055155,7.280155899397009
gene_78,47.06843950297287,47.08051990740516,-0.012080404432289527
gene_79,14.503950682205973,24.352820913856736,-9.848870231650762
gene_80,40.8426178127703,40.842825289012964,-0.00020747624266448383
gene_81,50.16627880545689,37.02029718099261,13.145981624464284
gene_82,69.3403346173656,69.34411408804155,-0.003779470675951302
gene_83,55.765818169617035,52.31381240835963,3.4520057612574035
gene_84,77.99034297575616,77.982918906901,0.007424068855158339
gene_85,20.365662300653362,20.602198311804976,-0.23653601115161393
gene_86,67.44849347108742,67.46089560692667,-0.012402135839252537
gene_87,23.090286842269652,23.11847309183673,-0.028186249567077937
gene_88,59.552382622686046,59.54751958570266,0.004863036983387303
gene_89,54.24754296795378,54.24624872751623,0.0012942404375451133
gene_90,71.9359045582087,70.10521656870125,1.830687989507453
gene_91,25.69861322437537,30.29982280066041,-4.60120957628504
gene_92,55.746221044260736,55.74378524270357,0.0024358015571692704
gene_93,26.540512521564924,37.18609416263705,-10.645581641072123
gene_94,55.89640386809876,55.90431075455723,-0.007906886458471263
gene_95,38.941669428921884,41.99011077073965,-3.048441341817764
gene_96,64.25030017472662,64.32962731239616,-0.07932713766953725
gene_97,32.898039673032166,32.90666637153619,-0.008626698504023977
gene_98,47.448009295053225,66.5252595827012,-19.07725028764797
gene_99,55.244897194909996,41.9066341311298,13.338263063780197
gene_100,67.11987517994052,67.5885497033839,-0.4686745234433829
gene_101,57.80567845726049,43.05180818612833,14.753870271132158
gene_102,34.22969422242771,66.40046458955027,-32.17077036712256
gene_103,18.506644271742772,18.49462266773413,0.012021604008641162
gene_104,67.72159974478097,66.84043371247283,0.881166032308144
gene_105,34.995407441379,31.790785516280707,3.2046219250982944
gene_106,73.16626707904894,73.28879204720121,-0.12252496815227687
gene_107,46.886734088588085,41.400826241047234,5.485907847540851
gene_108,70.29240609457213,70.29280037677762,-0.00039428220549098114
gene_109,31.693550673072494,28.158354799559422,3.5351958735130715
gene_110,71.36801322962562,71.32742043428392,0.04059279534169491
gene_111,50.471522756645626,37.38003893277801,13.09148382386762
gene_112,67.92281605633207,67.92320434830847,-0.0003882919764066628
gene_113,36.32883132948928,44.6116961947977,-8.282864865308419
gene_114,70.6312263957652,70.60326687350344,0.027959522261753023
gene_115,18.061352259342627,18.82876320698383,-0.7674109476412028
gene_116,63.56529891060838,63.914641690534744,-0.3493427799263671
gene_117,15.737466239255554,21.18248847572006,-5.4450222364645064
gene_118,55.472939103767494,55.53511806207636,-0.062178958308862775
gene_119,43.30870147662074,53.875901187321105,-10.567199710700365
gene_120,77.26249284109126,77.25329516569293,0.009197675398326055
gene_121,24.773411470444504,23.514881496710203,1.2585299737343014
gene_122,53.55339851564704,53.55107615655051,0.0023223590965315566
gene_123,34.57231036826605,37.466494237480184,-2.8941838692141317
gene_124,72.35615051960026,71.37262467183687,0.9835258477633886
gene_125,61.29705001281818,57.230837820075905,4.066212192742277
gene_126,91.54364348647822,91.54771563684294,-0.004072150364720528
gene_127,26.20709860810836,26.207930562065755,-0.0008319539573946599
gene_128,43.804428579103906,43.78905796054024,0.015370618563665062
gene_129,30.6915839509799,30.68838734038761,0.003196610592290483
gene_130,57.059016217502545,56.50260371935433,0.5564124981482124
gene_131,27.468457248475577,41.28260114040077,-13.814143891925195
gene_132,61.1816547676957,60.617573941177874,0.5640808265178237
gene_133,30.185561546485356,30.193539214228963,-0.007977667743606531
gene_134,74.17637487351834,74.1574585417557,0.018916331762639516
gene_135,40.99602252693353,36.812616978761994,4.183405548171535
gene_136,69.49003428472662,69.50504342067606,-0.015009135949441088
gene_137,35.94536237501119,42.62242345068067,-6.677061075669478
gene_138,70.5697142819295,70.54513036431918,0.024583917610328854
gene_139,24.93837154008523,24.93874861196334,-0.00037707187810909204
gene_140,71.38218939372938,69.2512682998513,2.1309210938780723
gene_141,31.205793642321833,30.675915818432646,0.529877823889187
gene_142,62.70044610963571,60.49761166541696,2.2028344442187517
gene_143,33.253156400315504,30.111645162552776,3.141511237762728
gene_144,60.440775168917654,57.853877235799835,2.586897933117818
gene_145,20.40733430730299,20.413942724252003,-0.006608416949013929
gene_146,66.08689017962715,66.08807565539108,-0.0011854757639326863
gene_147,43.42013262326086,33.0943226381037,10.325809985157164
gene_148,69.33246651808929,69.27179910099947,0.06066741708981738
gene_149,49.084544146854775,37.60489378845109,11.479650358403681
gene_150,82.43257881381616,82.4427312278883,-0.010152414072138072
gene_151,28.124609945392464,28.121681778752833,0.0029281666396308026
gene_152,68.63164143531557,68.5336215093757,0.09801992593986597
gene_153,74.80863744666003,45.59367326884731,29.214964177812718
gene_154,70.86867927246922,70.86164187280413,0.007037399665094313
gene_155,71.77432019187376,55.93455643531701,15.839763756556742
gene_156,75.90371173266317,75.88878623095441,0.014925501708759725
gene_157,24.73897835165182,24.73956510924155,-0.0005867575897298138
gene_158,77.81787731472325,77.81847946529857,-0.0006021505753182055
gene_159,44.07128110109665,44.097288995543416,-0.026007894446763657
gene_160,83.40661515530904,83.41281900679718,-0.006203851488137957
gene_161,34.362765774683815,55.17174786996514,-20.808982095281323
gene_162,81.47278892150717,81.47763215282758,-0.004843231320407426
gene_163,37.46022599350535,35.04580465348284,2.414421340022507
gene_164,85.87161341123546,85.87446876793054,-0.002855356695079081
gene_165,43.52257983489722,41.518576778092424,2.004003056804798
gene_166,77.79074067209936,77.80057367984139,-0.009833007742031441
gene_167,37.717230563295345,52.22760554131608,-14.510374978020735
gene_168,84.13483746515043,85.22241269465992,-1.087575229509497
gene_169,25.67379402880108,29.405859395272692,-3.7320653664716126
gene_170,79.97022180930762,79.97635856015353,-0.006136750845911365
gene_171,45.9427426605317,36.24473739191477,9.698005268616932
gene_172,72.55077486111759,72.5415332453151,0.009241615802494607
gene_173,29.165471654632423,45.28721714438314,-16.12174548975072
gene_174,75.72025220719847,75.70337772889951,0.01687447829895916
gene_175,36.02646995743852,28.52864968319994,7.497820274238581
gene_176,75.34942153072032,77.91134504984302,-2.5619235191227006
gene_177,62.313437691084836,44.944491539977186,17.36894615110765
gene_178,68.63248665511358,78.08454551425092,-9.452058859137338
gene_179,57.13117466277749,59.372971584622476,-2.241796921844987
gene_180,87.39243718830839,87.16569620059676,0.22674098771163642
gene_181,17.01448466062949,17.09653375211221,-0.08204909148272321
gene_182,58.045726619032855,59.76458131919966,-1.7188547001668013
gene_183,31.359233809405477,31.368402391467367,-0.009168582061889197
gene_184,59.155627591897364,59.154963387627404,0.0006642042699596118
gene_185,41.99057476089737,37.41668586523172,4.573888895665647
gene_186,67.90610043571436,67.86352892568311,0.04257151003125159
gene_187,16.763940280765688,17.38572853077464,-0.6217882500089509
gene_188,51.95466379687172,52.35157822924645,-0.3969144323747287
gene_189,37.03539520745938,34.16456857900862,2.8708266284507573
gene_190,75.92859630130867,75.09734978222558,0.8312465190830949
gene_191,67.33063356074426,57.23436887921483,10.096264681529433
gene_192,79.75304475362375,78.39651171368241,1.3565330399413398
gene_193,25.336636259165466,30.480722733449873,-5.144086474284407
gene_194,86.00946860662918,86.13498078484022,-0.12551217821103933
gene_195,31.504252547828465,42.403739108850495,-10.89948656102203
gene_196,77.79222817986101,78.79358361287753,-1.0013554330165135
gene_197,35.424756925447944,41.148096169057794,-5.72333924360985
gene_198,71.77275980899184,72.80229288068725,-1.0295330716954112
gene_199,19.58371396736661,20.57533928650053,-0.9916253191339202
gene_200,63.328626977482024,63.28411288233732,0.044514095144705834
gene_201,32.678329828517015,32.67936022813626,-0.001030399619246225
gene_202,63.500310369396594,63.62887322608112,-0.12856285668452472
gene_203,71.65129659498359,52.998831987991935,18.652464606991657
gene_204,80.62000759687402,81.34714842676227,-0.7271408298882562
gene_205,29.844825047600445,29.844837813304604,-1.2765704159534152e-05
gene_206,72.62055957543978,73.00422107753214,-0.3836615020923517
gene_207,51.99363456090084,38.08584181135091,13.907792749549927
gene_208,81.97772926215222,81.98691966662403,-0.009190404471809188
gene_209,119.5305767561865,64.84445274277444,54.68612401341207
gene_210,92.49028406255076,92.33901558013802,0.15126848241273194
gene_211,23.998973617259388,19.566553328305314,4.432420288954074
gene_212,55.48564352641091,55.49955783135913,-0.013914304948215772
gene_213,25.769365119025235,25.76916458460487,0.00020053442036527258
gene_214,52.01063122922391,52.01589844550149,-0.005267216277580644
gene_215,54.26572324538003,45.480445941199505,8.785277304180525
gene_216,69.97940772350798,69.86067186888002,0.11873585462795688
gene_217,58.60691345298719,57.42374096626867,1.1831724867185258
gene_218,93.38107774734442,93.37661921882852,0.004458528515897342
gene_219,37.106785114150775,53.54869964128112,-16.441914527130344
gene_220,87.8210010521607,87.88906942900937,-0.06806837684867162
gene_221,52.12778918818374,54.09835643123803,-1.9705672430542904
gene_222,81.65455036892536,81.66221424933056,-0.007663880405203827
gene_223,18.39809978247878,21.478559713678496,-3.080459931199716
gene_224,66.91089642454685,66.90176076645349,0.00913565809335637
gene_225,31.56266359283164,31.541997035284403,0.02066655754723712
gene_226,71.36153834125712,71.33209020711895,0.02944813413816405
gene_227,51.01239949628632,40.93619204958583,10.076207446700494
gene_228,77.93257911228578,78.00209876692887,-0.06951965464308785
gene_229,13.866562119371586,17.179173001767445,-3.312610882395859
gene_230,59.18200367882519,59.18402014916726,-0.00201647034207042
gene_231,29.633963161138308,29.63773840219374,-0.0037752410554325877
gene_232,81.23846719274202,81.26144948090176,-0.022982288159738573
gene_233,37.25349471937742,40.09922271358951,-2.8457279942120906
gene_234,80.96998113752791,80.97492089051018,-0.004939752982267009
gene_235,24.414923464488904,15.834254755402965,8.58066870908594
gene_236,76.23131354764222,76.23227774824198,-0.0009642005997676506
gene_237,29.248924099969543,31.470209197151718,-2.221285097182175
gene_238,76.16555738822302,76.24914006766002,-0.0835826794370007
gene_239,33.83710376808616,58.79144847737863,-24.95434470929247
gene_240,80.14968275768263,80.15290693214135,-0.003224174458722473
gene_241,19.854240003733427,19.851685465814736,0.002554537918690869
gene_242,84.12887643828414,83.20141633778454,0.9274601004996015
gene_243,32.61382583296271,34.17129986998866,-1.5574740370259477
gene_244,81.19698510541166,80.69601732899305,0.5009677764186051
gene_245,36.282057296826935,35.44995599068522,0.8321013061417162
gene_246,75.39981371867786,75.00801733210446,0.39179638657340377
gene_247,19.47227134658252,19.692148099286353,-0.21987675270383278
gene_248,50.900513819396025,51.1856237953462,-0.28510997595017784
gene_249,34.510311866140626,34.50861875224813,0.0016931138924931588
gene_250,33.20396209932131,68.61940436113075,-35.41544226180944
gene_251,34.45435753054987,52.2765906181782,-17.822233087628327
gene_252,73.743215841624,73.75058066764379,-0.007364826019795601
gene_253,29.712299855806137,29.70862260819715,0.003677247608987244
gene_254,91.64166684303386,93.59301044814396,-1.9513436051100967
gene_255,48.947553081298345,37.53626741375415,11.411285667544192
gene_256,88.6248385764507,93.1125326925692,-4.487694116118504
gene_257,68.76398139875161,61.18580758335354,7.578173815398074
gene_258,46.065421621034154,93.04382093465081,-46.978399313616656
gene_259,15.815179842035297,15.761964647156162,0.05321519487913484
gene_260,45.06982720056314,45.08675342533459,-0.01692622477145278
gene_261,28.44101097411259,28.469961572925417,-0.02895059881282691
gene_262,69.2004296862421,69.23412972625395,-0.03370004001185123
gene_263,35.218395742119974,44.27781496343724,-9.059419221317263
gene_264,78.3520336649012,78.85967807360515,-0.5076444087039533
gene_265,27.8795031582455,25.576646270156495,2.302856888089007
gene_266,97.8572767584212,97.85894878882628,-0.001672030405089231
gene_267,39.61772797631266,38.24587682332207,1.3718511529905868
gene_268,96.74961594932647,96.97141459482829,-0.2217986455018206
gene_269,29.667552199776384,49.612007025948394,-19.94445482617201
gene_270,91.91779319640997,91.91741099236114,0.0003822040488330458
gene_271,21.695546289879662,21.704359812747242,-0.008813522867580303
gene_272,60.03622881047863,56.57001026682919,3.4662185436494397
gene_273,29.439404833535185,29.438152952543053,0.0012518809921324703
gene_274,45.49060726493848,53.164687814020155,-7.674080549081673
gene_275,38.372735529824084,38.34752477627125,0.025210753552833864
gene_276,59.99035715691859,60.0844223931876,-0.0940652362690102
gene_277,17.923461741164836,16.10464955020244,1.8188121909623973
gene_278,30.967867044188733,30.88472423128571,0.08314281290302361
gene_279,38.23930269289356,34.475352923362934,3.763949769530626
