,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,16.468741281879588,38.71000326572008,-22.241261983840495
gene_2,19.430801590304178,43.19191962479463,-23.76111803449045
gene_3,0.9964996130504985,44.55403571976353,-43.55753610671304
gene_4,24.738094346279798,23.974859065255874,0.763235281023924
gene_5,11.579441976213085,19.9092794787167,-8.329837502503617
gene_6,41.658894373203495,6.6759470577929685,34.98294731541053
gene_7,14.488010761528175,30.98402253260031,-16.496011771072133
gene_8,28.014682432530513,35.91926010274908,-7.904577670218565
gene_9,15.104361936141535,33.170030216628454,-18.065668280486918
gene_10,20.602978921242475,41.09797333577677,-20.494994414534297
gene_11,65.68907838040465,7.375125966262248,58.313952414142406
gene_12,22.05319703376791,21.581138144588948,0.47205888917896033
gene_13,21.717310811018482,42.4068189223562,-20.68950811133772
gene_14,23.26580341373213,41.26795443010396,-18.002151016371833
gene_15,18.361450116244487,5.801043345045248,12.56040677119924
gene_16,18.02903859592733,50.86880005013852,-32.839761454211185
gene_17,17.674799544842642,5.11496055233138,12.559838992511263
gene_18,27.495700877193936,58.146962213139034,-30.651261335945097
gene_19,16.47233749757689,30.79127826835115,-14.318940770774258
gene_20,16.990371025457016,39.75931522710573,-22.768944201648715
gene_21,33.32427604069058,7.622061487218341,25.70221455347224
gene_22,70.45703134076271,14.87057174896147,55.586459591801244
gene_23,30.31716902245168,7.249794154177777,23.0673748682739
gene_24,13.141444443053176,61.91946734355945,-48.77802290050627
gene_25,16.128199955642113,38.61664290056261,-22.488442944920497
gene_26,19.94247093910011,50.62775314181246,-30.68528220271235
gene_27,13.198888687661306,47.654055361578465,-34.45516667391716
gene_28,42.54768954240424,46.14443809928508,-3.59674855688084
gene_29,15.744172520555445,6.120781772291679,9.623390748263766
gene_30,19.45521701014751,57.134684013670665,-37.67946700352316
gene_31,13.25728553041334,16.482348172036726,-3.2250626416233867
gene_32,77.61456867525919,54.232847519345924,23.38172115591327
gene_33,31.411820088208046,9.93732717529102,21.474492912917025
gene_34,25.477479730529776,60.799483347996414,-35.322003617466635
gene_35,17.96400156601028,7.555219445228161,10.408782120782117
gene_36,11.474340449099667,59.96569222507544,-48.49135177597577
gene_37,11.473897981431623,25.439820858614475,-13.965922877182852
gene_38,16.831206378968616,61.95451210530301,-45.123305726334394
gene_39,11.366315625318352,43.98038004390184,-32.61406441858349
gene_40,27.99020826192537,33.79552226391669,-5.8053140019913165
gene_41,28.27256555238061,46.25570048810464,-17.983134935724028
gene_42,18.007224246776893,50.78602215697936,-32.778797910202464
gene_43,17.794054280434725,35.229867013975785,-17.43581273354106
gene_44,46.44791370362783,47.40175473584444,-0.9538410322166087
gene_45,18.298028183059373,13.228852634259946,5.069175548799427
gene_46,22.53460709041008,59.201093373378086,-36.66648628296801
