,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,17.943306444123863,38.94999378388076,-21.006687339756894
gene_2,44.074348978947086,46.2557371310066,-2.1813881520595118
gene_3,24.625880162713585,43.551902045953106,-18.92602188323952
gene_4,203.69495970495856,48.90936660323093,154.78559310172764
gene_5,14.535784538233326,53.39589309053587,-38.86010855230255
gene_6,17.07771378528863,42.11792839822466,-25.040214612936033
gene_7,40.50504157259709,5.156379514752181,35.348662057844905
gene_8,12.434466959107,64.42414125810764,-51.98967429900064
gene_9,14.005860459034245,33.177084823084776,-19.17122436405053
gene_10,16.42732912920536,68.46314739701728,-52.03581826781192
gene_11,12.087098125352105,40.81724269493319,-28.730144569581086
gene_12,31.27482941747676,68.44270600303842,-37.167876585561665
gene_13,16.11351902465164,44.60518655804133,-28.49166753338969
gene_14,74.54706559338456,29.477711245023034,45.06935434836153
gene_15,58.24658141842996,7.875381555822469,50.37119986260749
gene_16,0.7854421779802788,79.88653169815359,-79.10108952017332
gene_17,30.526729938698963,30.756261647803854,-0.22953170910489007
gene_18,56.68331562161055,64.62275944844265,-7.939443826832104
gene_19,19.127338585496563,31.962644233509593,-12.83530564801303
gene_20,208.7389537739005,40.94354966896067,167.79540410493985
gene_21,29.179709763318037,35.271076883518425,-6.091367120200388
gene_22,184.28040362677896,49.06323899820672,135.21716462857225
gene_23,14.899502140815894,7.261417108478222,7.638085032337672
gene_24,69.63019587396175,69.41313522341254,0.21706065054921453
gene_25,16.55008663766178,31.13874953080572,-14.588662893143937
gene_26,151.3160455621561,31.039722747116723,120.27632281503936
gene_27,26.068631825810353,34.578935659080415,-8.510303833270061
gene_28,276.5856737536497,40.599531390589,235.9861423630607
gene_29,12.435848384120522,38.15818108390502,-25.7223326997845
gene_30,31.522440016338898,48.53050398082779,-17.00806396448889
gene_31,33.059060536205294,47.31715383462139,-14.258093298416092
gene_32,71.01286446168045,51.478409841613036,19.534454620067415
gene_33,23.246178396741627,42.09181461175909,-18.845636215017464
gene_34,180.107486967094,43.41612853377139,136.6913584333226
gene_35,17.316555423162463,6.918173469524136,10.398381953638326
gene_36,47.6871349553209,58.09981332293361,-10.412678367612713
gene_37,13.14152908156493,5.3205745602791685,7.820954521285761
gene_38,44.18252960910465,59.80526877116813,-15.622739162063482
gene_39,18.41089494505706,41.64677364422726,-23.2358786991702
gene_40,65.0858788930866,45.092589048136155,19.993289844950446
gene_41,29.09275749730456,12.821867183517979,16.27089031378658
gene_42,75.49222399843943,65.31079958398357,10.181424414455861
gene_43,32.50084934564997,30.142653950840465,2.3581953948095027
gene_44,252.26943765433688,33.83409767614645,218.43533997819043
gene_45,16.785450611308725,34.53909995380829,-17.753649342499564
gene_46,17.214547388818197,51.6937184909937,-34.479171102175506
gene_47,13.950259510833678,21.816500322271892,-7.866240811438214
gene_48,22.311630752475587,62.97564796411864,-40.664017211643056
gene_49,2.70865712378968,37.06397686641389,-34.35531974262421
gene_50,45.20696170180286,49.16125822952768,-3.9542965277248214
gene_51,13.749616285937032,40.270375227597754,-26.520758941660723
gene_52,175.0915452753122,46.35280733402254,128.73873794128966
gene_53,26.755539353953694,21.912294365512007,4.843244988441686
gene_54,26.251461388662438,62.66606165085597,-36.41460026219353
gene_55,9.32379299693278,3.8643890529614393,5.459403943971342
gene_56,54.56099256166186,51.56264349484378,2.9983490668180792
gene_57,11.668031377972389,47.80422183081939,-36.136190452846996
gene_58,32.57731078340724,66.16212350346272,-33.58481272005548
gene_59,18.991360274274452,11.371914258734536,7.619446015539916
gene_60,25.08867585339559,69.160598324874,-44.071922471478416
gene_61,10.770567389513483,7.9928607103390705,2.777706679174412
gene_62,59.53153230963599,69.67552329476305,-10.143990985127061
gene_63,23.496861491925237,6.81195396553015,16.684907526395087
gene_64,30.651571284525847,45.49862905569971,-14.847057771173862
gene_65,71.23794865015188,7.283942164406366,63.95400648574551
gene_66,29.975457251121334,66.50385557715028,-36.52839832602894
gene_67,14.764996847019926,13.930833819551705,0.8341630274682217
gene_68,83.34911295009849,60.34586622017322,23.003246729925266
gene_69,13.502628787342665,21.356242577272887,-7.853613789930222
gene_70,45.67668525162715,58.839989019928815,-13.163303768301667
gene_71,18.960679902069806,19.25106038506831,-0.29038048299850416
gene_72,0.34142905865286494,59.17148183188033,-58.830052773227465
gene_73,23.337017006097135,38.090622658617285,-14.75360565252015
gene_74,110.85049085055628,46.93603345739705,63.91445739315923
gene_75,17.63713418117445,10.100742780857372,7.536391400317077
gene_76,49.76203764660626,71.69934757263967,-21.937309926033407
gene_77,12.84110910235769,6.740840559820694,6.100268542536996
gene_78,20.303710029416983,63.730804709060465,-43.42709467964348
gene_79,14.484231076098615,16.208487751798497,-1.7242566756998823
gene_80,104.0951713230604,91.15958150831534,12.935589814745057
gene_81,15.98850945678135,40.761915933068565,-24.773406476287214
gene_82,103.5884613495526,61.026012110010804,42.5624492395418
gene_83,52.67837113008639,33.96963594977853,18.708735180307862
gene_84,22.371235748294357,62.612509958064955,-40.241274209770594
gene_85,14.228813370788998,36.61789114195365,-22.38907777116465
gene_86,16.201919822384635,53.96924126576261,-37.76732144337798
gene_87,16.552228502986498,43.54894433190328,-26.99671582891678
gene_88,20.761902746250932,50.53014247748193,-29.768239731231
gene_89,21.9011641290951,60.421958759607264,-38.520794630512164
gene_90,31.855721833846037,65.13455231907555,-33.27883048522952
gene_91,7.995605158783826,23.03293834681075,-15.037333188026922
gene_92,29.640734411722082,78.56140166106367,-48.92066724934159
gene_93,17.969384346853673,5.5967050787406185,12.372679268113053
gene_94,36.502953804352536,54.02832247667665,-17.525368672324113
gene_95,14.323028899613142,7.56582693061515,6.757201968997992
gene_96,53.57890067348315,68.33824933027888,-14.759348656795737
gene_97,36.36211034273103,23.84108113191738,12.521029210813648
gene_98,49.65828578435689,28.238382526064722,21.41990325829217
gene_99,17.502302591291464,4.7469881515641035,12.75531443972736
gene_100,40.19125069118346,59.59169702962126,-19.400446338437796
gene_101,16.01020303976011,23.009559766422235,-6.999356726662125
gene_102,26.03658259897665,39.64785543557242,-13.611272836595766
gene_103,10.307591605071817,5.919203104739063,4.388388500332754
gene_104,17.824843463409927,55.79425785094483,-37.969414387534904
gene_105,22.09851352801541,24.069487958110347,-1.9709744300949374
gene_106,89.85537473598364,63.82837209892573,26.02700263705791
gene_107,15.063516725750022,19.572819762324297,-4.509303036574275
gene_108,42.045053752320925,72.13194834868382,-30.086894596362896
gene_109,19.228553203462038,35.061406222828744,-15.832853019366706
gene_110,18.367655118633973,66.5970820129469,-48.22942689431292
gene_111,23.96826670072516,43.55525547260197,-19.58698877187681
gene_112,101.00506024726263,59.07870081340054,41.926359433862096
gene_113,18.908541223422436,6.408982375291501,12.499558848130935
gene_114,19.356799576866052,66.60429381866415,-47.247494241798094
gene_115,45.987652933152674,37.860844221853895,8.126808711298779
gene_116,33.503534530087286,52.920281580548846,-19.41674705046156
gene_117,34.7084614178912,13.720571942269352,20.98788947562185
gene_118,48.988241868870986,63.238446955141136,-14.25020508627015
gene_119,40.85477030278987,11.493182201776502,29.36158810101337
gene_120,24.943327498822196,71.02793388830524,-46.08460638948304
gene_121,18.186137782283343,28.51580804420016,-10.329670261916817
gene_122,207.3007254796167,36.3393630533718,170.96136242624488
gene_123,20.014992303509903,46.36686460058962,-26.35187229707972
gene_124,53.24952389274304,56.09424080912416,-2.844716916381117
gene_125,21.38325612162971,27.89058680026846,-6.507330678638748
gene_126,25.86770375013853,68.00291503314472,-42.135211283006186
gene_127,10.401780130689785,4.584436564613703,5.817343566076082
gene_128,18.767713982069196,62.257201813949536,-43.48948783188034
gene_129,9.358230521180689,32.47979080524526,-23.12156028406457
gene_130,21.053967083963535,68.32703588465252,-47.27306880068898
gene_131,10.850096273596673,41.324800779715,-30.474704506118325
gene_132,18.187744873616445,63.024961298863246,-44.8372164252468
gene_133,13.799664975783998,34.251362123165215,-20.451697147381218
gene_134,30.151317453115137,51.900707494477885,-21.749390041362748
gene_135,52.40260087050058,35.843570749122286,16.559030121378292
gene_136,26.77482732702871,58.276961611871826,-31.502134284843116
gene_137,28.57565869324574,46.11974510847155,-17.54408641522581
gene_138,37.795761818769336,58.211046043913015,-20.41528422514368
gene_139,9.460330108336143,10.279854813385752,-0.8195247050496093
gene_140,28.096785691920136,77.36067389625418,-49.26388820433405
gene_141,9.502537473631191,6.587614171851815,2.9149233017793765
gene_142,20.986085518606465,34.905229088025465,-13.919143569418999
gene_143,14.571400814026394,38.70318369222269,-24.131782878196294
gene_144,20.453643278924975,37.159201910402935,-16.70555863147796
gene_145,41.509692595338414,41.32229303769572,0.18739955764269212
gene_146,75.25000687133897,55.01843397222479,20.231572899114177
gene_147,60.26263582808004,44.10120151026825,16.161434317811796
gene_148,91.67729638104166,59.09620689811253,32.58108948292913
gene_149,13.106539715979146,5.7321752397133325,7.374364476265813
gene_150,17.799431010389487,43.61959833280823,-25.820167322418744
gene_151,12.756613526630884,36.08545941147955,-23.32884588484866
gene_152,41.2313960214108,61.938857017223185,-20.707460995812383
gene_153,46.81472581123301,7.588470518460245,39.22625529277276
gene_154,26.30064249016692,60.88647137540625,-34.58582888523934
gene_155,42.71231618644715,9.284499995487192,33.42781619095996
gene_156,35.25120025223236,31.750244958835843,3.5009552933965153
gene_157,77.74589743939754,18.62457972858893,59.12131771080861
gene_158,46.872963760260625,61.245441386839914,-14.37247762657929
gene_159,68.03607652272173,48.64319541711639,19.39288110560534
gene_160,56.76530453480039,64.14787845964986,-7.382573924849467
gene_161,13.906801560307624,7.1906237485526585,6.7161778117549655
gene_162,18.670451038534516,73.69450239882748,-55.024051360292965
gene_163,11.286810207750113,37.06692506143333,-25.780114853683216
gene_164,34.33289919068739,45.22657648639622,-10.893677295708827
gene_165,12.240136372141153,7.679389623409928,4.560746748731225
gene_166,21.793188328113178,48.49500510488444,-26.701816776771263
gene_167,62.78247524860206,6.351316380049431,56.43115886855263
gene_168,26.210960949259917,54.1534734097752,-27.942512460515285
gene_169,19.691397338278943,5.51311113570667,14.178286202572274
gene_170,31.558245316763458,57.17880380990836,-25.6205584931449
gene_171,16.728700847524436,42.22020975618767,-25.491508908663235
gene_172,30.670575866734808,57.38079263714526,-26.710216770410455
gene_173,12.783700864496687,6.922578398060474,5.861122466436213
gene_174,28.5720876199026,71.01833238369726,-42.44624476379465
gene_175,32.220599858437126,6.423330690551065,25.79726916788606
gene_176,31.588831614880103,53.40218865253217,-21.813357037652064
gene_177,2.308867570445281,28.68176492797739,-26.37289735753211
gene_178,22.004506775889276,72.19461349970268,-50.19010672381341
gene_179,13.198376046775065,5.045060311674895,8.15331573510017
gene_180,16.505450625726013,52.37604437779265,-35.87059375206664
gene_181,34.94609864395971,8.659687740607943,26.286410903351765
gene_182,18.72928169048693,60.849262503825976,-42.11998081333905
gene_183,25.421081462314177,31.963644877980123,-6.542563415665946
gene_184,23.889727629545447,57.48977364592013,-33.600046016374684
gene_185,18.288115814475702,39.710660513103036,-21.422544698627334
gene_186,32.452347049046566,57.94387727236953,-25.49153022332296
gene_187,25.024375725901134,41.724120917890886,-16.699745191989752
gene_188,19.3636791750813,49.62960204405836,-30.265922868977057
gene_189,18.86119165919966,43.28474630583431,-24.423554646634653
gene_190,22.217706100282417,57.148992464986335,-34.93128636470392
gene_191,24.178472240881714,15.673431724755737,8.505040516125977
gene_192,25.240513672387667,58.07558282299477,-32.8350691506071
gene_193,14.70504587824774,5.048666480284698,9.656379397963041
gene_194,26.613217561052426,83.23361711120245,-56.620399550150026
gene_195,35.503043877986975,9.391850395925951,26.111193482061026
gene_196,0.15138319762805152,35.7532462418496,-35.60186304422155
gene_197,45.371961677043934,18.355682831131976,27.01627884591196
gene_198,30.00557565812317,77.94668121870909,-47.94110556058592
gene_199,9.62842089731352,6.154965587021057,3.4734553102924624
gene_200,30.60140788498443,64.48461252099983,-33.88320463601541
gene_201,44.696934180829246,48.642405778235975,-3.94547159740673
gene_202,69.06560653665427,47.819100007443424,21.246506529210848
gene_203,33.767603795551814,55.750378482688795,-21.98277468713698
gene_204,24.888951692215304,49.1986087281969,-24.309657035981598
gene_205,38.74169336580902,41.490493030739906,-2.7487996649308855
gene_206,60.23026869733927,55.73134848494065,4.498920212398616
gene_207,19.423208075303418,36.839624748026374,-17.416416672722956
gene_208,172.58347901329714,44.95064726397207,127.63283174932506
gene_209,26.46624552990498,8.154360933927128,18.31188459597785
gene_210,18.79888228551356,88.0258242591575,-69.22694197364395
gene_211,11.406341191805243,5.5271762147744,5.879164977030843
gene_212,16.53489139655523,13.920475983897834,2.6144154126573973
gene_213,13.72529891530421,8.022941264181354,5.702357651122856
gene_214,0.11860578027495153,40.21931977745901,-40.10071399718406
gene_215,28.157787509666804,14.367053550091958,13.790733959574846
gene_216,21.981361759571744,52.98538131597309,-31.00401955640135
gene_217,28.843436725719904,7.821338097973242,21.02209862774666
gene_218,32.80634365165866,43.031973436164655,-10.225629784505998
gene_219,13.589503225932297,6.88444887858264,6.705054347349657
