,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,3.87138344537425,1.9273975380452975,1.9439859073289527
gene_2,6.679457342068822,10.353206392785967,-3.673749050717145
gene_3,1.6122265033004755,1.771631964849566,-0.15940546154909052
gene_4,6.509451608404989,10.881457422638771,-4.372005814233782
gene_5,6.318467624081099,10.620294891262823,-4.301827267181724
gene_6,8.160363670684994,17.285955586090854,-9.12559191540586
gene_7,3.52661960358673,0.11544599377067388,3.411173609816056
gene_8,9.34739929166857,7.597114564403488,1.7502847272650817
gene_9,4.323248862648991,4.0668689032420815,0.2563799594069094
gene_10,11.09406744139318,14.496838426117245,-3.4027709847240644
gene_11,6.612406728656642,7.958991074249251,-1.3465843455926096
gene_12,21.645649301630158,15.867401315501054,5.778247986129104
gene_13,3.599735814958376,5.35983900699509,-1.760103192036714
gene_14,10.828248628079216,22.29149949045787,-11.463250862378654
gene_15,10.986630425482863,4.916110916058311,6.070519509424552
gene_16,9.149807161811768,19.607666990610472,-10.457859828798703
gene_17,5.854666136886326,4.185931859156146,1.66873427773018
gene_18,8.3422104299034,17.645279873060403,-9.303069443157003
gene_19,5.028051699157952,2.9477972929865257,2.080254406171426
gene_20,5.7976889432178575,11.933663032164235,-6.135974088946377
gene_21,1.6418727209835513,1.96589968729924,-0.3240269663156887
gene_22,57.91910510519958,9.699526439102428,48.21957866609715
gene_23,10.277464195945928,9.684071384961253,0.5933928109846747
gene_24,13.01417355609203,13.97464194062881,-0.9604683845367799
gene_25,5.842536498761486,2.981674198279245,2.8608623004822413
gene_26,7.7266218604023305,10.988072812055423,-3.2614509516530923
gene_27,2.7182671202476216,2.91326151552754,-0.19499439527991846
gene_28,12.976294722313773,12.76881364382538,0.20748107848839226
gene_29,4.017374335491158,4.889212876542103,-0.8718385410509448
gene_30,28.729790206785914,16.58752210765266,12.142268099133254
gene_31,6.51286976166806,4.417528285219885,2.0953414764481755
gene_32,89.24317912797176,14.544123746792833,74.69905538117892
gene_33,2.746603196188339,2.8093010336026576,-0.06269783741431878
gene_34,12.087130053827515,13.693674433170917,-1.6065443793434024
gene_35,5.637747858916183,7.243322965384925,-1.6055751064687422
gene_36,181.87089132796538,17.759003734740688,164.1118875932247
gene_37,8.14520445064492,3.917755384573377,4.227449066071543
gene_38,10.444787032725328,21.21163224277367,-10.766845210048343
gene_39,5.3230695636161744,3.3492861280432593,1.9737834355729151
gene_40,12.15507361250454,19.815198387637626,-7.660124775133086
gene_41,5.299025517878956,5.206041650817561,0.09298386706139539
gene_42,9.769695412727087,21.76860664756221,-11.998911234835122
gene_43,4.40480339200455,3.6382153657207383,0.7665880262838116
gene_44,14.595732480204937,22.47587931661222,-7.880146836407285
gene_45,5.049048164940509,3.151154383468643,1.8978937814718662
gene_46,11.847244802127793,20.076001520659517,-8.228756718531724
gene_47,11.192987671753832,8.448692794781845,2.7442948769719866
gene_48,14.689199921745688,19.62963737326295,-4.94043745151726
gene_49,6.005866721261005,7.2802905804128795,-1.2744238591518746
