,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
FBgn0000003,-11.45455797561734,-11.454128896223605,-0.00042907939373648674
FBgn0000008,-20.419972660903184,-51.58066826799252,31.160695607089337
FBgn0000014,-9.007350321027019,-54.45368568517926,45.44633536415224
FBgn0000015,-20.68948349505763,-40.122539175402174,19.433055680344538
FBgn0000017,-6.891058741947397,-18.298687076561144,11.407628334613747
FBgn0000018,3.781313724213156,-25.80983758931233,29.591151313525486
FBgn0000022,-28.57195209630132,-46.204956855315494,17.633004759014174
FBgn0000032,-6.260697268371133,-44.37379297042866,38.113095702057535
FBgn0000042,23.77235931406318,17.167239141420332,6.605120172642849
FBgn0000043,32.88033445761431,8.785591223322816,24.094743234291485
FBgn0000045,-28.645940067937808,-28.164253505729288,-0.4816865622085196
FBgn0000046,-12.549457228912287,-32.81165200352634,20.26219477461405
FBgn0000047,-9.046137694687957,-9.046138620325756,9.256377992983288e-07
FBgn0000052,0.15656075814909087,-42.543562440838755,42.70012319898785
FBgn0000053,-1.8306243727864384,-28.266418219493712,26.43579384670728
FBgn0000057,-1.230950975249819,-37.71744653018115,36.486495554931324
FBgn0000063,-4.7730117881146015,-46.207643662482255,41.434631874367646
FBgn0000064,-4.564504395753197,-8.592334030113854,4.027829634360657
FBgn0000071,-13.091850413699095,-74.39664583188267,61.30479541818357
FBgn0000075,0.5058087206360469,-42.73611177654155,43.2419204971776
FBgn0000077,-6.154195992017506,-22.491453951995943,16.337257959978434
FBgn0000083,22.033061507350357,20.80701010992563,1.2260513974247331
FBgn0000084,-16.530180999272158,-55.70545762509841,39.17527662582626
FBgn0000097,-17.234778463481927,-22.352242666301503,5.11746420281958
FBgn0000100,-6.017214313338165,-6.017200862040538,-1.3451297625977075e-05
FBgn0000108,-5.365300005507784,-14.290325426219773,8.925025420711991
FBgn0000109,23.97377919822895,23.271379011042427,0.7024001871865195
FBgn0000114,-19.004794091367298,-64.30734361934024,45.302549527972936
FBgn0000115,22.736244433294672,17.358335287861017,5.377909145433655
FBgn0000116,-13.360793158048962,-53.003172661797784,39.64237950374883
FBgn0000117,13.546219197569272,-16.182936537122806,29.72915573469208
FBgn0000119,20.29175504381309,-5.690888158338318,25.982643202151408
FBgn0000139,25.494992097098237,-2.1824606646441964,27.67745276174243
FBgn0000140,6.702460814198595,-24.241039753151927,30.943500567350522
FBgn0000146,6.959135522732866,3.5562325625226165,3.4029029602102483
FBgn0000147,-3.49937377355846,-45.91974794185046,42.420374168292
FBgn0000150,-6.490103270664122,-15.088795643343914,8.598692372679793
FBgn0000152,1.633138907639875,-14.15352956857607,15.786668476215947
FBgn0000157,-9.941674821443877,-56.2447768695496,46.30310204810573
FBgn0000158,-8.296718532422616,-42.62207375474009,34.32535522231747
FBgn0000163,14.383422405381596,-16.32767678458964,30.711099189971236
FBgn0000166,-38.55997442123153,-64.85656006108613,26.2965856398546
FBgn0000173,11.24049437261226,3.237108070675859,8.003386301936402
FBgn0000180,-23.437692303360507,-73.88649197053692,50.44879966717642
FBgn0000181,19.64400765478075,7.978789238875599,11.665218415905152
FBgn0000183,4.54059891808258,-47.91396650388892,52.4545654219715
FBgn0000212,-8.440359660587108,-14.549529686271631,6.109170025684527
FBgn0000216,-23.121789598783803,-49.07488095722304,25.953091358439234
FBgn0000221,-5.711697625862997,-6.43577250880945,0.7240748829464536
FBgn0000227,-21.011928495965837,-59.43000384645733,38.41807535049149
FBgn0000228,-9.215455660293069,-45.22013915527411,36.004683494981045
FBgn0000229,-3.9805775082345964,-33.20337676040949,29.22279925217489
FBgn0000233,-17.25443699636436,-57.70251822224185,40.44808122587749
FBgn0000239,3.9653875258912015,-19.553433016196852,23.51882054208805
FBgn0000244,-14.323121329550107,-45.33021575799759,31.007094428447484
FBgn0000246,-1.951821176506897,-25.91774524087883,23.96592406437193
FBgn0000247,1.1988943880105578,-41.93721613872653,43.13611052673708
FBgn0000250,19.776210972232285,8.24330492333614,11.532906048896143
FBgn0000251,-7.585522227501983,-45.45577463345467,37.870252405952705
FBgn0000253,12.081764836374854,4.5729958783500715,7.508768958024781
