,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
FBgn0000008,-25.08915113649662,-86.55664469084269,61.46749355434606
FBgn0000014,-48.772741141277024,-201.70217541681018,152.92943427553317
FBgn0000015,-17.633743761721895,-38.59144150296723,20.957697741245333
FBgn0000097,-51.79634892484196,-374.47402664789735,322.6776777230553
FBgn0000108,-36.65931940071835,-34.43598769485267,-2.2233317058656823
FBgn0000114,-72.39602074946619,-77.25723244399688,4.861211694530695
FBgn0000117,-85.94630620915663,-364.6159089838871,278.6696027747305
FBgn0000119,-97.7649378567898,-532.818821657178,435.0538838003882
FBgn0000157,-50.76279642888411,-229.88712445915107,179.12432803026695
FBgn0000163,-101.52942164543578,-364.3820503927954,262.85262874735963
FBgn0000179,-78.82470717823186,-80.00007117753225,1.1753639993003873
FBgn0000180,-116.91906656300124,-794.6951129840609,677.7760464210596
FBgn0000183,-20.748609416622337,-23.556637653576587,2.8080282369542497
FBgn0000228,-53.54902308478489,-151.3873388647835,97.8383157799986
FBgn0000239,-23.912730685746695,-29.02925705278988,5.1165263670431855
FBgn0000250,-90.60028122094114,-304.33129719252963,213.73101597158848
FBgn0000251,-105.58568186211399,-175.42243534854805,69.836753486434
FBgn0000253,-33.80690361321519,-47.56997534210193,13.763071728886736
FBgn0000256,-27.803854648710704,-38.362554971699296,10.5587003229886
FBgn0000259,-31.618659062097176,-45.2519665559149,13.633307493817725
FBgn0000273,-49.261697921467025,-132.31410601782054,83.0524080963535
FBgn0000283,-55.38850184109918,-77.36863067448891,21.980128833389724
FBgn0000289,-55.294016844981925,-185.68948792028053,130.3954710752986
FBgn0000308,-56.060172050279434,-127.42670195698156,71.36652990670213
FBgn0000319,-24.858446091305538,-33.75764401320457,8.899197921899027
FBgn0000320,-30.059779899930078,-68.52679955481611,38.467019654886016
FBgn0000370,-51.708039960801784,-158.47162516612843,106.76358520532663
FBgn0000384,-39.50431589551979,-132.92809355521194,93.42377765969219
FBgn0000394,-17.23766195656649,-22.20647913096445,4.968817174397962
FBgn0000395,-94.2289835492505,-445.03491974630384,350.80593619705337
FBgn0000404,-77.76699369392156,-345.63582386982256,267.868830175901
FBgn0000414,-30.126359126856908,-44.52527335632811,14.398914229471204
FBgn0000416,-28.37461253789109,-43.632934832983246,15.258322295092144
FBgn0000439,-42.81400242718637,-158.5496543137745,115.73565188658813
FBgn0000459,-27.039971112532363,-43.04538853037785,16.00541741784547
FBgn0000463,-114.65080369296024,-628.2420556657627,513.5912519728023
FBgn0000479,-77.35628021941145,-194.71791176153053,117.3616315421191
FBgn0000489,-98.82647157144916,-206.69595476925326,107.86948319780413
FBgn0000490,-65.37263747027649,-130.41659198105464,65.04395451077815
FBgn0000492,-17.016712950416924,-36.17420728887545,19.157494338458527
FBgn0000536,-28.285012063308702,-44.208319289977474,15.923307226668785
FBgn0000542,-121.26234250818077,-429.634708897392,308.3723663892112
FBgn0000546,-83.37275330544121,-275.9459487609803,192.573195455539
FBgn0000547,-136.28512443944072,-505.53396222346396,369.2488377840233
FBgn0000557,-17.300118559505957,-15.606780675584279,-1.693337883921675
FBgn0000559,-125.13318929964464,-145.25187574507956,20.118686445434925
FBgn0000568,-16.451357102629025,-18.26770995664151,1.8163528540124856
FBgn0000575,-73.13444593621921,-197.70557057306053,124.57112463684132
FBgn0000577,-14.0314667167308,-28.890702454497024,14.859235737766225
FBgn0000578,-85.60297507520956,-359.91309535253265,274.3101202773231
FBgn0000581,-33.932889520234696,-45.65750564151145,11.724616121276753
FBgn0000633,-100.0432497962939,-376.0921280332964,276.04887823700244
FBgn0000635,-58.491878148420724,-148.9549180992826,90.46303995086186
FBgn0000636,-36.70503776699688,-87.88422417525965,51.17918640826278
FBgn0000662,-59.07479875658154,-58.490522976760104,-0.5842757798214393
FBgn0000667,-52.05938237682325,-166.26889417238976,114.20951179556653
FBgn0000711,-34.05140863915478,-48.76880308166232,14.717394442507539
FBgn0000719,-62.03276318928114,-547.4613860189431,485.4286228296621
FBgn0000721,-80.84486994331834,-91.01209041405693,10.167220470738584
FBgn0000723,-112.95548277054512,-290.4888599170984,177.53337714655328
FBgn0000996,-25.796175768529938,-47.85156344860205,22.05538768007211
FBgn0001075,-29.625641872517747,-80.67793475414004,51.052292881622286
FBgn0001085,-91.19600359576107,-677.7680084988293,586.5720049030682
FBgn0001090,-99.24324397258671,-349.87916601762987,250.63592204504317
FBgn0001104,-73.1524979384263,-196.48422385343346,123.33172591500715
FBgn0001122,-51.23778224802595,-121.2002118430435,69.96242959501755
FBgn0001123,-34.588641807268644,-61.1257043956418,26.537062588373157
FBgn0001128,-17.521490917466608,-20.4351893205376,2.913698403070992
FBgn0001138,-64.89594286599288,-364.6122288273505,299.71628596135776
FBgn0001139,-47.44231422672246,-88.90855344363396,41.46623921691149
FBgn0001148,-15.472404518718765,-36.554533340674844,21.08212882195608
FBgn0001168,-51.607702877076214,-94.44919293681,42.84149005973378
FBgn0001180,-56.60168209420175,-66.39064436905525,9.788962274853516
FBgn0001189,-20.86828246295836,-30.415440286182328,9.547157823223973
FBgn0001197,-37.81496441599472,-55.03926806408878,17.224303648094054
FBgn0001215,-50.180876659510794,-121.43235400116899,71.25147734165819
FBgn0001222,-46.82031240502041,-82.53186111185178,35.71154870683137
FBgn0001235,-142.48153773844808,-407.8892497920777,265.40771205362967
FBgn0001250,-57.78686039403698,-409.7032711374472,351.9164107434102
FBgn0001257,-35.430206192159204,-65.13520347647533,29.70499728431613
FBgn0001258,-20.70759685597419,-20.509490644933656,-0.19810621104053536
FBgn0001269,-54.44844953876072,-74.86350330214795,20.41505376338721
FBgn0001296,-28.654470855018012,-52.832452234784746,24.17798137976673
FBgn0001297,-53.67472133630124,-197.37305875506658,143.6983374187653
FBgn0001301,-44.436500646630286,-50.556611629957274,6.120110983326974
FBgn0001308,-21.804320430879496,-21.659778054353808,-0.14454237652568835
FBgn0001316,-102.32670387779793,-582.1301979726152,479.8034940948172
FBgn0001319,-30.81379322783483,-137.4524925557655,106.6386993279307
FBgn0001320,-36.02706947462656,-49.172775293137896,13.145705818511324
FBgn0001323,-77.25674356192026,-376.9225900115308,299.66584644961057
FBgn0001325,-43.02375167296049,-50.16846100818773,7.144709335227232
FBgn0001404,-46.296963124643966,-92.01701371789876,45.7200505932548
FBgn0001624,-84.68822324134135,-228.35968915904468,143.6714659177034
FBgn0001942,-51.49231440803463,-96.87448981728953,45.38217540925489
FBgn0001991,-14.46393596012939,-24.838633862671713,10.374697902542325
FBgn0001994,-94.43331470955304,-438.47194952166575,344.03863481211266
FBgn0002121,-59.988913249378214,-172.81462699763068,112.82571374825248
