FBgn,I11_1_F,I12_1_F,I13A_1_F,I13B_1_F,I14A_1_F,I14B_1_F,I14C_1_F,I14D_1_F,I14E_1_F,ICF_1_F,I11_2_F,I12_2_F,I13A_2_F,I13B_2_F,I14A_2_F,I14B_2_F,I14C_2_F,I14D_2_F,I14E_2_F,ICF_2_F,I11_3_F,I12_3_F,I13A_3_F,I13B_3_F,I14A_3_F,I14B_3_F,I14C_3_F,I14D_3_F,I14E_3_F,ICF_3_F
FBgn0000008,0,0,0,0,0,0,0,1,6,7,0,0,0,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,9,8
FBgn0000014,0,0,0,0,0,1,7,8,19,29,0,0,0,0,0,0,5,10,19,51,0,0,0,0,0,2,7,10,15,22
FBgn0000015,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,1
FBgn0000097,0,0,0,0,0,1,7,16,43,35,0,0,0,0,0,0,6,30,52,57,0,0,0,0,0,2,7,25,41,59
FBgn0000108,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,2,2,0,0,1,2,0,1,1,0,1,1
FBgn0000114,5,6,6,6,7,8,8,7,10,10,4,4,6,5,7,7,9,7,12,12,4,5,5,4,5,10,9,10,14,13
FBgn0000117,0,0,0,2,11,66,53,47,41,32,0,0,0,6,13,35,52,48,42,40,0,0,0,5,19,52,54,47,46,27
FBgn0000119,0,0,0,4,12,80,112,100,104,85,0,0,0,3,14,41,118,105,108,101,0,0,0,3,10,91,118,112,111,125
FBgn0000157,0,0,0,0,0,0,13,15,19,15,0,0,0,0,0,0,12,19,21,21,0,0,0,0,0,0,10,18,20,25
FBgn0000163,0,0,0,3,12,77,107,83,76,52,0,0,0,8,14,40,98,76,102,73,0,0,1,6,18,91,114,124,91,83
FBgn0000179,10,9,4,5,11,7,5,4,7,4,5,5,11,11,13,7,7,4,8,12,8,2,4,9,7,14,9,4,8,5
FBgn0000180,0,0,3,62,79,183,140,115,99,97,0,0,5,43,95,153,132,104,95,105,0,0,5,42,125,153,147,119,100,107
FBgn0000183,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3
FBgn0000228,0,0,1,18,16,10,2,2,1,0,0,0,1,8,17,10,2,1,0,0,0,0,0,12,18,7,3,1,1,1
FBgn0000239,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,2
FBgn0000250,0,2,2,7,9,33,42,39,46,30,0,0,2,9,10,17,44,46,48,36,0,1,2,6,16,32,50,56,50,61
FBgn0000251,1,2,6,38,36,62,26,17,14,11,0,0,5,65,47,69,19,11,15,12,1,1,7,25,39,77,26,15,10,18
FBgn0000253,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,1,1,0,3,4,0,0,0,0,0,3,2,1,1,5
FBgn0000256,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,3,2,4
FBgn0000259,0,0,0,0,0,2,2,1,2,2,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,3,2,2,3,2
FBgn0000273,0,0,0,0,0,6,11,9,13,9,0,0,0,0,1,4,9,8,10,7,0,0,0,0,1,8,10,11,11,12
FBgn0000283,1,1,1,1,2,4,6,5,9,8,1,1,2,2,2,4,6,6,8,7,1,1,1,1,2,4,5,7,6,7
FBgn0000289,0,0,0,0,1,10,15,12,18,14,0,0,0,0,1,5,16,14,16,16,0,0,0,0,2,12,14,13,16,21
FBgn0000308,0,0,0,1,2,11,11,8,9,10,0,0,0,2,2,7,9,11,10,12,0,0,0,1,4,11,10,11,10,11
FBgn0000319,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,2,2,2
FBgn0000320,0,0,0,0,0,0,2,3,5,4,0,0,0,0,0,1,1,4,4,6,0,0,0,0,0,0,1,4,5,6
FBgn0000370,0,0,0,0,0,4,9,5,19,13,0,0,0,0,0,3,6,7,17,18,0,0,0,0,1,7,10,12,9,18
FBgn0000384,0,0,0,0,0,1,5,4,10,11,0,0,0,0,0,0,3,5,10,17,0,0,0,0,0,2,4,7,12,15
FBgn0000394,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0
FBgn0000395,0,0,1,12,13,42,73,55,60,50,0,0,1,8,16,36,54,59,72,67,0,0,1,8,18,51,74,66,58,64
FBgn0000404,0,0,0,3,6,41,32,33,32,32,0,0,0,3,7,31,33,38,30,41,0,0,0,3,13,34,31,33,35,36
FBgn0000414,0,0,0,0,0,1,3,2,2,1,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,2,2,2,2,3
FBgn0000416,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,1,1,2,3,3
FBgn0000439,0,0,0,0,0,0,7,9,15,10,0,0,0,0,0,1,6,13,13,12,0,0,0,0,0,1,8,13,14,17
FBgn0000459,0,0,0,0,0,1,2,2,3,1,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,3,3,2,1
FBgn0000463,0,0,0,2,9,245,226,196,207,188,0,0,0,3,12,93,209,203,225,286,0,0,0,2,11,237,254,205,243,293
FBgn0000479,3,2,1,2,3,7,22,12,30,21,0,0,1,1,1,5,13,16,45,35,0,0,0,1,2,13,16,21,27,37
FBgn0000489,0,0,0,5,11,85,64,72,35,27,0,0,0,9,13,41,55,32,36,14,0,0,1,4,9,69,66,67,34,55
FBgn0000490,0,0,1,10,11,17,11,8,4,3,0,0,2,7,16,16,10,6,4,5,0,0,1,8,14,15,10,7,3,4
FBgn0000492,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,1
FBgn0000536,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,1,2,2,4,2
FBgn0000542,0,2,6,35,72,170,114,99,104,87,0,1,12,58,90,114,120,106,104,106,0,1,11,42,86,147,139,128,100,73
FBgn0000546,2,3,2,2,2,5,21,14,43,44,1,1,3,2,2,3,18,30,59,69,1,2,1,2,2,7,18,37,47,89
FBgn0000547,0,0,1,17,45,283,533,466,415,333,0,0,2,15,60,135,537,432,513,402,0,0,2,14,48,323,588,578,465,661
FBgn0000557,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
FBgn0000559,53,67,69,111,88,97,119,110,115,138,63,82,85,79,94,114,102,98,97,109,71,73,72,99,111,92,95,89,97,101
FBgn0000568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1
FBgn0000575,0,0,0,5,4,10,21,14,23,14,0,0,0,4,4,6,12,18,21,18,0,0,0,5,7,11,18,20,25,27
FBgn0000577,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
FBgn0000578,0,0,0,0,5,55,67,55,54,37,0,0,0,2,7,26,66,58,66,45,0,0,0,0,4,59,75,56,58,70
FBgn0000581,0,0,0,0,1,2,4,1,1,1,0,0,0,0,0,1,2,1,2,2,0,0,0,0,1,2,2,3,2,3
FBgn0000633,0,0,1,4,8,28,75,55,138,114,0,0,1,4,10,12,53,109,176,141,0,0,1,4,8,49,70,106,146,258
FBgn0000635,1,1,0,1,3,1,3,3,15,15,0,1,1,1,1,1,3,7,18,40,1,0,0,0,0,1,3,5,17,19
FBgn0000636,0,0,0,0,0,1,2,1,6,3,0,0,0,0,0,0,1,2,11,15,0,0,0,0,0,1,2,2,7,13
FBgn0000662,3,3,2,2,3,4,5,2,3,2,1,0,1,3,1,2,3,3,3,3,1,1,1,2,2,4,5,4,5,7
FBgn0000667,0,0,0,0,0,5,10,8,12,15,0,0,0,0,0,3,9,10,16,23,0,0,0,0,0,8,10,10,16,11
FBgn0000711,0,0,0,0,1,2,2,1,3,2,0,0,0,0,1,2,3,2,3,3,0,0,0,0,0,2,2,2,3,2
FBgn0000719,0,0,0,0,1,8,29,39,66,50,0,0,0,0,1,5,22,44,71,66,0,0,0,1,2,7,19,46,64,50
FBgn0000721,8,9,6,5,9,9,10,9,15,11,3,4,8,10,5,4,9,10,14,16,5,5,5,7,5,10,13,15,16,17
FBgn0000723,0,0,1,13,18,117,144,129,76,66,0,0,2,8,19,65,132,113,91,53,0,0,2,8,13,138,163,127,93,112
FBgn0000996,0,0,0,0,0,2,2,3,3,3,0,0,0,0,0,1,3,2,4,3,0,0,0,0,0,1,2,2,3,4
FBgn0001075,0,0,0,0,0,1,1,2,3,6,0,0,0,0,0,0,1,1,5,11,0,0,0,0,0,0,1,2,6,9
FBgn0001085,0,1,0,4,7,25,43,57,140,153,0,1,1,1,7,10,51,89,157,194,0,0,0,2,5,28,47,99,141,247
FBgn0001090,0,1,2,23,63,104,48,46,21,14,0,0,6,31,75,111,51,24,19,7,0,1,7,28,68,72,50,27,16,10
FBgn0001104,0,0,0,3,5,27,19,13,17,13,0,0,0,3,4,16,22,17,19,18,0,0,0,3,8,27,21,20,16,23
FBgn0001122,0,0,0,0,2,5,9,6,8,6,0,0,0,0,1,3,12,8,10,6,0,0,0,0,1,11,9,11,10,10
FBgn0001123,0,0,0,0,0,2,4,2,3,2,0,0,0,0,0,0,2,3,4,3,0,0,0,0,0,2,3,5,4,5
FBgn0001128,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1
FBgn0001138,0,0,0,0,0,1,34,32,62,53,0,0,0,0,0,0,16,57,75,72,0,0,0,0,0,1,23,59,75,98
FBgn0001139,0,0,0,1,1,4,6,6,6,5,0,0,0,1,1,1,6,5,6,7,0,0,0,1,1,5,6,7,7,9
FBgn0001148,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1
FBgn0001168,0,0,0,3,0,6,8,6,5,3,0,0,0,0,0,2,7,8,5,1,0,0,0,0,0,8,8,7,5,4
FBgn0001180,0,0,1,5,5,4,2,2,3,2,0,0,1,3,4,5,1,2,3,2,0,0,1,4,7,3,2,3,6,5
FBgn0001189,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2,1
FBgn0001197,0,0,0,1,1,2,2,2,3,4,0,0,0,1,1,2,2,3,3,4,0,0,0,0,0,1,2,3,4,4
FBgn0001215,0,0,0,0,1,6,8,6,10,8,0,0,0,1,1,3,9,7,10,10,0,0,0,0,1,6,9,7,13,13
FBgn0001222,0,0,0,1,1,5,7,5,4,6,0,0,0,1,1,5,7,5,6,4,0,0,0,1,2,5,6,6,6,5
