,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
FBgn0000003,-12.04303451279619,-11.454128895776346,-0.5889056170198472
FBgn0000008,-20.419972660897788,-51.580668267788546,31.160695606890755
FBgn0000014,-9.007350328335669,-54.453685685015564,45.44633535667989
FBgn0000015,-19.377524618650405,-40.122539175465995,20.745014556815573
FBgn0000017,-6.891058741950643,-18.29868707656588,11.407628334615236
FBgn0000018,3.781313724116053,-25.80983758931439,29.591151313430448
FBgn0000022,-28.571952096522736,-46.20495685530586,17.633004758783137
FBgn0000032,-6.4827170087280175,-44.37379297043005,37.89107596170203
FBgn0000042,23.772359314057994,17.167239141423856,6.6051201726341375
FBgn0000043,32.880334457612484,8.785591223175203,24.094743234437274
FBgn0000045,-28.04021819258761,-28.164253505544966,0.1240353129573606
FBgn0000046,-12.549457228908956,-32.81165200344402,20.262194774535057
FBgn0000047,-9.04613840279103,-9.046137722867067,-6.799239642418796e-07
FBgn0000052,0.6314435121479818,-42.54356246496501,43.175005977112995
FBgn0000053,-1.8306243727625715,-28.266418219464818,26.43579384670225
FBgn0000057,-1.2309509752447667,-37.71744653017896,36.48649555493419
FBgn0000063,-4.77301178811387,-46.20764366495161,41.43463187683774
FBgn0000064,-4.564504395424387,-8.592334030664459,4.0278296352400735
FBgn0000071,-13.091850414556577,-74.39664583087401,61.30479541631743
FBgn0000075,-1.6980940887949174,-42.7361117717944,41.038017682999474
FBgn0000077,-5.8382806414536725,-22.491453951987943,16.65317331053427
FBgn0000083,22.033061507372924,20.80701010990532,1.2260513974676002
FBgn0000084,-16.53018099928922,-55.705457625024245,39.175276625735016
FBgn0000097,-17.093250804842288,-22.352242667612,5.258991862769708
FBgn0000100,-6.017287089118013,-6.017200862040781,-8.622707723304757e-05
FBgn0000108,-5.365300005703431,-14.290325426219797,8.925025420516366
FBgn0000109,23.973779198510908,23.271379011129557,0.7024001873813575
FBgn0000114,-19.004794091411757,-64.30734361991048,45.30254952849872
FBgn0000115,22.736244433294306,17.358335287954347,5.377909145339956
FBgn0000116,-13.36079315800502,-53.003172661660614,39.6423795036556
FBgn0000117,13.546219197551943,-16.18293653713398,29.72915573468592
FBgn0000119,20.291755086684734,-5.690888158341849,25.982643245026587
FBgn0000139,25.494992097011085,-2.182460664410584,27.67745276142167
FBgn0000140,6.7024608141263045,-24.241039753161758,30.943500567288066
FBgn0000146,6.959135522202601,3.556232562524883,3.4029029596777183
FBgn0000147,-3.4993737735430277,-45.91974794185076,42.42037416830773
FBgn0000150,-6.4901032706558075,-15.08879564334655,8.598692372690742
FBgn0000152,1.6331389076117018,-14.153529568579133,15.786668476190831
FBgn0000157,-7.111627031452485,-56.244776872378104,49.133149840925604
FBgn0000158,-8.296718532439776,-42.62207375470895,34.325355222269174
FBgn0000163,14.383422405270471,-16.32767678517149,30.711099190441967
FBgn0000166,-34.482285764648225,-64.85656006106683,30.374274296418605
FBgn0000173,11.24049437262307,3.2371080706766837,8.003386301946385
FBgn0000180,-22.0340341574738,-73.886491970183,51.852457812709204
FBgn0000181,19.64400764701459,7.978789238875733,11.665218408138854
FBgn0000183,4.540598918046513,-47.91396650389484,52.454565421941346
FBgn0000212,-8.440359664149952,-14.549529688006851,6.109170023856901
FBgn0000216,-23.12178959878273,-49.07488095717541,25.953091358392676
FBgn0000221,-8.449259474285014,-6.435772508808029,-2.013486965476986
FBgn0000227,-17.690389282683014,-59.430003846421286,41.73961456373827
FBgn0000228,-9.215455659294905,-45.220139155150605,36.00468349585569
FBgn0000229,-3.4295783531731274,-33.20337676040907,29.773798407235947
FBgn0000233,-18.990208089760593,-57.702518222421716,38.712310132661116
FBgn0000239,3.965387525948408,-19.553433016211034,23.518820542159446
FBgn0000244,-12.321209432345462,-45.33021575802889,33.00900632568343
FBgn0000246,-1.951821176438699,-25.91774524270009,23.965924066261397
FBgn0000247,1.1988943880077871,-41.937216138718206,43.136110526726
FBgn0000250,19.776210972196104,8.243304923340496,11.532906048855608
FBgn0000251,-5.718402371400899,-45.45577464360793,39.73737227220703
FBgn0000253,12.081764836313054,4.572995878342502,7.508768957970552
FBgn0000256,-15.862865903161525,-49.49226685797714,33.62940095481561
FBgn0000257,-3.1700003919324478,-12.715028123963377,9.545027732030931
FBgn0000259,2.8199721277920697,-20.279492897034935,23.099465024827005
FBgn0000261,-16.679132778118465,-17.033271453760875,0.3541386756424103
FBgn0000273,14.866024203288198,4.353246156296463,10.512778046991734
FBgn0000274,-4.789320605568875,-5.583070432034226,0.7937498264653513
FBgn0000283,33.828769707597274,-1.5840241393378918,35.41279384693517
FBgn0000286,-9.011782949660061,-47.586520524302045,38.57473757464199
FBgn0000289,19.237090055503074,18.6148233432294,0.6222667122736779
FBgn0000307,-7.511965053251856,-10.554294242098386,3.0423291888465296
FBgn0000308,17.365154296226073,1.4325810272879735,15.9325732689381
FBgn0000316,32.273729957693675,2.2623657798648797,30.011364177828803
FBgn0000317,-5.3154315299111365,-16.269679759330682,10.954248229419544
FBgn0000318,21.1038594562062,20.93653651927798,0.16732293692822253
FBgn0000319,14.177134698158412,9.15233646398068,5.024798234177731
FBgn0000320,-3.8286947441805173,-51.42090226060941,47.59220751642889
FBgn0000326,-11.001453240764675,-11.982362950788085,0.9809097100234077
FBgn0000330,2.8470068600677507,-14.230289676328285,17.077296536396037
FBgn0000339,19.639128526736283,2.3228834681091257,17.316245058627153
FBgn0000346,2.7527236524547547,-24.557663688372088,27.310387340826846
FBgn0000351,-20.668443910894197,-48.66534199097422,27.996898080080022
FBgn0000352,21.19629069053361,2.4576095691692714,18.738681121364337
FBgn0000370,6.610732392487223,-7.145649792542932,13.756382185030155
FBgn0000376,3.590626270968265,-29.359093422433084,32.94971969340135
FBgn0000377,5.882770662172162,-9.960233344311078,15.84300400648324
FBgn0000382,-9.806926113283154,-54.25089587524062,44.44396976195746
FBgn0000384,-5.7794929806152675,-28.956511798329586,23.17701881771432
FBgn0000394,-6.895265425047015,-24.63943781226321,17.744172387216196
FBgn0000395,-18.77625190112176,-65.56388597039563,46.787634069273885
FBgn0000404,0.8752526586893197,-21.92084881514872,22.79610147383804
FBgn0000405,4.313539091464833,-35.84745629699935,40.16099538846419
FBgn0000411,-25.837919525647308,-68.19999722758506,42.36207770193775
FBgn0000412,24.23275741337707,-5.219901295644597,29.452658709021673
FBgn0000414,5.144901410666812,1.516061311401856,3.628840099264956
FBgn0000416,8.286050032741691,8.286081859194754,-3.18264530605461e-05
FBgn0000426,19.47610911625785,12.775517118979161,6.700591997278693
FBgn0000439,-7.184403924845037,-58.36361677896079,51.179212854115754
FBgn0000447,9.011858117353695,-10.083968134239306,19.095826251593003
FBgn0000449,-6.6189143886457416,-68.51642113078475,61.89750674213901
FBgn0000454,-13.314542126028636,-51.592032685831775,38.277490559803134
FBgn0000455,12.481385652363274,-10.616792101330967,23.098177753694237
FBgn0000459,-7.939448453928358,-52.73965866340424,44.80021020947589
FBgn0000463,-6.75865933113338,-31.211739757593236,24.453080426459856
FBgn0000464,-3.242211306622877,-9.536240974753987,6.2940296681311105
FBgn0000477,-8.276360100450674,-44.85120182761413,36.57484172716345
FBgn0000479,2.0840676038320893,-29.4097276491174,31.49379525294949
FBgn0000482,13.566059783310068,2.5773444012582445,10.988715382051824
FBgn0000489,-19.899849463465568,-63.27483706270067,43.374987599235105
FBgn0000490,-4.090025316240492,-58.506225940946656,54.41620062470616
FBgn0000492,-20.309653487719,-38.1301909801863,17.820537492467302
FBgn0000499,7.015263061013358,-7.685976998355706,14.701240059369063
FBgn0000520,-8.317659157149848,-18.951769131188872,10.634109974039022
FBgn0000524,-1.0292190834801789,-38.12884012921885,37.09962104573867
FBgn0000533,17.070659359817032,0.821410769839126,16.249248589977903
FBgn0000536,-0.5338785231161225,-24.0473065143507,23.51342799123458
FBgn0000541,6.497886739350313,7.196129910738442,-0.6982431713881283
FBgn0000542,-17.824546307736863,-68.10514688337474,50.280600575637884
FBgn0000543,13.07104431976581,3.0742847067759485,9.996759612989862
FBgn0000546,-0.0652988470699043,-34.85584378402532,34.790544936955406
FBgn0000547,0.2753967048694648,-21.65762789582088,21.93302460069034
FBgn0000557,-9.066612680446477,-51.31610334473782,42.24949066429133
FBgn0000559,33.902377891692595,15.471891395085542,18.430486496607053
FBgn0000562,-17.28886878247328,-60.03772139395755,42.748852611484274
FBgn0000565,-13.295782933282302,-39.42625004524521,26.13046711196291
FBgn0000566,3.6384381319460464,-7.367718645000792,11.006156776946838
FBgn0000568,-26.165560874307946,-47.163177966563815,20.99761709225588
FBgn0000575,-9.986424583383462,-38.82279121494629,28.83636663156283
FBgn0000576,-10.778223741466237,-46.490939814780766,35.71271607331453
FBgn0000577,-25.285358016927066,-48.92745789624588,23.642099879318813
FBgn0000578,6.1703260791297145,-22.20980547397373,28.380131553103446
FBgn0000579,-13.461011758926153,-51.647764030190295,38.186752271264155
FBgn0000581,6.66796644378865,-0.4724049249724232,7.140371368761072
FBgn0000588,-9.119185649214373,-33.137346452090554,24.01816080287618
FBgn0000591,-13.723736553681528,-40.08973101452982,26.365994460848277
FBgn0000606,-12.717484647936814,-48.22653120409637,35.509046556159554
FBgn0000611,37.87274395565818,-1.536435084707776,39.40917904036596
FBgn0000615,-19.756217067428093,-53.58379652905803,33.82757946162994
FBgn0000617,-6.069960956921314,-14.512361372779706,8.442400415858389
FBgn0000618,16.425937548228738,10.899602850611934,5.526334697616804
FBgn0000629,-6.7974548931416265,-45.15470507489703,38.357250181755404
FBgn0000633,-12.28794804430824,-56.17030595550218,43.882357911193935
FBgn0000635,-23.45511858117556,-27.488747298420787,4.033628717245228
FBgn0000636,7.225503237018891,-19.42882639126333,26.654329628282227
FBgn0000658,-24.09196059575105,-57.52208385672411,33.430123260973055
FBgn0000659,-11.356449771156607,-59.6239665061674,48.267516735010794
FBgn0000662,16.48404521582924,5.281117557274733,11.20292765855451
FBgn0000667,11.9081560132647,-1.825753018485884,13.733909031750587
FBgn0000709,-9.948222033684717,-14.226389306520655,4.27816727283594
FBgn0000711,6.790139839455705,-15.60338527185991,22.39352511131561
FBgn0000719,-8.221311959527847,-32.09192670937723,23.87061474984939
FBgn0000721,2.266979233417153,-24.708462847330924,26.975442080748078
FBgn0000723,-17.63754734607763,-70.20048620046042,52.56293885438279
FBgn0000808,-11.535980338963617,-44.17364951415836,32.63766917519476
FBgn0000810,14.081050896268053,7.247038363916259,6.834012532351793
FBgn0000826,-7.7810030196313775,-51.01345253985661,43.23244952022523
FBgn0000927,-23.45222252455985,-61.64550327343443,38.19328074887457
FBgn0000928,-11.939932244840124,-12.865565478042086,0.925633233201964
FBgn0000996,-8.746877982250446,-12.569273425224779,3.822395442974333
FBgn0001075,-12.791003006656492,-65.36023513244966,52.56923212579317
FBgn0001077,-19.856098232489934,-58.36398511271574,38.5078868802258
FBgn0001078,-11.210965637886634,-45.10463122799447,33.89366559010783
FBgn0001079,6.496813584070679,1.7606542206989104,4.736159363371769
FBgn0001083,-7.412366928226072,-10.422714864913758,3.010347936687687
FBgn0001084,10.549749423155133,-4.8249628066481804,15.374712229803315
FBgn0001085,15.055485974405613,-0.5912000727261812,15.646686047131796
FBgn0001086,-0.6031769708400816,-11.998975943720206,11.395798972880122
FBgn0001087,-9.898155285239897,-46.747738247284296,36.84958296204441
FBgn0001090,-21.25581844703237,-66.55953067171886,45.3037122246865
