,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
FBgn0000008,-6.461048813337811,-39.24862284287949,32.78757402954168,0:00:00.598716,0
FBgn0000014,-14.046488767863373,-53.412491901030606,39.366003133167226,0:00:00.596016,0
FBgn0000015,-10.112098280168711,-24.65452648505547,14.542428204886761,0:00:00.580449,0
FBgn0000097,-9.725928550684204,-59.216373554431804,49.49044500374761,0:00:00.591606,0
FBgn0000108,-14.687514849879882,-16.71588032483312,2.0283654749532367,0:00:00.574437,0
FBgn0000114,7.820668532821977,-12.486897956090765,20.307566488912737,0:00:00.582159,0
FBgn0000117,-18.770116405487528,-60.74842307540632,41.978306669918794,0:00:00.582702,0
FBgn0000119,-16.618862196663258,-66.47210174015669,49.85323954349343,0:00:00.589773,0
FBgn0000157,-0.928562915627758,-55.060810640841645,54.13224772521389,0:00:00.556220,0
FBgn0000163,-22.246142762329303,-64.71477161465957,42.468628852330276,0:00:00.877971,0
FBgn0000179,-17.632312321958267,-17.632290887014076,-2.1434944191156546e-05,0:00:00.632846,0
FBgn0000180,-11.399258863028965,-65.33055222758462,53.93129336455566,0:00:00.588399,0
FBgn0000183,-10.275787723198256,-13.92930969504252,3.6535219718442633,0:00:00.564755,0
FBgn0000228,-22.348176683268008,-46.677082536216886,24.328905852948882,0:00:00.879971,0
FBgn0000239,-3.8652010738545,-14.446183303437085,10.580982229582585,0:00:00.621255,0
FBgn0000250,-13.52868453792588,-55.852113556547756,42.32342901862188,0:00:00.596435,0
FBgn0000251,-26.77235899154843,-51.781616814780605,25.009257823232176,0:00:00.593308,0
FBgn0000253,-12.441869466956744,-27.78527013799057,15.343400671033828,0:00:00.593781,0
FBgn0000256,-20.906517218637237,-26.629285393644462,5.722768175007218,0:00:00.581895,0
FBgn0000259,0.09931839779389406,-27.142516183300557,27.24183458109445,0:00:00.593689,0
FBgn0000273,-8.29999052229595,-48.410733499327314,40.11074297703137,0:00:00.574837,0
FBgn0000283,7.327495448030027,-29.92619043402048,37.25368588205051,0:00:00.647008,0
FBgn0000289,-5.217849520456704,-52.656288731787775,47.438439211331065,0:00:00.562613,0
FBgn0000308,-8.51626945517799,-46.95256975229973,38.43630029712175,0:00:00.583588,0
FBgn0000319,3.3009672581127845,-18.804214072356892,22.105181330469676,0:00:00.574764,0
FBgn0000320,1.6922772451349104,-36.497215224366954,38.18949246950186,0:00:00.611749,0
FBgn0000370,-16.243863152534413,-50.162353275600736,33.91849012306633,0:00:00.590440,0
FBgn0000384,-8.503661536552329,-46.70051697168906,38.196855435136726,0:00:00.601222,0
FBgn0000394,1.596280433882093,-11.526367639260087,13.122648073142175,0:00:00.601789,0
FBgn0000395,-10.552495113565383,-60.82851739180589,50.2760222782405,0:00:00.594760,0
FBgn0000404,-11.80134803335947,-58.486652101042736,46.685304067683255,0:00:00.566949,0
FBgn0000414,2.7443129248139684,-26.652507233209626,29.39682015802359,0:00:00.575978,0
FBgn0000416,-4.488245850007837,-26.175796300213733,21.687550450205894,0:00:00.595926,0
FBgn0000439,-7.603336755018767,-50.16233112194687,42.5589943669281,0:00:00.581967,0
FBgn0000459,-0.4997693626562452,-26.234496640589576,25.734727277933327,0:00:00.578127,0
FBgn0000463,-22.646069330243613,-71.62736259718586,48.98129326694225,0:00:00.832124,0
FBgn0000479,-24.290624002684304,-52.5096662825456,28.219042279861288,0:00:00.568743,0
FBgn0000489,-27.09879334798408,-60.63239017392807,33.53359682594399,0:00:00.601092,0
FBgn0000490,-6.918655152920677,-44.97478391962157,38.056128766700894,0:00:00.550635,0
FBgn0000492,-10.97320861804723,-23.2255376551411,12.252329037093869,0:00:00.593453,0
FBgn0000536,-6.286038589692963,-26.852623574647914,20.566584984954947,0:00:00.587306,0
FBgn0000542,-15.001572698448255,-61.73339494696466,46.73182224851641,0:00:00.611037,0
FBgn0000546,-17.300048572272757,-52.541276969305656,35.2412283970329,0:00:00.587689,0
FBgn0000547,-21.241155160110623,-72.96631155022813,51.72515639011751,0:00:00.628439,0
FBgn0000557,-2.7102966705057985,-3.3490052222766167,0.6387085517708186,0:00:00.636232,0
FBgn0000559,11.11721974894548,-0.9618852937251176,12.079105042670598,0:00:00.585943,0
FBgn0000568,-4.421464903394288,-7.412303428131197,2.9908385247369083,0:00:00.558226,0
FBgn0000575,-18.24152189314658,-52.02203349663265,33.78051160348608,0:00:00.555779,0
FBgn0000577,-8.705678626008883,-19.396622797908094,10.690944171899217,0:00:00.714329,0
FBgn0000578,-19.289115217088614,-63.831047185571975,44.54193196848336,0:00:00.607673,0
FBgn0000581,-8.263405316826443,-26.235285712538317,17.97188039571187,0:00:02.508063,0
FBgn0000633,-16.600649865103442,-64.85270509898686,48.25205523388344,0:00:01.129129,0
FBgn0000635,-20.833688470232364,-46.4017317193845,25.568043249152137,0:00:00.576975,0
FBgn0000636,-16.116872857703086,-40.920050044009145,24.803177186306073,0:00:00.605224,0
FBgn0000662,-15.36716424916385,-20.828417462034768,5.461253212870922,0:00:00.576029,0
FBgn0000667,-10.477686434380317,-51.19567037946696,40.717983945086644,0:00:00.744530,0
FBgn0000711,-1.366143880412004,-28.37984685822104,27.013702977809032,0:00:00.588566,0
FBgn0000719,-4.482884179505327,-61.29682593428574,56.81394175478041,0:00:00.635085,0
FBgn0000721,-8.97635844983504,-19.84548509044684,10.869126640611796,0:00:00.595677,0
FBgn0000723,-21.09005094649743,-64.68075027824659,43.59069933174917,0:00:00.571090,0
FBgn0000996,5.167101772693278,-31.464086368658453,36.631188141351736,0:00:00.629073,0
FBgn0001075,-1.2865916344582755,-37.41989012494873,36.13329849049045,0:00:00.577718,0
FBgn0001085,-17.52174133416824,-65.01911963727292,47.497378303104675,0:00:00.654859,0
FBgn0001090,-20.14468740670518,-57.3599458485806,37.21525844187542,0:00:00.580550,0
FBgn0001104,-15.683697411007302,-53.20528532502296,37.521587914015655,0:00:00.579825,0
FBgn0001122,-10.294698280867557,-46.619606740046045,36.324908459178474,0:00:00.569893,0
