,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
FBgn0000003,-73.7899363362756,-68.52892952423885,-5.26100681203674,0:00:09.277584,0
FBgn0000008,-115.45385720660255,-147.467852809965,32.01399560336245,0:00:05.823610,0
FBgn0000014,-49.159336901470965,-79.54083562055467,30.38149871908371,0:00:06.675063,0
FBgn0000015,-26.47604613053277,-38.467021705493,11.990975574960242,0:00:05.362831,0
FBgn0000017,-165.56235815619738,-201.7558911894686,36.19353303327125,0:00:06.847503,0
FBgn0000018,-93.57027265867364,-163.06457651963717,69.49430386096351,0:00:04.651865,0
FBgn0000022,-100.4784604766118,-117.411073677351,16.932613200739212,0:00:04.069299,0
FBgn0000032,-137.64402529008095,-176.56236350682548,38.91833821674453,0:00:06.949176,0
FBgn0000042,-226.95354665073287,-228.7124246273027,1.7588779765698064,0:00:09.506897,0
FBgn0000043,-156.94637943468808,-230.54629171428212,73.59991227959395,0:00:08.761202,0
FBgn0000045,-19.52571630237773,-19.525716302278756,-9.897860309138196e-11,0:00:08.174639,1
FBgn0000046,-22.561713295203038,-33.16213861284741,10.600425317644364,0:00:06.706323,0
FBgn0000047,-7.619636508177317,-7.619629576806087,-6.931371228979799e-06,0:00:03.164438,0
FBgn0000052,-139.13666157384378,-968.7681959374,829.6315343635562,0:00:03.663467,0
FBgn0000053,-136.67466915673214,-161.49750136684833,24.82283221011616,0:00:09.071087,0
FBgn0000057,-118.21144555428732,-462.81591172988715,344.60446617559984,0:00:09.184638,0
FBgn0000063,-95.12410817777621,-438.5708404671553,343.44673228937904,0:00:05.277849,0
FBgn0000064,-146.43100232205842,-147.00128459289982,0.5702822708413464,0:00:07.681267,0
FBgn0000071,-108.19062359170772,-156.96103262585768,48.77040903414998,0:00:06.696202,0
FBgn0000075,-33.869534845042374,-116.79364406156542,82.92410921652305,0:00:05.214124,1
FBgn0000077,-115.07333605253905,-176.22537805609798,61.15204200355898,0:00:03.576723,0
FBgn0000083,-133.14549783354357,-123.57493510400873,-9.570562729534828,0:00:05.558504,1
FBgn0000084,-81.89308137395247,-431.5713213567032,349.6782399827507,0:00:04.054983,0
FBgn0000097,-141.89641984090548,-146.1777699284508,4.28135008754532,0:00:04.283246,0
FBgn0000100,-228.16814037630238,-226.60378016490608,-1.5643602113962631,0:00:09.551720,0
FBgn0000108,-39.63397024889656,-42.028845552823796,2.3948753039272357,0:00:03.234178,0
FBgn0000109,-93.3160374665988,-84.53098900167794,-8.785048464920862,0:00:05.574287,1
FBgn0000114,-169.7422814039326,-216.007672843627,46.265391439694405,0:00:09.159599,0
FBgn0000115,-117.73430679692186,-111.53080341087455,-6.203503386047302,0:00:04.114332,0
FBgn0000116,-110.86769041386349,-151.97983641790913,41.112146004045655,0:00:09.678331,0
FBgn0000117,-189.79146444344718,-218.09205909694825,28.30059465350104,0:00:11.031832,0
FBgn0000119,-154.3651535588806,-337.26635299651224,182.90119943763162,0:00:04.957801,1
FBgn0000139,-127.81040005581377,-185.99159000865987,58.1811899528461,0:00:03.686696,0
FBgn0000140,-172.3907721732844,-297.3200521816081,124.9292800083237,0:00:07.160106,0
FBgn0000146,-134.33594946498644,-137.49931846518564,3.1633690001991965,0:00:10.869942,0
FBgn0000147,-126.77299784441308,-168.82991867546136,42.05692083104826,0:00:06.346227,0
FBgn0000150,-216.10351287766673,-224.08873657109714,7.985223693430412,0:00:05.232978,0
FBgn0000152,-101.87510011387538,-135.01758769554732,33.14248758167194,0:00:04.327564,0
FBgn0000157,-45.175783521805016,-316.0498997291366,270.87411620733155,0:00:17.937094,0
FBgn0000158,-112.49632170182188,-141.99075345381036,29.4944317519885,0:00:04.729780,0
FBgn0000163,-161.03896641861255,-192.1897048296364,31.150738411023866,0:00:06.705904,0
FBgn0000166,-151.2243277191582,-177.0695075227571,25.845179803598942,0:00:04.183831,0
FBgn0000173,-155.68504622245362,-162.9912033706039,7.306157148150277,0:00:08.243201,1
FBgn0000180,-137.14783935374322,-184.276333498778,47.12849414503478,0:00:06.741685,0
