,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
FBgn0000008,-24.731196286803552,-83.88832263437664,59.15712634757308,0:00:03.332731,0
FBgn0000014,-48.47719797601507,-76.35713831970791,27.87994034369284,0:00:03.626980,0
FBgn0000015,-17.633441046368414,-26.076545327975627,8.443104281607209,0:00:03.901272,0
FBgn0000097,-51.26028488234646,-85.4980136548894,34.237728772542944,0:00:03.643114,0
FBgn0000108,-31.588300243347767,-31.609192415599622,0.02089217225184825,0:00:03.914944,0
FBgn0000114,-69.43625423784417,-77.0716135909398,7.635359353095637,0:00:04.135287,1
FBgn0000117,-85.06077615804092,-122.64013439034515,37.579358232304244,0:00:08.046048,0
FBgn0000119,-96.64525987727869,-137.3506387330774,40.70537885579873,0:00:04.161251,0
FBgn0000157,-46.288039626240476,-229.69163701066364,183.4035973844232,0:00:04.166441,1
FBgn0000163,-101.0849881328971,-136.79489000635476,35.70990187345767,0:00:04.936642,0
FBgn0000179,-78.82469946425292,-78.82463216797369,-6.72962792123144e-05,0:00:03.112470,0
FBgn0000180,-114.65988676223031,-158.47417624290046,43.814289480670176,0:00:04.280888,0
FBgn0000183,-18.30159610785631,3.385623557516242,-21.687219665372552,0:00:02.366577,0
FBgn0000228,-53.549620724161684,-75.91026175633199,22.36064103217032,0:00:03.208481,0
FBgn0000239,-22.962156125478746,-26.951843984378467,3.989687858899728,0:00:02.429696,0
FBgn0000250,-89.88279200095901,-126.50361630710421,36.6208243061452,0:00:03.664793,0
FBgn0000251,-102.71312588445116,-127.07931315196603,24.366187267514878,0:00:02.971392,0
FBgn0000253,-30.93369212426981,-43.6284923911926,12.69480026692278,0:00:03.263439,0
FBgn0000256,-27.803850023221674,-32.268551318195485,4.4647012949738025,0:00:02.832756,0
FBgn0000259,-30.077617533421716,-41.20813750095714,11.130519967535427,0:00:02.822727,0
FBgn0000273,-47.514543062101524,-130.88934232128682,83.3747992591853,0:00:03.208897,0
FBgn0000283,-51.79306585485156,-76.0709493082709,24.27788345341936,0:00:04.907922,0
FBgn0000289,-53.23205676139011,-87.96132344436774,34.729266682977624,0:00:04.422642,0
FBgn0000308,-54.34783709737978,-126.09454644126915,71.74670934388938,0:00:02.857206,0
FBgn0000319,-23.674679701123356,-33.55313341306371,9.87845371194036,0:00:03.719835,1
FBgn0000320,-30.25077307255719,-68.32149807968526,38.07072500712807,0:00:03.477553,1
FBgn0000370,-51.708034638356544,-78.14995316643659,26.44191852808005,0:00:03.571913,0
FBgn0000384,-40.005996439969664,-131.30533107479835,91.29933463482868,0:00:02.660197,0
FBgn0000394,-16.436791994697877,-22.354524704081012,5.917732709383137,0:00:04.713208,0
FBgn0000395,-92.44784817459879,-539.2243455511197,446.77649737652087,0:00:11.529836,0
FBgn0000404,-78.46222464631043,-115.21656394630631,36.75433929999586,0:00:03.524362,0
FBgn0000414,-28.649130346370693,-40.514979358104696,11.865849011734008,0:00:02.795884,0
FBgn0000416,-27.2285747389248,-43.42802352664745,16.199448787722652,0:00:03.573291,1
FBgn0000439,-41.67139658054514,-157.12091120085822,115.44951462031307,0:00:06.210015,0
FBgn0000459,-26.023553828443532,-39.533765582000974,13.510211753557446,0:00:02.457664,0
FBgn0000463,-114.65081145985576,-151.03736247618454,36.38655101632878,0:00:03,0
FBgn0000479,-77.35631038860508,-103.94135689276676,26.585046504161674,0:00:03.793952,0
FBgn0000489,-98.03139612758169,-125.04488877776512,27.01349265018344,0:00:03.996161,0
FBgn0000490,-63.657356356759216,-129.17086213047392,65.51350577371471,0:00:03.108335,0
FBgn0000492,-17.016558646458098,-25.124121588160637,8.10756294170254,0:00:03.852604,0
FBgn0000536,-27.20703140344132,-43.94260261453113,16.735571211089805,0:00:03.725891,1
FBgn0000542,-119.83125417654352,-159.552994311401,39.72174013485747,0:00:03.677779,0
FBgn0000546,-83.37265347729661,-117.68253209308416,34.309878615787554,0:00:04.057413,0
FBgn0000547,-135.14748061659384,-176.84247821143947,41.69499759484563,0:00:03.445855,0
FBgn0000557,-16.116855407093087,-16.92802687032156,0.8111714632284759,0:00:03.604219,1
FBgn0000559,-125.12177337092727,-136.11055398474093,10.988780613813686,0:00:05.664455,0
FBgn0000568,-15.78426301748264,-18.26916736317337,2.4849043456907327,0:00:02.593129,0
FBgn0000575,-72.08300910126414,-196.6537380062909,124.57072890502675,0:00:03.941282,0
FBgn0000577,-13.981852153004866,-19.691724073442366,5.7098719204375,0:00:04.512506,0
FBgn0000578,-83.68897826765303,-119.74234861177109,36.05337034411807,0:00:03.291099,0
FBgn0000581,-31.9857979604155,-41.30577367754341,9.31997571712791,0:00:02.579762,0
FBgn0000633,-99.71138318540592,-138.79321143180144,39.081828246395524,0:00:06.471321,0
FBgn0000635,-58.49355644523438,-82.4791708982647,23.985614453030323,0:00:02.833870,0
FBgn0000636,-36.70531057840872,-55.755378221004584,19.050067642595863,0:00:03.544742,0
FBgn0000662,-54.729570366257256,-56.62992118777379,1.9003508215165252,0:00:02.544555,0
FBgn0000667,-50.35509165528722,-164.94653078554526,114.59143913025804,0:00:03.005189,0
FBgn0000711,-32.41358442576389,-45.190581887012044,12.77699746124815,0:00:02.739690,0
FBgn0000719,-67.4053214036052,-547.2502829092037,479.8449615055986,0:00:04.288349,1
FBgn0000721,-78.20133658008686,-89.6168063587122,11.41546977862532,0:00:02.890053,0
FBgn0000723,-110.70787948680895,-145.65356856074683,34.945689073937885,0:00:03.065450,0
