,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
ENSMUSG00000000001,-1881.853173279955,-1890.1914017327688,8.338228452814064
ENSMUSG00000000028,-315.542879395667,-317.25331197430665,1.7104325786395975
ENSMUSG00000000031,-173.18951356954292,-173.12057910370984,-0.06893427852722311
ENSMUSG00000000037,-169.37561077457815,-169.37562264734137,1.18727632241189e-05
ENSMUSG00000000049,-50.358627941420224,-52.725895450427,2.3672675090067727
ENSMUSG00000000056,-739.0685580457953,-740.2684772110471,1.1999191652516856
ENSMUSG00000000058,-573.7211261857788,-596.1512347725728,22.430108586794177
ENSMUSG00000000078,-1170.0437607795889,-1170.0479161525361,0.004155372947025171
ENSMUSG00000000085,-1227.867300116462,-1227.874742858603,0.007442742140938208
ENSMUSG00000000088,-1320.7645451034025,-1322.173185166517,1.4086400631144895
ENSMUSG00000000120,-213.0017044861253,-213.00170310370316,-1.3824221696268069e-06
ENSMUSG00000000127,-1093.1732876969832,-1093.1814671909694,0.008179493986290256
ENSMUSG00000000131,-1469.0512116203165,-1469.0403135389356,-0.010898081380901205
ENSMUSG00000000134,-1533.7667625343481,-1534.0258846462848,0.2591221119369038
ENSMUSG00000000142,-624.9088450004663,-624.9087952587008,-4.974176533778518e-05
ENSMUSG00000000148,-884.6709231405011,-884.715647022381,0.04472388187980414
ENSMUSG00000000149,-598.6369648380702,-598.6325003405202,-0.004464497549747648
ENSMUSG00000000154,-52.2651659022667,-52.26516546176123,-3.6443893236537406e-08
ENSMUSG00000000157,-84.51647895454875,-84.5684412832312,-0.3863323886376975
ENSMUSG00000000159,-440.64842722274557,-440.6482581284649,-0.00016909428063627274
ENSMUSG00000000167,-403.49534262574247,-403.49724746088526,0.0019048351427954915
ENSMUSG00000000168,-1520.8732098093885,-1520.8676656150296,-0.0055441943588903095
ENSMUSG00000000171,-1985.346058492216,-1995.9279416972472,10.58188320503109
ENSMUSG00000000184,-2497.8848658882857,-2573.1675479475407,75.28268205925497
ENSMUSG00000000194,-1380.1845098549227,-1380.1828113861834,-0.0016984687390504405
ENSMUSG00000000197,-1260.06398742153,-1267.7374106198345,7.673423198304362
ENSMUSG00000000202,-1000.4070901917846,-1000.4632802170744,0.056190025289879486
ENSMUSG00000000214,-285.1240834595925,-288.32692917064185,3.2028457110492923
ENSMUSG00000000215,-1630.4474208279748,-1631.0820316050967,0.6346107771216793
ENSMUSG00000000216,-93.54175089143759,-93.54175205355251,1.1621149269558373e-06
ENSMUSG00000000223,-116.73521734885014,-143.1497334527351,26.41451610388495
ENSMUSG00000000253,-1524.44095234887,-1524.4045533080925,-0.03639904077726897
ENSMUSG00000000266,-546.9342521957642,-546.9328070891761,-0.001445106588107592
ENSMUSG00000000275,-1143.0708760839545,-1143.0796645146502,0.008788430695631178
ENSMUSG00000000276,-1211.9102131692218,-1211.938452494594,0.028239325372169333
ENSMUSG00000000278,-1718.153467612936,-1718.7259426889584,0.5724750760225561
ENSMUSG00000000282,-965.8658467704595,-966.1480509147825,0.28220414432325924
ENSMUSG00000000295,-637.0519750392041,-638.067501030508,1.015525991304003
ENSMUSG00000000296,-504.61719541204764,-504.6152432612268,-0.0019521508207844815
ENSMUSG00000000301,-424.6421818395073,-424.6365217424003,-0.005660097107011097
ENSMUSG00000000303,-1732.8904211395247,-1732.902840312921,0.012419173395983307
ENSMUSG00000000305,-270.5432585493512,-272.4108073600331,1.8675488106819105
ENSMUSG00000000308,-845.0881056768358,-845.1327938740611,0.044688197225468684
ENSMUSG00000000317,-570.2790907509864,-570.5601962520867,0.2811055011004555
ENSMUSG00000000320,-290.03669571856966,-290.03527280632983,-0.0014229122398319305
ENSMUSG00000000325,-1328.4409304377784,-1330.8067835372306,2.365853099452352
ENSMUSG00000000326,-1731.8614001650867,-1732.295338689123,0.4339385240361935
ENSMUSG00000000339,-952.1941765126512,-952.7408141075667,0.5466375949154099
ENSMUSG00000000340,-736.1744161092261,-736.3423113011571,0.16789519193105207
ENSMUSG00000000346,-2026.8876286603077,-2033.4499728193155,6.562344159008036
ENSMUSG00000000355,-1588.186494889166,-1588.1849687721112,-0.0015261170547091751
ENSMUSG00000000365,-72.56138699424078,-72.56137897858797,-1.1925114051791752e-07
