Sample,Pseudotime
aE17.5_2_09,-14.189070519
aE17.5_2_16,-14.073730953
aE17.5_1_11,-13.7062026215
aE17.5_3_07,-13.6967963716
aE17.5_4_06,-13.5391568529
aE17.5_3_04,-13.3821395905
aE17.5_2_11,-12.9983957022
aE17.5_1_25,-12.6222338857
aE17.5_4_01,-12.4611008757
aE17.5_4_03,-12.4031203362
aE17.5_4_05,-12.1273639145
aP0_1_13,-12.0777145838
aE17.5_3_06,-11.9703485059
aE17.5_2_07,-11.8627539907
aP0_3_01,-11.7381866492
aE17.5_2_21,-11.6789849103
aE17.5_2_02,-11.6732280469
aE17.5_2_14,-11.490654977
aP0_3_08,-11.4648780185
aE17.5_1_28,-11.3376106174
aE17.5_1_05,-11.3159386437
aP0_1_21,-11.1817762505
aE17.5_2_01,-11.1691848005
aP0_3_03,-11.1588835345
aP0_3_07,-10.9064340866
aP0_2_11,-10.796949849
aE17.5_2_20,-10.553124807
aE17.5_1_02,-10.5496275557
aE17.5_3_02,-10.4257280605
aE17.5_1_04,-10.344166868
aE17.5_1_06,-10.343375102
aE17.5_1_19,-10.3194135696
aE17.5_1_16,-10.1977524835
aE17.5_4_04,-10.1408791929
aE17.5_2_15,-10.0862995498
aE17.5_1_24,-10.0806950069
aE17.5_2_06,-9.9445751633
aE17.5_4_02,-9.8015235418
aE17.5_2_18,-9.6138963139
aE17.5_1_20,-9.5644549095
aP0_1_18,-9.5476141479
aE17.5_2_04,-9.4886052491
aP0_2_08,-9.3731419699
aP0_3_13,-9.1268705414
aP0_3_05,-9.0815636187
aE17.5_1_12,-9.0815510093
aP0_2_02,-9.0409205587
aE17.5_1_17,-9.0349249938
aE17.5_1_27,-9.0322424047
aE17.5_2_08,-8.8976381022
aE17.5_2_03,-8.8816735685
aE17.5_1_21,-8.8334412012
aP0_1_14,-8.7933830257
aE17.5_1_03,-8.7909395498
aE17.5_2_19,-8.7059547653
aE17.5_3_05,-8.7045409499
aE17.5_1_13,-8.6616559779
aE17.5_1_09,-8.4684870888
aP0_3_11,-8.1526954668
aE17.5_3_08,-8.0506097312
aE17.5_1_14,-7.9544086713
aE17.5_1_30,-7.91852548
aE17.5_2_12,-7.7947047712
aE17.5_1_18,-7.7494770541
aE17.5_1_26,-7.7267671006
aE17.5_1_01,-7.7074163614
aP0_1_06,-7.6665287366
aP0_1_12,-7.6630766921
aE17.5_2_17,-7.6028481283
aP0_1_08,-7.5763115621
aP0_1_03,-7.3983027989
aE17.5_3_01,-7.3856924358
aE17.5_3_03,-7.2872349885
aP0_1_02,-7.2747731149
aE17.5_1_08,-7.2640416545
aP0_3_09,-7.2562367751
aE17.5_1_10,-7.2130930217
aP0_3_12,-7.1889222472
aE17.5_2_05,-7.0717822296
aP0_1_20,-7.0201472941
aE17.5_2_13,-6.9043621158
aP0_1_01,-6.871216011
aE17.5_1_22,-6.8553361374
aE17.5_1_29,-6.8524357584
aP0_3_02,-6.8490522074
aE17.5_1_07,-6.8360733411
aP0_3_14,-6.8341194039
aE17.5_2_10,-6.622334852
aP0_2_07,-6.3519427809
aP0_2_04,-6.2448291687
aP0_2_09,-6.1456536985
aE17.5_1_23,-5.9558214786
aP0_3_04,-5.8825009427
aP0_2_05,-5.8740724217
aE17.5_1_15,-5.6400792602
aP0_1_04,-5.6215983226
aP0_1_15,-5.3500519392
aP0_1_10,-5.0474453109
