,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
ENSMUSG00000000001,-644.6266480262614,-664.89477396593,20.26812593966861,0:00:02.501811,0:00:02.501811
ENSMUSG00000000028,-530.1829175332456,-537.163378830265,6.98046129701936,0:00:00.659325,0:00:00.659325
ENSMUSG00000000031,-220.36687543923267,-220.3668646298713,0.0,0:00:00.787184,0:00:00.787184
ENSMUSG00000000037,-371.06482065170854,-372.0135177971647,0.9486971454561512,0:00:00.875494,0:00:00.875494
ENSMUSG00000000049,-130.68846430541558,-131.85703295863541,1.1685686532197792,0:00:00.777998,0:00:00.777998
ENSMUSG00000000056,-626.4519080702577,-637.9899737851679,11.53806571491009,0:00:00.630203,0:00:00.630203
ENSMUSG00000000058,-628.0448113685293,-648.4025083919993,20.35769702347,0:00:00.623109,0:00:00.623109
ENSMUSG00000000078,-681.3983588477315,-685.5422300365352,4.143871188803814,0:00:00.560216,0:00:00.560216
ENSMUSG00000000085,-670.7502195704134,-670.7501973230255,0.0,0:00:01.755785,0:00:01.755785
ENSMUSG00000000088,-575.2336463071076,-582.7494650680685,7.515818760960883,0:00:00.568149,0:00:00.568149
ENSMUSG00000000120,-328.53425613496177,-328.9862150801735,0.451958945211743,0:00:00.820607,0:00:00.820607
ENSMUSG00000000127,-663.9331581434558,-667.904469306726,3.9713111632703435,0:00:00.691496,0:00:00.691496
ENSMUSG00000000131,-654.4118673743893,-656.7328813740198,2.3210139996307357,0:00:00.666494,0:00:00.666494
ENSMUSG00000000134,-664.9612403186167,-673.4833647151428,8.52212439652601,0:00:00.604789,0:00:00.604789
ENSMUSG00000000142,-550.58821889614,-549.3750309277932,0.0,0:00:00.577290,0:00:00.577290
ENSMUSG00000000148,-658.3828269292644,-658.9681266873571,0.585299758092674,0:00:00.551776,0:00:00.551776
ENSMUSG00000000149,-574.0452991743426,-574.9739103575627,0.9286111832200276,0:00:00.505728,0:00:00.505728
ENSMUSG00000000154,-129.22275258563525,-129.22275209137428,0.0,0:00:00.736214,0:00:00.736214
ENSMUSG00000000157,-141.19495309563968,-141.19510615101166,0.00015305537198173624,0:00:00.637013,0:00:00.637013
ENSMUSG00000000159,-548.6154971809664,-550.9602907042325,2.344793523266276,0:00:00.540057,0:00:00.540057
ENSMUSG00000000167,-498.0752119710123,-502.5976648067863,4.522452835774119,0:00:00.599620,0:00:00.599620
ENSMUSG00000000168,-687.5739844605391,-690.3872082635055,2.8132238029663768,0:00:00.591414,0:00:00.591414
ENSMUSG00000000171,-423.8107088512854,-429.15548878477773,5.3447799334924175,0:00:00.611035,0:00:00.611035
ENSMUSG00000000184,-365.32868345175143,-423.9333165479517,58.60463309620019,0:00:00.533828,0:00:00.533828
