,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
ENSMUSG00000000001,-1881.8531404237008,-1889.8727651380875,8.019624714386737,0:00:28.598276,0
ENSMUSG00000000028,-315.54287952894003,-317.14132581393534,1.598446284995248,0:00:07.087942,0
ENSMUSG00000000031,-173.02539480363674,-173.02539888582032,4.08218355119061e-06,0:00:20.645608,0
ENSMUSG00000000037,-169.37568256056088,-169.375610176273,-7.238428787559315e-05,0:00:05.713491,0
ENSMUSG00000000049,-50.358627732270534,-51.34619534082287,0.9875676085523252,0:00:10.138983,0
ENSMUSG00000000056,-739.0685529740304,-740.1515524092488,1.0829994352184258,0:00:08.953038,0
ENSMUSG00000000058,-573.7206533404071,-590.7151955639655,16.99454222355837,0:00:13.565573,0
ENSMUSG00000000078,-1170.0392600169675,-1170.0374695755575,-0.0017904414098666164,0:00:18.012592,0
ENSMUSG00000000085,-1227.8675254460734,-1227.8586488167591,-0.008876629314045205,0:00:11.494873,0
ENSMUSG00000000088,-1320.750630660102,-1322.1128334213256,1.3622027612234433,0:00:15.138368,0
ENSMUSG00000000120,-213.0017036783149,-213.00170575972817,2.0814132142277235e-06,0:00:07.271375,0
ENSMUSG00000000127,-1093.1473182859352,-1093.1441181777247,-0.00320010821019423,0:00:14.089010,0
ENSMUSG00000000131,-1469.0606881709555,-1469.0389661266684,-0.021722044287344037,0:00:18.850550,0
ENSMUSG00000000134,-1533.7569805684436,-1534.0235698601666,0.26658929172299395,0:00:17.172804,0
ENSMUSG00000000142,-626.8008380287089,-624.9087934498905,-1.8920445788184,0:00:06.670051,0
ENSMUSG00000000148,-884.6510755367798,-884.6507376582832,-0.0003378784965661908,0:00:13.698579,0
ENSMUSG00000000149,-598.6326349020677,-598.6325000771727,-0.00013482489498528594,0:00:09.967408,0
ENSMUSG00000000154,-52.265165460756435,-52.26516608076837,6.200119315735718e-07,0:00:33.989085,0
ENSMUSG00000000157,-84.51648214484356,-84.51648126437223,-8.80471333175592e-07,0:00:06.698046,0
ENSMUSG00000000159,-440.6484248567388,-440.6482566436392,-0.00016821309964143438,0:00:09.377835,0
ENSMUSG00000000167,-403.4539923214281,-403.4972469783944,0.04325465696626907,0:00:06.462460,0
ENSMUSG00000000168,-1520.9239359617402,-1520.8658165993077,-0.05811936243253513,0:00:14.671004,0
ENSMUSG00000000171,-1985.311918938461,-1995.368838318749,10.056919380288036,0:00:23.399115,0
ENSMUSG00000000184,-2497.859008381165,-2559.490115379609,61.631106998444004,0:00:33.362031,0
