"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPAC212.11",8.55242744001828,0.687396121124159,1.12629829077378,2.10329798377543,0.834675092649037,1
"SPAC212.09c",50.7627495668763,-0.186261925146644,0.553979008556933,2.91139123233881,0.713644541115811,1
"SPNCRNA.70",0.0326585405909455,0.354542982343198,10.2661343066766,0.0578857178500449,0.999957994394566,1
"SPAC212.12",0.564695114960587,-0.536405550572584,4.67135159846411,0.574760870677892,0.989129643354598,1
"SPAC212.04c",38.3168927182989,-0.239772066281413,0.555466546459366,2.11594596743316,0.832880286164849,1
"SPAC212.03",0.0728749941621427,-0.639999359651727,10.2645642160998,0.0603109133223612,0.999953495711915,1
"SPAC212.02",0,NA,NA,NA,NA,NA
"SPAC212.01c",1.36179878255735,-1.21716093636818,2.81104810698636,0.785648213516936,0.977939699740108,1
"SPAC977.03",0.0596182648007613,1.31611095089921,10.2661343066838,0.0935556216175186,0.999862268218575,1
"SPAC977.04",0.145825883049837,-1.86590550794247,10.237862169855,0.105383342231178,0.999815302661203,1
"SPAC977.05c",0.129956581261832,0.323823527644081,10.2644493360664,0.13689559173978,0.999648734457996,1
"SPNCRNA.136",0.037238964142937,-0.639795075696678,10.2645657675939,0.100806018635812,0.999834440346963,1
"SPNCRNA.601",9.46615261116002,-0.84010206680594,1.06003439019272,2.51476569258207,0.774269705173375,1
"SPAC977.07c",0.333476919537221,1.53639869148958,9.00893238562669,0.762089043838238,0.979388144168032,1
"SPAC977.09c",0,NA,NA,NA,NA,NA
"SPNCRNA.19",0,NA,NA,NA,NA,NA
"SPAC977.11",70.4130296536157,0.159967787894521,0.394762317875639,3.77569124923576,0.582141360335333,1
"SPAC977.13c",36.7374435294846,0.692147980124447,0.71567006009913,4.1762729249771,0.524326311435654,1
"SPAC977.15",49.0774755538447,-0.421960442091253,0.455962423860036,10.2232463543597,0.0691512110376593,1
"SPAC977.16c",83.1940451102684,0.394663174438315,0.511544993854902,5.08461319179884,0.405641471690641,1
"SPNCRNA.37",0.201697949168561,-0.531797434467163,10.2483900233494,0.255498933548473,0.998397293096933,1
"SPAPJ695.01c",0.410353150891953,0.354703422304662,10.2661343048517,0.190404677174286,0.999213679170006,1
"SPNCRNA.76",3.92647370112491,-0.320199878445183,1.2024751150993,2.20012816365619,0.820817456553423,1
"SPNCRNA.603",1.44949239267866,3.24370136017266,2.85951456870443,3.56214872527944,0.614005307276093,1
"SPNCRNA.607",60.4274416934045,-0.19226536172794,0.51644042599029,7.01812734971975,0.219295641395103,1
"SPAC1F8.06",74.2484598719262,0.157559803822327,0.56909185129674,3.24259834329189,0.66264065142522,1
"SPAC1F8.08",77.5680237170778,0.167550488725028,0.365197465477902,2.2246799344889,0.817263207409467,1
"SPAC11D3.19",14.8892797836053,0.0865488293969512,1.01856625490532,4.98502003716069,0.417711101672393,1
"SPAC11D3.01c",290.801357856274,-2.18678634930223,0.530419357493624,24.3050993544637,0.000189676130446398,0.0927805161953663
"SPNCRNA.608",54.1661458492894,-0.701897366409662,0.525646012576159,4.60902783156871,0.465429712236566,1
"SPAC11D3.02c",590.701647219913,0.0359620780471554,0.229738833071429,1.09118307417805,0.954881128102064,1
"SPAC11D3.03c",28.301346827164,-0.430327647444703,0.750603012466521,4.73170498420046,0.449492523033055,1
"SPAC11D3.05",344.670832226626,-0.0300381505051979,0.272131551280149,8.75707582025149,0.119154791227653,1
"SPAC11D3.07c",329.063262091772,0.0163429818691275,0.232137663645814,3.57510026487597,0.612055713249058,1
"SPAC11D3.08c",222.951285758319,-0.0650401555521919,0.280795681312771,6.82277411873628,0.234158007931611,1
"SPAC11D3.11c",154.060784839607,-0.337359593567627,0.337577019698395,5.00905685396759,0.414775876124255,1
"SPAC11D3.14c",158.109173522572,-0.369685657117651,0.227907147972866,5.26965117747233,0.383865561210748,1
"SPNCRNA.609",122.86272518109,-0.0102599574983027,0.4367560352356,7.49100313903517,0.18660853359513,1
"SPNCRNA.147",0.505662428642526,0.955027568825782,4.9016084773252,1.93121379570798,0.858578728879067,1
