"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPAC212.11",8.55242744001828,-0.496777369032147,1.19773321331451,0.201211997966993,0.653744329648287,1
"SPAC212.09c",50.7627495668763,-0.114961023910187,0.536919932953331,0.0412630617004197,0.839030990599671,1
"SPNCRNA.70",0.0326585405909455,-0.499962749913788,8.4033797298847,0.0092598490190543,0.92333940641107,1
"SPAC212.12",0.564695114960587,-0.788618241096203,3.181646615318,0.0706960511183325,0.790326013789243,1
"SPAC212.04c",38.3168927182989,0.310787400713626,0.647590019599933,0.213529717922597,0.644014802622202,1
"SPAC212.03",0.0728749941621427,0.144126983733379,8.4033797298847,0.00237185804839868,0.961157000908779,1
"SPAC212.02",0,NA,NA,NA,NA,NA
"SPAC212.01c",1.36179878255735,0.391858661713194,2.16663310523974,0.0243254410696494,0.876059700197485,1
"SPAC977.03",0.0596182648007613,-1.4124471419752,8.4033797298847,0.0838168237718122,0.772190092932482,1
"SPAC977.04",0.145825883049837,0.793542890297892,7.58167947963202,0.0346211636167268,0.852391724679678,1
"SPAC977.05c",0.129956581261832,0.895044368429971,8.40337776006178,0.0307429869294218,0.860815011988789,1
"SPNCRNA.136",0.037238964142937,0.197816992663855,8.4033797298847,0.00416072384745547,0.948569182468636,1
"SPNCRNA.601",9.46615261116002,0.98899594325513,0.907190430873539,1.28035982434002,0.257832142770989,1
"SPAC977.07c",0.333476919537221,1.40389660678843,5.15891991141527,0.0988692546650469,0.753190815325216,1
"SPAC977.09c",0,NA,NA,NA,NA,NA
"SPNCRNA.19",0,NA,NA,NA,NA,NA
"SPAC977.11",70.4130296536157,-0.0850762838003196,0.445335709984191,0.039338151025845,0.842780250168453,1
"SPAC977.13c",36.7374435294846,-0.182569595285572,1.23678952638128,0.0179971407356447,0.893281256444427,1
"SPAC977.15",49.0774755538447,-0.235464189990068,0.497599291211437,0.233260319660758,0.629116817920817,1
"SPAC977.16c",83.1940451102684,-0.491746167791559,0.480359006414009,1.0906097458062,0.296336148407923,1
"SPNCRNA.37",0.201697949168561,-0.871303037404066,6.28735735628775,0.0366847677053102,0.848108279103152,1
"SPAPJ695.01c",0.410353150891953,-0.0476095008559325,6.36763532667877,-0.00082543588829509,1,1
"SPNCRNA.76",3.92647370112491,-0.446355632289589,0.994111031589056,0.212619684055653,0.644721825358432,1
"SPNCRNA.603",1.44949239267866,-1.99241751150344,2.36976591728376,0.896858293028203,0.34362551737278,1
"SPNCRNA.607",60.4274416934045,0.034704557465689,0.895763575253325,0.00119446608175622,0.97242976162879,1
"SPAC1F8.06",74.2484598719262,0.199135200533441,0.638950041325248,0.0997753091147047,0.752099438651076,1
"SPAC1F8.08",77.5680237170778,0.0581023662699379,0.397311143644503,0.0231750525190364,0.879002736443115,1
"SPAC11D3.19",14.8892797836053,-0.873780987691969,0.899004870598632,1.01370397546398,0.314017113464022,1
"SPAC11D3.01c",290.801357856274,2.09366023131523,0.674327723194146,6.94550018145503,0.00840303380848538,1
"SPNCRNA.608",54.1661458492894,0.734214480278536,0.427317361784487,3.04787300249654,0.0808429548617654,1
"SPAC11D3.02c",590.701647219913,-0.0534231664418258,0.368601262734065,0.0237875699938854,0.877426657901044,1
"SPAC11D3.03c",28.301346827164,0.0609563953548505,0.659484180252439,0.00768042514386025,0.93016437106634,1
