,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC212.11,-47.33433322828998,-25.11396593258547,-23.980782430008947,-1.760415134304438
SPAC212.09c,-22.766868646982733,-15.44552530704608,-10.978827560732183,-3.6574842207955314
SPAC212.04c,-40.41817742364755,-23.09874605486476,-13.84880069253275,3.470630676250039
SPAC212.01c,-37.00330056119904,-14.571764543048484,-22.496874097050124,-0.06533807889956478
SPNCRNA.601,-44.42440113185317,-23.32878048852304,-23.43786557939751,-2.3422449360673743
SPAC977.11,-16.50943478879325,-7.104685383916672,-19.62982484412747,-10.225075439250892
SPAC977.13c,-34.63726695032613,-23.40620730823321,-21.83228746564219,-10.601227823549266
SPAC977.15,-19.637374978768307,-15.357586316726756,-4.213841244495427,0.06594741754612342
SPAC977.16c,-20.34433898364106,-13.720031346420267,-11.58710481025768,-4.962797173036886
SPNCRNA.76,-31.152491556824426,-14.280689222046432,-18.327430806942353,-1.4556284721643564
SPNCRNA.603,-37.03933714780125,-18.841332265471536,-19.822962406580263,-1.6249575242505545
SPNCRNA.607,-38.149258742701306,-27.608754976444526,-19.99790380069452,-9.457400034437732
SPAC1F8.06,-45.44798934823511,-31.51870970462256,-20.338252166537412,-6.408972522924856
SPAC1F8.08,-11.280727484764562,-13.504200653126324,-3.9767445935645753,-6.200217761926337
SPAC11D3.19,-50.460673909277496,-28.039699209420647,-24.665628462067932,-2.244653762211101
SPAC11D3.01c,-29.525784626007948,-18.196203665474158,-13.585455456302187,-2.255874495768399
SPNCRNA.608,-42.15597758832536,-27.85731256593207,-4.1621581409234985,10.136506881469783
SPAC11D3.02c,-9.87543263530698,-7.415391741168913,-4.3824798475677165,-1.9224389534296515
SPAC11D3.03c,-25.683607443543853,-17.661779685815073,-10.32686725522298,-2.30503949749421
SPAC11D3.05,-5.676590809441067,-13.318041862091247,-3.618924516131521,-11.260375568781704
SPAC11D3.07c,-2.1812301957834066,-9.41347664804406,-13.227716990187677,-20.459963442448327
SPAC11D3.08c,-13.683870034372987,-17.812701283863248,-13.16510290503253,-17.293934154522788
SPAC11D3.11c,-1.8766884506309007,-4.2506325346309035,-1.988220061124359,-4.3621641451243605
SPAC11D3.14c,3.3127790388267897,1.6656890093184131,-5.8242291630946825,-7.471319192603057
SPNCRNA.609,-30.205572898381813,-17.639473873482913,-8.375738265577159,4.190360759321745
SPNCRNA.610,-40.230651991357824,-23.324603157111827,-17.08326285802714,-0.17721402378115414
SPAC11D3.16c,-13.921156120543204,-17.824795835784162,-12.304489704213214,-16.208129419454178
SPAC11D3.18c,-40.00862309309029,-25.005868231566303,-21.337652039001483,-6.334897177477495
SPNCRNA.612,-41.79581635885555,-27.554400234944268,-7.20074967646503,7.040666447446249
SPAC5H10.01,-17.987067137965155,-11.698940189960814,-9.994449994668347,-3.706323046664004
SPAC5H10.03,7.5802631431408765,0.09684760199647613,-3.2970424675189776,-10.780458008663377
SPAC5H10.04,-16.019957026582908,-11.473316808840464,-12.07678241047231,-7.530142192729862
SPAC5H10.06c,-14.631961386334375,-12.53854342658247,-3.0943848145617525,-1.0009668548098478
SPAC5H10.08c,3.9764830080038966,-2.9938738229786988,3.832095370983289,-3.138261459999306
SPAC5H10.09c,7.0618516346687,3.632709351099464,-0.8639484228094999,-4.293090706378735
SPAC5H10.10,-0.9323913640321422,-1.5865647091109096,-1.7441062102641638,-2.3982795553429312
SPAC5H10.11,-43.88913878125947,-25.677865395907606,-20.205961017524427,-1.994687632172564
SPAC5H10.12c,1.9270668225442973,-10.520058501299136,-8.73956929752267,-21.18669462136611
SPAC5H10.13c,-9.683293006708396,-16.87745712232976,-14.430769376955373,-21.624933492576734
SPNCRNA.617,-39.089247372657866,-22.095279124235876,-6.453575549319339,10.540392699102648
SPAC13G6.01c,13.99403293331487,-2.7872022051233185,3.757888057784129,-13.02334708065406
SPAC13G6.03,3.2338503100999816,-7.526689356059446,-5.078230866091612,-15.838770532251038
SPNCRNA.618,-43.84189529451536,-25.711114493960853,-15.247356354796018,2.8834244457584863
SPNCRNA.620,-45.303116206768294,-25.07020876278239,-22.39956726845065,-2.166659824464752
SPAC13G6.14,3.1536442227707155,-9.838043110368693,-7.550918158483277,-20.542605491622687
SPAC13G6.15c,3.063793345587605,-2.5692422415547043,2.4210944831062453,-3.2119411040360646
SPNCRNA.621,-19.06732738904254,-12.511175570881624,-10.115143196103604,-3.5589913779426934
SPAC24B11.05,-13.709706771325207,-19.562598051616273,-6.774486803003588,-12.627378083294651
SPAC24B11.08c,1.425960196756897,-0.7150893419351618,-8.100608869563782,-10.241658408255839
SPAC24B11.09,-5.87560807894215,-6.352817635640701,-3.234528979150354,-3.711738535848905
SPAC24B11.11c,15.871464438949538,3.5363587237293928,0.3826487335153814,-11.952456981704767
SPAC24B11.12c,20.754466156016818,-3.5564968320950463,-0.4611677891477726,-24.77213077725964
SPNCRNA.624,-22.946493561037148,-16.785861576065873,-6.5097679670612285,-0.3491359820899547
SPAC806.02c,15.971342195048205,3.6991523298551,-1.1816397502399631,-13.453829615433072
SPNCRNA.625,-41.5509982182324,-25.122728959651308,-17.215976487116052,-0.7877072285349627
SPAC806.11,-46.82106736471869,-25.527707767037462,-22.55823525223053,-1.2648756545493072
SPNCRNA.626,-19.048149404180087,-15.659688552808227,-10.682624831165194,-7.294163979793335
SPNCRNA.627,-38.95886048442402,-22.800544261518173,-19.91357695135013,-3.755260728444277
SPNCRNA.628,-40.154693255184405,-17.32017612164271,-21.52542247339661,1.3090946601450923
