,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
ENSMUSG00000000001,-647.8555956313224,-668.0115373943597,20.15594176303739
ENSMUSG00000000028,-529.1172372508196,-535.9824523635757,6.865215112756117
ENSMUSG00000000031,-205.86125180138882,-205.86124545876373,-6.342625056277028e-06
ENSMUSG00000000037,-368.759806201473,-369.6724318983478,0.912625696874784
ENSMUSG00000000049,-127.91369126935685,-128.98792154253732,1.0742302731804898
ENSMUSG00000000056,-627.8052473531708,-638.3590932916204,10.55384593844974
ENSMUSG00000000058,-627.7575728649048,-647.8843921172388,20.126819252334144
ENSMUSG00000000078,-687.0435509315051,-690.8008459717801,3.7572950402749257
ENSMUSG00000000085,-674.8036219664916,-674.803613328236,-8.638255621917779e-06
ENSMUSG00000000088,-578.62266966097,-586.028193297807,7.4055236368369615
ENSMUSG00000000120,-322.90958612577333,-323.08974022132753,0.18015409555420087
ENSMUSG00000000127,-664.7606257879404,-668.4397893610612,3.679163573120945
ENSMUSG00000000131,-657.6503474278828,-659.4627030527056,1.8123556248227717
ENSMUSG00000000134,-668.1707473810476,-676.574733189892,8.403985808844368
ENSMUSG00000000142,-548.9390846548838,-547.603060858424,-1.3360237964598127
ENSMUSG00000000148,-659.5965612301942,-659.8265609939946,0.2299997638002651
ENSMUSG00000000149,-572.7260866897881,-573.6402820303372,0.9141953405490996
ENSMUSG00000000154,-124.2335955689533,-124.23358843452576,-7.134427562505153e-06
ENSMUSG00000000157,-131.61035141649774,-131.61296664441758,0.002615227919818608
ENSMUSG00000000159,-547.0233061752433,-549.2573785230782,2.2340723478348536
ENSMUSG00000000167,-496.6888322257559,-500.496054170187,3.8072219444311486
ENSMUSG00000000168,-689.6430174093974,-692.5400600553099,2.8970426459125065
ENSMUSG00000000171,-425.3486462192244,-430.6961276311142,5.3474814118898735
ENSMUSG00000000184,-378.75735044547065,-434.52940598921714,55.77205554374638
ENSMUSG00000000194,-678.7365142967426,-678.9537444979433,0.21723020120066394
ENSMUSG00000000197,-669.2713796533877,-681.5660412339797,12.294661580592106
ENSMUSG00000000202,-643.4268459499722,-644.596465697137,1.1696197471649157
ENSMUSG00000000214,-475.7532943574218,-494.86268475494927,19.109390397527424
ENSMUSG00000000215,-750.6822477479318,-750.6821510091479,-9.673878389548919e-05
ENSMUSG00000000216,-298.05515481570586,-298.9596020083627,0.9044471926567894
ENSMUSG00000000223,-0.4128802755270158,-11.75833110087592,11.345450825348903
ENSMUSG00000000253,-685.4093539768974,-685.4093541518728,1.7497541193733926e-07
ENSMUSG00000000266,-584.2855230397618,-584.3435955716665,0.05807253190471329
ENSMUSG00000000275,-646.9416559751518,-650.0702736952211,3.1286177200693146
ENSMUSG00000000276,-632.006617404616,-635.9942190416571,3.987601637041053
ENSMUSG00000000278,-670.717129542811,-672.4988989021895,1.7817693593784725
ENSMUSG00000000282,-630.0709720328438,-633.4021758808939,3.3312038480501087
ENSMUSG00000000295,-595.6378859698107,-612.823508414561,17.185622444750265
ENSMUSG00000000296,-566.9457119442352,-569.6153642641547,2.6696523199194644
ENSMUSG00000000301,-516.9987491173556,-517.0672037313901,0.06845461403429454
ENSMUSG00000000303,-683.4504887538072,-687.8681679927821,4.417679238974756
ENSMUSG00000000305,-446.4575490100023,-454.4602726036325,8.002723593630265
ENSMUSG00000000308,-663.0703324666923,-663.1201148317383,0.04978236504621236
ENSMUSG00000000317,-608.8073098287322,-609.8206941678081,1.0133843390758557
ENSMUSG00000000320,-143.50817519178463,-143.50816944481002,-5.746974636622326e-06
ENSMUSG00000000325,-687.7203276810782,-706.3560768756586,18.63574919458017
ENSMUSG00000000326,-488.17746076378495,-492.4960677334874,4.318606969702387
ENSMUSG00000000339,-624.4339304553198,-630.6599093272407,6.225978871921028
ENSMUSG00000000340,-603.9574644903253,-604.7168763357217,0.7594118453966985
ENSMUSG00000000346,-556.5167338090978,-566.9478166221113,10.431082813013631
