,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
SPAC212.11,-24.3134433273874,-8.283879086700622,-16.029564240686778
SPAC212.09c,-15.16409209630486,12.365256881557391,-27.52934897786225
SPNCRNA.70,5.830915851710997,11.059665308288023,-5.228749456577027
SPAC212.12,-14.246548745868495,-6.547752348462364,-7.698796397406131
SPAC212.04c,-22.32767156468286,6.584992881842594,-28.91266444652545
SPAC212.03,107.79869598508768,107.79870131070936,-5.325621685869919e-06
SPAC212.02,107.79869598508768,107.79870131070936,-5.325621685869919e-06
SPAC212.01c,-16.545058047463087,-9.102906285237813,-7.442151762225277
SPAC977.03,107.79869598508768,107.79870131070936,-5.325621685869919e-06
SPAC977.04,-2.7048723317043155,4.8229548640944495,-7.527827195798764
SPAC977.05c,-6.542044175634481,0.6337005610543365,-7.1757447366888165
SPNCRNA.136,15.564883078416806,18.895606492161306,-3.330723413744497
SPNCRNA.601,-22.59488166748611,-7.641040850642187,-14.953840816843922
SPAC977.07c,-0.3982876221227549,4.749777456110905,-5.148065078233659
SPAC977.09c,107.79869598508768,107.79870131070936,-5.325621685869919e-06
SPNCRNA.19,107.79869598508768,107.79870131070936,-5.325621685869919e-06
SPAC977.11,-16.44025137237884,21.59128416159544,-38.03153553397428
SPAC977.13c,-22.943380969302105,-0.2843979380633499,-22.658983031238755
SPAC977.15,-15.09627237212682,4.774672919293638,-19.87094529142046
SPAC977.16c,-13.288068822056587,5.4966913736053336,-18.78476019566192
SPNCRNA.37,6.649971991094066,10.535142156593091,-3.8851701654990234
SPAPJ695.01c,-13.671783387414484,-4.356530487646825,-9.31525289976766
SPNCRNA.76,-3.1067798166145515,3.960068227151624,-7.066848043766174
SPNCRNA.603,-2.672876197720484,1.3261294581064504,-3.9990056558269353
SPNCRNA.607,-26.67753433176397,-0.2371778150686197,-26.440356516695356
SPAC1F8.06,-30.361121089214567,-4.096120761240447,-26.265000327974125
SPAC1F8.08,-13.327299900141302,18.08272637814668,-31.41002627828798
SPAC11D3.19,-27.78947097809614,-13.190340848542194,-14.599130129553945
SPAC11D3.01c,-18.169361139660747,9.847789833895707,-28.017150973556447
SPNCRNA.608,-27.617427091274887,-11.008238873669274,-16.609188217605613
SPAC11D3.02c,-7.350728244402426,24.761010748189435,-32.11173899259186
SPAC11D3.03c,-17.247524246159042,8.15301232134415,-25.40053656750319
SPAC11D3.05,-13.275200729876573,11.641335526104948,-24.91653625598153
SPAC11D3.07c,-9.208953387877132,23.96299646063545,-33.171949848512575
SPAC11D3.08c,-17.629000140709238,13.335688608585627,-30.96468874929486
SPAC11D3.11c,-4.222436676728215,27.47572956516288,-31.698166241891087
SPAC11D3.14c,1.7138855903255674,32.2821182791032,-30.568232688777638
SPNCRNA.609,-24.0897491923548,10.848984402718663,-34.93873359507346
SPNCRNA.147,-14.24244748188649,-5.80672310401746,-8.435724377869027
SPNCRNA.610,-22.835877834807096,-12.984633913267093,-9.851243921540004
SPAC11D3.16c,-17.687084583883077,16.618393400568227,-34.3054779844513
SPAC11D3.18c,-24.735759658870954,-9.397617742599712,-15.338141916271242
SPNCRNA.612,-24.97676505274271,-5.412615351484934,-19.564149701257772
SPAC5H10.01,-11.17716573986815,13.80615268890554,-24.98331842877369
SPAC5H10.03,0.5038427895526709,28.026540388284214,-27.52269759873155
