,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
SPAC212.11,-24.3134433273874,-8.283879086700615,-16.029564240686778
SPAC212.09c,-15.164092096304751,12.365256881557643,-27.52934897786239
SPAC212.04c,-22.32767156468287,6.584992881842503,-28.912664446525373
SPAC212.01c,-16.545058047462913,-9.102906285237804,-7.442151762225111
SPNCRNA.601,-22.59488166748591,-7.641040850642195,-14.953840816843714
SPAC977.11,-16.4402513723788,21.59128416159562,-38.03153553397442
SPAC977.13c,-22.94338096930213,-0.2843979380633321,-22.658983031238797
SPAC977.15,-15.096272371907848,4.774672919293501,-19.870945291201352
SPAC977.16c,-13.288068822056609,5.496691373605793,-18.784760195662397
SPNCRNA.76,-3.1067798166107963,3.9600682271516336,-7.06684804376243
SPNCRNA.603,-2.6728761977204907,1.3261294581064575,-3.9990056558269487
SPNCRNA.607,-26.67753433176398,-0.2371778150686801,-26.4403565166953
SPAC1F8.06,-30.36112108921454,-4.096120761240371,-26.26500032797417
SPAC1F8.08,-13.327299900141131,18.082726378087923,-31.41002627822905
SPAC11D3.19,-27.789470978635627,-13.190340848542187,-14.599130130093437
SPAC11D3.01c,-18.169361139660786,9.847789833895114,-28.0171509735559
SPNCRNA.608,-27.617427091257692,-11.008238873669267,-16.60918821758842
SPAC11D3.02c,-7.350728244402203,24.7610107481874,-32.11173899258961
SPAC11D3.03c,-17.247524246159053,8.153012321344335,-25.40053656750339
SPAC11D3.05,-13.275200729876554,11.641335526160624,-24.916536256037183
SPAC11D3.07c,-9.208953387875958,23.962996460636436,-33.17194984851239
SPAC11D3.08c,-17.629000140709373,13.335688608585446,-30.96468874929481
SPAC11D3.11c,-4.222436676727907,27.47572956516244,-31.698166241890345
SPAC11D3.14c,1.7138855903243098,32.2821182791035,-30.56823268877919
SPNCRNA.609,-24.089749192354788,10.848984402718994,-34.938733595073785
SPNCRNA.610,-22.8358778348077,-12.984633913267093,-9.851243921540608
SPAC11D3.16c,-17.687084583883184,16.618393400567967,-34.305477984451144
SPAC11D3.18c,-24.73586030553676,-9.397617742599703,-15.338242562937056
