,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC212.11,-115.35190864592995,-64.35768921508979,-50.5507562664916,0.44346316434855737
SPAC212.09c,-160.95265331690027,-86.20871897363533,-78.19700975250936,-3.4530754092444056
SPNCRNA.70,-6.334978382666573,-5.468621645621217,-0.0113105346070391,0.8550462024383165
SPAC212.12,-37.75417740395928,-19.592327263049636,-18.575083716356357,-0.4132335754467107
SPAC212.04c,-164.78133224511862,-72.20673496631059,-84.90392885043197,7.670668428376075
SPAC212.03,-11.376543832943494,-0.0113105346070391,-9.281321763644334,2.0839115346921204
SPAC212.02,-0.07540049617483859,-0.0113105346070391,-0.0113105346070391,0.05277942696076039
SPAC212.01c,-56.75770519481554,-24.848539511362723,-32.30197261091944,-0.3928069274666228
SPAC977.03,-9.569042525433202,-0.0113105346070391,-7.9070290746279275,1.650702916198238
SPAC977.04,-15.922804026605327,-6.2406215044519175,-9.627552202705534,0.05463031944787744
SPAC977.05c,-14.901890008833925,-10.036632710513883,-4.7564482494633005,0.10880904885673814
SPNCRNA.136,-7.4881722767621826,-4.3440215703510185,-4.7564482494633005,-1.6122975430521382
SPNCRNA.601,-115.66228891526836,-60.078098170575984,-58.120773425387384,-2.53658268069502
SPAC977.07c,-26.02828186350433,-11.95737102746665,-14.220309665937764,-0.14939882990008613
SPAC977.09c,-0.07540049617483859,-0.0113105346070391,-0.0113105346070391,0.05277942696076039
SPNCRNA.19,-0.07540049617483859,-0.0113105346070391,-0.0113105346070391,0.05277942696076039
SPAC977.11,-168.5317291166869,-82.35797661421572,-87.25060930671911,-1.0768568042479103
SPAC977.13c,-146.8352690590861,-81.74564866521433,-76.14618938422565,-11.056568990353897
SPAC977.15,-154.19403253714088,-83.33848577430899,-71.49057395729801,-0.6350271944661472
SPAC977.16c,-173.34295788951545,-90.26876522759031,-87.66567396268131,-4.591481300756159
SPNCRNA.37,-20.393158160771375,-6.5072055484503375,-13.178639965723065,0.7073126465979769
SPAPJ695.01c,-22.84647145912059,-11.659777352868321,-11.186284693312164,0.00040941294009755325
SPNCRNA.76,-80.55509707177708,-38.424749511792825,-43.770376515913924,-1.6400289559296652
SPNCRNA.603,-56.921679642359116,-25.02508089704175,-32.05742105635275,-0.1608223110353748
SPNCRNA.607,-175.52269168705232,-92.78060809158623,-90.25056694249413,-7.508483347028061
SPAC1F8.06,-186.87314577922712,-93.16130286599899,-91.42508809737656,2.286754815851509
SPAC1F8.08,-164.83798961934662,-86.46711304595247,-82.4136274263656,-4.042750852971409
SPAC11D3.19,-133.9564468753888,-69.69672493633502,-66.63323903805697,-2.373517099003209
SPAC11D3.01c,-229.4032939983564,-119.6827822193653,-103.87896281222632,5.841548966764804
SPNCRNA.608,-166.2003742609883,-89.50798095725617,-74.89416321153007,1.798230092202061
SPAC11D3.02c,-237.26297062588785,-119.4322234415251,-124.11279195342013,-6.282044769057393
SPAC11D3.03c,-145.8029988037302,-77.21552989271028,-69.04698021595823,-0.4595113049383031
SPAC11D3.05,-207.46146457620117,-121.277343470465,-124.39809496284481,-38.213973857108606
SPAC11D3.07c,-224.50697015199074,-114.073211357779,-113.52242657839469,-3.0886677841829453
SPAC11D3.08c,-221.39478492639455,-114.49085235918528,-111.19895136010963,-4.295018792900351
SPAC11D3.11c,-183.3666711848696,-95.6354224556685,-91.9666351195549,-4.235386390353767
SPAC11D3.14c,-177.72872973863772,-90.47140514328623,-91.25824289958773,-4.000918304236252
SPNCRNA.609,-191.21924365538987,-98.81661921304804,-96.39853330268411,-3.995908860342325
SPNCRNA.147,-35.71772838855654,-18.05001672292913,-18.04087554589796,-0.3731638802705533
SPNCRNA.610,-70.65947028848808,-35.11398537602038,-33.937951041914104,1.6075338705535955
SPAC11D3.16c,-201.8126637809877,-103.00856952975404,-102.67352494671644,-3.8694306954827766
SPAC11D3.18c,-148.1540930685938,-76.0812864383918,-73.65693469349347,-1.5841280632914732
SPNCRNA.612,-160.88374362515685,-86.1915945729183,-75.25956385818881,-0.5674148059502501
SPAC5H10.01,-135.29759808544023,-70.39666128985215,-68.67773252623641,-3.776795730648331
SPAC5H10.03,-281.91733779104,-140.4813065915017,-147.52685560118454,-6.090824401646216
SPAC5H10.04,-160.90162458805608,-85.37051681965174,-79.41443205080971,-3.88332428240534
SPAC5H10.06c,-218.84644831677986,-111.35034389306587,-116.10347603466958,-8.607371610955598
SPAC5H10.08c,-209.54230809783792,-109.49116664597435,-101.59597129502586,-1.5448298431623186
SPAC5H10.09c,-163.55323260265575,-83.07110889465683,-83.47044120938881,-2.9883175013899006
SPAC5H10.10,-210.02310587133888,-103.844601985901,-111.36766751354014,-5.189163628102307
SPAC5H10.11,-116.45431933768623,-61.18963318287739,-59.90444425250264,-4.639758097693799
SPAC5H10.12c,-217.36536860416172,-111.00728035284172,-111.09326127533015,-4.735173024010123
SPAC5H10.13c,-234.50042888292546,-118.55167738342584,-120.1588205146188,-4.2100690151191875
SPNCRNA.617,-142.59825503667494,-76.52612544453903,-67.58736563145986,-1.5152360393239803
SPAC13G6.01c,-249.59753255479896,-129.10649920551649,-125.20916483681073,-4.718131487528269
SPSNORNA.49,-0.07540049617483859,-0.0113105346070391,-0.0113105346070391,0.05277942696076039
SPAC13G6.03,-224.03994690632987,-115.270090443791,-113.38585113824593,-4.615994675707043
SPNCRNA.618,-125.20133375396404,-64.82131509642049,-58.93921325744774,1.4408054000958117
SPNCRNA.620,-78.61143573046078,-45.23677543509877,-36.38210812138298,-3.0074478260209787
SPAC13G6.14,-214.08171752301013,-109.63264694031615,-109.93803498488728,-5.4889644021932895
SPAC13G6.15c,-191.11529674638763,-98.23123805955959,-95.56228487860444,-2.678226191776446
SPNCRNA.621,-150.1195949779575,-77.55067164053241,-76.13024033211511,-3.5613169946900314
SPAC24B11.05,-223.562561606322,-115.29983389584629,-113.5798172126052,-5.317089502129591
SPAC24B11.08c,-185.2233235455021,-95.14451462741032,-92.94239278532227,-2.8635838672305174
SPNCRNA.142,-32.935757807174724,-15.653251563348913,-16.158425088370596,1.1240811554552046
SPAC24B11.09,-203.84655861077857,-104.74661045229092,-100.61474298427544,-1.5147948257877886
SPAC24B11.11c,-220.87307553506432,-115.35560197754968,-113.44892971465539,-7.931456157140786
SPAC24B11.12c,-282.8140699650417,-144.65839708962778,-144.1382431533301,-5.982570277916125
SPNCRNA.624,-182.05674232410772,-86.3886560365235,-80.47423906060084,15.193847226983365
SPAC806.02c,-233.40270813134387,-120.7448553496894,-117.9454654224328,-5.28761264077832
SPNCRNA.625,-129.51351017777347,-67.75287146522585,-63.75405390625413,-1.993415193706511
SPAC806.11,-81.9671846842773,-42.52125018944007,-39.240481220190475,0.2054532746467572
SPNCRNA.03,-0.07540049617483859,-0.0113105346070391,-0.0113105346070391,0.05277942696076039
SPNCRNA.626,-149.71118314150243,-82.56010558089898,-76.76476522150219,-9.613687660898734
