,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC212.11,-113.28242084612404,-64.20383650046044,-49.33184412607441,-0.25325978041078656
SPAC212.09c,-161.12198131216363,-86.23843972220072,-78.30722585252411,-3.42368426256121
SPAC212.04c,-164.69906549953663,-72.1891766808081,-84.85022034612038,7.65966847260816
SPAC212.01c,-52.19430848258697,-21.412467938928962,-30.568415351948047,0.213425191709959
SPNCRNA.601,-115.77360610560406,-59.60828751924552,-58.77100802437458,-2.605689438016043
SPAC977.11,-168.59714791048935,-82.45826321493578,-87.35050134356474,-1.2116166480111588
SPAC977.13c,-147.10629803396176,-81.77125357412518,-76.11864433117853,-10.783599871341977
SPAC977.15,-154.21360621371323,-83.2261715054864,-71.30748286177301,-0.3200481535461961
SPAC977.16c,-173.4725864310461,-90.44846641240292,-87.67612920149695,-4.652009182853759
SPNCRNA.76,-78.93741264474367,-44.54825255329514,-43.296027048125296,-8.90686695667678
SPNCRNA.603,-44.852766406723006,-18.266118201721024,-26.641422945560326,-0.05477474055834364
SPNCRNA.607,-175.6815790273091,-92.81278916171992,-90.22715239346277,-7.358362527873595
SPAC1F8.06,-187.43775761728284,-93.49902371846632,-91.41002537917595,2.5287085196405314
SPAC1F8.08,-164.8223354395411,-86.41515280159236,-82.50032137668903,-4.0931387387402935
SPAC11D3.19,-133.68826409109263,-69.19171826616177,-67.00700341603219,-2.5104575911013285
SPAC11D3.01c,-229.36528417009382,-119.66008853891948,-103.83015865066645,5.875036980507872
SPNCRNA.608,-165.93334701220218,-89.32980973709722,-74.84329894196387,1.7602383331410751
SPAC11D3.02c,-237.26186889609681,-119.42445021599737,-124.12084268269072,-6.283424002591289
SPAC11D3.03c,-145.60117734579148,-77.103543602025,-68.68762010010128,-0.18998635633482766
SPAC11D3.05,-207.48557063653342,-121.27541235818943,-124.38278094940355,-38.17262267105952
SPAC11D3.07c,-224.5168451111616,-114.07651142836659,-113.53183310006338,-3.0914994172684374
SPAC11D3.08c,-221.36223420883118,-114.46706616001914,-111.18877978093599,-4.293611732123964
SPAC11D3.11c,-183.3410419798193,-95.576101274592,-91.98927837754756,-4.224337672320274
SPAC11D3.14c,-177.74932966009712,-90.4605950913636,-91.25088282839764,-3.9621482596641333
SPNCRNA.609,-191.33955954755896,-98.92651049073376,-96.3696510655395,-3.9566020087142704
SPNCRNA.610,-65.89814718430355,-31.58259054828527,-32.270616315216586,2.0449403208017003
SPAC11D3.16c,-201.78885567111973,-103.00104314502373,-102.65111391051086,-3.8633013844148536
SPAC11D3.18c,-147.9563690656368,-75.84654622648587,-73.700641724808,-1.5908188856570575
SPNCRNA.612,-162.03977619940457,-86.98191055211383,-75.19449181699358,-0.13662616970285058
SPAC5H10.01,-135.36350089699027,-70.44649920511077,-68.65887885363765,-3.7418771617581403
SPAC5H10.03,-276.9522748059386,-140.4816899256819,-147.51694360414314,-11.046358723886442
SPAC5H10.04,-160.68409382305651,-85.25015058375482,-79.35970882208998,-3.925765582788273
SPAC5H10.06c,-218.83203205268512,-111.36267805307844,-116.09901719704588,-8.629663197439186
SPAC5H10.08c,-209.63320431008975,-109.48272942000854,-101.6118260507136,-1.4613511606323468
SPAC5H10.09c,-163.6235298788579,-83.047226382503,-83.55121182644166,-2.9749083300867483
SPAC5H10.10,-209.9894617795173,-103.82870783284734,-108.6817350709168,-2.520981124246788
SPAC5H10.11,-114.88061855618851,-60.510899010547035,-59.155918387132864,-4.786198841491384
SPAC5H10.12c,-217.42508819040276,-111.0097867627967,-111.11714322184088,-4.7018417942348085
SPAC5H10.13c,-234.47822446876947,-118.5342273265121,-120.15102250964424,-4.207025367386876
SPNCRNA.617,-143.17693905755453,-77.01139221920742,-67.46471679945725,-1.299169961110124
SPAC13G6.01c,-245.22320339600498,-129.10619328247145,-125.21410147533425,-9.097091361800693
SPAC13G6.03,-223.90304606543427,-115.27062847376983,-113.39736829383273,-4.764950702168335
SPNCRNA.618,-124.98139330223673,-64.51329949072387,-59.25907795131025,1.2090158602026122
SPNCRNA.620,-71.4149473683668,-39.8622783576786,-32.04114802932964,-0.4884790186414278
SPAC13G6.14,-214.0737182671552,-109.63721477614612,-109.93102316701994,-5.494519676010896
SPAC13G6.15c,-191.1139629350483,-98.20761898078665,-94.4192460936076,-1.5129021393459254
SPNCRNA.621,-149.8695259079363,-77.4451907270882,-76.05424141863445,-3.6299062377863724
SPAC24B11.05,-223.573961472694,-115.30748307569269,-113.57951672213272,-5.3130383251314015
SPAC24B11.08c,-185.2260907577502,-95.20998688208445,-92.88797419274415,-2.871870317078418
SPAC24B11.09,-203.8909511788133,-104.78306216565596,-100.620207776006,-1.5123187628486219
SPAC24B11.11c,-220.8903646073924,-115.36231692120035,-113.461894743171,-7.933847056979033
SPAC24B11.12c,-282.8117578199392,-144.65896683927653,-144.14646462126348,-5.993673640600889
SPNCRNA.624,-164.89527124714917,-86.36076845315661,-80.58220602750455,-2.04770323351201
SPAC806.02c,-233.46361245697048,-120.78706233807124,-117.96671240567514,-5.290162286775882
SPNCRNA.625,-129.06918206955186,-67.29431895930553,-63.72046685417853,-1.9456037439322529
SPAC806.11,-74.31139234920602,-38.25824313904529,-36.73014257441422,-0.6769933642534909
SPNCRNA.626,-149.76508705873826,-82.5140795224126,-76.64878586924036,-9.397778332914696
SPNCRNA.627,-80.26833443537492,-37.912558661776345,-43.24161907632214,-0.8858433027235435
SPNCRNA.628,-69.49857964531678,-26.105541233329998,-40.6627609980152,2.7302774139715917
SPAC806.06c,-208.6660613217234,-102.94373839137415,-109.53775086172907,-3.815427931379844
SPAC806.07,-232.63004443149148,-124.93803257136395,-115.43986244418512,-7.747850584057603
SPNCRNA.630,-138.354604772325,-73.50085821639334,-69.21903626473514,-4.365289708803516
SPAC1F5.11c,-261.283963457002,-135.36596781300278,-158.90582963502672,-32.987833991027514
