,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPNCRNA.887,-145.71911838500762,-76.27137526033133,-74.54842401749686,-5.100680892820549
SPAC688.10,-197.21598648494566,-103.63341824332569,-97.29369784018584,-3.7111295985658614
SPAC688.11,-243.7960169002964,-123.96310788608344,-123.40424138361801,-3.5713323694050416
SPAC688.12c,-183.87161156655205,-98.43912910539697,-84.10999094616876,1.3224915149862966
SPAC3G9.16c,-141.67746687083385,-69.2112072842031,-74.91424700885518,-2.447987422224429
SPAC3G9.14,-227.62371302482072,-117.59983311268314,-115.25988422896195,-5.2360043168243635
SPAC3G9.12,-227.56330446600367,-116.0750058842689,-116.67338494081625,-5.185086359081481
SPATRNAALA.03,-201.57209669306795,-100.88361957177628,-103.9908300809428,-3.302352959651131
SPAC3G9.10c,-203.7846542471301,-104.57918707216228,-102.64123943609047,-3.4357722611226507
SPRRNA.14,-297.6109742699571,-149.78514340480058,-152.27000258953373,-4.444171724377213
SPAC3G9.08,-190.9250327851062,-100.34861632243432,-91.66209279240279,-1.0856763297309158
SPAC3G9.05,-202.02248101313185,-104.82157909424782,-102.86186294369651,-5.6609610248124795
SPAC3G9.04,-182.8687392477615,-94.9039193097514,-92.28800219331102,-4.323182255300907
SPNCRNA.893,-349.58181978206096,-175.79794957869095,-178.48366388664957,-4.699793683279552
SPNCRNA.87,-88.28838145359377,-45.48727863617852,-44.434513168685264,-1.6334103512700153
SPAC3G9.02,-183.56672031086643,-95.08241118485726,-88.43641304217701,0.047896083832171144
SPAC1486.02c,-197.0198952101026,-101.70994872141316,-101.38346797955965,-6.073521490870206
SPAC1486.03c,-202.07467924932666,-106.6125662143204,-97.09838454869282,-1.6362715136865518
SPNCRNA.14,-51.1918073172888,-18.427116182312055,-30.185081466361055,2.5796096686156886
SPAC1486.04c,-248.40517017258736,-126.34487347249605,-126.80578597216788,-4.745489272076554
SPAC1486.06,-218.40990642511284,-114.84957753315416,-107.43179227774573,-3.8714633857870524
SPNCRNA.895,-77.81490597917254,-35.18212673705915,-42.31722931100028,0.3155499311130967
SPAC1486.09,-253.0714040014667,-130.5743880368991,-126.49277380100463,-3.9957578364370647
SPAC6G10.06,-79.70992250787265,-42.65597632579673,-34.21517291964274,2.838773262433179
SPAC6G10.11c,-365.3858829170301,-185.766593668686,-184.6137101416067,-4.994420893262657
SPAC6G10.12c,-218.5454332281543,-114.05060798515133,-108.46397954306275,-3.9691543000597562
SPNCRNA.897,-120.83309188418349,-63.11351231810111,-59.69199027487712,-1.9724107087947402
SPAC6G9.01c,-185.4126794931934,-96.37186361089891,-96.38330281407903,-7.342486931784549
SPAC6G9.04,-205.2865941551255,-104.58166954410525,-105.65972434644856,-4.95479973542831
SPAC6G9.05,-186.26810022713371,-94.67695082553116,-95.75152746102239,-4.160378059419855
SPAC6G9.06c,-213.7467084284906,-106.67505456403231,-111.69809043068325,-4.626436566224982
SPNCRNA.898,-123.14795995472211,-63.48327051698004,-58.35550252677896,1.3091869109631062
SPAC6G9.07c,-211.0405885865781,-112.05335357134462,-106.34658289404366,-7.359347878810183
SPAC6G9.08,-231.1332435787743,-119.67895489073247,-118.03938386186587,-6.585095173824044
SPAC6G9.10c,-279.44988273814675,-143.58819557704203,-140.33653299098475,-4.474845829880053
SPAC6G9.11,-223.121884022336,-111.8711653379951,-116.52562484374604,-5.2749061594051625
SPAC6G9.13c,-90.3841380398838,-47.267255902171264,-42.51964917928515,0.5972329584273837
SPAC6G9.14,-204.45568295850717,-107.29223821990131,-100.78232131917981,-3.6188765805739536
SPAC6G9.16c,-173.65854210117686,-85.5667475838266,-89.95447033466736,-1.862675817317097
SPAPB1E7.02c,-192.94683800851485,-102.62295573600176,-91.12530449090166,-0.8014222183885806
SPAPB1E7.05,-244.212323276172,-124.57376387223923,-123.57987334883846,-3.9413139449057155
SPAPB1E7.08c,-227.98242393569208,-121.28343161348752,-118.17940485538833,-11.480412533183767
SPAPB1E7.09,-239.3446730069536,-120.87608500991307,-124.01922309498394,-5.550635097943427
SPAPB1E7.11c,-192.97010058460145,-99.36791838969961,-98.51250699712689,-4.9103248022250625
SPAPB1E7.12,-332.5494469974673,-167.04659712115892,-170.5418221662522,-5.038972289943786
SPAPB1E7.14,-186.06262811462605,-96.98685085902665,-93.5859888752878,-4.510211619688391
SPAC2E1P5.02c,-168.26748275278769,-88.9405412059995,-82.9091698222674,-3.5822282754791956
