,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
SPAC212.11,-63.17995183485001,-63.561233602053505,0.3812817672034967
SPAC212.09c,-85.00988575468769,-84.22498596544824,-0.7848997892394323
SPNCRNA.70,-5.399100377555566,-5.3990404039675965,-5.997358797138474e-05
SPAC212.12,-19.143947803337625,-19.143896861397373,-5.09419402519029e-05
SPAC212.04c,-71.02200398972235,-71.02196645230543,-3.753741690104562e-05
SPAC212.03,-0.0113105346070391,-0.0027161359163285484,-0.008594398690710551
SPAC212.02,-0.0113105346070391,-0.0027161359163285484,-0.008594398690710551
SPAC212.01c,-23.98330281304218,-23.98330276143172,-5.161045990575985e-08
SPAC977.03,-0.0113105346070391,-0.0027161359163285484,-0.008594398690710551
SPAC977.04,-6.176398482861012,-6.171873707736121,-0.004524775124890468
SPAC977.05c,-9.896613570187872,-9.896613283945797,-2.8624207537575325e-07
SPNCRNA.136,-3.9529915635286312,-3.952414484226848,-0.000577079301783634
SPNCRNA.601,-58.8808531884594,-58.880824474667214,-2.871379218305492e-05
SPAC977.07c,-11.680094879525258,-11.680094814988498,-6.453675993611796e-08
SPAC977.09c,-0.0113105346070391,-0.0027161359163285484,-0.008594398690710551
SPNCRNA.19,-0.0113105346070391,-0.0027161359163285484,-0.008594398690710551
SPAC977.11,-81.15913274411973,-81.16625270866768,0.0071199645479538285
SPAC977.13c,-80.50558298782217,-120.45963369538624,39.95405070756409
SPAC977.15,-82.14753053494644,-102.13562333003692,19.98809279509049
SPAC977.16c,-89.05619138166145,-110.90669487046533,21.85050348880389
SPNCRNA.37,-6.258423372711289,-6.258145383972746,-0.00027798873854312234
SPAPJ695.01c,-11.509905169768565,-11.509905234130207,6.436163957346254e-08
SPNCRNA.76,-37.321166854527824,-36.896674511782756,-0.42449234274507575
SPNCRNA.603,-24.34991828515449,-24.34991824190001,-4.3254480885934754e-08
SPNCRNA.607,-91.57226279483773,-94.14869504263136,2.576432247793633
SPAC1F8.06,-91.96107397063022,-93.37072881074955,1.409654840119302
SPAC1F8.08,-85.29130571672175,-85.3029575104826,0.011651793760847795
SPAC11D3.19,-68.46471076979026,-68.75448055509467,0.28976978530441494
SPAC11D3.01c,-118.51851663053391,-130.2290425166613,11.710525886127416
SPNCRNA.608,-88.18941320372599,-88.19049503437088,0.001081830644892534
SPAC11D3.02c,-118.28433882056892,-120.50065550450476,2.2163166839358155
SPAC11D3.03c,-76.02789698499829,-76.04692481346099,0.019027828462668598
SPAC11D3.05,-120.09464399190512,-122.44292427190777,2.3482802800026548
SPAC11D3.07c,-112.85407359410357,-112.85106499023058,-0.0030086038729706392
SPAC11D3.08c,-113.29673963143959,-113.71300647809844,0.4162668466588429
SPAC11D3.11c,-94.45276373267359,-94.45041117813959,-0.002352554533999296
SPAC11D3.14c,-89.31459009308745,-95.10060260372008,5.786012510632631
SPNCRNA.609,-97.63438425707355,-97.63417409769852,-0.00021015937501545068
SPNCRNA.147,-17.613359803766837,-17.613359220317108,-5.834497294188168e-07
SPNCRNA.610,-34.20101708128488,-34.200975409760034,-4.1671524847686214e-05
SPAC11D3.16c,-101.80113402374077,-101.80408730001874,0.002953276277978034
SPAC11D3.18c,-74.7778210220919,-74.80050349499577,0.022682472903866824
SPNCRNA.612,-84.9316320555941,-84.929739098043,-0.0018929575510924226
SPAC5H10.01,-69.21866856636527,-69.23926592510365,0.020597358738370986
SPAC5H10.03,-139.27005293842979,-167.47817021713638,28.20811727870657
SPAC5H10.04,-84.18231600099595,-87.62635362365076,3.444037622654818
SPAC5H10.06c,-110.20079861002137,-110.1986296979312,-0.002168912090169784
SPAC5H10.08c,-108.26057545375559,-108.25911878710569,-0.0014566666499149505
SPAC5H10.09c,-81.86737215372224,-81.91508236272921,0.04771020900696499
SPAC5H10.10,-102.58260498580685,-150.5641161048922,47.98151111908536
SPAC5H10.11,-59.997705100732716,-61.6818967421603,1.6841916414275817
SPAC5H10.12c,-109.83374538109268,-109.83496411221137,0.001218731118669325
SPAC5H10.13c,-117.38652618570072,-117.3854118585408,-0.0011143271599109994
SPNCRNA.617,-75.2404310200387,-75.25053333681969,0.010102316780972842
SPAC13G6.01c,-128.00159553543972,-127.98271815306936,-0.018877382370348528
SPSNORNA.49,-0.0113105346070391,-0.0027161359163285484,-0.008594398690710551
SPAC13G6.03,-114.16422535172171,-114.17082238879743,0.006597037075735557
SPNCRNA.618,-63.57604546782999,-67.45643600353432,3.880390535704322
SPNCRNA.620,-44.271600768039455,-44.273505544791696,0.0019047767522479828
SPAC13G6.14,-108.41033330718172,-108.42165617994849,0.0113228727667547
SPAC13G6.15c,-97.04885702944115,-97.04878192108518,-7.510835598623089e-05
SPNCRNA.621,-76.3880527864097,-76.39073586569174,0.0026830792820362603
SPAC24B11.05,-114.09468017023792,-114.75717540381521,0.6624952335772889
SPAC24B11.08c,-93.957348347431,-94.63032016795451,0.6729718205235145
SPNCRNA.142,-15.387609063452025,-15.26278334770666,-0.12482571574536296
SPAC24B11.09,-103.61979187778788,-103.61746625793694,-0.0023256198509358232
SPAC24B11.11c,-114.10458521862296,-115.09587889574152,0.9912936771185484
SPAC24B11.12c,-143.43915057775894,-144.1460393718533,0.7068887940943966
SPNCRNA.624,-85.21875204025112,-85.2141244593672,-0.00462758088390558
SPAC806.02c,-119.62014773795966,-119.5673201774328,-0.05282756052685045
SPNCRNA.625,-66.53953511824021,-66.53952278789635,-1.2330343849953353e-05
SPAC806.11,-41.53931563850536,-41.53839750704673,-0.0009181314586328426
SPNCRNA.03,-0.0113105346070391,-0.0027161359163285484,-0.008594398690710551
SPNCRNA.626,-81.37674599328487,-82.2475210370687,0.8707750437838229
