,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
SPAC212.11,-63.17995201381852,-63.56124581015706,0.3812937963385323
SPAC212.09c,-85.00988337464416,-84.2251124959084,-0.7847708787357561
SPAC212.04c,-71.022037982037,-71.02196609095019,-7.189108681870948e-05
SPAC212.01c,-23.983302813042172,-23.98330276143172,-5.161045635304618e-08
SPNCRNA.601,-58.886306528203754,-58.8808256506542,-0.005480877549558727
SPAC977.11,-81.16067103086661,-81.16625279503434,0.005581764167729375
SPAC977.13c,-80.50558410012404,-120.43943914987965,39.93385504975559
SPAC977.15,-82.14753178481655,-102.12771930700006,19.980187522183517
SPAC977.16c,-89.05614264598144,-110.89088022801243,21.834737582030982
SPNCRNA.76,-4008304.5779858213,-2744.2808956101003,-4005560.2970902114
SPNCRNA.603,-24.34991828653318,-24.349918241895555,-4.463762337536537e-08
SPNCRNA.607,-91.57226388234191,-94.15090935352949,2.578645471187542
SPAC1F8.06,-91.96107123248709,-93.37094544148216,1.4098742089950775
SPAC1F8.08,-85.29664151664967,-85.30295618605797,0.006314669408297391
SPAC11D3.19,-68.46471177544433,-68.75463831289214,0.28992653744781194
SPAC11D3.01c,-118.51851766303905,-130.23622446619885,11.717706803159802
SPNCRNA.608,-88.19016096796886,-88.19049429583882,0.0003333278699528819
SPAC11D3.02c,-118.28453796952999,-120.49913515272965,2.2145971831996576
SPAC11D3.03c,-76.02752455499956,-76.04692404980435,0.0193994948047731
SPAC11D3.05,-120.09475018648321,-122.44360327568148,2.348853089198286
SPAC11D3.07c,-112.85388542331582,-112.85106313736736,-0.0028222859484543505
SPAC11D3.08c,-113.29676170909977,-113.71306174733891,0.4163000382391289
SPAC11D3.11c,-94.45658471125515,-94.45041021078545,-0.006174500469711575
SPAC11D3.14c,-89.31511594192939,-95.14750747127529,5.832391529345897
SPNCRNA.609,-97.63517276694643,-97.63417441728404,-0.0009983496623817698
SPNCRNA.610,-34.201017081334236,-34.20097540956007,-4.167177417002677e-05
SPAC11D3.16c,-101.79938470985914,-101.80408719988493,0.004702490025792372
SPAC11D3.18c,-74.77714078676897,-74.80050474363604,0.02336395686705828
SPNCRNA.612,-84.93021457451961,-84.92973854745905,-0.0004760270605572714
SPAC5H10.01,-69.21808733954839,-69.23926634260084,0.021179003052466783
SPAC5H10.03,-139.27056358124636,-167.50078326846474,28.23021968721841
SPAC5H10.04,-84.18241371263109,-87.62430442844628,3.4418907158151915
SPAC5H10.06c,-110.20099156478555,-110.19862854886156,-0.0023630159240042303
SPAC5H10.08c,-108.2628746757028,-108.25911587779656,-0.003758797906243672
SPAC5H10.09c,-81.86646965743759,-81.91508144421636,0.04861178677874989
SPAC5H10.10,-102.58334266055563,-150.51642557044534,47.93308290988972
SPAC5H10.11,-59.99770510205741,-61.68176637879512,1.684061276737708
SPAC5H10.12c,-109.83286582256613,-109.8349620841035,0.0020962615373463227
SPAC5H10.13c,-117.38865222721435,-117.38540962146593,-0.003242605748425831
SPNCRNA.617,-75.23964203401223,-75.25053354729734,0.010891513285116616
SPAC13G6.01c,-128.00398512770786,-127.9827207002336,-0.02126442747425017
SPAC13G6.03,-114.1648492419908,-114.170847211972,0.005997969981208939
SPNCRNA.618,-63.57604526160949,-67.45742218093875,3.881376919329256
SPNCRNA.620,-44.27159907852576,-44.273505598280714,0.0019065197549537059
SPAC13G6.14,-108.40703840882401,-108.42178589779364,0.014747488969632629
SPAC13G6.15c,-97.04896542260781,-97.04878514411423,-0.0001802784935875934
SPNCRNA.621,-76.38811372539531,-76.39073605485126,0.00262232945594576
SPAC24B11.05,-114.0946223297618,-114.75736979001962,0.6627474602578047
SPAC24B11.08c,-93.95735660908467,-94.62844384141977,0.6710872323351253
SPAC24B11.09,-103.61906540854885,-103.6174666205971,-0.001598787951749614
SPAC24B11.11c,-114.10461524448392,-115.0967838415651,0.9921685970811752
SPAC24B11.12c,-143.43911745644672,-144.14552352770144,0.7064060712547189
SPNCRNA.624,-85.22296432803427,-85.21412605806452,-0.008838269969757562
SPAC806.02c,-119.61340625314564,-119.56706614085286,-0.04634011229281043
SPNCRNA.625,-66.5402117089749,-66.53952276264735,-0.0006889463275427943
SPAC806.11,-41.539315871976704,-41.5383975092508,-0.0009183627258977367
SPNCRNA.626,-81.3767881676157,-82.24697123491943,0.8701830673037279
SPNCRNA.627,-39.72017432005952,-39.71972071530517,-0.0004536047543552968
SPNCRNA.628,-29.087490066550547,-29.111094167838587,0.023604101288043463
SPAC806.06c,-101.53045766120323,-101.45326233351092,-0.07719532769230852
SPAC806.07,-123.70012844136801,-124.09933774264928,0.3992093012813029
SPNCRNA.630,-71.93834635718831,-70.7216561252225,-1.2166902319658135
SPAC1F5.11c,-134.2659771465439,-134.24527495735407,-0.02070218918981936
SPNCRNA.632,-28.00167492902713,-30.300022481440514,2.298347552413386
SPNCRNA.633,-54.676615022470656,-54.966955914147256,0.2903408916765855
SPAC1F5.07c,-103.23907059585872,-103.23445061429224,-0.004619981566492015
SPAC1F5.04c,-120.36452889254136,-120.83106965167177,0.4665407591303818
SPAC1F5.02,-148.41391804175063,-152.08216704549153,3.6682490037408972
SPAC18B11.10,-114.72486834673064,-114.70517681038812,-0.01969153634253473
SPNCRNA.635,-35.86758714981978,-35.8674542757505,-0.00013287406927986467
SPAC18B11.09c,-98.3984674883446,-99.08180859454471,0.6833411062001034
SPAC18B11.08c,-93.72230070493244,-93.72216477067606,-0.000135934256377368
