,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC212.11,-115.35190858089717,-64.35769031523243,-50.5507513371129,0.44346692855184244
SPAC212.09c,-160.95264803968297,-86.20871893921057,-78.1945977856126,-3.450668685140215
SPAC212.04c,-164.78092676648748,-72.20697677807301,-84.90393511757571,7.67001487083877
SPAC212.01c,-56.75770519481554,-24.848539511362723,-32.301972610919435,-0.3928069274666157
SPNCRNA.601,-115.66148525697889,-60.078066784481784,-58.12077464893847,-2.5373561764413637
SPAC977.11,-168.5319347339238,-82.35861905633479,-87.25049033426461,-1.077174656675595
SPAC977.13c,-146.8352756572059,-81.74564819662794,-76.14619174603742,-11.056564285459444
SPAC977.15,-154.1941302386611,-83.33846905350839,-71.49055194267794,-0.634890757525227
SPAC977.16c,-173.34294700917204,-90.26871839664321,-87.66569288532045,-4.591464272791626
SPNCRNA.76,-64.80045839544982,-38.41274668369414,-43.76950782076423,-17.381796109008548
SPNCRNA.603,-56.92167964236299,-25.02508089704193,-32.057421056352744,-0.1608223110316871
SPNCRNA.607,-171.38478499426145,-92.78060785555701,-90.25056327971234,-11.646386141007895
SPAC1F8.06,-186.8731665745807,-93.16130302394514,-91.42504069903396,2.2868228516015847
SPAC1F8.08,-164.83797797158627,-86.46417075576134,-82.41310061137173,-4.0392933955467925
SPAC11D3.19,-133.95644993073697,-69.6967256142708,-66.63958096087103,-2.3798566444048674
SPAC11D3.01c,-229.40330002134033,-119.68279112172146,-103.87896729100375,5.841541608615103
SPNCRNA.608,-166.18493460857442,-89.50887696821452,-74.90938594012387,1.7666717002360315
SPAC11D3.02c,-237.2613320282172,-119.4323820756337,-124.11268757067214,-6.283737618088622
SPAC11D3.03c,-145.8029980209875,-77.21529114273808,-69.04696898935326,-0.45926211110383974
SPAC11D3.05,-207.46038357559044,-121.27733641618164,-124.39817641024466,-38.21512925083587
SPAC11D3.07c,-224.50687779112923,-114.07306143922104,-113.51796017602229,-3.0841438241141077
SPAC11D3.08c,-221.3948293035831,-114.49085057190602,-111.19894844864245,-4.294969716965397
SPAC11D3.11c,-183.9920073660022,-95.62078630636704,-91.96582030431011,-3.594599244674953
SPAC11D3.14c,-177.72945168841855,-90.47675494551537,-91.2584225680882,-4.00572582518501
SPNCRNA.609,-191.23817976630815,-98.81701407840067,-96.39852897193626,-3.977363284028769
SPNCRNA.610,-70.65947026311144,-35.113985375984356,-33.90972114188186,1.635763745245228
SPAC11D3.16c,-188.67437269267214,-103.00829975332096,-102.67354166328298,-17.007468723931794
SPAC11D3.18c,-148.15435559179062,-76.08135927465622,-73.65707323570643,-1.5840769185720376
SPNCRNA.612,-160.8785767611853,-86.19164313594621,-75.2754256509606,-0.5884920257215072
SPAC5H10.01,-135.2963000544783,-70.39049830859106,-68.68475870140547,-3.7789569555182254
SPAC5H10.03,-283.10562740531753,-140.48106871686423,-147.52134013311138,-4.896781444658075
SPAC5H10.04,-162.41901454594452,-85.37052308939846,-79.41443767297555,-2.365946216429478
SPAC5H10.06c,-218.8487956936404,-111.35115829222774,-116.10431454011639,-8.60667713870373
SPAC5H10.08c,-209.53668684304563,-109.49804387405213,-101.59616349939529,-1.5575205304018027
