"","GSM1368273","GSM1368274","GSM1368275","GSM1368276","GSM1368277","GSM1368278","GSM1368279","GSM1368280","GSM1368281","GSM1368282","GSM1368283","GSM1368284","GSM1368285","GSM1368286","GSM1368287","GSM1368288","GSM1368289","GSM1368290"
"SPAC212.11",8,4,25,19,10,31,9,7,10,2,10,8,3,0,8,10,6,10
"SPAC212.09c",23,31,49,39,33,28,91,73,75,40,93,73,55,35,61,43,89,38
"SPNCRNA.70",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SPAC212.12",1,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,1
"SPAC212.04c",37,5,21,27,6,4,33,32,54,10,32,23,25,10,18,25,29,17
"SPAC212.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPAC212.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPAC212.01c",2,0,2,0,0,0,2,0,2,1,1,4,0,0,2,0,0,2
"SPAC977.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPAC977.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SPAC977.05c",0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"SPNCRNA.136",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SPNCRNA.601",36,3,6,23,8,0,11,2,6,7,9,9,21,10,6,19,9,3
"SPAC977.07c",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"SPAC977.09c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPNCRNA.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPAC977.11",155,60,94,107,25,22,110,46,75,22,101,68,72,64,67,73,108,55
"SPAC977.13c",19,9,14,15,22,6,204,98,91,12,116,49,16,14,18,21,21,6
"SPAC977.15",91,32,86,124,60,81,69,47,64,12,72,54,29,9,10,29,29,23
"SPAC977.16c",184,105,175,131,97,89,107,72,139,31,185,131,31,15,37,30,54,21
"SPNCRNA.37",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SPAPJ695.01c",0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0
"SPNCRNA.76",6,3,3,5,3,4,6,3,3,3,2,3,3,0,3,2,6,2
"SPNCRNA.603",1,0,1,0,3,0,13,0,1,0,1,1,2,0,0,0,0,0
"SPNCRNA.607",49,16,37,38,19,2,168,84,135,47,168,93,52,21,19,45,65,21
"SPAC1F8.06",105,50,93,2,13,21,26,39,46,35,104,76,122,85,57,124,96,94
"SPAC1F8.08",151,77,143,94,43,43,91,27,26,23,143,71,77,75,61,111,63,62
"SPAC11D3.19",22,17,24,35,8,0,36,20,32,0,26,11,7,12,7,13,11,7
"SPAC11D3.01c",151,95,131,239,115,60,412,232,256,318,1128,446,1077,202,519,224,959,155
"SPNCRNA.608",127,32,77,92,47,0,81,29,53,31,91,58,71,45,40,62,58,54
"SPAC11D3.02c",1194,491,1011,927,441,366,568,264,297,183,797,314,397,466,266,514,471,325
"SPAC11D3.03c",35,12,23,13,14,53,33,23,22,15,82,30,24,25,19,11,53,11
"SPAC11D3.05",268,102,209,585,424,387,796,537,508,104,317,176,196,143,137,169,292,90
"SPAC11D3.07c",442,224,422,310,119,107,704,390,509,143,593,375,320,249,249,331,363,279
"SPAC11D3.08c",355,204,302,157,82,38,645,348,489,57,346,149,152,118,149,165,202,123
"SPAC11D3.11c",216,91,204,185,93,63,169,180,216,90,249,175,140,142,131,126,211,101
"SPAC11D3.14c",376,176,237,206,109,107,189,91,160,79,236,155,155,113,132,181,208,128
"SPNCRNA.609",139,88,174,23,63,28,116,111,151,67,265,175,124,102,87,136,149,106
"SPNCRNA.147",2,0,0,0,0,0,0,0,1,0,4,0,4,1,0,0,0,0
"SPNCRNA.610",1,0,0,0,5,0,4,3,0,1,7,3,1,7,0,3,0,0
"SPAC11D3.16c",189,74,151,75,83,46,480,171,203,41,225,117,146,115,88,126,100,87
"SPAC11D3.18c",35,18,39,31,22,0,30,17,41,16,48,36,49,16,25,34,36,13
"SPNCRNA.612",62,26,67,1,22,37,73,31,48,32,107,48,38,45,18,58,88,41
"SPAC5H10.01",43,16,35,40,24,22,19,27,36,9,33,14,37,13,25,24,43,32
"SPAC5H10.03",5430,2339,3653,5718,2651,1875,4088,2284,2343,1155,4472,2516,2101,1515,1248,2035,2120,1273
"SPAC5H10.04",84,61,75,212,72,33,92,25,55,33,106,64,35,43,28,59,33,35
"SPAC5H10.06c",620,329,475,345,162,90,176,102,130,106,461,273,241,311,226,288,338,343
"SPAC5H10.08c",673,258,450,311,214,331,473,222,248,214,886,459,395,250,236,435,374,295
"SPAC5H10.09c",194,75,148,230,89,57,185,72,100,60,191,101,143,119,91,141,133,92
"SPAC5H10.10",697,336,536,527,290,298,508,215,310,101,506,287,237,169,113,227,240,150
"SPAC5H10.11",16,4,6,0,14,10,15,14,29,4,21,9,5,7,1,5,7,1
"SPAC5H10.12c",797,338,501,254,179,150,617,266,344,177,745,448,495,394,282,512,531,350
"SPAC5H10.13c",796,385,622,147,81,132,474,201,339,200,749,429,475,371,322,467,548,340
"SPNCRNA.617",56,30,45,2,19,17,58,29,23,13,64,49,42,33,24,28,43,20
"SPAC13G6.01c",2440,1092,1756,2275,889,769,1202,617,793,656,2197,1426,1726,1219,1032,1644,1861,1145
"SPSNORNA.49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPAC13G6.03",827,398,680,358,282,182,438,215,283,268,994,647,694,392,423,447,766,353
"SPNCRNA.618",15,3,3,16,2,0,13,4,10,18,44,21,22,21,14,23,2,6
"SPNCRNA.620",0,0,2,0,4,0,27,5,12,0,7,4,3,2,2,3,1,0
"SPAC13G6.14",799,299,592,392,273,161,782,321,491,202,779,383,456,324,309,429,409,333
"SPAC13G6.15c",324,135,246,237,170,59,353,187,219,90,403,248,308,166,168,239,266,179
"SPNCRNA.621",74,29,61,78,46,9,68,13,19,23,56,30,47,31,24,66,31,35
"SPAC24B11.05",373,170,227,140,198,168,780,365,463,170,519,310,247,149,201,207,263,125
"SPAC24B11.08c",245,153,219,221,108,129,171,151,147,84,263,215,185,185,189,219,233,235
"SPNCRNA.142",0,0,3,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0
"SPAC24B11.09",370,202,285,392,215,108,171,253,181,85,289,219,305,198,227,268,338,279
"SPAC24B11.11c",1070,450,785,677,416,356,1255,505,689,405,1422,850,957,701,597,842,1044,541
"SPAC24B11.12c",2776,1449,2241,2610,1405,1267,4329,2447,3063,834,2780,1835,2121,1304,1468,1761,2095,1535
"SPNCRNA.624",146,40,54,122,52,5,71,31,31,36,90,66,73,62,36,60,112,34
"SPAC806.02c",1646,704,1238,1349,779,703,1285,578,567,612,1827,1147,1389,906,887,1074,1357,792
"SPNCRNA.625",20,5,14,32,18,0,37,9,27,2,15,14,23,4,7,25,17,7
"SPAC806.11",0,0,1,29,1,0,2,2,3,2,5,0,1,1,4,1,12,0
"SPNCRNA.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPNCRNA.626",71,22,49,69,41,60,91,44,37,11,33,14,39,23,13,27,50,28
"SPNCRNA.627",3,0,2,2,5,6,1,1,1,2,3,5,2,5,1,2,5,1
"SPNCRNA.628",2,1,3,7,2,0,0,1,0,0,0,3,3,0,0,1,3,2
"SPAC806.06c",1020,468,789,768,368,289,905,475,599,295,1139,643,718,538,502,709,690,525
"SPAC806.07",932,389,609,1359,539,467,1360,578,623,547,1868,935,1031,631,547,826,967,419
"SPNCRNA.630",84,14,26,27,16,1,21,18,29,6,16,10,17,14,5,28,20,27
"SPAC1F5.11c",3362,1815,3002,2161,1277,1290,1832,1029,1412,1029,2981,2185,2334,1857,1737,2197,2494,2091
"SPNCRNA.632",1,0,2,0,1,0,0,1,0,2,11,7,0,5,0,0,0,0
"SPNCRNA.633",13,4,4,1,12,0,29,7,15,2,5,4,5,7,3,0,9,1
"SPAC1F5.07c",905,336,608,721,390,220,745,359,438,269,1057,544,709,460,365,612,756,393
"SPAC1F5.04c",535,440,597,167,122,95,406,369,490,222,553,411,510,423,428,498,643,565
"SPAC1F5.02",8354,3438,5730,8930,3944,3980,7902,4010,4477,2701,10171,5801,5821,3809,3593,4948,5710,3327
"SPNCRNA.148",0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0
"SPAC18B11.10",1425,558,944,643,344,375,1155,422,613,353,1397,802,920,628,477,790,754,534
"SPNCRNA.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPNCRNA.635",2,0,5,0,2,0,6,4,0,1,3,0,5,2,2,6,2,1
"SPAC18B11.09c",294,107,153,318,161,143,314,157,133,59,264,114,181,119,84,196,175,112
"SPAC18B11.08c",256,136,260,153,129,93,141,95,153,57,188,125,172,147,151,181,137,173
"SPAC18B11.07c",571,279,469,461,209,172,476,238,375,171,752,485,390,241,255,321,393,297
"SPAC18B11.04",159,77,144,74,87,59,263,93,195,83,347,178,106,86,104,84,138,87
"SPNCRNA.636",337,103,175,133,97,55,201,103,146,77,251,128,155,121,133,155,204,133
"SPAC18B11.02c",980,543,767,734,524,412,515,409,451,257,770,561,652,548,550,603,696,482
"SPAC12G12.15",192,104,167,72,77,68,154,137,183,77,210,166,159,100,135,131,167,132
"SPNCRNA.637",29,18,22,19,13,2,4,9,16,8,23,20,18,12,13,26,15,9
"SPAC12G12.14c",297,149,233,154,135,89,241,98,155,79,350,229,241,160,133,178,234,146
"SPNCRNA.638",5,1,2,0,0,0,0,0,0,0,4,3,2,1,0,2,1,0
"SPAC12G12.10",943,410,588,584,261,267,714,319,365,351,1085,610,758,421,412,661,636,414
"SPAC12G12.09",910,358,647,450,256,160,768,281,442,272,1083,704,645,466,430,593,676,448
"SPAC12G12.06c",2394,939,1615,1539,936,928,1389,656,719,555,1915,1198,1616,1059,1016,1428,1583,1000
"SPNCRNA.639",0,0,0,2,1,0,0,0,2,0,2,0,3,1,0,3,0,1
"SPAC12G12.03",1239,768,1043,1139,582,515,927,653,895,468,1612,1025,888,725,762,913,1067,831
"SPAC630.05",501,203,349,204,172,155,893,319,549,246,1066,609,362,233,200,334,458,212
"SPAC630.15",94,28,46,6,33,23,93,24,45,18,51,34,36,22,21,33,19,25
"SPATRNAPRO.01",364,175,171,289,155,97,505,210,152,73,537,311,454,300,188,356,301,194
"SPAC630.11",600,217,341,485,321,173,572,241,216,175,827,443,395,296,287,454,471,246
"SPAC630.12",642,299,469,475,231,249,532,236,340,255,777,465,464,317,293,433,563,306
"SPAC630.13c",1217,642,1014,752,449,326,722,336,471,400,1459,949,852,631,605,886,1057,705
"SPAC630.14c",908,536,799,742,389,206,915,608,628,393,1095,701,826,566,544,732,804,659
"SPAC1751.01c",120,79,157,187,81,92,171,114,151,26,154,73,101,57,80,70,117,79
"SPAC1751.04",263,158,211,130,123,63,93,39,70,82,275,165,167,167,115,256,161,144
"SPAC1751.02c",612,235,360,588,274,258,585,232,278,167,560,288,407,302,211,463,360,209
"SPAC31A2.02",677,303,473,689,285,300,333,147,187,118,462,293,382,278,253,399,348,300
"SPNCRNA.643",8,4,1,29,0,0,6,4,1,10,17,9,12,7,3,5,14,6
"SPAC31A2.03",790,314,509,675,360,173,622,295,307,249,937,485,553,433,309,478,609,318
"SPAC31A2.04c",761,331,609,882,389,357,1098,525,697,298,1311,677,586,420,403,506,734,396
"SPAC31A2.06",975,356,705,692,403,386,923,369,454,253,934,625,680,489,353,598,773,449
"SPAC31A2.07c",1619,771,1264,1442,627,587,596,305,478,505,1520,1208,1260,965,784,1165,1300,1037
"SPAC31A2.09c",557,222,359,372,203,184,572,273,334,145,614,371,334,235,242,307,390,203
"SPAC31A2.11c",289,146,230,178,78,47,418,162,170,90,351,213,249,124,118,253,288,153
"SPAC31A2.12",502,270,423,461,364,271,1065,798,1005,167,476,450,401,281,324,375,412,350
"SPAC31A2.13c",239,62,155,333,107,37,196,95,133,72,251,185,147,128,85,189,132,111
"SPAC31A2.14",499,295,535,311,180,128,479,240,342,183,525,314,429,327,319,418,482,316
"SPAC31A2.16",735,316,494,254,118,148,280,168,292,198,725,511,506,347,386,469,538,381
"SPAC13C5.01c",1231,548,1019,1602,694,666,1987,975,1164,442,1838,1045,828,557,627,773,816,604
"SPNCRNA.644",11,0,4,2,5,0,0,6,7,2,6,6,1,6,2,2,17,0
"SPAC13C5.04",285,98,176,808,386,300,2950,1510,1821,358,2096,878,439,193,295,321,514,197
"SPNCRNA.645",99,34,76,36,29,43,43,10,8,14,41,29,36,40,21,42,38,26
"SPAC13C5.05c",588,333,525,554,320,286,572,297,434,291,1089,635,519,354,341,415,515,297
"SPAC13C5.06c",180,69,137,370,133,75,527,210,179,63,229,126,137,93,87,119,146,98
"SPNCRNA.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATRNAVAL.01",2840,975,1338,4233,3412,1477,7478,1397,3273,2718,6537,7988,9033,3024,3483,5998,3196,2684
"SPAC23E2.02",582,332,520,485,201,276,510,284,436,268,776,586,457,347,357,437,459,419
"SPRRNA.11",4300,1929,2145,4263,3736,1716,6895,2675,2474,2380,8083,4097,4456,3198,2267,4565,4804,2851
"SPAC24H6.12c",697,255,404,607,287,168,1236,594,666,182,640,387,490,320,328,427,511,295
"SPAC24H6.11c",370,255,440,150,100,93,517,394,593,166,463,322,273,233,224,319,387,315
"SPNCRNA.652",104,48,86,88,40,36,73,47,33,23,54,49,89,86,55,83,81,54
"SPAC24H6.09",769,377,662,834,460,297,931,643,911,285,1059,657,657,540,552,578,714,543
"SPAC24H6.07",13082,6499,10938,11332,7563,4746,8603,5579,6797,3518,10484,6594,9057,7443,6917,9113,9729,7431
"SPAC24H6.06",300,137,241,542,218,135,428,256,320,105,400,275,280,231,199,264,263,220
"SPAC24H6.04",8102,3311,4990,7498,3518,2945,5739,3336,3585,2194,7533,4373,4730,3158,2962,4124,5196,2631
"SPNCRNA.653",9,0,5,0,1,0,0,2,0,1,4,2,5,2,2,2,5,4
"SPNCRNA.551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPAC24H6.02c",177,52,121,209,52,69,153,64,90,52,179,116,166,146,64,168,133,64
"SPNCRNA.654",2,2,7,0,7,0,0,1,13,0,2,2,8,1,5,3,2,1
"SPAC24H6.01c",279,106,216,130,70,79,124,94,80,74,341,223,177,124,132,147,182,95
"SPAC227.19c",96,57,84,79,36,41,91,24,32,25,99,72,76,74,50,73,71,37
"SPNCRNA.655",172,83,108,86,70,42,105,27,51,27,123,63,79,124,55,127,74,75
"SPAC227.05",440,200,325,489,225,158,593,217,259,198,567,274,380,294,222,407,312,177
"SPAC227.06",206,104,233,353,132,134,349,225,223,98,442,192,221,159,188,198,191,147
"SPAC227.07c",1304,553,918,1058,602,358,1520,697,974,444,1394,747,927,577,574,877,846,653
"SPNCRNA.657",50,24,73,186,35,40,274,113,148,75,255,126,73,65,53,81,90,67
"SPAC227.08c",205,75,118,114,64,77,203,93,136,60,200,132,148,142,88,169,168,89
"SPAC227.09",213,114,228,202,101,141,128,142,136,68,149,125,162,128,144,157,191,170
"SPAC227.10",601,252,413,549,311,271,506,230,266,168,598,329,464,392,251,528,469,240
"SPAC227.11c",390,147,237,264,137,153,331,122,199,144,414,230,269,174,160,220,283,181
"SPAC227.12",572,251,362,383,179,97,491,199,260,220,582,382,448,310,242,342,500,256
"SPAC227.13c",586,437,770,388,395,439,675,685,698,189,481,344,539,557,456,692,716,683
"SPSNORNA.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPSNORNA.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPSNORNA.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPSNORNA.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPAC227.16c",194,96,127,260,94,85,117,61,76,47,180,121,135,99,136,165,214,110
"SPAC2F7.04",292,156,256,98,68,41,89,91,97,98,252,197,204,175,165,262,263,213
"SPNCRNA.552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPNCRNA.660",11,7,16,5,4,1,12,4,16,6,21,8,11,13,13,8,15,16
"SPNCRNA.661",41,22,38,80,11,15,10,16,27,10,21,21,28,17,14,10,24,10
"SPAC2F7.13c",3040,1403,2173,2640,1307,1192,1880,970,1221,643,2572,1494,1953,1317,1245,1692,1692,1208
"SPAC2F7.15",592,224,448,358,211,150,379,216,283,148,738,426,488,330,271,479,395,306
"SPAC13A11.01c",1156,469,831,977,485,533,1185,558,652,433,1411,865,877,624,574,753,926,614
"SPAC13A11.03",2113,848,1698,2908,1122,816,2016,917,1036,630,2360,712,1754,1041,487,1654,1412,571
"SPAC13A11.04c",578,229,349,415,217,189,341,162,179,184,681,358,399,297,268,406,438,225
"SPAC13A11.05",2399,1151,1700,2403,1312,1034,2301,1272,1336,677,2566,1622,1609,1110,1017,1504,1814,1089
"SPAC3H8.02",1328,759,1208,811,584,541,945,611,860,463,1420,887,1023,756,720,1033,1138,767
"SPAC3H8.03",163,76,144,198,91,56,74,63,67,44,165,148,132,84,97,123,148,107
"SPNCRNA.663",23,8,11,5,13,0,43,11,34,8,23,11,22,18,24,21,23,17
"SPAC3H8.04",621,271,458,667,332,404,1214,434,657,218,856,512,443,313,279,506,498,314
"SPNCRNA.156",3,0,1,0,0,0,0,0,0,1,1,0,2,1,2,1,0,1
"SPAC3H8.08c",332,160,221,208,127,61,410,236,312,99,488,282,265,173,164,266,296,148
"SPNCRNA.667",38,11,38,45,18,1,36,14,25,9,39,18,16,10,10,15,26,22
"SPAC3H8.10",1539,819,1396,1158,670,702,1397,794,1157,470,1887,1456,977,767,833,974,1221,913
"SPAC1F3.01",1158,587,937,786,482,444,547,253,375,389,1152,845,838,655,597,833,828,705
"SPAC1F3.02c",398,231,419,553,224,122,810,495,742,210,652,403,447,317,288,401,461,332
"SPAC1F3.03",397,229,328,368,219,75,552,380,398,172,484,379,335,241,242,259,393,216
"SPAC1F3.04c",636,205,358,572,200,107,304,170,274,194,676,401,405,343,215,420,384,231
"SPAC1F3.05",323,236,386,213,165,133,183,177,226,176,533,295,278,168,295,229,347,295
"SPAC1F3.06c",3567,1959,3167,3030,1438,1374,2195,1182,1846,1196,3118,2465,2903,2002,2064,2565,2541,2369
"SPAC1D4.01",181,111,167,135,81,51,131,86,106,63,183,131,115,116,92,106,142,77
"SPAC1D4.02c",386,135,211,345,167,159,468,259,337,120,422,267,310,133,164,244,262,189
"SPAC1D4.03c",130,54,79,46,37,69,120,73,102,34,178,111,103,51,57,82,91,81
"SPNCRNA.670",44,24,27,73,18,10,30,13,8,12,44,20,30,22,24,33,32,24
"SPAC1D4.05c",362,168,319,266,129,148,377,159,182,121,478,279,258,124,182,228,294,194
"SPAC1D4.07c",16,3,21,0,6,0,9,4,22,4,22,10,12,4,6,15,13,6
"SPAC1D4.10",670,308,576,548,302,305,565,367,399,227,634,404,609,389,351,588,650,506
"SPNCRNA.671",128,43,100,86,38,18,61,29,55,21,72,57,67,52,29,83,74,59
"SPNCRNA.79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPAC1D4.12",768,311,540,445,265,192,672,324,484,259,937,520,580,366,356,428,584,396
"SPAC1D4.14",2251,983,1590,1762,863,743,1524,801,1033,652,2124,1353,1622,1230,1036,1590,1666,1101
"SPAC22F3.13",582,283,478,476,207,150,447,335,472,222,689,388,384,268,316,369,467,333
"SPNCRNA.675",45,15,19,28,20,0,12,5,10,10,20,25,22,18,23,35,13,24
"SPNCRNA.158",7,0,0,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0
"SPAC22F3.11c",123,54,92,151,69,13,228,66,110,53,131,79,88,85,63,109,103,52
"SPAC22F3.10c",2342,1002,1769,1906,1071,775,2222,1145,1377,653,2652,1565,1690,1084,998,1319,1856,1049
"SPAC22F3.08c",685,323,527,803,284,203,424,158,290,210,709,491,623,438,329,523,552,370
"SPAC22F3.07c",940,491,828,988,600,455,937,400,507,264,1217,630,757,557,481,700,732,489
"SPAC22F3.05c",859,392,774,534,278,182,495,193,322,232,890,637,635,408,439,538,636,383
"SPNCRNA.676",2,0,3,0,0,0,3,5,4,0,2,3,2,1,7,4,0,1
"SPAC22F3.03c",217,92,127,93,57,69,157,67,85,69,229,135,153,83,109,128,117,75
"SPAC1296.03c",75,27,43,39,26,50,62,39,50,22,44,57,40,44,24,37,93,29
"SPAC1296.04",195,103,128,94,32,21,220,131,136,61,191,118,133,81,95,113,137,94
"SPAC1296.05c",450,158,278,522,180,114,294,99,159,116,376,176,292,186,153,278,389,159
"SPAPJ696.02",2246,1005,1693,2029,1122,733,1955,1081,1082,728,2477,1605,1630,1115,974,1337,1656,897
"SPAC22G7.01c",2204,970,1624,1957,888,996,1580,769,1170,582,2192,1386,1614,1033,987,1186,1544,928
"SPNCRNA.677",140,79,116,134,57,35,113,47,38,46,164,102,99,79,64,105,97,74
"SPAC22G7.03",88,31,50,37,20,19,38,13,16,21,72,60,71,30,43,65,52,29
"SPNCRNA.678",10,7,9,7,8,0,1,13,13,3,13,11,7,3,11,11,2,5
"SPAC22G7.05",1177,636,992,1005,472,489,479,264,327,342,829,622,856,752,513,763,688,706
"SPAC22G7.09c",608,326,532,307,168,64,229,193,227,206,664,463,513,428,296,493,553,389
