"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPAC212.11",8.55242744001828,-0.496540398208614,1.19391877810956,0.202224409474127,0.65293132611399,1
"SPAC212.09c",50.7627495668763,-0.114866860079204,0.536122037414943,0.0413200530999234,0.838921387601419,1
"SPAC212.04c",38.3168927182989,0.310750964886458,0.646477940736667,0.214227020992553,0.643474290697173,1
"SPAC212.01c",1.36179878255735,0.387550784546853,2.15146354612817,0.0241899686905924,0.876402522372464,1
"SPNCRNA.601",9.46615261116002,0.988884687430455,0.903506456276662,1.29048340643288,0.255958884128109,1
"SPAC977.11",70.4130296536157,-0.0850719407005687,0.44472515283173,0.0394415852096017,0.84257639177894,1
"SPAC977.13c",36.7374435294846,-0.182569595285572,1.23678952638128,0.0179971407356447,0.893281256444427,1
"SPAC977.15",49.0774755538447,-0.235607767729845,0.496595531493646,0.234460533958099,0.628235954113817,1
"SPAC977.16c",83.1940451102684,-0.491689470287365,0.479924007976513,1.0922990849013,0.295962366865642,1
"SPNCRNA.76",3.92647370112491,-0.444777086716233,0.98833805335568,0.213478892000779,0.644054242007907,1
"SPNCRNA.603",1.44949239267866,-1.98975312493965,2.35753337392284,0.901621039814259,0.34234742239125,1
"SPNCRNA.607",60.4274416934045,0.034704456056073,0.89556039021318,0.00119500610298928,0.972423532526261,1
"SPAC1F8.06",74.2484598719262,0.199144523284683,0.638576055511866,0.0999013521027337,0.751948047494855,1
"SPAC1F8.08",77.5680237170778,0.0580766233342832,0.396725753729431,0.0232220611675871,0.878881028225794,1
"SPAC11D3.19",14.8892797836053,-0.873749351411009,0.896092324164244,1.02015986560448,0.312481091580876,1
"SPAC11D3.01c",290.801357856274,2.0936852906985,0.675002323677021,6.9316922345273,0.00846815277658945,1
"SPNCRNA.608",54.1661458492894,0.733965297411535,0.426012797923161,3.06448383020773,0.0800205725845943,1
"SPAC11D3.02c",590.701647219913,-0.0534222149272876,0.368845698679024,0.023755291245152,0.877509192723654,1
"SPAC11D3.03c",28.301346827164,0.0611655211059532,0.658069620019332,0.00776692854799421,0.929773209881568,1
"SPAC11D3.05",344.670832226626,0.160100635602157,0.834954429013734,0.0360559258006106,0.849400046313686,1
"SPAC11D3.07c",329.063262091772,-0.0514063694522947,0.452702871537176,0.0119951509602174,0.912788174621876,1
