,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio,time,failure counter
SPAC212.11,-46.183945782517824,-24.890164294147485,-23.477855769899282,-2.1840742815289573,0:00:02.603351,0
SPAC212.09c,-22.12859612294802,-15.22478225753922,-10.614674037082775,-3.7108601716739713,0:00:01.331691,1
SPAC212.04c,-39.50363489606876,-22.464042291964255,-17.756339470478938,-0.7167468663744359,0:00:00.972677,0
SPAC212.01c,-39.125019368252566,-17.222526713980027,-21.668006743418808,0.23448591085372786,0:00:00.958211,0
SPNCRNA.601,-41.06395339060301,-22.89011466409057,-21.806890840503076,-3.633052113990644,0:00:01.022378,0
SPAC977.11,-19.885997635680305,-16.57086086475885,-19.46093561738202,-16.145798846460565,0:00:01.027704,0
SPAC977.13c,-33.030473235395576,-23.064157875004877,-20.954459726139067,-10.988144365748367,0:00:00.992582,0
SPAC977.15,-18.98657360997463,-15.16344726868065,-4.168520217432473,-0.34539387613849826,0:00:00.976202,0
SPAC977.16c,-19.868177723004067,-13.458184161854248,-11.432371269525607,-5.022377708375785,0:00:00.984955,0
SPNCRNA.76,-27.794760459012316,-14.667780055531153,-15.316557799737618,-2.189577396256464,0:00:01.291417,1
SPNCRNA.603,-39.760969382468346,-19.400389377145327,-21.24054623719319,-0.8799662318701706,0:00:00.901294,0
SPNCRNA.607,-36.61872684177496,-26.79895605183241,-19.81509239630295,-9.995321606360406,0:00:00.913219,0
SPAC1F8.06,-43.4893915183118,-30.51972665249284,-20.245043201170976,-7.2753783353520225,0:00:00.884103,0
SPAC1F8.08,-10.997772468863332,-13.405305739079633,-3.773808880364857,-6.18134215058116,0:00:00.896284,0
SPAC11D3.19,-54.21169859272087,-28.123702488239328,-22.13351412223553,3.954481982246016,0:00:00.919616,0
SPAC11D3.01c,-29.48080024890644,-18.182720396634174,-13.617616930122335,-2.3195370778500752,0:00:00.937530,0
SPNCRNA.608,-42.190707688697636,-27.892049176732662,-4.0491957217041685,10.24946279026081,0:00:01.529483,1
