,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
SPAC212.11,-24.7811254954891,-24.724477696487817,-0.05664779900128281
SPAC212.09c,-15.46084091443065,-14.944629569875904,-0.516211344554744
SPAC212.04c,-17.722270950595227,-17.72226282091563,-8.129679596180495e-06
SPAC212.01c,-16.912262865267767,-14.571507598934385,-2.3407552663333746
SPNCRNA.601,-23.09916623997458,-23.099075128299056,-9.111167552333653e-05
SPAC977.11,-6.882666793305859,-6.882057230891108,-0.0006095624147519629
SPAC977.13c,-23.597291244790306,-26.966995042938944,3.369703798148634
SPAC977.15,-15.182569091887483,-21.920261121176253,6.737692029288764
SPAC977.16c,-13.471360474398447,-22.868177473082792,9.396816998684344
SPNCRNA.76,-13.746288566449742,-14.157208736707506,0.4109201702577607
SPNCRNA.603,-18.379616740569922,-18.57017829821666,0.19056155764674187
SPNCRNA.607,-25.902418843308762,-25.902418365986343,-4.773224127063713e-07
SPAC1F8.06,-26.32568283787011,-27.30109190774797,0.9754090698778626
SPAC1F8.08,-10.505663860783141,-10.505615997095504,-4.78636876373173e-05
SPAC11D3.19,-27.768158832244378,-27.768152333007308,-6.4992370703009775e-06
SPAC11D3.01c,-18.19278268317447,-23.30267306106658,5.109890377892111
SPNCRNA.608,-27.59280250648316,-27.592802101164303,-4.0531885758809954e-07
SPAC11D3.02c,-8.505136985421466,-9.802833544971527,1.2976965595500616
SPAC11D3.03c,-17.551009159605226,-17.550949428187394,-5.973141783144342e-05
SPAC11D3.05,-20.74421882194612,-21.717470597304743,0.9732517753586264
SPAC11D3.07c,-9.617176564530595,-9.617148351929426,-2.82126011690309e-05
SPAC11D3.08c,-19.03640533477585,-19.046496479426306,0.010091144650449023
SPAC11D3.11c,-4.234779201734089,-4.234770959254873,-8.242479214715104e-06
SPAC11D3.14c,0.7735603592436249,0.4290645331666134,0.34449582607701146
SPNCRNA.609,-17.59456298105941,-17.600374431679988,0.005811450620576864
SPNCRNA.610,-21.975259132813285,-21.975258727315087,-4.0549819857460534e-07
SPAC11D3.16c,-14.681969713984168,-14.68066405467193,-0.001305659312238916
SPAC11D3.18c,-24.67768855790542,-24.6776860542974,-2.5036080195661725e-06
SPNCRNA.612,-27.28800841489449,-27.287912827789306,-9.558710518575708e-05
SPAC5H10.01,-11.777009775118568,-11.777000048193404,-9.726925162212295e-06
SPAC5H10.03,0.9468741425823451,-10.150630290532334,11.097504433114679
SPAC5H10.04,-11.506230611578708,-13.961428141810355,2.455197530231647
SPAC5H10.06c,-11.598777102845386,-11.595558718710187,-0.0032183841351951514
SPAC5H10.08c,-2.9141916086136384,-2.9140249603415,-0.00016664827213830338
SPAC5H10.09c,3.728269721228767,3.7283040306490136,-3.430942024706951e-05
SPAC5H10.10,-4.319635203044385,-13.234571751018775,8.914936547974392
SPAC5H10.11,-25.15356782184805,-25.63046904006732,0.4769012182192682
SPAC5H10.12c,-4.579186916798051,-4.6834284736175595,0.10424155681950964
SPAC5H10.13c,-14.784865948206074,-14.858782073588907,0.07391612538283532
SPNCRNA.617,-21.68033766500092,-21.679937553532664,-0.0004001114682559148
SPAC13G6.01c,-0.19561939466289147,-0.19561606113130026,-3.333531591209748e-06
SPAC13G6.03,-5.450509620121983,-5.518711808336612,0.06820218821462731
