,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio,time,failure counter
SPAC212.11,-114.96771902848057,-64.84116427545692,-50.550754337169245,-0.4241995841456117,0:00:10.993333,0
SPAC212.09c,-160.9532531273386,-86.24822039239332,-82.43049347089207,-7.725460735946799,0:00:14.439905,0
SPAC212.04c,-164.79239644167978,-72.20673059976856,-88.08733467770939,4.498331164201828,0:00:13.899237,1
SPAC212.01c,-57.373609541416705,-24.848539469082745,-32.512013766835466,0.013056305498487577,0:00:04.819623,0
SPNCRNA.601,-115.65347709692655,-60.07275900105557,-58.900950435758546,-3.320232339887553,0:00:08.481746,0
SPAC977.11,-170.49501642656318,-82.35931971788705,-89.6612324579079,-1.52553574923175,0:00:53.273965,4
SPAC977.13c,-146.83529852425738,-81.74565264831828,-76.14619400609544,-11.056548130156358,0:00:29.357087,0
SPAC977.15,-154.19436475306415,-83.33849858791879,-71.49059430176214,-0.6347281366167863,0:00:12.843839,0
SPAC977.16c,-173.35402816803918,-90.28390697460907,-87.66584268470294,-4.595721491272826,0:00:16.802089,0
SPNCRNA.76,-80.55231035475244,-40.47855283545576,-43.76664883422951,-3.6928913149328224,0:00:06.028514,0
SPNCRNA.603,-56.92167964101236,-24.971793881663213,-32.05742105956369,-0.10753530021454337,0:00:05.056321,0
SPNCRNA.607,-171.38228543490638,-92.78061759066773,-90.25057155914014,-11.648903714901564,0:00:42.674433,1
SPAC1F8.06,-185.95929704601872,-93.16130440456119,-91.46867466764698,1.3293179738105323,0:00:29.846097,1
SPAC1F8.08,-164.87539219487087,-91.12193892432762,-82.84234935344489,-9.088896082901641,0:00:20.440174,0
SPAC11D3.19,-133.95644584651876,-69.69672811324664,-66.63321792001028,-2.3735001867381698,0:00:07.269944,0
SPAC11D3.01c,-231.929048332401,-121.15045910785472,-109.5556195216139,1.2229697029324031,0:00:40.072396,5
SPNCRNA.608,-166.83841998958633,-92.64701423142151,-74.90716509118815,-0.7157593330233851,0:00:15.225597,0
SPAC11D3.02c,-242.32923978476,-118.65412677629068,-120.81523694292662,2.8598760655426934,0:00:18.894228,0
SPAC11D3.03c,-145.802993882268,-77.21507658450592,-69.04696848470735,-0.4590511869452882,0:00:12.257193,1
SPAC11D3.05,-209.28846202995584,-113.48144510068869,-104.29875069789522,-8.491733768628052,0:00:13.014905,0
SPAC11D3.07c,-210.03167896525642,-113.7922712332132,-116.37502774922869,-20.13562001718552,0:01:16.343766,5
SPAC11D3.08c,-203.12814398882728,-117.43937654202213,-108.21323162658285,-22.524464179777713,0:01:11.940804,5
SPAC11D3.11c,-184.8983675745045,-99.94366233184664,-91.96589090051428,-7.0111856578564025,0:00:25.644000,0
SPAC11D3.14c,-180.6706682126162,-90.62681091143284,-95.79428669443216,-5.750429393248794,0:00:31.985420,0
SPNCRNA.609,-197.9034284804293,-98.81693508518259,-96.39855013595422,2.6879432592924672,0:00:47.634026,0
SPNCRNA.610,-70.65947028285646,-35.113931851058354,-32.8017085426453,2.743829889152821,0:00:07.001343,1
SPAC11D3.16c,-188.67983335947216,-104.4717385780097,-102.45303892115624,-18.24494413969376,0:01:32.346339,5
SPAC11D3.18c,-157.75137181679318,-76.08142760556142,-76.64788839405928,5.0220558171725145,0:00:22.328892,3
SPNCRNA.612,-164.60246512437962,-89.85870067197872,-80.76839920076077,-6.024634748359888,0:00:21.398887,0
SPAC5H10.01,-135.29625513517016,-70.39083478378039,-68.67771102552497,-3.7722906741352062,0:00:12.777986,0
SPAC5H10.03,-279.06139387167855,-142.33065291602526,-146.65460327981876,-9.92386232416544,0:00:17.057997,0
SPAC5H10.04,-164.82540465468847,-85.37052132422859,-81.4406251436396,-1.9857418131797149,0:00:54.397036,5
SPAC5H10.06c,-220.62149040175862,-113.08422301207806,-107.06912400428888,0.468143385391727,0:00:28.807646,4
SPAC5H10.08c,-210.9690407378373,-109.86328113105692,-104.18217728685251,-3.076417680072097,0:00:39.269545,1
SPAC5H10.09c,-167.42891013699096,-86.65403660439347,-84.82316491922191,-4.048291386624385,0:00:36.256750,0
SPAC5H10.10,-213.31030647708567,-103.83775481151908,-109.1758216236958,0.2967300418708021,0:00:32.369490,0
SPAC5H10.11,-116.454319960131,-61.189633012644215,-60.40273878759984,-5.13805184011305,0:00:05.543691,0
SPAC5H10.12c,-214.6042641220625,-118.22848300544857,-118.2654444696007,-21.88966335298676,0:01:12.327448,5
SPAC5H10.13c,-221.48752544999988,-122.37285858883236,-120.52769308958872,-21.413026228421188,0:01:02.846196,5
SPNCRNA.617,-143.95277150339544,-76.52810360394028,-78.50206756479105,-11.077399665335891,0:00:43.785969,1
SPAC13G6.01c,-246.1135594208268,-132.60835815501287,-131.70203407329507,-18.19683280748117,0:00:14.396863,0
SPAC13G6.03,-219.28799622883804,-118.3132749704638,-116.99083141546691,-16.016110157092694,0:00:12.603956,0
SPNCRNA.618,-125.20133255428672,-64.8213149400584,-58.93921250553858,1.4408051086897302,0:00:06.797230,0
SPNCRNA.620,-78.61143574385923,-43.11663247469564,-36.746520244358685,-1.2517169751951087,0:00:04.935110,0
SPAC13G6.14,-214.83730963300133,-118.96940654565498,-117.29335365535441,-21.425450568008046,0:01:25.437833,5
SPAC13G6.15c,-195.0727612021322,-102.50112046619309,-96.7001234728385,-4.1284827368994,0:00:24.503060,0
SPNCRNA.621,-153.01189740763618,-82.5180614870306,-78.63833529237381,-8.144499371768234,0:00:17.209947,0
SPAC24B11.05,-213.54435471600559,-116.33942760819536,-109.57402304404306,-12.36909593623281,0:01:16.313145,5
SPAC24B11.08c,-196.4590691215073,-96.96985587483078,-100.18128132503807,-0.6920680783615296,0:00:19.253089,0
SPAC24B11.09,-208.49792995288587,-107.78197388185265,-103.26824651641488,-2.5522904453816864,0:00:22.685686,0
SPAC24B11.11c,-224.08300127913762,-124.75706842234531,-119.42099079760149,-20.095057940809255,0:01:15.474826,5
SPAC24B11.12c,-253.375693949172,-140.88648116918273,-137.65239257489014,-25.16317979490094,0:01:27.637378,5
SPNCRNA.624,-167.26989242914783,-86.39836812689767,-80.4743626965471,0.3971616057030758,0:00:17.324200,0
SPAC806.02c,-237.17417763840672,-132.2044067377878,-126.5827267912617,-21.612955890642752,0:00:27.028778,2
SPNCRNA.625,-129.51255656303067,-67.75319562269158,-63.75404216012959,-1.9946812197904933,0:00:06.974999,0
SPAC806.11,-83.55424059970088,-43.7014708813246,-40.373602378261964,-0.5208326598856843,0:00:05.085918,0
SPNCRNA.626,-149.713030884436,-80.5952440810371,-76.76488433378131,-7.64709753038241,0:00:17.414773,0
SPNCRNA.627,-82.9190094179081,-41.34693010835236,-45.595124028551254,-4.023044718995507,0:00:05.352429,0
SPNCRNA.628,-74.25278334215754,-30.286643944237127,-42.23375627217449,1.7323831257458977,0:00:05.270001,0
SPAC806.06c,-217.01398970638328,-114.6943912006756,-120.85215934506658,-18.532560839358922,0:00:26.074314,0
SPAC806.07,-232.6338393371656,-125.25275834889679,-115.45951410668688,-8.078433118418104,0:00:45.089526,1
SPNCRNA.630,-137.90894036250424,-73.14387456854172,-69.46837803225772,-4.703312238295184,0:00:07.829707,0
SPAC1F5.11c,-260.507369561131,-138.94696888394614,-137.13706925635464,-15.576668579169793,0:00:20.580476,0
SPNCRNA.632,-63.18153756753354,-28.764542026556875,-34.41534582645407,0.0016497145225997654,0:00:05.345372,0
SPNCRNA.633,-107.03359475978449,-55.82157942229911,-53.19607818771306,-1.9840628502276731,0:00:05.404029,0
SPAC1F5.07c,-209.96398146164424,-108.19512202128578,-108.63186902433912,-6.86300958398067,0:02:37.808984,2
SPAC1F5.04c,-230.06534565144383,-126.31011178542809,-120.42758355632792,-16.672349690312107,0:01:16.258495,5
SPAC1F5.02,-290.47338767128764,-157.7883587883404,-149.4855811538522,-16.800552270904973,0:00:17.622234,0
SPAC18B11.10,-232.7867817198301,-119.82415435659672,-123.43696011996869,-10.474332756735322,0:00:59.217860,5
SPNCRNA.635,-72.1438951019323,-37.0152464010416,-36.85565244271165,-1.7270037418209512,0:00:05.086478,0
SPAC18B11.09c,-192.0594111336505,-101.1629510517653,-100.81245723604722,-9.915997154162028,0:00:27.598352,0
SPAC18B11.08c,-190.03864124640944,-99.17229265139795,-98.97063684014464,-8.10428824513312,0:00:26.121139,0
SPAC18B11.07c,-211.73249090671013,-103.35337159917977,-102.28809594355423,6.091023363976149,0:01:56.168587,2
SPAC18B11.04,-186.50939239572776,-97.6378718598392,-94.2499383765578,-5.378417840669243,0:00:25.738223,0
SPNCRNA.636,-177.64536942813774,-88.89074547685901,-95.10887547881313,-6.354251527534387,0:00:37.099168,0
SPAC18B11.02c,-226.1221034258105,-118.00033844549887,-120.03482224542007,-11.91305726510845,0:00:19.658677,0
SPAC12G12.15,-182.63227472414928,-95.91850620425078,-86.3593917623112,0.3543767575873176,0:00:21.042577,0
SPNCRNA.637,-120.471058443404,-61.63862110717327,-61.344429403709675,-2.5119920674789427,0:00:08.146636,0
SPAC12G12.14c,-190.3647417615337,-91.6163372615298,-94.97615278024664,3.772251719757264,0:00:24.949139,0
SPNCRNA.638,-49.48638192105805,-23.29173722760248,-25.688193076423982,0.5064516170315869,0:00:04.686954,0
SPAC12G12.10,-214.50856865920062,-117.17061312442637,-114.48404985363071,-17.146094318856456,0:00:31.240542,1
SPAC12G12.09,-215.29590981871902,-120.70729551475674,-118.85254686240872,-24.26393255844644,0:01:23.902879,5
SPAC12G12.06c,-246.67524037302053,-134.70836946087846,-131.99774360168956,-20.03087268954749,0:00:16.053433,0
SPAC12G12.03,-232.617854517354,-114.70749549559507,-117.01543481573393,0.8949242060249389,0:00:58.995988,0
SPAC630.05,-219.71766997416097,-121.5648676446966,-117.19085252055359,-19.03805019108921,0:01:18.775302,5
SPAC630.15,-157.9424466669571,-78.50191930317145,-81.32934366884271,-1.8888163050571336,0:00:10.340493,0
SPATRNAPRO.01,-231.12988936567257,-108.17385028897397,-120.86274997999705,2.093289096701568,0:00:19.694772,0
SPAC630.11,-212.18483141111,-107.06830152454118,-105.64136069268494,-0.5248308061161424,0:00:22.746742,0
SPAC630.12,-204.3899259974813,-108.56569401221464,-109.01597585251284,-13.191743867246174,0:00:14.666784,0
SPAC630.13c,-220.61056280042092,-114.5810973763381,-121.87673779011341,-15.847272366030552,0:00:11.720468,0
SPAC630.14c,-231.0137492109677,-127.93261736179964,-114.53821652653156,-11.457084677363467,0:01:08.214396,0
SPAC1751.01c,-180.5731837239734,-95.03828955729756,-92.25019144260227,-6.715297275926446,0:00:21.020352,0
SPAC1751.04,-189.21396688268013,-103.2574997051568,-101.06263968394929,-15.106172506425965,0:00:22.124005,0
SPAC1751.02c,-213.3421647578672,-106.00127567232978,-103.55560457386524,3.78528451167216,0:00:25.967145,0
SPAC31A2.02,-212.28513065038732,-113.24281090685729,-118.03172443441986,-18.98940469088984,0:01:30.095342,5
SPNCRNA.643,-106.86842800302824,-56.899161084740726,-51.40167804353624,-1.4324111252487342,0:00:06.094321,0
SPAC31A2.03,-216.4980371925528,-112.05285273196665,-113.55910346943465,-9.113919008848512,0:00:17.545444,0
SPAC31A2.04c,-213.10996828934262,-116.50965738882351,-112.64584333241491,-16.045532431895765,0:00:27.939154,1
SPAC31A2.06,-218.3333863112717,-112.34919798588686,-109.23369872809215,-3.2495104027073296,0:02:03.080897,6
SPAC31A2.07c,-237.85641590090054,-130.6262536151738,-126.69436526409835,-19.464202978371613,0:00:48.805457,0
SPAC31A2.09c,-199.3822457395505,-108.96505464355387,-98.54223729723174,-8.125046201235051,0:00:29.610602,1
SPAC31A2.11c,-197.48084734282799,-108.29120105911328,-108.57176723105637,-19.382120947341694,0:00:57.865887,5
SPAC31A2.12,-225.56737949455,-123.21223351426819,-122.15744196904909,-19.802295988767238,0:01:05.077421,5
SPAC31A2.13c,-181.99165604875492,-96.75942871376728,-85.40775519952501,-0.1755278645373437,0:00:25.743885,0
SPAC31A2.14,-209.02321958138032,-112.28058720255602,-112.19990476533128,-15.457272386506984,0:00:58.685674,5
SPAC31A2.16,-215.22326642526943,-117.20646623678698,-112.1493276579809,-14.132527469498456,0:00:10.174793,0
SPAC13C5.01c,-232.3154872104979,-123.53033846182264,-125.13311734078049,-16.347968592105243,0:00:12.578240,0
SPNCRNA.644,-96.1669746567397,-47.921731486350524,-47.71597497278181,0.5292681976073226,0:00:05.762152,0
SPAC13C5.04,-241.7768243859886,-128.14354583764234,-121.20777660613552,-7.574498057789298,0:00:52.175644,6
SPNCRNA.645,-149.71638285952872,-81.14751239268388,-79.22579085177888,-10.65692038493404,0:00:07.052263,0
SPAC13C5.05c,-199.29929589294477,-105.39905175506918,-105.56062076855798,-11.660376630682409,0:00:35.192887,5
SPAC13C5.06c,-188.30913834757462,-102.55987185941956,-99.42784992693352,-13.678583438778446,0:00:14.089104,0
SPATRNAVAL.01,-332.45895999597167,-165.29155797610417,-173.42359024482516,-6.256188224957612,0:00:13.208237,0
SPAC23E2.02,-213.78148329810952,-108.28541816832424,-110.59291031941,-5.09684518962473,0:00:14.195583,0
SPRRNA.11,-303.043855608527,-158.12641189101709,-157.0941563931266,-12.176712675616727,0:00:12.685511,0
SPAC24H6.12c,-222.59108512001976,-120.62106942839434,-122.20227315869484,-20.232257467069413,0:00:51.351491,5
SPAC24H6.11c,-221.72642653874647,-119.53208257910342,-118.0048933417888,-15.810549382145696,0:00:53.797388,5
SPNCRNA.652,-159.59494489575485,-83.7485319120323,-86.7434112793112,-10.896998295588643,0:00:24.676404,1
SPAC24H6.09,-227.82578925436715,-122.63305282750342,-117.77425831373938,-12.581521886875693,0:00:41.222615,4
SPAC24H6.07,-312.68031642496965,-163.08021699903787,-163.99844763592932,-14.398348209997552,0:00:15.673071,0
SPAC24H6.06,-197.08489892360782,-106.6155138691522,-103.60558685408165,-13.136201799626036,0:00:35.572037,6
SPAC24H6.04,-284.7895253075527,-147.63126410443311,-145.00040521940682,-7.842144016287192,0:00:36.131538,1
SPNCRNA.653,-75.84713324138545,-36.99494327987213,-37.351284913674114,1.5009050478392254,0:00:05.166800,0
SPAC24H6.02c,-173.24253854493512,-95.48799349958657,-86.91256167445759,-9.158016629109056,0:00:17.891784,0
SPNCRNA.654,-89.32960690013664,-43.98907839793873,-43.33239714157897,2.008131360618947,0:00:05.400781,0
SPAC24H6.01c,-186.7221947336119,-98.92102726229211,-99.66773655043902,-11.866569079119243,0:00:11.770687,0
SPAC227.19c,-153.78302966531692,-77.22389097152987,-75.47491704971937,1.084221644067668,0:00:17.438098,0
SPNCRNA.655,-171.97698819926237,-92.7269792583673,-90.61169831627515,-11.361689375380138,0:00:10.888895,0
SPAC227.05,-208.6249633689606,-104.95701416456896,-103.53187497032205,0.1360742340696106,0:00:16.160225,0
SPAC227.06,-199.47104546716042,-104.686616409457,-102.48990406272236,-7.705475005019026,0:00:10.958750,0
SPAC227.07c,-226.96394728988466,-127.25910732175302,-117.26097543055486,-17.556135462423242,0:00:26.634306,0
SPNCRNA.657,-175.634368755013,-95.2690872687982,-88.37434644077624,-8.009064954561437,0:00:14.805913,0
SPAC227.08c,-177.26900384250297,-87.40608168703675,-92.50822551364008,-2.645303358173834,0:00:16.887023,0
SPAC227.09,-187.04219961342807,-97.17353418807636,-92.7686006875112,-2.89993526215946,0:00:24.447276,0
SPAC227.10,-212.69553018234782,-107.75494946566404,-106.1500932100318,-1.2095124933480008,0:00:16.887792,0
SPAC227.11c,-188.63171432120862,-92.34726633370136,-90.01998610900264,6.264461878504591,0:00:43.786731,2
SPAC227.12,-205.58324567651516,-104.4349791910376,-107.97779712538548,-6.829530639907973,0:00:22.163391,0
SPAC227.13c,-243.3778948844775,-130.48630009256814,-122.59232235841424,-9.700727566504867,0:00:20.683534,1
SPAC227.16c,-177.97020771245826,-98.03986864283293,-86.16874038298899,-6.238401313363652,0:00:39.378552,0
SPAC2F7.04,-194.19769630724304,-104.48276602466505,-104.01986928180548,-14.304938999227462,0:00:30.994750,0
SPNCRNA.660,-115.75010646948391,-56.708341342491366,-61.581245306576996,-2.5394801795844733,0:00:09.238597,0
SPNCRNA.661,-138.760454349197,-69.48999429165549,-69.51801711453611,-0.2475570569945944,0:00:06.780165,0
SPAC2F7.13c,-247.85009036371613,-132.52864339172856,-127.93463413785489,-12.613187165867288,0:00:12.466356,0
SPAC2F7.15,-199.9448912535247,-101.9007786044657,-101.97719812579773,-3.9330854767387393,0:00:39.384634,3
SPAC13A11.01c,-224.1066269145273,-115.08742200872773,-127.33263370279471,-18.313428796995087,0:00:58.120020,7
SPAC13A11.03,-273.4454924059158,-138.9059785025658,-142.73217691447314,-8.192663011123159,0:00:15.014595,0
SPAC13A11.04c,-207.14857984044914,-109.63725597282335,-107.51248465833464,-10.001160790708868,0:00:30.488462,0
SPAC13A11.05,-238.4278823917074,-127.21863582557451,-125.64879587636509,-14.439549310232167,0:00:29.809445,0
