,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_2_1,-33.97653858972085,-33.9165636209411,-0.0599749687797555
gene_2_2,-37.199331294963166,-37.20533863268884,0.0060073377256770755
gene_2_3,-26.73273318878282,-26.719720715179356,-0.013012473603463803
gene_2_4,-29.49329244315694,-29.892760968643213,0.39946852548627376
gene_2_5,-32.6596869569009,-31.40736045109542,-1.2523265058054776
gene_2_6,-32.093405753507945,-32.46035348053414,0.3669477270261936
gene_2_7,-31.136913769359722,-30.264423012542938,-0.8724907568167843
gene_2_8,-22.028438941822998,-21.427102825951877,-0.6013361158711206
gene_2_9,-23.990566047060003,-24.035233227203573,0.04466718014356985
gene_2_10,-17.441540460694725,-17.441540360530812,-1.0016391271960856e-07
gene_2_11,-39.498480214621175,-38.87694456788636,-0.621535646734813
gene_2_12,-38.927157729821836,-38.9270950827333,-6.264708853365164e-05
gene_2_13,-30.533323151471468,-32.86229097999668,2.3289678285252116
gene_2_14,-28.014697136252487,-28.014663669734652,-3.346651783431298e-05
gene_2_15,-36.50918204565588,-36.947192303750676,0.438010258094792
gene_2_16,-36.463818932046706,-37.05682656565831,0.5930076336116059
gene_2_17,-32.53007377064679,-32.53004728588761,-2.6484759175104955e-05
gene_2_18,-37.321023505067174,-37.32102092908013,-2.575987046782302e-06
gene_2_19,-34.81464603479547,-34.867149982875446,0.052503948079973384
gene_2_20,-24.467436092588876,-24.517572163636213,0.05013607104733708
gene_2_21,-31.75275624780957,-33.766456639069986,2.0137003912604143
gene_2_22,-25.752691757452283,-25.752690845822766,-9.116295167643784e-07
gene_2_23,-28.78587318882518,-29.620556151063578,0.8346829622383964
gene_2_24,-22.923334564092038,-22.92333449288694,-7.120509692981614e-08
gene_2_25,-26.008235930115298,-33.52445283652824,7.516216906412943
gene_2_26,-30.219855423310218,-30.219843017109206,-1.2406201012282736e-05
gene_2_27,-26.989909664007055,-26.720767436139184,-0.2691422278678708
gene_2_28,-25.21538663790631,-25.215239338070784,-0.00014729983552541626
gene_2_29,-35.63442830691852,-37.166275863256665,1.5318475563381426
gene_2_30,-33.751647802953364,-33.75163414369666,-1.365925670171464e-05
gene_2_31,-29.900780996909095,-37.37119639746649,7.470415400557396
gene_2_32,-32.933267092344984,-33.04783362970039,0.11456653735540812
gene_2_33,-32.108608194179084,-34.32320483681542,2.2145966426363373
gene_2_34,-29.150881291827876,-29.15084716630073,-3.412552714721073e-05
gene_2_35,-38.50400049132687,-40.0305931876636,1.5265926963367278
gene_2_36,-38.21213218935783,-38.21213149787033,-6.914875001484688e-07
gene_2_37,-29.329193553725307,-30.986379359194434,1.6571858054691262
gene_2_38,-34.82273413309066,-36.12385881649152,1.3011246834008574
gene_2_39,-39.676162265320066,-40.85622427695098,1.1800620116309162
gene_2_40,-36.09436115042919,-34.90887489191472,-1.1854862585144659
gene_2_41,-32.72250372412693,-33.385283164458784,0.6627794403318532
gene_2_42,-26.529646530898674,-24.1346119385852,-2.3950345923134755
gene_2_43,-30.50102527163176,-31.38253090186623,0.8815056302344679
gene_2_44,-28.531864841753187,-28.531862025651836,-2.8161013503336108e-06
gene_2_45,-18.98662775137159,-19.15248117528029,0.1658534239087004
gene_2_46,-9.933067448859028,-9.503206955541945,-0.42986049331708287
gene_2_47,-31.841937217643185,-33.04159189209019,1.1996546744470038
gene_2_48,-24.244728074573455,-23.704949475434823,-0.5397785991386321
gene_2_49,-20.918213296322307,-20.052058115109652,-0.8661551812126547
gene_2_50,-24.501037468547402,-24.501037380914546,-8.763285563873069e-08
gene_2_51,-27.35243075773916,-26.063456001841043,-1.288974755898117
gene_2_52,-26.574237329576594,-26.574218204155674,-1.9125420919863245e-05
gene_2_53,-32.01336750363047,-30.851956542112063,-1.1614109615184063
gene_2_54,-35.88678188274338,-35.99949350411751,0.11271162137413171
gene_2_55,-25.78321664266661,-24.549285601601277,-1.2339310410653326
gene_2_56,-18.991499769834036,-18.991499170519084,-5.993149514438301e-07
gene_2_57,-23.83642882532005,-27.9038833653407,4.067454540020652
gene_2_58,-26.24734467454065,-27.140918716569935,0.8935740420292859
gene_2_59,-24.084646627721646,-24.753373963766073,0.6687273360444266
gene_2_60,-17.28450046317421,-15.66408299588354,-1.6204174672906717
gene_2_61,-33.41242736798247,-34.88206845706433,1.4696410890818612
gene_2_62,-33.24983549563348,-32.354562917905234,-0.8952725777282424
gene_2_63,-38.14119478850275,-37.33950374936236,-0.801691039140394
gene_2_64,-33.08864212606631,-33.08864201711981,-1.0894650159798402e-07
gene_2_65,-25.575804097143568,-25.575730698217253,-7.33989263146384e-05
gene_2_66,-21.181141645209337,-21.181049894872636,-9.175033670061339e-05
gene_2_67,-25.976164783414077,-25.732761633011965,-0.2434031504021128
gene_2_68,-18.75728980315703,-18.268342763070486,-0.48894704008654344
gene_2_69,-36.61035079448068,-36.610350543983046,-2.504976350792276e-07
gene_2_70,-37.873436245372424,-37.873360473823894,-7.577154853066759e-05
gene_2_71,-37.0862189455093,-37.05117529334143,-0.03504365216787164
gene_2_72,-38.80940148650618,-38.80939434539168,-7.141114501507673e-06
gene_2_73,-31.715727019046433,-32.17379101771783,0.458063998671399
gene_2_74,-36.54495590851573,-36.54495575673651,-1.517792185268263e-07
gene_2_75,-28.025187740039023,-28.277811517382737,0.25262377734371455
gene_2_76,-25.460692421269904,-23.83693888191188,-1.6237535393580238
gene_2_77,-34.060138455775906,-35.58430220758912,1.5241637518132123
gene_2_78,-27.58399680192062,-27.68083759268063,0.09684079076000884
gene_2_79,-26.22468906621183,-26.874075977591765,0.6493869113799349
gene_2_80,-20.579734747923624,-20.96494265310219,0.38520790517856796
gene_2_81,-31.760470902330116,-33.76978437571424,2.009313473384122
gene_2_82,-29.11925241645118,-27.98920365871196,-1.1300487577392175
gene_2_83,-30.218919567980432,-30.925530905184722,0.7066113372042899
gene_2_84,-21.92777535225353,-21.92777240998414,-2.94226938990505e-06
gene_2_85,-31.733356649995017,-31.73326526655652,-9.138343849812713e-05
gene_2_86,-30.35101697814273,-30.674335483508855,0.3233185053661245
gene_2_87,-36.16618671226347,-38.01019136603496,1.844004653771492
gene_2_88,-34.49318983008556,-34.49305005817576,-0.00013977190980085652
gene_2_89,-22.280312381567917,-22.280240457057086,-7.192451083071205e-05
gene_2_90,-20.288899308344003,-20.22079473024705,-0.06810457809695336
gene_2_91,-35.7246985229367,-35.724694107078996,-4.415857702610992e-06
gene_2_92,-29.829999100914634,-27.62132557756316,-2.208673523351475
gene_2_93,-38.92322428187063,-38.923135764733146,-8.851713748470047e-05
gene_2_94,-35.393531152011384,-35.39352144349327,-9.708518113882292e-06
gene_2_95,-24.153626149436867,-24.15359734928523,-2.8800151635977045e-05
gene_2_96,-23.27318368053438,-23.388689484562516,0.11550580402813537
gene_2_97,-31.107048894669955,-33.75290893124337,2.6458600365734135
gene_2_98,-23.29584324372945,-23.370619486717068,0.07477624298761754
gene_2_99,-34.93296479308508,-37.025303069394404,2.0923382763093272
gene_2_100,-34.553115921493266,-34.28253250010245,-0.2705834213908176
gene_2_101,-34.22081094471587,-36.22586826749296,2.005057322777091
gene_2_102,-30.25092004392924,-30.368518109200963,0.11759806527172145
gene_2_103,-24.343622564637325,-25.468391050998584,1.1247684863612584
gene_2_104,-8.86125009860497,-8.483402262405654,-0.37784783619931517
gene_2_105,-34.867862562245854,-34.960448955693046,0.092586393447192
gene_2_106,-35.81553492001382,-36.12560485148645,0.31006993147263273
gene_2_107,-38.55910903728209,-43.157414326205526,4.598305288923434
gene_2_108,-35.49662890978879,-35.51911664238303,0.02248773259424297
gene_2_109,-29.092578084483513,-31.871148894955653,2.7785708104721394
gene_2_110,-30.695178373033663,-29.80031702021638,-0.8948613528172835
gene_2_111,-36.94377554895827,-34.84199937389794,-2.10177617506033
gene_2_112,-26.450789116828272,-25.593361837871374,-0.857427278956898
gene_2_113,-34.35998748194911,-34.31029232264016,-0.04969515930895341
gene_2_114,-26.132627339837413,-26.132665903918326,3.856408091351682e-05
gene_2_115,-28.729315224859103,-30.32465286022857,1.595337635369468
gene_2_116,-13.796892572157617,-13.835049841656605,0.038157269498988455
gene_2_117,-30.468338901750677,-31.620069341116306,1.151730439365629
gene_2_118,-36.704361079451296,-37.91597373114926,1.211612651697962
gene_2_119,-33.65639587873353,-34.22447528510988,0.5680794063763557
