,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1_1,-36.86625526269475,-37.467229178783285,0.6009739160885346
gene_1_2,-46.315119580545534,-45.271448246513515,-1.0436713340320196
gene_1_3,-40.00094276060078,-40.652126834488506,0.6511840738877268
gene_1_4,-42.241311663426806,-43.676920680218856,1.4356090167920499
gene_1_5,-35.42825542964414,-37.2517802927556,1.8235248631114587
gene_1_6,-40.34875662286943,-40.36100579388119,0.01224917101176004
gene_1_7,-30.36183675905102,-30.43256167552529,0.07072491647426915
gene_1_8,-30.639148456581445,-31.076419987218745,0.4372715306373003
gene_1_9,-39.005455528344,-43.31498629935931,4.309530771015311
gene_1_10,-43.70835266009554,-43.74690618124936,0.038553521153815495
gene_1_11,-55.04331243699318,-60.788399307349685,5.745086870356502
gene_1_12,-50.563412687942076,-50.56340994417095,-2.743771126745287e-06
gene_1_13,-39.43919613808073,-39.7976047711704,0.35840863308966675
gene_1_14,-23.791761449584044,-23.489518592801602,-0.302242856782442
gene_1_15,-47.24293945092319,-51.11774108303147,3.87480163210828
gene_1_16,-46.77107064578903,-46.77862962305772,0.007558977268686817
gene_1_17,-33.36241121193146,-34.41098788326146,1.0485766713300038
gene_1_18,-30.14489053837962,-30.147868067556615,0.0029775291769951195
gene_1_19,-29.738764063439056,-29.742400430453344,0.0036363670142876003
gene_1_20,-28.6438025728821,-28.64379088375638,-1.1689125720693028e-05
gene_1_21,-45.3506483155403,-45.72762668159904,0.3769783660587436
gene_1_22,-49.47122588281944,-48.155672661669556,-1.3155532211498837
gene_1_23,-27.257501015407122,-27.25749832730814,-2.6880989807409605e-06
gene_1_24,-30.314969511010638,-30.383273837280377,0.06830432626973959
gene_1_25,-35.26729520741234,-36.740956066481246,1.4736608590689073
gene_1_26,-38.16082547649333,-38.162703715515065,0.0018782390217353395
gene_1_27,-45.40600602070169,-53.71607056216041,8.310064541458722
gene_1_28,-52.118166993994905,-51.673793785898596,-0.44437320809630876
gene_1_29,-42.72031865040629,-43.52975087387882,0.8094322234725269
gene_1_30,-38.42715415187792,-38.427035310340216,-0.00011884153770580497
gene_1_31,-35.77139036034703,-35.940735285044525,0.16934492469749785
gene_1_32,-38.16313745090779,-37.880630077192706,-0.2825073737150845
gene_1_33,-36.71430236273957,-38.997788584667326,2.2834862219277525
gene_1_34,-34.82011497181215,-34.6977368172139,-0.12237815459825185
gene_1_35,-48.55375721946497,-48.38711800631025,-0.16663921315471697
gene_1_36,-44.144569269033326,-44.146060644200475,0.0014913751671485898
gene_1_37,-38.39171472984554,-45.28996655165015,6.898251821804614
gene_1_38,-37.93466022986072,-37.987329320454684,0.05266909059396596
gene_1_39,-25.569226041709488,-25.50089345700806,-0.06833258470142667
gene_1_40,-26.359907582731136,-26.359907731823718,1.490925818359301e-07
gene_1_41,-38.6226379350291,-45.03566504922113,6.413027114192033
gene_1_42,-35.78238810354149,-36.123057827983786,0.34066972444229293
gene_1_43,-44.151766315181604,-54.54643364782201,10.39466733264041
gene_1_44,-45.61567252808961,-45.65392898032121,0.038256452231600235
gene_1_45,-31.54751214052066,-33.14359121019123,1.596079069670573
gene_1_46,-27.95064660497161,-27.950644746271117,-1.858700493073684e-06
gene_1_47,-43.71025910292225,-49.9754455531398,6.2651864502175485
gene_1_48,-27.257500254817643,-27.257498099109547,-2.155708095585851e-06
gene_1_49,-35.458718096669905,-37.847607533125085,2.3888894364551803
gene_1_50,-29.454720448691106,-29.454735284176007,1.4835484900999063e-05
gene_1_51,-50.015117443405984,-50.30344070186239,0.2883232584564084
gene_1_52,-51.94828633250065,-52.808058394363584,0.8597720618629339
gene_1_53,-38.91476980365617,-42.33480956993472,3.420039766278549
gene_1_54,-31.534159198518303,-31.53117162985495,-0.0029875686633538123
gene_1_55,-27.903822247806445,-27.90382242342602,1.7561957577072462e-07
gene_1_56,-26.564352295706854,-26.564351656787842,-6.3891901191937e-07
gene_1_57,-40.39271969116999,-43.83712337274909,3.4444036815791037
gene_1_58,-35.22714234173086,-37.112995093155526,1.8858527514246646
gene_1_59,-33.23115008996269,-51.679013110712006,18.447863020749317
gene_1_60,-20.25188823475084,-21.48910261192607,1.2372143771752313
gene_1_61,-33.51632621786268,-35.098772049607945,1.582445831745268
gene_1_62,-36.381076150620444,-36.37655255890404,-0.004523591716406372
gene_1_63,-32.632147802374604,-40.45122063693611,7.819072834561503
gene_1_64,-25.02892410943144,-25.072727642813604,0.043803533382163806
gene_1_65,-28.847922519657242,-30.000218413854846,1.1522958941976036
gene_1_66,-32.40647484071167,-32.40647396969482,-8.710168444281408e-07
gene_1_67,-46.523761708683544,-44.22475970576892,-2.2990020029146265
gene_1_68,-37.5426998167544,-37.5433136171427,0.0006138003883009446
gene_1_69,-38.95948050946712,-42.791519947376955,3.8320394379098346
gene_1_70,-43.905455830141634,-43.90545403513613,-1.79500550245848e-06
gene_1_71,-53.81368368460038,-64.50604375336111,10.692360068760735
gene_1_72,-56.59515177269494,-56.59513468743569,-1.7085259251814477e-05
gene_1_73,-37.28273539870445,-37.29279028188693,0.010054883182476715
gene_1_74,-36.43427626138405,-35.974240128846894,-0.46003613253715514
gene_1_75,-51.93249626797838,-51.927993489658675,-0.004502778319704248
gene_1_76,-61.328309213513776,-62.411595211225254,1.083285997711478
gene_1_77,-42.78930625269609,-43.83170281393186,1.042396561235769
gene_1_78,-27.95064532128925,-27.95064205056039,-3.2707288610822616e-06
gene_1_79,-38.33181418310194,-43.11735412996762,4.785539946865683
gene_1_80,-33.494908023313016,-33.49469990412584,-0.00020811918717811295
gene_1_81,-44.88236058014969,-46.023406592369255,1.1410460122195687
gene_1_82,-27.66296280431521,-27.66296154789713,-1.2564180806862169e-06
gene_1_83,-57.5526198124745,-57.55260930649166,-1.0505982835695704e-05
gene_1_84,-48.83232210981616,-48.83480052929829,0.0024784194821307892
gene_1_85,-39.644734740383164,-40.78282422230699,1.1380894819238279
gene_1_86,-42.36997479873088,-42.435022509456616,0.0650477107257359
gene_1_87,-33.32643562850817,-32.95549094338014,-0.37094468512803047
gene_1_88,-28.784729950564337,-28.784729947810426,-2.75391087711796e-09
gene_1_89,-40.31620757543507,-40.88218591603484,0.56597834059977
gene_1_90,-32.40997282010499,-32.40997289791414,7.780914756949642e-08
gene_1_91,-44.45519390227666,-45.37285713144614,0.9176632291694773
gene_1_92,-44.96004208068673,-42.74883179005361,-2.211210290633126
gene_1_93,-43.80482621957985,-45.93052090943495,2.125694689855095
gene_1_94,-38.49022806520395,-38.49204653284183,0.0018184676378822928
gene_1_95,-47.47608096614489,-49.858127083288274,2.382046117143382
gene_1_96,-53.34397181915182,-50.27436706301276,-3.069604756139057
gene_1_97,-37.19187341129631,-37.525763610170856,0.33389019887454907
gene_1_98,-33.593236245935955,-33.70167721301919,0.10844096708323292
gene_1_99,-40.843059130890516,-45.998894667527296,5.155835536636779
gene_1_100,-36.21656998799138,-36.21486311680832,-0.0017068711830603434
gene_1_101,-37.17278255032498,-39.52166344198426,2.3488808916592774
gene_1_102,-33.23396407497921,-33.23251446474004,-0.0014496102391703403
gene_1_103,-49.34494175425803,-49.95115172959492,0.6062099753368884
gene_1_104,-48.050526592552266,-48.559946748208816,0.5094201556565494
gene_1_105,-41.570362779070884,-42.856985856854195,1.286623077783311
gene_1_106,-45.1440871558249,-45.1440838518193,-3.3040055953392766e-06
gene_1_107,-42.47050369717035,-42.4705018920362,-1.8051341541536203e-06
gene_1_108,-37.79496046592786,-37.79443452509903,-0.0005259408288296186
gene_1_109,-39.43810952600458,-39.58687960645997,0.14877008045539242
gene_1_110,-30.014831802680455,-31.53415570836624,1.5193239056857841
gene_1_111,-51.59742737593279,-51.75607958543843,0.15865220950563952
gene_1_112,-48.64168166845313,-48.85181468993351,0.21013302148038093
gene_1_113,-37.45545987612137,-41.88877798189888,4.433318105777516
gene_1_114,-38.8066115818848,-38.6089842066726,-0.19762737521219975
gene_1_115,-48.19395984747277,-47.666809704068626,-0.5271501434041426
gene_1_116,-44.17433072712089,-44.17432910189072,-1.6252301691110915e-06
gene_1_117,-36.949106563526605,-44.335468684532024,7.386362121005419
gene_1_118,-29.57237665987239,-29.57234456263175,-3.209724064134889e-05
gene_1_119,-41.04688741303406,-41.54931871270705,0.5024312996729918
gene_1_120,-39.59026162397718,-39.58975340192629,-0.0005082220508896285
gene_1_121,-40.632508125720996,-43.13671120438496,2.504203078663963
gene_1_122,-45.2138547024399,-45.27866392224506,0.06480921980515575
gene_1_123,-41.55026691162194,-41.48805038188197,-0.06221652973997038
gene_1_124,-42.63161499391819,-42.63284229965289,0.0012273057347016447
gene_1_125,-40.597472349648925,-40.98988523867548,0.39241288902655214
gene_1_126,-37.912834298264215,-38.05986140621434,0.14702710795012308
gene_1_127,-53.903381979269824,-56.02134452795396,2.117962548684133
gene_1_128,-48.68836417928512,-48.68966220310041,0.0012980238152948687
gene_1_129,-38.9077344700328,-39.46826851657968,0.5605340465468771
gene_1_130,-42.35545203036793,-42.35404180193987,-0.0014102284280568256
gene_1_131,-35.777365588868975,-42.58553419020484,6.808168601335865
gene_1_132,-31.99644953605192,-32.175029907887534,0.17858037183561493
gene_1_133,-41.80125495489689,-41.797714084555,-0.003540870341893765
gene_1_134,-48.05225974466623,-49.24764429564728,1.1953845509810463
gene_1_135,-55.49851670098498,-57.97854133698162,2.4800246359966422
gene_1_136,-53.34986272497048,-53.36937684500102,0.01951412003054287
gene_1_137,-45.0666196976227,-46.5659160857075,1.499296388084801
gene_1_138,-38.55155059240742,-37.31631963949208,-1.2352309529153445
gene_1_139,-43.642501693184144,-51.18954890368771,7.547047210503564
gene_1_140,-44.571422900635724,-44.571242205919006,-0.00018069471671822157
gene_1_141,-38.24322102248891,-42.86945728937014,4.626236266881229
gene_1_142,-43.88018127742548,-43.880179631284136,-1.6461413423485283e-06
gene_1_143,-26.969815004768723,-26.969814922461314,-8.230740888848231e-08
gene_1_144,-30.95825762038355,-30.958257552022353,-6.836119581521416e-08
gene_1_145,-40.867215461146,-42.20786456056723,1.3406490994212277
gene_1_146,-36.40964936815301,-36.40815641627731,-0.001492951875704307
gene_1_147,-49.93842471931356,-53.16158088449344,3.22315616517988
gene_1_148,-47.97632454314875,-47.97717122682558,0.0008466836768334929
gene_1_149,-25.465739774132945,-25.45895466961212,-0.006785104520826479
gene_1_150,-25.87115042364297,-25.86447592335623,-0.0066745002867385494
gene_1_151,-27.485299126292617,-30.490238751005876,3.004939624713259
gene_1_152,-25.35294282703436,-25.458954584981566,0.10601175794720419
gene_1_153,-38.81288252707933,-41.25518088667299,2.442298359593657
gene_1_154,-31.392258307621,-31.531172591767398,0.13891428414639861
gene_1_155,-35.17522023698998,-43.419160004633426,8.243939767643447
gene_1_156,-36.22638688630414,-36.22568893898871,-0.0006979473154302696
gene_1_157,-38.07995838185744,-38.44907436477225,0.3691159829148134
gene_1_158,-37.688340092277194,-37.837424496331955,0.14908440405476142
gene_1_159,-39.590926278160225,-39.735525329981364,0.14459905182113886
gene_1_160,-35.47029136071958,-35.47029068648041,-6.74239167608448e-07
gene_1_161,-39.11743014661503,-38.66237841201607,-0.4550517345989604
gene_1_162,-43.5471307027677,-42.302623852911466,-1.2445068498562364
gene_1_163,-53.68255682353839,-57.18105425255055,3.4984974290121613
gene_1_164,-53.963298148853475,-54.03809474899118,0.07479660013770228
gene_1_165,-49.691720181063566,-48.603555978971556,-1.0881642020920097
gene_1_166,-48.9472283941023,-48.94722711244083,-1.2816614685107197e-06
gene_1_167,-39.20300936390524,-39.203009014083236,-3.4982200247668516e-07
gene_1_168,-31.38823527920512,-31.388235106332694,-1.7287242570773742e-07
gene_1_169,-37.85605724906898,-38.20869952913389,0.35264228006490583
gene_1_170,-34.87451179383384,-34.81612996086564,-0.05838183296820176
gene_1_171,-43.16438752538573,-48.16776318129541,5.003375655909686
gene_1_172,-44.45763496508745,-41.74933798358541,-2.7082969815020377
gene_1_173,-37.1513820187379,-37.231250002218175,0.0798679834802769
gene_1_174,-40.180011460302296,-40.18001102414869,-4.361536056762816e-07
gene_1_175,-46.04521205859099,-47.65634869757979,1.6111366389887962
gene_1_176,-48.03731990706571,-48.040968096464965,0.0036481893992572623
gene_1_177,-42.49456133179943,-47.96547091494385,5.470909583144419
gene_1_178,-28.761573514795835,-28.76157386926348,3.544676445699224e-07
gene_1_179,-40.24221288825843,-44.16969946673791,3.9274865784794812
gene_1_180,-46.48319958076681,-43.789154666321586,-2.6940449144452217
gene_1_181,-37.671672553175455,-37.630270066676346,-0.04140248649910916
gene_1_182,-27.6486672503105,-27.64866685418853,-3.961219690040707e-07
gene_1_183,-57.48918799197507,-63.280840744168735,5.791652752193663
gene_1_184,-57.392991306522916,-58.636292812260535,1.2433015057376196
gene_1_185,-33.08846787064834,-35.598784124278225,2.510316253629888
gene_1_186,-36.68531781061462,-37.108140091032844,0.4228222804182238
gene_1_187,-30.166279670155422,-30.435549638324268,0.26926996816884596
gene_1_188,-35.20285451562815,-35.19532869328783,-0.007525822340319621
gene_1_189,-30.015114785635113,-33.86045070771559,3.84533592208048
gene_1_190,-27.257499818621284,-27.257498448614946,-1.3700063377086735e-06
gene_1_191,-51.44775177720509,-53.370079260786525,1.9223274835814337
gene_1_192,-43.00309723781618,-46.63350593122418,3.6304086934080004
gene_1_193,-32.624205547295205,-34.18784643277395,1.5636408854787476
gene_1_194,-36.023045457866814,-35.31213106334046,-0.7109143945263554
gene_1_195,-38.18692101662384,-38.742657839528825,0.5557368229049828
gene_1_196,-38.75062165173306,-38.75062142536142,-2.2637163965555374e-07
gene_1_197,-42.34859965347361,-43.248561327456386,0.8999616739827729
gene_1_198,-38.20048734886646,-38.19991262835942,-0.000574720507039217
gene_1_199,-30.387316435954876,-30.658140667622853,0.27082423166797653
gene_1_200,-22.014175224894245,-22.422013292163996,0.4078380672697506
gene_1_201,-45.67502826376726,-45.67233448983878,-0.002693773928477583
gene_1_202,-45.59084308632888,-45.24989692752321,-0.3409461588056715
gene_1_203,-54.482075597323515,-57.50457563431325,3.022500036989733
gene_1_204,-55.53649257683597,-55.54236678286049,0.005874206024522266
gene_1_205,-36.48608297667132,-38.382706196759344,1.8966232200880242
gene_1_206,-33.64784611518745,-33.647995244799695,0.00014912961224666788
gene_1_207,-56.44644334253008,-59.77293709798348,3.3264937554533986
gene_1_208,-52.20419412425139,-52.20415002401962,-4.410023176859568e-05
gene_1_209,-39.04359519919212,-42.233695000238676,3.190099801046557
gene_1_210,-44.30368913689602,-43.98091066873077,-0.3227784681652466
gene_1_211,-40.112927767047395,-40.112926294394924,-1.4726524710795275e-06
gene_1_212,-41.07715955747322,-40.17479247113117,-0.9023670863420534
gene_1_213,-43.03955716420643,-47.12375096471852,4.0841938005120895
gene_1_214,-38.076223894957366,-38.07622331252158,-5.824357884876008e-07
gene_1_215,-41.61872037062943,-41.618703990912195,-1.6379717237668956e-05
gene_1_216,-49.38781824999582,-50.44143479434706,1.053616544351243
gene_1_217,-42.7471973290404,-42.74713929082868,-5.803821171923573e-05
gene_1_218,-43.5764301824436,-43.5764333314079,3.1489642964288578e-06
gene_1_219,-43.149885745947515,-47.36118145935864,4.2112957134111255
gene_1_220,-44.030933719151186,-44.07520787780727,0.04427415865608708
gene_1_221,-31.534063407082545,-34.44908591009551,2.915022503012967
gene_1_222,-34.2962217747192,-36.7568280633771,2.4606062886578997
gene_1_223,-34.571816047666076,-33.63603864736967,-0.9357774002964021
gene_1_224,-33.21541808296803,-33.63815201164034,0.42273392867230797
gene_1_225,-41.32881535356263,-42.41709338684534,1.0882780332827053
gene_1_226,-32.61617697323507,-32.61563313235955,-0.0005438408755225055
gene_1_227,-44.76691493744355,-44.785114086590006,0.018199149146454374
gene_1_228,-54.34865569746515,-54.38633288685716,0.03767718939201359
gene_1_229,-28.356109379182676,-28.356109890583767,5.11401090363961e-07
gene_1_230,-24.079453323253688,-24.079446942892552,-6.380361135427393e-06
gene_1_231,-35.4962957531871,-34.73464865046754,-0.7616471027195573
gene_1_232,-41.19828488989737,-41.23105393415548,0.032769044258110114
gene_1_233,-44.07765708648745,-45.4472668967359,1.3696098102484484
gene_1_234,-36.1071590335291,-36.105875580024254,-0.001283453504846932
gene_1_235,-34.62282858924018,-34.27624472049152,-0.34658386874865954
gene_1_236,-33.36595543232813,-33.34975417360868,-0.01620125871944822
gene_1_237,-47.45883876234063,-48.47457501413445,1.0157362517938182
gene_1_238,-44.09171047342717,-44.170239814387486,0.07852934096031561
gene_1_239,-38.26976981172957,-37.297781038897526,-0.9719887728320415
gene_1_240,-39.23047407717029,-39.47541025119055,0.24493617402026047
gene_1_241,-38.89272042885694,-41.70211922902281,2.809398800165873
gene_1_242,-46.18250038019502,-46.10880889396448,-0.073691486230544
gene_1_243,-50.29609333391525,-55.22692745164858,4.930834117733326
gene_1_244,-46.64810218880924,-43.42528920484051,-3.22281298396873
gene_1_245,-30.543233117284117,-30.758271213937157,0.2150380966530392
gene_1_246,-35.121116618533286,-35.11024565310026,-0.010870965433028346
gene_1_247,-26.158887634070993,-26.158887237729623,-3.963413703900187e-07
gene_1_248,-30.837359639299276,-30.841012944691165,0.003653305391889461
gene_1_249,-43.76227052470128,-44.255619504727555,0.49334898002627625
gene_1_250,-30.999578047164544,-30.97008459369977,-0.029493453464773722
gene_1_251,-43.98102933736552,-47.55852445333126,3.577495115965739
gene_1_252,-37.350270350556734,-39.60035910224567,2.250088751688935
gene_1_253,-37.561905990676756,-42.969764720354235,5.4078587296774785
gene_1_254,-32.7158419841673,-32.761840662303236,0.04599867813593761
gene_1_255,-36.424516081031754,-36.51920528288868,0.09468920185692298
gene_1_256,-25.08459223352959,-24.866534573176317,-0.21805766035327423
gene_1_257,-38.374513403729026,-38.80638299223725,0.43186958850822776
gene_1_258,-31.713391778310715,-32.432245289160655,0.7188535108499394
gene_1_259,-48.36001294106361,-61.49894868895563,13.13893574789202
gene_1_260,-44.15309310077728,-44.175008704298925,0.021915603521648563
gene_1_261,-37.660212158643795,-39.52565967371176,1.865447515067963
