gene,sv_genes_gpcounts,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde
Apod,Pcp4,Cpe,144.75838,36.65540836
Apoe,Apc,Fabp7,137.5189143,35.69801676
Kif5b,Gng13,Kif5b,122.9837617,37.14602646
Scd1,Fabp7,Cck,118.5842879,21.54099023
S100a5,Apod,Apod,108.849838,26.47294477
Mcf2l,S100a5,Apoe,107.5892531,27.18383666
Kctd12,Sepp1,Sparcl1,105.8276365,29.84560347
Igfbp5,Apoe,Apc,103.3245228,18.83844445
Omp,Trak2,Doc2g,100.948937,26.05325614
Sepp1,Omp,Marcks,90.09891388,17.3162032
Ptgds,Kif5b,Kctd12,88.81380259,14.96230075
Sparcl1,Glul,Glul,84.0735916,32.17718287
Apc,Sash1,Slc1a2,84.0049448,31.54359162
Trak2,Ptgds,Ptn,81.29357606,20.8218044
Sash1,Sparcl1,Mcf2l,80.65597137,16.95512128
Pcp4,Scd1,S100a5,75.78637037,17.22998321
Gng13,Mbp,Cdr1,73.8000846,15.32465885
Mbp,Mcf2l,Omp,72.05111887,22.99801671
Glul,Kctd12,Taf7l,72.04457624,28.81973096
Nrgn,Igfbp5,Cdhr1,63.86120701,19.45261327
Nr2f2,Nrgn,Kcnh3,63.14559056,18.27100536
Cck,Nr2f2,Mbp,61.33918072,37.57358376
Calm2,Cck,Nrsn1,60.45367387,11.19738287
Vtn,Calm2,Scd1,59.06732451,14.26928431
Frzb,Vtn,Trak2,58.73182009,15.92536153
Sorbs1,Frzb,Lpar1,58.34358943,14.73396894
Timp3,Sorbs1,Prokr2,57.68157641,12.82622032
Camk2b,Timp3,Nrgn,57.36921276,14.2690701
Ncdn,Camk2b,4933405L10Rik,57.22273635,13.64164207
Gng4,Ncdn,Gabra1,57.10366752,13.09965989
Gpsm1,Gng4,Igfbp5,55.95110732,15.85502675
Fabp7,Gpsm1,Nr2f2,55.87592238,41.96622866
Cpe,Cpe,Cplx1,55.79384567,55.87592238
Lpar1,Lpar1,Ccnd1,55.14651751,20.85387847
Atf5,Atf5,Tubb2b,54.63012043,7.192084619
Npy,Npy,Unc13c,53.26352404,12.9447864
Sez6,Sez6,Sepp1,52.62741335,11.9570181
Marcks,Marcks,Pcp4,52.58720563,30.40964497
Ccnd1,Ccnd1,Atp1b1,52.21644669,17.90521864
Tubb2b,Tubb2b,Tspan7,51.9373131,17.8717713
Mest,Penk,Sash1,50.44178071,11.62475846
Penk,Mest,Igfbp2,50.39398168,16.07397632
Fmo1,Fmo1,Slc6a11,49.98405872,11.21664302
Vim,Vim,Penk,49.50713389,7.020373231
Ahnak,Ahnak,Frzb,49.23938944,9.711235557
Ptn,Ptn,Aqp4,48.90714483,27.42565893
Cpne4,Cpne4,Gpsm1,48.7084801,11.64549571
Vamp2,Vamp2,Slc17a7,48.58286061,9.802028207
Nrsn1,Nrsn1,Pbx1,48.38971366,22.08588946
Beta-s,Beta-s,Gng13,48.33917376,6.897322751
Id3,Id3,Baiap2,47.01345936,11.5470205
Baiap2,Baiap2,Rbfox3,46.75903942,15.21314175
Atp1b1,Atp1b1,Ptgds,45.27543194,17.11827717
Snap25,Snap25,Gna14,44.45167413,8.150337919
Ahcyl2,Ahcyl2,Olfr635,43.6244539,7.339144898
Kcnh3,Kcnh3,Sorbs1,43.45434968,23.1324213
Atp1a1,Atp1a1,Rab3b,43.21262317,7.029863599
Nudt4,Nudt4,Foxd3,42.71050685,6.251713577
Meis2,Meis2,Arhgap33,42.0473418,8.973877071
Nsg2,Nsg2,Igf1,41.9385553,2.088924964
Ppia,Ppia,Vtn,41.87018252,4.186715227
Cldn5,Cldn5,Camk2b,41.71473569,5.736436776
Synpr,Synpr,Necab2,41.21200678,3.970509786
Syn1,Syn1,Trnp1,40.92383248,10.39117048
Nrxn3,Nrxn3,Pmepa1,40.65758442,10.58703263
Igfbp7,Gja1,Sfrp5,40.38990612,3.094605438
Gja1,Igfbp7,Ncdn,40.37675956,10.19692242
Hmgcs2,Hmgcs2,,40.02561297,10.51580807
Rgcc,Rgcc,,39.40908907,9.63133415
Igf1,Igf1,,39.28361692,14.54155234
Gpt2,Gpt2,,38.69640281,7.360804956
Foxd3,Foxd3,,38.58497394,14.62771444
Aplp1,Aplp1,,38.45440463,12.48468241
Ube2ql1,Ube2ql1,,37.82921471,8.366362554
Grb2,Grb2,,37.67682456,8.720715629
Gpm6b,Gpm6b,,37.62234409,11.06874971
