gene_gpc,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,p_value,q_value,g_sde,LLR_sde
Nrf1,-249.2338208,-249.2338187,-2.10E-06,1,1,Lrrfip1,0.000964008
Zbtb5,-264.1469403,-264.3930262,0.246085867,0.619844724,1,Lix1,0.160295006
Ccnl1,-470.1798059,-470.1798263,2.04E-05,0.996399285,1,Whrn,0.00096401
Lrrfip1,-426.2881306,-426.3735567,0.085426039,0.770074589,1,Rab34,0.000964006
Bbs1,-399.456638,-399.7516121,0.294974132,0.587050481,1,Slc1a3,0.000964011
Lix1,-615.6018347,-615.7138251,0.111990349,0.737889431,1,Polr3k,0.000964006
Whrn,-343.7067182,-344.2797505,0.573032291,0.449056474,1,Inpp5f,1.098454829
Ate1,-505.8747979,-506.2723267,0.397528816,0.528368247,1,Atp5j2,0.635812116
Ubac1,-519.8977571,-519.8977245,-3.26E-05,1,1,Tnpo2,1.439213934
Rab34,-404.3824899,-404.3824905,6.25E-07,0.999369013,1,2010300C02Rik,0.846700457
Nap1l1,-707.4985749,-707.4985556,-1.93E-05,1,1,Commd5,0.000964007
Srgap3,-646.0024938,-646.2493284,0.246834533,0.619312852,1,Ints3,0.196058848
Slc1a3,-1118.958148,-1118.958142,-6.31E-06,1,1,Sox2,0.000964007
Polr3k,-360.3116701,-360.3116688,-1.25E-06,1,1,Cbx5,0.000964007
Inpp5f,-637.2051696,-638.0672053,0.86203569,0.353169645,1,Mapre1,0.100863545
Ndufaf6,-212.7972806,-215.2942812,2.497000614,0.114063348,1,Luc7l3,1.258138024
Atp5j2,-670.9372579,-671.0548549,0.117597012,0.73165548,1,Pi4kb,0.00096401
Tnpo2,-516.4263286,-516.4714452,0.045116624,0.831789726,1,Mink1,0.147056165
2010300C02Rik,-682.3779696,-683.2272643,0.849294665,0.35675195,1,Resp18,0.00096401
B3gat3,-534.1835519,-534.1835639,1.20E-05,0.99724167,1,Rnf10,0.000964007
Commd5,-219.2265179,-219.235179,0.008661118,0.92585182,1,Eef1a1,0.000964009
Ints3,-444.4310952,-444.4662287,0.035133523,0.851316146,1,Mdfic,0.031417722
Rbm6,-425.2656876,-426.5963879,1.330700333,0.248680666,1,Rhbdf1,0.00096401
Rnpepl1,-378.435487,-378.5063266,0.070839674,0.790118117,1,Zbtb14,0.000964007
Sox2,-597.0031892,-597.0031828,-6.38E-06,1,1,Fam213a,0.000964011
Cbx5,-626.178787,-626.3535731,0.174786083,0.675892827,1,Cldn5,0.00096401
Poldip3,-478.3271923,-479.0761342,0.748941864,0.38681145,1,Fam193b,0.92803206
Mapre1,-609.2458646,-610.4450966,1.199231998,0.273475231,1,Grik5,0.145426393
Luc7l3,-642.9992779,-643.1293944,0.13011644,0.71831134,1,Sh3bgrl,0.000964009
Pi4kb,-163.557267,-163.6085855,0.051318512,0.820784644,1,Cwc25,0.000964009
Mink1,-514.0682652,-514.0682592,-5.95E-06,1,1,Camkk1,0.649096868
Resp18,-418.6468674,-418.6468621,-5.31E-06,1,1,Chn2,0.147239652
Rnf10,-566.7902342,-567.3667008,0.576466578,0.447700652,1,Dhh,0.325042374
Eef1a1,-1110.651072,-1110.651053,-1.96E-05,1,1,Map3k11,0.061204598
Mdfic,-152.2538908,-152.5791329,0.325242085,0.568474244,1,Zmynd11,0.000964007
Rhbdf1,-318.8029416,-319.1204836,0.317542065,0.573088532,1,Cyfip2,0.00096401
Zfp605,-42.71313759,-42.71313737,-2.21E-07,1,1,Pmepa1,0.00096401
Zbtb14,-296.6767025,-298.635614,1.958911475,0.161629782,1,Rhbdd3,0.000964011
Sh3gl2,-810.8215201,-810.8215183,-1.74E-06,1,1,Med13,0.00096401
Fam213a,-746.1169994,-747.4390549,1.322055496,0.250223486,1,Nlk,0.00096401
Dbn1,-643.4395858,-643.4401733,0.000587453,0.980663227,1,Atm,0.000964009
Cldn5,-597.0652878,-603.0945631,6.029275251,0.014070509,1,Etv3,0.819713649
Fam193b,-409.9151475,-409.9151465,-1.06E-06,1,1,Tspan2,0.000964004
Grik5,-680.0047001,-680.0048466,0.000146557,0.990340987,1,Fam160a2,0.000964009
Pip5k1a,-124.7298749,-124.7298743,-5.98E-07,1,1,Zfyve20,0.123642636
Sh3bgrl,-714.0897728,-714.0898252,5.24E-05,0.99422705,1,Ctr9,0.000964011
Cwc25,-229.9294069,-229.9556257,0.026218826,0.871367054,1,Scly,0.000964011
Camkk1,-507.9575261,-507.9575444,1.83E-05,0.996582618,1,Fndc4,1.042808902
Chn2,-604.4477519,-604.5833294,0.13557746,0.712717812,1,Kif1b,0.00096401
Dhh,-104.5576099,-104.5628684,0.005258487,0.942191728,1,Polr2l,0.000964007
Map3k11,-264.4342472,-264.4342457,-1.51E-06,1,1,Gnb2,0.000964009
Zmynd11,-687.2975729,-687.3106773,0.013104401,0.908861696,1,Rapgef3,0.000964008
Snx13,-556.545421,-556.5911459,0.04572492,0.830676618,1,Sema3c,0.00096401
Ptbp3,-439.1676702,-439.1727198,0.005049595,0.943349605,1,Tipin,0.465497041
Secisbp2l,-624.2974997,-624.2974841,-1.56E-05,1,1,2310010J17Rik,0.000964011
Fyco1,-533.7075292,-537.1048755,3.3973463,0.065301396,1,Slc3a2,0.000964009
Cox5b,-715.7897189,-715.789762,4.31E-05,0.994761829,1,Rbmx,0.000964009
Rnf181,-496.8244148,-496.8774066,0.052991829,0.817936717,1,Ube2a,0.00096401
Cyfip2,-710.9330751,-710.9669781,0.033902991,0.853913316,1,Man1b1,0.000964009
Sptssa,-518.2173474,-518.2313112,0.013963785,0.90593418,1,Ndel1,0.000964009
Pmepa1,-695.8400239,-698.3365652,2.496541249,0.114096631,1,Arf4,0.39945002
Pde4dip,-612.2822095,-612.3397098,0.057500231,0.810491464,1,Lrfn4,0.232568743
Rhbdd3,-268.8765322,-268.9300123,0.053480077,0.817114685,1,Hist1h2ad,0.683573105
Oxct1,-819.0272462,-819.9286301,0.901383908,0.342410905,1,Dnajc4,0.488042679
Huwe1,-634.818937,-634.8189333,-3.70E-06,1,1,Usp33,0.181082873
Tcaim,-251.2861628,-251.286162,-8.34E-07,1,1,Tmem203,0.000964011
Med13,-613.2325572,-613.2325533,-3.89E-06,1,1,Mcfd2,0.00096401
Nlk,-541.5279907,-541.5915279,0.063537161,0.800990215,1,Epha10,0.00096401
Atm,-321.6598781,-321.6598892,1.10E-05,0.997352049,1,Slc9a3r2,0.234960656
Sptan1,-783.6125095,-783.6125036,-5.87E-06,1,1,Ahi1,0.000964008
Zcchc11,-427.9447129,-427.9447074,-5.48E-06,1,1,Aacs,1.354128375
Etv3,-370.4799433,-371.7654958,1.285552463,0.256869196,1,Trim11,0.270798891
Tspan2,-547.0994161,-549.4018601,2.302443986,0.129170611,1,Eif4ebp2,0.000964011
Fam160a2,-433.3197892,-433.3799924,0.060203241,0.806174997,1,Trpv2,0.109355835
Zfyve20,-409.8828086,-409.8828077,-8.87E-07,1,1,Higd1a,0.000964006
Ctr9,-393.6710696,-393.7967107,0.125641144,0.722994966,1,Hspa1a,0.000964008
Cers5,-485.0855909,-485.8771857,0.791594815,0.373618324,1,Psme2,0.030522086
Scly,-270.4276513,-270.4276503,-9.67E-07,1,1,Rps15a,0.000964008
Fndc4,-542.5653038,-542.5652972,-6.66E-06,1,1,Utrn,0.000964011
Kif1b,-753.3680747,-755.1170277,1.748952986,0.186008411,1,Fstl5,0.627913314
Polr2l,-506.0598352,-506.0846711,0.024835985,0.874776442,1,Arpc1a,0.00096401
Vcpip1,-440.093857,-440.0938528,-4.26E-06,1,1,Trmt11,0.005662424
Pcp4,-1097.69382,-1097.693816,-3.33E-06,1,1,Cdk14,1.217742623
Gnb2,-699.6913918,-700.9010091,1.209617272,0.271407934,1,Zmiz1,0.000964011
Rapgef3,-367.9657177,-368.3281496,0.362431927,0.547158698,1,Cops8,1.0792558
Sema3c,-621.0509171,-621.1572132,0.106296115,0.744401015,1,Hey1,0.645745591
Tipin,-253.0710054,-253.0710011,-4.23E-06,1,1,Cox14,0.000964011
Atp6v0d1,-708.4813988,-708.4813943,-4.46E-06,1,1,2410004B18Rik,0.22041106
Gpr137b,-336.134811,-339.6569136,3.522102526,0.060555582,1,Pdap1,0.000964009
2310010J17Rik,-156.4732627,-157.6592109,1.1859482,0.276148378,1,Gpatch2l,1.165876014
Slc3a2,-617.2657215,-617.897742,0.632020499,0.426615149,1,Hnrnpul2,0.000964008
Rbmx,-533.197552,-533.31348,0.115928073,0.733493487,1,Btbd3,0.000964011
Ube2a,-514.5161508,-514.7571028,0.240951974,0.623519393,1,B4galt5,0.000964007
Man1b1,-408.7829214,-408.7928459,0.0099245,0.920644597,1,Slc2a1,0.00096401
Ndel1,-535.0411656,-535.3306169,0.289451369,0.590572321,1,Vdac1,0.031956604
Cdk5,-480.9068202,-481.1847103,0.277890188,0.598087408,1,Plec,0.000964011
Arf4,-632.8644391,-633.0486541,0.184215074,0.66777562,1,Gclm,0.00096401
Lrfn4,-366.8452239,-366.8452234,-5.39E-07,1,1,Tuba1a,0.120271557
Hist1h2ad,-48.17797197,-48.17783165,-0.000140322,1,1,Pyroxd2,0.000964009
Dnajc4,-298.6638351,-298.6992543,0.035419205,0.850719946,1,Aip,0.00096401
Usp33,-575.507199,-575.6517581,0.144559091,0.703790076,1,Nudt3,0.000964006
Tmem203,-230.7259507,-232.6452155,1.919264766,0.165937735,1,Ccnh,0.000964011
Mcfd2,-537.9895024,-539.0562979,1.066795448,0.301670402,1,Ube2ql1,0.211697319
Epha10,-377.8495885,-377.9310173,0.08142878,0.77537043,1,Auts2,0.00096401
Slc9a3r2,-512.0199524,-512.4132925,0.393340067,0.530548925,1,Chmp5,0.000964011
Ahi1,-664.724276,-665.1024911,0.378215045,0.538560066,1,Slu7,0.000964009
Ap3b2,-538.0070776,-538.0072431,0.000165421,0.989738203,1,Mar-05,0.000964007
Tbx15,-72.19778199,-72.19778143,-5.66E-07,1,1,Htr3a,0.000964009
Aacs,-325.6699833,-325.6720692,0.002085886,0.96357208,1,Pld1,0.269898621
Trim11,-323.6629056,-323.662905,-6.74E-07,1,1,Zfp91,0.000964011
Snrnp70,-598.2224545,-600.2471192,2.024664687,0.15476308,1,Bgn,0.003718243
Dock1,-444.7670812,-444.7883672,0.021285987,0.884002559,1,Col9a1,0.000964011
Eif4ebp2,-109.8009975,-109.800999,1.49E-06,0.999026624,1,Ppp3cc,0.00096401
Trpv2,-98.8491074,-99.0565405,0.207433102,0.648786795,1,Mat2b,0.000964009
Higd1a,-642.4403929,-643.0066441,0.566251217,0.45175244,1,Daam1,0.00096401
Ngrn,-496.9205504,-496.9952646,0.074714208,0.78459264,1,Rps4x,0.000964007
Hspa1a,-215.0328579,-215.0329435,8.56E-05,0.992617961,1,Anapc4,0.00096401
Sep-08,-436.9683315,-436.9683281,-3.43E-06,1,1,Eprs,0.000964009
Psme2,-279.5818586,-279.5818575,-1.16E-06,1,1,Psmb10,0.00096401
Rps15a,-612.4452851,-612.5890281,0.143743012,0.704587946,1,Fancc,0.658385398
Utrn,-567.1254668,-567.125441,-2.58E-05,1,1,1200011I18Rik,0.000964011
Lsm3,-277.9728435,-278.7649469,0.792103396,0.373464862,1,Pygb,0.891782974
Wbp1l,-409.5958325,-409.6259789,0.030146422,0.862158415,1,Eomes,0.00096401
Gm10012,-797.602336,-797.6023377,1.66E-06,0.998971193,1,Aldh7a1,0.00096401
Fstl5,-632.6220339,-632.6240062,0.001972223,0.964577814,1,Aco2,0.239066611
Pgap1,-523.8226355,-523.8226305,-5.00E-06,1,1,Cdk17,0.61129595
Pam,-565.2571434,-565.2571413,-2.08E-06,1,1,Steap2,0.000964008
Arpc1a,-572.8715178,-573.7644819,0.892964165,0.34467531,1,Car10,0.240172696
Trmt11,-280.0318619,-280.0392695,0.007407639,0.931412645,1,Rpl10a,0.371760947
Gtf2h4,-237.4390392,-238.4444848,1.005445601,0.31599641,1,Cand2,0.000964008
Mageh1,-566.7524713,-566.7524979,2.66E-05,0.995885037,1,Ank2,0.609706222
Cdk14,-732.8564416,-733.2697591,0.413317458,0.520290479,1,Cul1,0.000964011
Zmiz1,-633.7825195,-634.7947491,1.012229545,0.314369301,1,Syt13,0.000964009
Ndufc1,-643.6000314,-643.6000745,4.31E-05,0.99476477,1,Tiam2,0.000964011
Ttyh2,-276.6718221,-276.7127207,0.040898509,0.839733951,1,Gpr37l1,0.00096401
Tpk1,-68.67674111,-68.67674076,-3.50E-07,1,1,Rwdd4a,0.000964011
Hnrpll,-448.1406186,-448.9817723,0.841153747,0.359067007,1,Kptn,0.000964011
Pde12,-280.6476718,-280.6675919,0.019920014,0.887760702,1,Hspe1,0.000964009
Cops8,-549.2368322,-549.236838,5.87E-06,0.998067064,1,Pitrm1,0.000964008
Arhgap5,-620.2471413,-620.5145623,0.267420954,0.605067088,1,Dlx6as1,0.379049948
Hey1,-440.2999986,-441.2171353,0.917136723,0.3382279,1,Arhgap32,0.00096401
Cox14,-624.1583776,-625.1261899,0.967812308,0.32522639,1,Scrib,0.000964007
Pak6,-442.7619258,-443.2247052,0.462779402,0.496327873,1,Arap2,0.000964012
B230217C12Rik,-358.3286079,-358.3289193,0.000311386,0.98592115,1,Cox4i1,0.000964006
2410004B18Rik,-414.2668241,-414.5748501,0.308026041,0.578894019,1,Cnn3,1.037966522
