,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
G1161,-521.8331213827555,-742.9875616847551,221.15444030199959
G601,-455.2685862769514,-657.2994078711073,202.03082159415584
G2322,-409.4569476937152,-583.4164971249295,173.9595494312143
G8586,-471.7475234878011,-645.498645741546,173.75112225374494
G772,-470.5615699515824,-640.0688541564158,169.50728420483324
G2,-353.0211142121653,-448.33133215684825,95.31021794468285
G565,-442.8741051959968,-600.505873571615,157.6317683756183
G16733,-392.02514740943604,-512.7466794626794,120.72153205324331
G1264,-429.5918466735788,-619.6708436395501,190.07899696597119
G18889,-489.06608811631133,-534.0671178612554,45.001029744944105
G7048,-518.2682244505957,-681.8940101616013,163.62578571100562
G24573,-450.0836653785619,-631.1637318399906,181.0800664614288
G17448,-357.4062987952333,-487.3641796540094,129.95788085877615
G3016,-381.45931465265267,-503.22486034309935,121.76554569044669
G2217,-382.59022094196894,-479.6386364829612,97.04841554099221
G19135,-298.8476292455586,-404.1229776438928,105.27534839833412
G15476,-433.9517092206149,-594.3354353366524,160.38372611603745
G17911,-394.3444163064286,-524.3680572100885,130.0236409036599
G722,-521.7757499676081,-688.3346066118901,166.55885664428172
G4093,-438.425830213723,-551.6062694005318,113.18043918680885
G21461,-319.34481204278165,-415.6148379989078,96.27002595612612
G3493,-370.17807014339536,-458.0219427274652,87.84387258406973
G23390,-509.72141620368836,-631.393967975463,121.67255177177469
G18110,-348.39987694897786,-443.59692030155156,95.1970433525737
G1927,-306.598124827577,-449.566721537617,142.96859671004006
G5489,-421.4855055489937,-453.93740629622766,32.45190074723388
G19456,-475.0752292807666,-611.7043568936867,136.62912761292014
G15348,-424.626043195991,-518.3876663335031,93.76162313751215
G10829,-343.9822102689748,-439.15224226337233,95.1700319943975
G957,-457.2469410931202,-573.9843672952485,116.73742620212828
G1886,-379.0831855749701,-465.33408184298065,86.25089626801048
G3087,-388.88148555248773,-435.5654082404437,46.68392268795589
G4856,-706.2819584786077,-723.8982791787791,17.6163207001714
G5809,-381.8216019929749,-421.37384547450137,39.552243481526496
G16979,-339.34240309260036,-423.61223292511903,84.26982983251861
G10032,-340.4666232534724,-448.78006692119095,108.31344366771856
G23138,-506.0985562359825,-594.119295994442,88.02073975845951
G23311,-278.4148256312994,-354.4630553877706,76.04822975647123
G5129,-632.8883240069629,-682.8511054274509,49.96278142048801
G3019,-715.4721784313672,-717.5020172544812,2.0298388231138915
G5933,-617.6529659548013,-695.0187307326834,77.36576477788219
G16708,-418.0479239540591,-508.2514182024319,90.20349424837276
G1116,-442.16956546233365,-549.1608295318747,106.991264069541
G22270,-282.35451694593286,-395.48548745413683,113.13097050820393
G1325,-288.32647001936886,-373.6268328378382,85.3003628184693
G1563,-376.8891536824423,-411.85618394879975,34.967030266357426
G2943,-248.5968236138777,-319.8481895985387,71.25136598466099
G4076,-184.65940814713744,-248.50027276447116,63.840864617333686
G20820,-524.7557661659661,-656.8349526861786,132.0791865202126
G15532,-348.38109484565024,-423.70465701113886,75.32356216548862
G8926,-662.6013128821303,-717.9965158858936,55.39520300376329
G17580,-357.2379372475318,-388.1504570033125,30.912519755780693
G4269,-352.04445313383764,-372.0050528002696,19.960599666431907
G6775,-328.08002577911236,-419.516559309053,91.43653352994056
G19847,-403.0488300468591,-470.3795023111258,67.33067226426681
H1826,-462.1594851477695,-462.1594774306965,-7.717072946888948e-06
H829,-408.6157425713171,-406.5264439597188,-2.0892986115983376
G5495,-359.9553889819918,-390.20938455753287,30.25399557554101
G17755,-380.74318580110435,-444.0637420365494,63.32055623544505
G708,-516.5439370741486,-558.2526489554147,41.708711881266034
G1221,-253.18412245168577,-304.6414109390263,51.45728848734046
G23359,-325.21744285377065,-379.3819992688729,54.16455641510214
G2218,-309.2135896492527,-386.42778373022463,77.21419408097186
G8740,-260.2994697274833,-338.4105056216222,78.11103589413892
G21137,-655.0432434534466,-653.8378850532832,-1.2053584001633908
G21443,-389.7755939788164,-423.23905033332,33.46345635450359
G7162,-296.45301821646433,-322.6448814675808,26.19186325111656
G934,-298.4242172031908,-344.94741084708994,46.523193643899106
H319,-256.7630452912782,-257.3408736919743,0.5778284006960916
G22642,-206.88988947341454,-283.5352714367567,76.64538196334217
G22032,-303.15014850046464,-362.6751232998676,59.52497479940297
G5029,-329.32463969568005,-334.0774745796461,4.752834883966101
H1702,-413.70552366330764,-413.70008245960264,-0.005441203705004227
G875,-243.6695821230379,-274.0079628452097,30.338380722171788
H282,-396.04053625157303,-395.4444448093338,-0.5960914422391852
G7221,-289.13919566451176,-312.0770791006907,22.937883436178932
G20579,-383.1787217274513,-407.97363301930295,24.794911291851694
G1869,-268.4892951434533,-297.25414320763963,28.764848064186374
H1563,-194.91029656033646,-194.9094259779631,-0.000870582373408979
G17005,-244.3151702722984,-299.501019295819,55.185849023520575
G16353,-579.9202917005448,-634.7356113285113,54.81531962796646
G2609,-407.0537363172865,-438.67989853083293,31.626162213546532
H654,-283.57486191704317,-283.832172178569,0.2573102615258449
G16077,-221.57750985932307,-266.7475325000124,45.1700226406893
G18583,-475.4660069201223,-545.6471896917687,70.18118277164643
G1242,-243.2199997613976,-298.6127147685753,55.39271500717774
H1004,-246.37407118282727,-246.42401371697846,0.04994253415111416
H460,-136.70441315194537,-136.70440944902577,-3.702919570969243e-06
G1857,-496.1834387124957,-495.9682803972015,-0.2151583152940475
H820,-48.36742520661265,-48.36740477104741,-2.0435565261323067e-05
G9938,-671.3101530061937,-708.0242021862085,36.71404918001497
H681,-91.74265968927729,-91.70880597347286,-0.033853715804411884
H1670,-349.93094157648176,-349.92930141686963,-0.0016401596121795592
G11595,-691.3503865338687,-721.2596365677881,29.90925003391942
G15803,-439.28612603092535,-455.4952261714806,16.20910014055528
H540,-261.06194256732283,-259.55295404032904,-1.5089885269938463
H1092,-478.20771339842275,-478.2077328083708,1.940994798133033e-05
G6107,-201.16599395860874,-232.3281512526675,31.162157294058773
H1778,-333.9582255881285,-334.0786649058296,0.12043931770108428
H1653,-244.86923154548,-244.94547914311127,0.07624759763126576
H480,-259.68102539267784,-259.6810245470494,-8.456284490421241e-07
H649,-145.54278032650018,-145.54249478036581,-0.00028554613436426735
H1551,-364.2881272337714,-364.3063656454215,0.01823841165008844
G724,-520.975640674651,-543.6500206358821,22.67437996123113
H1752,-294.16433143315595,-295.1717329515909,1.0074015184350174
H1693,-336.95404790668204,-336.95401244135445,-3.546532752807252e-05
G15232,-440.66437309797465,-479.6565647405159,38.992191642541286
G19574,-262.4803188635304,-290.56716730497504,28.086848441444715
H1172,-294.46433688909764,-294.68269305178694,0.21835616268936064
G7149,-650.7702676763337,-689.7675273139437,38.99725963761
G15392,-344.5566573196452,-355.9498133864569,11.39315606681174
H988,-208.97278992786056,-208.9727601643464,-2.9763514191927246e-05
H1672,-444.2823076659477,-444.3620293149896,0.07972164904191459
H1637,355.47550547441864,355.47554545025207,-3.997583348791522e-05
H564,-219.98097536698762,-219.98044005266246,-0.0005353143251340953
G9157,-363.8829337524643,-363.9222267529071,0.03929300044279671
G3688,-414.07420578684366,-421.379750485091,7.305544698247446
H1061,-327.6731570281175,-327.7038069832554,0.030649955137903362
H118,-419.6853784846169,-419.8753057737858,0.18992728916890653
G15247,-462.67430150131116,-473.22873362949997,10.554432128188807
H43,-445.69894735811135,-445.6784745163242,-0.02047284178718201
H1549,-394.9006829738704,-394.9006501401796,-3.283369073869835e-05
H47,-335.36714851639374,-335.3666626419024,-0.00048587449134629423
