,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
G481,-606.0496717253016,-778.0722573756145,172.02258565031295
G8760,-902.60751519293,-1094.1853749005033,191.57785970757325
G17704,-532.2982844118183,-680.9277961087886,148.62951169697018
G453,-698.5623222233388,-879.6489718227101,181.0866495993713
G3721,-682.7462414036918,-830.7253768420842,147.9791354383924
G15094,-514.5301356324775,-659.7103091410722,145.18017350859475
G18921,-762.5940668638697,-883.4874553544087,120.89338849053914
G37,-642.0492924077121,-811.5423004390183,169.4930080313061
G17482,-782.0422422773628,-924.765605531028,142.72336325366518
G1182,-478.15993691610464,-615.0022327052881,136.84229578918337
G2524,-1418.483944351162,-1476.9670590887165,58.48311473755416
G4807,-1381.4621714028435,-1437.967677282925,56.50550588008173
G6720,-800.084625665144,-924.0898093479981,124.00518368285395
G18567,-384.27853854820006,-491.9248507893088,107.64631224110876
G6261,-616.5358782287717,-754.1281256648047,137.59224743603306
G377,-609.5939304403987,-747.0572389485551,137.46330850815642
G17747,-567.4120598715174,-700.2568910022824,132.844831130765
G16564,-637.7353427894318,-748.8455991941897,111.11025640475792
G6226,-885.7641180842533,-990.747523948007,104.98340586375376
G17778,-481.16543617309776,-562.8186482385838,81.65321206548606
G19147,-338.64406869653936,-430.57754724455214,91.93347854801266
G21347,-489.0703710927341,-560.5170555533973,71.44668446066328
G7287,-610.3779651265359,-713.7427879586882,103.3648228321524
G18264,-569.2538187314076,-681.1155269309211,111.86170819951349
G20351,-484.87446005471253,-595.9183284164252,111.04386836171278
G21902,-333.77678624847545,-406.5004058700763,72.72361962160085
G15144,-468.7203829284237,-579.9572214769868,111.23683854856311
G4200,-619.103310760892,-752.9473322306189,133.84402146972695
G16544,-387.59185842049834,-489.33023276885,101.7383743483516
G26387,-513.8374092856077,-600.9096220081043,87.07221272249649
G15327,-318.7777339500053,-394.5743786720218,75.79664472201648
G1097,-367.54336675255433,-452.5042737695482,84.96090701699381
G6046,-509.8250160402191,-578.8847746991213,69.05975865890213
G6184,-617.1810528740962,-724.1750004856585,106.99394761156248
G18107,-1165.403849258907,-1203.7621703443467,38.358321085439684
G4835,-552.3874382846319,-617.4014238493497,65.01398556471781
G6480,-516.3310014712476,-598.4865634725275,82.15556200127979
G8783,-364.3146331914783,-442.0407378641387,77.72610467266031
G24468,-383.9077270076937,-482.81471059357335,98.90698358587973
G14890,-493.9243996919723,-547.8603038551944,53.935904163222006
G15960,-521.5245621373684,-578.403770727538,56.87920859016947
G741,-411.32295705106776,-502.1669122228035,90.84395517173573
G19852,-624.9444617192833,-705.1426003542081,80.1981386349247
G17920,-367.20176622532784,-457.2489258373919,90.04715961206409
G4799,-537.489804662973,-594.9819149960526,57.49211033307961
G19199,-1260.691007133421,-1301.6640146289121,40.973007495490954
G18721,-410.83996518996287,-480.0412288584369,69.20126366847398
G721,-313.55463379211267,-376.75031254446253,63.19567875234986
G17628,-1147.4984042653734,-1187.8574587589005,40.35905449352685
G4722,-641.2435316195363,-700.1734389017872,58.929907282251065
G16316,-1204.871851007812,-1260.8222541080165,55.95040310020431
G634,-312.4731769979571,-388.76599795522134,76.29282095726415
G24794,-342.5547106736575,-433.24413460595565,90.68942393229817
G8080,-440.6841670645774,-502.6950368316805,62.01086976710309
G16553,-301.8999017382841,-374.43165053496176,72.53174879667773
G12776,-470.62337584700964,-557.8954711775558,87.27209533054611
G17398,-579.5930834922281,-663.9832790455964,84.39019555336847
G15637,-355.79406386155824,-412.30162388126115,56.50756001970285
G479,-400.5880280004062,-440.15447349290366,39.56644549249745
G6529,-534.3140316550689,-553.1989441001567,18.88491244508782
G856,-293.2530860044549,-354.71238713245066,61.45930112799573
G5810,-475.9071516780695,-563.610956072502,87.70380439443251
G9087,-1439.385685243514,-1469.855297692728,30.46961244921385
G1469,-284.8469889250732,-333.43099447662985,48.58400555155669
G14943,-361.2105986803138,-404.9879964030383,43.7773977227244
G1266,-330.16206639244916,-397.3411052388221,67.17903884637298
G15134,-284.2363886189332,-333.25464603838344,49.01825741945026
G19732,-314.1199159673763,-395.61597635891366,81.4960603915373
G2908,-331.2772996150895,-398.33871341223403,67.06141379714467
G986,-295.47376138281817,-366.27448493227564,70.80072354945736
G23932,-386.71388416684914,-465.62672473227053,78.91284056542139
G39,-803.6125959985301,-861.3551383378467,57.742542339316635
G17064,-709.1176375121257,-732.3970606634822,23.27942315135647
G12863,-462.2221208839897,-527.2868814512597,65.06476056727001
G9887,-546.9026358102979,-569.9569955899673,23.05435977966931
G778,-302.8550093948957,-352.32925690524763,49.47424751035192
G5913,-532.1831222773393,-544.9294454923477,12.746323215008376
G17798,-1065.725922705894,-1092.623956033059,26.89803332716497
G1971,-477.150438064064,-547.3552886567687,70.2048505927047
G17697,-212.0915949474633,-266.99932291288314,54.90772796541982
