,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
G1161,-794.8436572571702,-952.4280431405518,157.58438588338163
G601,-717.0072806561475,-836.2433596219582,119.23607896581075
G2322,-584.5346019720313,-694.5845003871269,110.04989841509564
G8586,-763.1104046157697,-866.3557508403866,103.24534622461692
G772,-619.8642451254032,-730.6179882706442,110.75374314524106
G2,-428.5288488252239,-494.7108195653765,66.18197074015256
G565,-571.0625091675289,-671.7528468902117,100.69033772268278
G16733,-483.21102789625127,-572.9901066990288,89.77907880277758
G1264,-597.5760450968455,-712.4434274718102,114.86738237496468
G18889,-438.808179344211,-545.7867936921799,106.97861434796891
G7048,-929.1218712534902,-1019.0965953508487,89.97472409735849
G24573,-671.6872771309907,-798.258692925928,126.57141579493737
G17448,-460.170727654321,-538.9263138131778,78.75558615885677
G3016,-439.19451316319754,-509.0942897107956,69.89977654759804
G2217,-484.1760079848808,-554.9129323710661,70.73692438618525
G19135,-387.7335542604028,-448.9877542715895,61.2542000111867
G15476,-611.021950595986,-732.5164687844176,121.49451818843158
G17911,-568.4212827080763,-636.3408977972649,67.9196150891886
G722,-890.6441168931999,-994.3032822687547,103.65916537555484
G4093,-568.3377362630216,-664.0090690213952,95.67133275837364
G21461,-415.356477140574,-490.60638441089975,75.24990727032576
G3493,-495.9789289940882,-561.500776612923,65.52184761883478
G23390,-773.6748783435864,-856.0139271437625,82.3390488001761
G18110,-424.13217955829145,-504.1543304117124,80.02215085342095
G1927,-408.7832367807801,-491.367737022829,82.58450024204888
G5489,-296.3651327791691,-412.0160786887876,115.65094590961854
G19456,-704.0436474830656,-797.3555775490679,93.31193006600233
G15348,-542.5387012222589,-616.1214777164707,73.58277649421188
G10829,-409.97074603095336,-476.52588616024775,66.55514012929439
G957,-668.009638942259,-734.0950502718654,66.08541132960636
G1886,-477.0128179275876,-538.3288671246942,61.316049197106565
G3087,-292.7828308200584,-403.945434257699,111.1626034376406
G4856,-1394.7359801902917,-1405.3632465573583,10.627266367066568
G5809,-278.459946295514,-394.22783467136986,115.76788837585588
G16979,-429.8338784662657,-490.0320060044021,60.19812753813642
G10032,-434.6463321614709,-514.3251414907388,79.67880932926789
G23138,-732.2701065565509,-799.6454255708817,67.37531901433078
G23311,-365.770481099204,-423.5745329939997,57.80405189479569
G5129,-1163.2896367876706,-1195.7592348634173,32.46959807574672
G3019,-1472.4764071681739,-1490.6360518701595,18.1596447019856
G5933,-1194.545469731372,-1219.0280640019794,24.48259427060748
G16708,-568.3848462121101,-636.6076106292555,68.22276441714541
G1116,-634.8446712291591,-704.4830218313408,69.63835060218173
G22270,-358.41334163190913,-428.71874419009646,70.30540255818732
G1325,-351.37626191217026,-412.0255915348904,60.64932962272013
G1563,-356.474419135935,-418.56971133991567,62.09529220398065
G2943,-372.01846015648465,-420.6179300682279,48.599469911743256
G4076,-298.37713305722417,-339.58476995826766,41.207636901043486
G20820,-838.3067869505217,-939.7352781150894,101.42849116456773
G15532,-422.07708910563656,-486.5049891166299,64.42790001099331
G8926,-1289.5993248443715,-1337.849174964454,48.249850120082556
G17580,-272.3386635830415,-380.46994066060086,108.13127707755933
G4269,-499.46240806155174,-506.00884197403525,6.546433912483508
G6775,-395.58307364879045,-461.78460764898,66.20153400018955
G19847,-531.2456092259399,-574.1687866497022,42.92317742376224
H1826,-657.2693168617942,-657.1942799390221,-0.07503692277214213
H829,-579.9459646998986,-577.4049019564677,-2.541062743430871
G5495,-324.9672364833277,-388.9381515353616,63.97091505203389
G17755,-522.9563459476193,-567.2328823786302,44.27653643101087
G708,-818.1524643125979,-832.5846621511407,14.432197838542834
G1221,-194.39975084184098,-248.29024211945602,53.89049127761504
G23359,-395.36659984417054,-435.5844415987507,40.21784175458015
G2218,-377.0948220577129,-439.8884740666757,62.793652008962795
G8740,-340.0135093822483,-383.87796705986966,43.864457677621374
G21137,-1154.8824874309616,-1166.4955040125135,11.613016581551847
G21443,-563.9786053164989,-590.5883303427313,26.609725026232354
G7162,-247.37798472351588,-344.7651209225966,97.38713619908074
G934,-367.7704054313025,-408.9415666322059,41.171161200903384
H319,-382.651290022226,-382.65126982693914,-2.0195286879243213e-05
G22642,-295.9661452901732,-339.39813317850246,43.431987888329274
G22032,-383.64814121265,-420.70973392630236,37.061592713652374
G5029,-466.2274738982262,-473.5525495068072,7.325075608581017
H1702,-595.2011852607986,-595.2011775586355,-7.702163088652014e-06
G875,-192.39748224471984,-289.9131459968247,97.51566375210487
H282,-576.3114293686436,-576.7596595565874,0.44823018794375
G7221,-230.21733017454443,-313.158175836237,82.94084566169255
G20579,-524.8574751408719,-541.0704298041942,16.212954663322307
G1869,-228.00037613538223,-319.5793746329634,91.57899849758115
H1563,-326.99565305247023,-327.9457406277092,0.9500875752389675
G17005,-335.1500393796432,-373.0538666814962,37.90382730185297
G16353,-1007.1234365612818,-1028.112743793092,20.989307231810244
G2609,-601.5077311417184,-614.7178212265715,13.21009008485305
H654,-431.18919385226604,-431.1891500263225,-4.382594352136948e-05
G16077,-274.9130270659332,-316.0747983665077,41.161771300574514
G18583,-690.4893440093024,-743.4134181639533,52.92407415465095
G1242,-335.15355870061586,-381.08891527625246,45.935356575636604
H1004,-377.9584920686623,-377.95846914764115,-2.2921021127331187e-05
H460,-280.06577725437495,-280.06575596917935,-2.1285195600739826e-05
G1857,-701.8148525471956,-706.9771390074475,5.162286460251835
H820,-222.35902680484787,-224.6427999887514,2.28377318390352
G9938,-1501.1404544026886,-1507.8098622245773,6.669407821888626
H681,-256.8948385686537,-256.8947075108995,-0.00013105775423127852
H1670,-485.2861683282955,-485.65420046605095,0.3680321377554492
G11595,-1612.4582392508046,-1612.7336943440505,0.27545509324590967
G15803,-649.4047779132238,-655.8315957626542,6.426817849430336
H540,-399.89463083659666,-399.9811850357313,0.08655419913463902
H1092,-717.9822528590402,-718.3473387457536,0.365085886713473
G6107,-272.00831611845234,-290.8928269535288,18.88451083507647
H1778,-478.5386594273481,-478.53863752089194,-2.190645614064124e-05
H1653,-377.259314722545,-377.2591638766184,-0.0001508459266119644
H480,-386.8974686164404,-386.8974087436844,-5.987275596908148e-05
H649,-289.04171579921626,-289.0416976448533,-1.815436297647466e-05
H1551,-523.7987456691899,-523.6864544829166,-0.11229118627329626
G724,-769.6247544890583,-778.8902226251408,9.265468136082518
H1752,-433.6487668856628,-434.8777000480535,1.2289331623907174
H1693,-463.4367331490747,-463.4367258329246,-7.316150117731013e-06
G15232,-622.3322570860806,-650.55543488063,28.223177794549315
G19574,-345.46459772319054,-372.8691298826927,27.40453215950214
H1172,-451.86136280252447,-451.8612439768466,-0.0001188256778732466
G7149,-1281.7788509701472,-1286.751983120408,4.973132150260881
G15392,-483.03315588073326,-487.3168874165112,4.2837315357779175
H988,-342.89054165469696,-342.89052469892613,-1.6955770831827977e-05
H1672,-644.5145733601142,-644.675994999338,0.161421639223704
H1637,-69.84228977175272,-70.80731748936547,0.965027717612756
H564,-349.5208110103273,-349.5207859216764,-2.5088650886573305e-05
G9157,-502.2415280345617,-503.5225776075654,1.2810495730036564
G3688,-599.7053787956529,-598.5193883704469,-1.1859904252060005
H1061,-460.8682542498063,-459.6749982597577,-1.1932559900486126
H118,-603.9293064741901,-604.0002830841361,0.07097660994600119
G15247,-666.6511754844771,-671.8911085756752,5.239933091198054
H43,-612.0879590973029,-612.0879524595001,-6.637802812292648e-06
H1549,-555.6815482331378,-555.6815380608531,-1.0172284760301409e-05
H47,-487.7572142657179,-487.7571881548603,-2.6110857618277805e-05
H593,-580.2171888795014,-580.2171792092271,-9.6702742666821e-06
H493,-456.2985764217879,-456.29857211030617,-4.311481745844503e-06
G23804,-1253.6579557087514,-1248.873601258334,-4.784354450417368
G2556,-277.52073187631936,-306.66311762022303,29.142385743903674
H1408,-67.34120533136611,-67.37929269514223,0.0380873637761141
H1313,-326.05890912503867,-325.8791874641745,-0.17972166086417474
H73,-397.58446008480666,-397.3137526571428,-0.270707427663865
H248,-156.1765983449734,-156.17652664352914,-7.170144425572289e-05
G5551,-535.7568934153744,-535.2149728611952,-0.541920554179228
G9219,-577.5300995011612,-577.5339203554705,0.003820854309310562
H105,-295.5760744794235,-295.5997995137527,0.023725034329231676
H1040,-336.0869271661295,-336.9471279600365,0.8602007939069836
H958,-602.3253189653207,-602.3253105926744,-8.372646220777824e-06
G228,-575.1795003254153,-575.3997301118477,0.22022978643235547
H542,-114.29147355430916,-114.29138739742585,-8.615688331303772e-05
H1438,-331.7773630556287,-331.7773353729401,-2.7682688596541993e-05
H361,-657.9269379739293,-658.0442370284371,0.11729905450783917
H943,-320.9754402958265,-320.9754155170318,-2.4778794681878935e-05
G7142,-696.2884106174123,-718.1865752897853,21.898164672373014
H1745,-370.9960418043063,-370.99602574821995,-1.6056086337812303e-05
G22381,-925.417920344024,-928.1716894189653,2.753769074941374
H731,-455.26944839099275,-455.2694244463144,-2.394467833255476e-05
H537,-376.16111236454356,-376.16108428617576,-2.8078367790840275e-05
G19884,-398.55978139479953,-411.7507006697338,13.190919274934288
G27527,-278.05988374545757,-314.99599196661904,36.936108221161476
H61,-482.9072970284692,-482.9072882251635,-8.80330571817467e-06
G17841,-449.9783550162517,-448.15849531687974,-1.8198596993719889
G17662,-1479.2128050100612,-1482.6722543450157,3.45944933495457
G15715,-455.5762122208579,-453.0399862387668,-2.536225982091082
H1612,-655.3112677174831,-655.363508091061,0.05224037357788802
H1533,-622.3690484897684,-622.32799020581,-0.04105828395836397
H1271,-471.45648107885677,-471.4564661019133,-1.4976943475630833e-05
H1488,-261.07572659025925,-261.0741349933996,-0.001591596859668698
H1283,-646.036592419812,-646.0365815096977,-1.0910114269790938e-05
H1785,-549.68905105118,-549.6890355337271,-1.551745287997619e-05
H1598,-137.98473583472327,-137.98471650742357,-1.9327299696669797e-05
H1360,-187.4472208051431,-187.44718586229126,-3.49428518404693e-05
G24022,-423.8675053515469,-429.84388424212136,5.976378890574438
H1131,-131.56108058541918,-131.56085619931096,-0.00022438610821495786
H980,-547.6813784435699,-547.6877566534572,0.0063782098873161885
G21906,-652.1469870579565,-656.0396832392091,3.8926961812526315
G4135,-242.97109212485066,-282.5615958093589,39.590503684508235
H1148,-662.0334548162207,-661.9632215847358,-0.07023323148484906
G5504,-974.640575269852,-977.3713416689976,2.7307663991456366
H512,-470.77948445870504,-470.7868460610869,0.007361602381877219
H1093,-320.3169781732555,-320.3169576886864,-2.0484569120071683e-05
H899,-506.6645786669182,-506.66454443902916,-3.4227889045723714e-05
G8448,-1024.6730186590726,-1033.321302928391,8.648284269318538
H67,-713.7632439246357,-714.0168395161379,0.2535955915021759
G16451,-265.03749667356453,-295.676817731676,30.639321058111477
H1863,-112.67490765851335,-113.26660735302278,0.5916996945094297
G23581,-700.5536368891537,-701.759265031234,1.2056281420802861
H1542,-314.43867625600114,-314.43866385912736,-1.2396873785291973e-05
H678,-623.8880762941815,-623.8880676120395,-8.682141924509779e-06
G15624,-692.0570744927752,-733.7442405626244,41.68716606984924
H830,-606.2844527722352,-606.2844414360226,-1.1336212651258393e-05
G15265,-728.8029720183836,-735.373957273787,6.570985255403457
H746,-326.3928568629867,-326.39285250632383,-4.3566628846747335e-06
G14964,-923.2294351123692,-928.6928687086838,5.463433596314644
H1716,-290.1223970654952,-290.12239037981306,-6.685682137685944e-06
G12822,-1704.8188673922273,-1711.39308828623,6.574220894002792
H1247,-287.6644205855964,-287.7248500193417,0.06042943374529841
H295,-744.363877270842,-745.089253703946,0.7253764331040884
H1856,-315.41884438262997,-315.4187915182147,-5.286441529506192e-05
G27672,-320.64367883335115,-328.87078289881674,8.227104065465596
H1121,-310.3298048373904,-310.3297425298,-6.230759038317046e-05
