,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
G1161,-794.8436044754491,-952.4280433851106,157.58443890966157
G601,-717.0072766059359,-836.2433596761296,119.23608307019367
G2322,-584.5346297926645,-694.584500434788,110.04987064212344
G8586,-763.1104111355163,-866.3557510383858,103.24533990286955
G772,-619.8644646750985,-730.617987621473,110.75352294637457
G2,-428.52885097320836,-494.71081989735546,66.1819689241471
G565,-571.0644965644466,-671.7528460202874,100.68834945584081
G16733,-483.21102501532505,-572.9901067064673,89.77908169114221
G1264,-597.5767224745606,-712.4434275104015,114.86670503584094
G18889,-438.80825919226885,-545.78679311894,106.9785339266711
G7048,-929.1218732866275,-1019.0965954407807,89.97472215415314
G24573,-671.6871798219564,-798.2586929812687,126.5715131593123
G17448,-460.1707344983816,-538.9263138467269,78.7555793483453
G3016,-439.19447369957834,-509.0942897354452,69.89981603586688
G2217,-484.1760255769028,-554.912932408111,70.73690683120822
G19135,-387.7335570521294,-448.98775430292255,61.25419725079314
G15476,-611.0219339068245,-732.5164688405879,121.49453493376336
G17911,-568.4212823875848,-636.3408923155498,67.91960992796498
G722,-890.6441029388819,-994.3032823679973,103.6591794291154
G4093,-568.3377420122708,-664.0090690724671,95.67132706019629
G21461,-415.35651265916806,-490.6063844629547,75.24987180378662
G3493,-495.97893109618286,-561.500776661142,65.52184556495916
G23390,-773.6747867729846,-856.013927214539,82.33914044155438
G18110,-424.1321817582961,-504.15433045060473,80.02214869230863
G1927,-408.783250127616,-491.36773705565906,82.58448692804308
G5489,-296.3646164817651,-412.0160787072631,115.651462225498
G19456,-704.0437020036264,-797.3555776153296,93.31187561170316
G15348,-542.538707376128,-616.1214777478083,73.58277037168034
G10829,-409.970657947596,-476.5258862180103,66.55522827041432
G957,-668.0096978896232,-734.0950503358179,66.08535244619463
G1886,-477.012820361077,-538.3288671642119,61.31604680313495
G3087,-292.78294012207175,-403.94543427670544,111.16249415463369
G4856,-1394.7359800401032,-1405.3632465897792,10.627266549676051
G5809,-278.4613647278371,-394.22783468987535,115.76646996203823
G16979,-429.8338791498033,-490.0320060413638,60.19812689156049
G10032,-434.64627591149696,-514.3251415365206,79.67886562502366
G23138,-732.2701241458375,-799.6454256434283,67.37530149759084
G23311,-365.77054018497233,-423.57453306465806,57.80399287968572
G5129,-1163.2896397843415,-1195.7592350173238,32.46959523298233
G3019,-1472.476184648504,-1490.6360517113703,18.159867062866397
G5933,-1194.5454737504476,-1219.0280641153856,24.482590364938005
G16708,-568.3848188020189,-636.6076106143802,68.22279181236127
G1116,-634.8447434138219,-704.4830219003366,69.63827848651465
G22270,-358.41334021277174,-428.7187442181777,70.30540400540593
G1325,-351.3762516268997,-412.0255915615969,60.649339934697196
G1563,-356.4744020335596,-418.56971136121257,62.095309327652956
G2943,-372.0184675394455,-420.61793011248756,48.59946257304205
G4076,-298.37708336919246,-339.5847699906967,41.20768662150425
G20820,-838.3068454584985,-939.7352782259088,101.4284327674103
G15532,-422.0771039211463,-486.5049891446254,64.42788522347911
G8926,-1289.59933437619,-1337.8491749971886,48.24984062099861
G17580,-272.3384470098748,-380.4699406785215,108.13149366864667
G4269,-499.46240994035475,-506.0088420370801,6.546432096725368
G6775,-395.58312998141815,-461.7846076751189,66.20147769370072
G19847,-531.2456115805736,-574.1687866965475,42.92317511597389
H1826,-657.2693138238221,-657.1942800283599,-0.07503379546221822
H829,-579.9459665410138,-577.4049020396762,-2.541064501337587
G5495,-324.96725206043203,-388.93815155890286,63.97089949847083
G17755,-522.956371963958,-567.2328824343808,44.27651047042286
G708,-818.1524741226665,-832.5846622580924,14.432188135425918
G1221,-194.39978456684992,-248.29024224695095,53.890457680101036
G23359,-395.36661904409283,-435.5844416342961,40.2178225902033
G2218,-377.09489143506846,-439.8884740972651,62.79358266219663
G8740,-340.01350627945266,-383.8779670881818,43.86446080872912
G21137,-1154.8824670732286,-1166.4955041781989,11.613037104970317
G21443,-563.978607608371,-590.5883304184906,26.609722810119592
G7162,-247.37813795686282,-344.76512081148485,97.38698285462203
G934,-367.77044355767333,-408.941566666271,41.17112310859767
H319,-382.65129093200204,-382.6512699315714,-2.1000430649564805e-05
G22642,-295.9661431825303,-339.3981329548934,43.431989772363124
G22032,-383.64812773904265,-420.7097339610644,37.06160622202174
G5029,-466.2274748645132,-473.5525495720939,7.325074707580654
H1702,-595.2011874868225,-595.2011776235956,-9.86322686458152e-06
G875,-192.39754449018096,-289.91314601416883,97.51560152398787
H282,-576.3114285316123,-576.7596596479766,0.4482311163643544
G7221,-230.21735471462182,-313.15817582687055,82.94082111224873
G20579,-524.8574764953581,-541.0704298635999,16.212953368241756
G1869,-227.9994868397764,-319.5793745317432,91.5798876919668
H1563,-326.99565117825483,-327.94574063883874,0.9500894605839107
G17005,-335.15005096072406,-373.0538667153935,37.90381575466944
G16353,-1007.1234449269084,-1028.1127439259958,20.989298999087396
G2609,-601.5077341161756,-614.7178213086319,13.210087192456285
H654,-431.18919635132687,-431.18915008558355,-4.626574332178279e-05
G16077,-274.91303171608627,-316.0747983849172,41.16176666883092
G18583,-690.4893441486103,-743.4134183102823,52.924074161672024
G1242,-335.15359692254754,-381.0889158418064,45.93531891925886
H1004,-377.95848836522214,-377.958470256779,-1.8108443157416332e-05
H460,-280.0657753071693,-280.0657559899729,-1.9317196404244896e-05
G1857,-701.8148532534805,-706.9771390564606,5.162285802980136
H820,-222.35896506363738,-224.64280002840076,2.283834964763372
G9938,-1501.1404533171983,-1507.8098622422617,6.669408925063408
H681,-256.8947321802831,-256.894715688374,-1.6491909093474533e-05
H1670,-485.2861698524681,-485.65420052819434,0.3680306757262315
G11595,-1612.458316234625,-1612.7336943827395,0.2753781481144415
G15803,-649.4047805800882,-655.8315958550231,6.426815274934938
H540,-399.8946378528166,-399.9811851048691,0.08654725205252589
H1092,-717.9822544964109,-718.3473379105868,0.365083414175956
G6107,-272.0083155367214,-290.8928269299537,18.884511393232287
H1778,-478.538675134748,-478.5386375380555,-3.759669249348008e-05
H1653,-377.2591738380989,-377.25916392240845,-9.915690441175684e-06
H480,-386.89743068987445,-386.8974107395585,-1.9950315959249565e-05
H649,-289.04181433685744,-289.04169792609764,-0.00011641075980151072
H1551,-523.798745933262,-523.6864545602857,-0.11229137297630132
G724,-769.6247573164742,-778.8902227190836,9.26546540260938
H1752,-433.64876777420847,-434.87770010977033,1.2289323355618649
H1693,-463.4367589006347,-463.43672589108377,-3.300955091845026e-05
G15232,-622.3322589841891,-650.5554349075137,28.22317592332456
G19574,-345.4646282502582,-372.8691299642378,27.404501713979585
H1172,-451.8612621243071,-451.8612440459998,-1.807830727784676e-05
G7149,-1281.778859503154,-1286.7519831521026,4.973123648948558
G15392,-483.03315717879445,-487.31688747686707,4.283730298072612
H988,-342.8905721622825,-342.890525630758,-4.6531524503734545e-05
H1672,-644.5145736618829,-644.6759950942177,0.1614214323348051
H1637,-69.84236032920478,-70.80731976080938,0.9649594316045977
H564,-349.52080585635423,-349.5207869678854,-1.8888468844124873e-05
G9157,-502.2415299054649,-503.52257765390954,1.281047748444621
G3688,-599.7053798844463,-598.5193884558257,-1.1859914286205822
H1061,-460.86825479952495,-459.6749983197634,-1.1932564797615441
H118,-603.9293067289029,-604.0002831736731,0.07097644477016729
G15247,-666.65117902013,-671.8911085998369,5.239929579706882
H43,-612.0879572252123,-612.087952535846,-4.689366392085503e-06
H1549,-555.6815406874376,-555.6815381333238,-2.5541138484186376e-06
H47,-487.75720160929217,-487.75718822203135,-1.3387260821673408e-05
H593,-580.2171818893044,-580.2171793019082,-2.5873961249089916e-06
H493,-456.29867000943847,-456.29857215081023,-9.785862823719071e-05
G23804,-1253.6579790415744,-1248.8736037269994,-4.7843753145750725
G2556,-277.52072805001853,-306.6631176438498,29.14238959383124
H1408,-67.34120535355356,-67.37929277965951,0.038087426105946065
H1313,-326.0589095557811,-325.8791875005439,-0.17972205523722096
H73,-397.58446892212856,-397.313752708847,-0.2707162132815597
H248,-156.17659207322728,-156.17652648116604,-6.559206124734374e-05
G5551,-535.7568946766745,-535.2149729270102,-0.5419217496643114
G9219,-577.5301009240286,-577.533920429491,0.003819505462388406
H105,-295.57607554359356,-295.5997997184641,0.02372417487055145
H1040,-336.08692658301055,-336.9471280046438,0.860201421633235
H958,-602.3253153351178,-602.3253106903585,-4.644759314942348e-06
G228,-575.1795008007591,-575.3997301933699,0.2202293926108041
H542,-114.29141931174102,-114.29138680540359,-3.2506337433346744e-05
H1438,-331.777368651851,-331.7773354068806,-3.3244970438772725e-05
H361,-657.9269384651138,-658.0442370864768,0.11729862136292013
H943,-320.9754274652182,-320.97541555419184,-1.1911026376765221e-05
G7142,-696.2884153716834,-718.1865753783272,21.89816000664382
H1745,-370.99605095532695,-370.9960257807576,-2.5174569373120903e-05
G22381,-925.4179243381759,-928.1716895582239,2.753765220047967
H731,-455.2694751587768,-455.26942450337975,-5.065539704673938e-05
H537,-376.1610974868835,-376.1610843307545,-1.3156129000435612e-05
G19884,-398.55977908065086,-411.75070070921004,13.190921628559181
G27527,-278.05985316185803,-314.9959914960273,36.93613833416924
H61,-482.9073048732129,-482.9072889872042,-1.5886008725374268e-05
G17841,-449.97835608571734,-448.1584953728229,-1.8198607128944104
G17662,-1479.2127125842044,-1482.67225437092,3.45954178671559
G15715,-455.57621307190766,-453.03998630225175,-2.5362267696559115
H1612,-655.3112680300978,-655.3635093728158,0.05224134271793446
H1533,-622.369048760579,-622.3279902920967,-0.04105846848221972
H1271,-471.4564839998699,-471.45646619555845,-1.780431142606176e-05
H1488,-261.0749476379086,-261.0741350091785,-0.0008126287301024604
H1283,-646.0365899096926,-646.036581599244,-8.310448606607679e-06
H1785,-549.6890541671722,-549.6890356074964,-1.8559675822871213e-05
H1598,-137.98475615852288,-137.98471653877556,-3.9619747326469223e-05
H1360,-187.447233261086,-187.447185496141,-4.7764945009021176e-05
G24022,-423.86750658492434,-429.84388426816497,5.976377683240628
H1131,-131.56087980450593,-131.5608565272853,-2.3277220634554396e-05
H980,-547.6813785793174,-547.6877567318777,0.00637815256027352
G21906,-652.1469893463276,-656.0396833152768,3.8926939689491746
G4135,-242.97109356569143,-282.5615959587417,39.59050239305026
H1148,-662.0334541043447,-661.9632193068429,-0.0702347975018256
G5504,-974.6405782843376,-977.3713417989784,2.7307635146407847
H512,-470.77948301655636,-470.7868459327809,0.007362916224565197
H1093,-320.3169879417371,-320.3169618095162,-2.6132220909858006e-05
H899,-506.66457936373445,-506.6645446027675,-3.4760966968860885e-05
G8448,-1024.6730223510024,-1033.3213032819403,8.648280930937972
H67,-713.7632496081611,-714.0168393644175,0.2535897562563605
G16451,-265.0375250943172,-295.67681764717645,30.639292552859274
H1863,-112.67407072813911,-113.26660840594221,0.5925376778030937
G23581,-700.5536396399451,-701.7592650312342,1.205625391289118
H1542,-314.4386817934697,-314.4386642192921,-1.7574177604728902e-05
H678,-623.8880779838056,-623.8880677001647,-1.0283640904162894e-05
G15624,-692.0570775136326,-733.74424064229,41.6871631286574
H830,-606.284452036979,-606.2844415273458,-1.050963317084097e-05
G15265,-728.8029746991522,-735.3739573789032,6.570982679751069
H746,-326.39285160821686,-326.39284634839385,-5.259823012693232e-06
G14964,-923.2294395256982,-928.6928688501249,5.46342932442667
H1716,-290.1224283536624,-290.1223824280197,-4.592564266658883e-05
G12822,-1704.8190256355356,-1711.3930883087035,6.574062673167873
H1247,-287.6644183983278,-287.72484855566427,0.06043015733644097
H295,-744.3638797257117,-745.0892538192262,0.7253740935144606
H1856,-315.4189033036091,-315.41879206474175,-0.0001112388673618625
G27672,-320.6436795742956,-328.8707829347638,8.227103360468163
H1121,-310.3298053415037,-310.32974256238447,-6.277911921870327e-05
H283,-357.46342531352815,-357.4633946066032,-3.070692497431082e-05
H1751,-532.4994278730117,-532.4994191458252,-8.727186468604486e-06
H40,-349.72621987339056,-349.72618643792896,-3.3435461602948635e-05
H878,-655.597271528849,-655.4297597149671,-0.16751181388190162
H1279,-268.35639101928984,-271.0111337139881,2.654742694698257
H1685,-417.32369223436405,-417.323681838216,-1.0396148070412892e-05
H1233,-302.48578615940335,-302.5963909614584,0.11060480205503609
H1285,-376.08082214833024,-377.3737203001183,1.2928981517880516
H632,-276.58247836297517,-274.5094297170649,-2.073048645910262
G1269,-176.71043471508534,-235.77712390898688,59.06668919390154
G16646,-308.36134867456514,-324.9997838880694,16.638435213504238
H1544,-160.9468235988699,-160.95438291477427,0.0075593159043592095
H1228,-648.1273049766331,-647.5110662015237,-0.6162387751094229
G1562,-776.5067447240648,-804.7680501805752,28.2613054565104
H1809,-296.15372394367085,-296.15365349149994,-7.045217091672384e-05
H236,-344.68162418948157,-345.1009475051801,0.4193233156985343
G21886,-287.529809069513,-319.0315339433102,31.501724873797173
H311,-442.93760321903716,-442.93757671905087,-2.6499986290673405e-05
H1814,-67.1175958128483,-67.11756713236647,-2.8680481818810222e-05
G20604,-598.4869585874771,-604.916134398038,6.429175810560878
H531,-295.745067573853,-295.7450410641451,-2.6509707936384075e-05
G18175,-541.827353578519,-543.8063916240462,1.9790380455272043
H1293,-234.577499658529,-234.18515072874982,-0.3923489297791889
H133,-309.72284863827895,-309.67711501126223,-0.04573362701671613
H1086,-240.81197118038125,-240.83926740914254,0.02729622876128701
H128,-351.6475520294356,-351.647522817716,-2.921171960679203e-05
H1267,-300.3398840046442,-300.3398564181845,-2.7586459680151165e-05
H1236,-635.8461316564876,-635.8461275384273,-4.1180603602697374e-06
H1158,-779.238378379057,-779.2383681842501,-1.0194806918661925e-05
H1835,-243.32810138766075,-243.36690031177744,0.038798924116690614
H1087,-460.0088137506101,-460.00880167333395,-1.207727615337717e-05
H615,-316.116186395632,-316.1161613604552,-2.5035176804522052e-05
H192,-251.3575399448046,-252.07390000684848,0.7163600620438615
H1626,-228.42938368964855,-228.42934810802103,-3.558162751460259e-05
H1561,-311.85048384678817,-311.8503033478036,-0.00018049898454819413
H1168,-306.2438305495243,-306.2657201843618,0.0218896348374642
H938,-293.03392509904234,-293.03383645195584,-8.864708649980457e-05
H1426,-146.16739105203226,-146.16692699676702,-0.00046405526524040397
G21293,-619.7147989861361,-624.3722740132403,4.657475027104169
H1276,-50.30963990679627,-50.30961631114402,-2.3595652251628962e-05
H551,-361.49560651398735,-359.446618857367,-2.0489876566203407
H1673,-59.24043403879977,-59.24042443468509,-9.60411468042821e-06
H507,-1354.4173589797597,-1354.4194193019093,0.002060322149645799
H9,-132.41621688366882,-131.5546225719598,-0.8615943117090126
H401,-45.2777795410706,-50.585662966332606,5.3078834252620055
H256,-354.4296781725656,-355.15745125277283,0.7277730802072142
H196,-64.03714690318384,-63.71750747469196,-0.3196394284918753
H301,-267.43980377420934,-267.43978880342087,-1.4970788470236585e-05
H1062,-284.6665091810952,-284.66648018873855,-2.8992356646995177e-05
H1601,-590.0143218249519,-590.0143174967185,-4.3282334445393644e-06
G21246,-343.45386011242476,-346.69944675485516,3.2455866424303963
H1468,-264.0677437890453,-264.06767693702164,-6.685202367862075e-05
H38,-282.0317003471793,-282.031687110552,-1.3236627296464576e-05
H900,-119.3370210763597,-119.3369104764665,-0.00011059989320472141
H753,-317.41189101666333,-317.41187384834694,-1.7168316389870597e-05
G16700,-745.5957027515527,-756.8812251053234,11.285522353770716
H1603,-322.34659426610983,-322.34648321262887,-0.00011105348096407397
G26483,-1339.885460906481,-1348.3295596760763,8.444098769595257
G8523,-1073.7542257060838,-1082.9322926174818,9.178066911397991
H703,-53.38100864321387,-53.38100343243846,-5.210775405828372e-06
H1721,-70.80733442546064,-70.80731782633491,-1.6599125729044317e-05
H1394,-70.747244310612,-70.80731753112309,0.06007322051108588
G2035,-699.1999533713848,-708.4555152104548,9.25556183906997
H920,-61.61627549192054,-61.61625866649832,-1.6825422221700137e-05
