,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
G21679,-581.6489915546588,-744.927327583786,163.2783360291273
G23532,-541.8249276276965,-705.7276238614318,163.90269623373527
G1011,-527.5164256210202,-692.6436333046939,165.12720768367373
G125,-453.2447583431058,-609.1400315320759,155.8952731889701
G4160,-527.5387701553228,-680.9730789947167,153.4343088393939
G5841,-514.7823853497115,-652.4400998384643,137.65771448875273
G1187,-513.0141205037102,-629.8834056795937,116.86928517588363
G6018,-498.5507624788588,-624.3771560648534,125.82639358599455
G8512,-594.8754632428589,-690.1806863203824,95.30522307752346
G19050,-692.3452407523203,-726.3893575137781,34.04411676145787
G655,-438.19809176419307,-511.9703640666649,73.77227230247183
G18711,-676.8619710985148,-709.8552939283912,32.993322829876554
G19910,-451.3799570226107,-560.4952675144872,109.11531049187636
G17699,-456.81526024119677,-564.0097042522412,107.1944440110446
G2137,-453.85745522646204,-534.9268926127277,81.06943738626558
G2756,-474.1254454984589,-570.8631423918164,96.73769689335742
G368,-456.39396670483706,-529.8315356893469,73.43756898450981
G26877,-433.0572451388815,-536.8596289439698,103.80238380508831
G1971,-398.3526788535394,-480.76008768022916,82.4074088266898
G17908,-438.1731646619143,-513.7162154662217,75.54305080430744
G10255,-438.1173265239146,-503.2711356833299,65.15380915941523
G23946,-666.4347836486819,-690.7284653640131,24.293681715331108
G635,-408.01220571813593,-466.1749607694659,58.16275505132996
G23050,-682.4897472219911,-705.0033026219148,22.513555399923693
G8477,-373.4992688104358,-445.3373532211,71.83808441066418
G7714,-475.6950165724805,-560.3849954310165,84.68997885853594
G21374,-662.7423311782303,-698.152025795395,35.40969461716486
G2077,-348.2537283483024,-424.26513264115647,76.01140429285408
G7474,-687.2609083823395,-709.7556906458591,22.494782263519483
G15159,-413.6317220089212,-470.25072686636435,56.6190048574432
G370,-346.9244568876187,-409.78705603068136,62.86259914306272
G3954,-414.5257661391431,-488.1097633304631,73.58399719132002
G23306,-540.7096883354858,-598.6279902564482,57.91830192096234
G6316,-473.58558071907913,-544.4798358180049,70.89425509892578
G21160,-387.56590795613937,-453.4878550885942,65.92194713245482
G21503,-410.2266762090122,-470.25864204956406,60.03196584055184
G16435,-374.9957104039506,-449.8710066889199,74.87529628496918
G17653,-652.1745806240807,-678.0163481923214,25.841767568240694
G1498,-335.83171894173444,-396.2574149639434,60.425696022209024
G18417,-340.96223772781565,-410.409896175678,69.44765844786241
G9215,-669.6411916388753,-693.7678583747906,24.126666735915478
G649,-352.64347604308944,-408.09372791357697,55.45025187048759
G5276,-350.1143572806465,-400.980035788267,50.865678507620494
G1262,-347.23246549411124,-389.7756242059689,42.543158711857636
G5428,-329.9364216103181,-395.5798574272247,65.6434358169065
G1210,-354.6761921497162,-406.2418949339472,51.56570278423101
G14929,-395.1594473300995,-467.4966001747876,72.33715284468803
G1133,-305.4373032412615,-343.52677353275766,38.08947029149624
G22888,-404.2798723932023,-465.9340853112183,61.65421291801607
G25896,-365.6277165351658,-422.5439957859978,56.91627925083203
G4933,-355.80680921947265,-410.9075840925071,55.10077487303436
G18901,-681.7052483427516,-694.5509024258258,12.845654083074233
G21140,-353.6380885130928,-414.14070544921066,60.502616936117754
G1908,-308.7485294450846,-342.27731532784384,33.52878588275917
G17930,-603.7187186369772,-618.9604515300193,15.24173289304224
G754,-345.5535498790451,-407.49084223133553,61.937292352290456
G6422,-625.7369514704773,-654.1254091244903,28.38845765401311
G21851,-433.11618559122377,-476.1444501280486,43.02826453682486
G4605,-290.6758863913027,-344.19884593044685,53.52295953914421
G19901,-425.0375882327293,-465.8484971990308,40.81090896630155
G18651,-413.5966249347903,-442.4075889182951,28.81096398350479
G15331,-453.6212590996445,-497.6087353645028,43.98747626485822
G5831,-328.736249023806,-382.26039189468634,53.52414287088038
G17557,-628.1704934589068,-665.3010440507327,37.130550591825795
G16458,-657.5329852830516,-687.3697558375546,29.836770554503
G27187,-431.9568825268641,-494.77157547580026,62.81469294893618
G2777,-495.0537331400753,-503.37209144463264,8.318358304557362
G22637,-611.4495917044915,-648.5752290551675,37.125637350676016
G4734,-271.40254266866685,-317.64365887378904,46.241116205122175
H480,-347.1849235068028,-348.04802062105995,0.8630971142571298
G585,-271.6553163124709,-313.5968366387632,41.941520326292334
G2182,-368.4912708733775,-419.2700191061515,50.77874823277398
G7623,-371.6006481912291,-432.0419908199959,60.441342628766726
G23847,-357.39745048337613,-397.212152577484,39.814702094107865
G776,-347.01574321794374,-363.54217330886513,16.526430090921394
G27511,-602.8267353898285,-636.732386668078,33.90565127824948
G17254,-424.3108570977855,-467.1574366040927,42.84657950630725
G23886,-539.3945280218002,-556.4256874894087,17.031159467608404
G4307,-246.2150656507499,-290.87647256644715,44.66140691569717
G16492,-645.4297516463215,-663.9034300724443,18.473678426122774
G25265,-582.22344099553,-599.5623171068381,17.338876111308082
G1006,-346.2663929870543,-354.11198308298975,7.845590095935449
G75,-295.4506890569267,-333.1558663815867,37.70517732465999
G4979,-324.2211522557506,-370.3263527455477,46.10520048979714
G18182,-440.2164264748053,-451.70556295034936,11.489136475543999
G16163,-246.70297519355927,-265.8354385383428,19.13246334478356
G9376,-274.0296274701417,-338.3816762177651,64.35204874762343
G16911,-458.1833897027058,-531.9134420541614,73.73005235145547
G19031,-267.74867170624185,-313.9297417126312,46.18107000638935
G4604,-441.900963027945,-459.5284132818022,17.62745025385715
G19619,-607.9982026777358,-633.0071885235183,25.008985845782377
G23076,-645.8414572051225,-674.3503378598218,28.508880654699173
G5560,-217.18959375023826,-261.09163299799917,43.902039247760904
H293,-396.93022276614937,-397.1834949767572,0.2532722106078609
G19424,-327.2776201688192,-372.2903458877058,45.01272571888665
G3785,-187.26388456088355,-226.41918112693264,39.15529656604912
G312,-305.17691481154134,-341.57226335855955,36.395348547018216
G19413,-342.8061615601166,-354.78680521512496,11.980643655008349
G16613,-308.60662383184336,-346.2311689204642,37.62454508862084
G15611,-315.27121519626706,-322.53205235239824,7.260837156131173
G939,-343.87145124966753,-355.09168358934136,11.220232339673885
H1644,-349.2349310918048,-349.619283863781,0.3843527719761824
G11179,-255.60697500785926,-255.60692296466988,-5.204318938467623e-05
H1030,-280.6211062669233,-280.62005264132887,-0.0010536255944657569
G19145,-455.75295734009467,-458.7008952717502,2.9479379316554737
G16048,-196.66609284120452,-231.4821423557961,34.816049514591555
G20398,-462.934885736508,-464.75804562105276,1.8231598845447932
G18527,-577.7122998662279,-592.0988517531787,14.386551886950654
G6467,-375.8013744888466,-383.2317802610308,7.430405772184201
H1792,-331.13982362937196,-331.1397168724496,-0.000106756922320983
G284,-222.00075662438346,-252.16858459296517,30.167827968581662
G24084,-367.491087287847,-376.55615282296753,9.065065535120482
H1428,-327.2718217844639,-327.2712864600778,-0.0005353243860781731
G17126,-614.4120306284093,-639.1769687449669,24.764938116557694
G8468,-375.8373138755258,-374.7204900695254,-1.1168238060004685
G3625,-322.89340055336135,-346.444172732333,23.550772178971673
H539,-406.9276703602465,-406.9267600000518,-0.0009103601946094386
H1672,-370.1136229860328,-366.75566302751497,-3.3579599585177675
G7690,-626.1783315789634,-642.99631096901,16.817979390046617
G4533,-278.5099837175848,-281.43668520168455,2.9267014840997376
G24461,-464.3586240863018,-470.08933085781854,5.730706771516623
H2128,-335.0258942447244,-335.2494372825143,0.22354303778990925
G18795,-527.6235858934901,-537.9682231762963,10.344637282806161
G15656,-513.4266290519851,-521.3511883307282,7.924559278743117
G1303,-255.69865119524047,-283.0286252218243,27.329974026583837
H2008,-452.13819944197263,-448.6725616819955,-3.4656377599771417
G10614,-632.7476046181481,-648.7032756459148,15.955671027766812
G3581,-512.5548151130032,-524.9878668432484,12.43305173024521
G14882,-696.3873399690689,-710.240734790315,13.85339482124607
G23425,-359.07060752826317,-370.46704622770585,11.396438699442625
H1098,-271.80485944483485,-271.8048583920132,-1.0528216876082295e-06
H387,-477.3898878183222,-477.38653519506,-0.003352623262173893
H1440,-291.1268033471314,-291.1267993246409,-4.0224904296337635e-06
G20989,-370.02235840199313,-371.764523345814,1.74216494382091
G5681,-277.4147162678376,-330.1497301037072,52.73501383586961
G1688,-397.67843950947184,-397.67842100848367,-1.8500988289815726e-05
