,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
G1195,-650.3842131518139,-807.7635792122325,157.37936606041853
G22198,-695.3759178731481,-821.5488710687795,126.17295319563141
G16158,-637.2232445143787,-787.5009401190326,150.27769560465381
G23835,-520.0956976600173,-639.3429891635037,119.24729150348641
G18653,-734.2015630152441,-838.2130419848814,104.01147896963732
G14897,-684.5271073957944,-791.8958052107132,107.36869781491885
G987,-744.2403865152842,-866.3555530774387,122.11516656215453
G215,-695.9155078097317,-797.065058720277,101.14955091054514
G16007,-504.64975882939035,-613.5722383433663,108.922479513976
G456,-372.04089598609863,-447.555198928794,75.51430294269541
G1441,-658.4929101890547,-770.5454412394013,112.05253105034636
G15301,-771.238918782783,-897.847913330911,126.60899454812784
G8663,-1581.1266811983112,-1595.4979019328925,14.371220734581131
G787,-390.2029121568788,-470.7749489398549,80.57203678297607
G242,-456.3270612647696,-518.5845068735019,62.2574456087325
G2892,-644.8721032545998,-763.8567016710756,118.9845984164758
G1080,-517.3320291981134,-590.3125864527951,72.9805572546817
G14898,-498.8577618930844,-554.0467051987234,55.188943305639036
G20671,-402.2231623668389,-478.25262531377393,76.02946294693504
G19551,-614.7678845856121,-722.726009886752,107.95812530113984
G17348,-399.33117320894684,-490.5800571127561,91.2488839038092
G17688,-442.48915981833846,-508.86833074499236,66.37917092665384
G16085,-535.8597003449353,-614.051418607303,78.19171826236776
G23584,-445.5902946445957,-513.6756111076007,68.08531646300503
G22549,-433.6368195055508,-509.47626911802064,75.8394496124697
G593,-499.6306492947251,-565.7703605169335,66.13971122220835
G14998,-370.43113331020965,-421.9287176381482,51.49758432793851
G15917,-375.26379305837685,-472.33595920803185,97.07216614965506
G16186,-372.941833694471,-435.86450143260214,62.92266773813122
G4861,-436.03784672785775,-496.69591435889396,60.65806763103622
G23810,-617.1196772307712,-667.4415912263113,50.321913995539944
G15282,-425.0015808412413,-472.9534773211726,47.951896479931285
G24188,-349.0758711190363,-421.852233765512,72.77636264647566
G2869,-606.6522612456064,-667.5937610866551,60.941499841048774
G18160,-354.80220187993683,-420.5311294596916,65.72892757975471
G19888,-516.7682287876711,-546.4316732552667,29.663444467595586
G16064,-310.858507823977,-369.7036986727179,58.8451908487409
G22203,-451.5337458444074,-519.8706938254596,68.33694798105216
G1673,-393.9787971506723,-436.47401546137115,42.49521831069876
G719,-426.91145913971087,-480.4989535564904,53.587494416779464
G22994,-535.7389891266856,-583.04383107883,47.30484195214433
G19394,-340.202296835924,-399.0490670782552,58.84677024233122
G17475,-318.4076817175153,-388.5173604600012,70.10967874248598
G4005,-358.8679453473342,-406.7694962776751,47.90155093034088
G12034,-504.5691973973471,-539.6939244651559,35.12472706780875
G301,-412.9966149006983,-462.8309789031569,49.834364002458535
G16878,-536.6492533858584,-579.9953026037218,43.34604921786331
G16389,-414.112721817454,-469.2009664422319,55.08824462477782
G18784,-303.1867894208093,-352.94436549529416,49.75757607448487
G20086,-354.9079308973985,-414.06305916242064,59.1551282650221
G17272,-473.1418474065943,-495.2605446421616,22.118697235567307
G1581,-632.1145372190284,-633.1602873572813,1.0457501382527423
G8007,-1358.0114985227544,-1361.3655988888224,3.354100366067996
G15558,-442.9420534395044,-502.63063382763426,59.688580388129814
G19381,-1351.0396299242016,-1364.7295479521745,13.689918027972908
G552,-376.4481498069909,-419.460888005376,43.012738198385144
G3831,-391.5557379359442,-446.31553795859764,54.75980002265346
G3822,-515.8044731412284,-514.9585452253605,-0.8459279158679465
G22965,-553.5326886782891,-558.0707141253121,4.53802544702296
H96,-564.8668456210462,-564.2873725279583,-0.5794730930878131
G17232,-369.96496097068047,-409.14646020992257,39.1814992392421
G22401,-492.09200590640813,-499.4268589107203,7.334853004312206
G20960,-612.7780455655287,-622.1000369174084,9.321991351879547
H1367,-544.1074308945093,-544.1074185135219,-1.2380987527649268e-05
H282,-531.8903866757107,-531.8903804417622,-6.2339485111806425e-06
G15189,-1523.7636070675574,-1538.8840798151557,15.120472747598344
G18382,-529.8391439617618,-545.606839643985,15.76769568222312
G2836,-265.2318934571987,-298.46050894166933,33.22861548447065
G4289,-482.68436749091455,-481.6538334769404,-1.0305340139741477
G15724,-420.8348935289425,-443.4974248817205,22.66253135277793
G645,-322.1596725420561,-355.1231373517926,32.963464809736536
H653,-482.10001233715684,-482.25170610018114,0.15169376302429782
G19784,-652.5717035376742,-652.967305990605,0.3956024529308024
G15062,-474.64343337570017,-477.7917925019228,3.1483591262226582
G730,-252.00645950418118,-288.5718226164795,36.56536311229834
G19509,-480.7719980650203,-479.33510263424466,-1.4368954307755644
H954,-599.469088253753,-599.6289474912056,0.15985923745267885
H897,-640.2402574778334,-640.2402516416253,-5.836208174514468e-06
H1917,-353.1546165724922,-353.21213828809783,0.057521715605616926
G19946,-282.28209810546537,-324.82622270304364,42.54412459757828
G18919,-313.7239501522468,-357.80112068478104,44.07717053253425
H1512,-613.3643403621253,-613.3643349944208,-5.367704375203175e-06
H1092,-705.9657022804245,-705.965697972777,-4.307647486712085e-06
G16983,-318.00146012042234,-336.83273873634744,18.831278615925047
G9268,-632.0263055003859,-632.4920796240098,0.4657741236238735
G21603,-194.61594903091168,-210.79345905387436,16.17751002296265
H1931,-395.41994444178044,-395.4199117358152,-3.270596528182068e-05
H1087,-427.8165520850736,-427.81651301870494,-3.906636874262404e-05
G18920,-723.2297456461077,-729.657636337917,6.427890691809238
G16645,-514.1272015653973,-512.6393745787624,-1.4878269866350138
G17382,-658.5682385954341,-662.6086827091149,4.0404441136809055
G15089,-325.4808602740717,-349.7628059571721,24.28194568310039
G15163,-453.61104282113814,-453.3033573045884,-0.3076855165496681
H206,-470.7790359682076,-470.7789929245147,-4.304369292640331e-05
G6714,-1549.6736464192993,-1555.9579420562814,6.284295636982051
G20897,-485.5715961487657,-487.18447482349967,1.61287867473402
H1751,-659.0020797820449,-658.9695532520234,-0.03252653002152783
G3349,-632.0216327878497,-644.2414058867462,12.219773098896553
G24214,-497.1998507592696,-503.81390546744086,6.614054708171295
G982,-228.1677741547498,-281.42342944692274,53.25565529217295
H74,-617.209799450925,-617.2097884566159,-1.0994309036505001e-05
H903,-503.55963790991257,-503.559571019935,-6.688997757464676e-05
G15377,-530.90959577649,-533.6051216036249,2.695525827134816
H19,-607.5247618887648,-606.775597590732,-0.7491642980329516
H854,-591.72478478351,-591.7247762985672,-8.484942668474105e-06
H1851,-653.9584616322513,-654.3852834678828,0.4268218356315856
H1174,-598.5106230780649,-598.556196302956,0.04557322489108629
G16150,-272.119501848656,-311.30910601662026,39.189604167964255
H1145,-647.9011344954815,-647.9011304193997,-4.076081950188382e-06
G15086,-404.5573225405553,-408.1039832687976,3.546660728242216
H1293,-481.52081261153376,-480.90864437801946,-0.6121682335142395
G20627,-1370.936630825833,-1397.8537781771674,26.917147351334506
G3624,-297.0026303653069,-320.4728594743764,23.470229109069518
H1727,-555.762389698474,-554.57103766066,-1.1913520378139992
G6335,-566.9936018878811,-566.2347413636826,-0.7588605241985533
H1236,-485.8776022190077,-485.8775784419205,-2.3777087221787948e-05
H886,-350.24858242026056,-350.3717417268444,0.12315930658382968
G16173,-517.6681983775334,-516.5422813891951,-1.1259169883381899
G22557,-583.3035840167454,-588.7919842409339,5.488400224188467
H1693,-439.1847048141504,-437.9582887135614,-1.2264161005888925
G7142,-554.5190357101095,-554.5190212963228,-1.4413786743716626e-05
H1448,-516.3052386824734,-516.305231411535,-7.2709383402980166e-06
H53,-448.7831054127725,-448.4700536525881,-0.3130517601843508
H47,-428.26758628162514,-428.2821284008557,0.014542119230554816
G8723,-579.3002664677788,-580.7415310479732,1.4412645801944564
H540,-390.7858129344336,-390.7857906865725,-2.2247861124924384e-05
H1888,-636.2735791103701,-636.28440748159,0.010828371219986366
G22687,-332.0284182434248,-362.02005022746175,29.991631984037102
G20617,-718.0452188539991,-722.7298476906939,4.684628836694628
G23023,-268.57956650423483,-279.3442834759532,10.764716971718428
H320,-619.4941257164556,-619.4941387282109,1.3011755299885408e-05
H1785,-534.3362412308729,-534.3362249429107,-1.6287962239402987e-05
G755,-253.47155545828733,-294.5899119297052,41.118356471417854
H319,-369.158642225526,-369.15858350397684,-5.8721549294205026e-05
H1112,-410.4476474178085,-410.4476269229377,-2.0494870852871827e-05
H1605,-679.9593779990466,-679.9593781899154,1.9086871816398343e-07
G16014,-904.8854158898863,-933.7511645618613,28.865748671974764
G5161,-1056.1976722372863,-1065.1129437256764,8.915271488389862
G7276,-353.56202174289314,-353.56202471908057,2.9761874884570716e-06
H139,-554.9774648626814,-554.977458989352,-5.873329314454167e-06
H1546,-655.7093999864028,-655.5972702762909,-0.11212971011184436
H1672,-643.5262382333793,-644.0830727237093,0.5568344903298339
G2405,-1127.5895841828924,-1140.2580013832435,12.668417200351088
H569,-626.7888660172467,-626.7888593303454,-6.686901315333672e-06
G15090,-858.8993070652261,-868.8466649066561,9.947357841429834
G17796,-297.5599533167143,-304.84668655048165,7.286733233767335
H336,-618.6753000569563,-618.6752955996337,-4.457322575035505e-06
H900,-588.0355584131075,-588.0355526408471,-5.772260465164436e-06
G16571,-843.5947864213256,-862.2487515237245,18.65396510239907
H689,-407.5259269900649,-407.52590135699364,-2.563307134550996e-05
G8288,-373.1713225167037,-373.1713080946298,-1.4422073945752343e-05
H943,-299.22478888697947,-299.2247523678677,-3.651911174529232e-05
H1614,-300.24188702013555,-300.24187664965467,-1.0370480822530226e-05
H524,-646.1199315601698,-645.5883578452756,-0.5315737148941935
H1595,-482.7124872296881,-482.7124548572592,-3.2372428790949925e-05
G1249,-305.2935852990568,-340.8717077570017,35.578122457944914
H219,-592.3771646172589,-592.3771591154175,-5.501841428667832e-06
H1953,-604.5450043732777,-604.5449996918309,-4.681446853282978e-06
G18714,-341.2649165159142,-343.9770795144718,2.7121629985576305
H746,-373.21756507343116,-373.45395294127746,0.23638786784630386
G14912,-316.5929345105884,-332.9518670858152,16.35893257522673
G26334,-629.3244563102013,-644.8693046044384,15.544848294237113
H1979,-156.71077632686183,-156.7106760630266,-0.00010026383523609185
G4813,-610.9954006897212,-610.9953935690843,-7.120637064872426e-06
G25446,-1433.7117430784092,-1447.788456688664,14.076713610254956
H1818,-627.7312272094941,-627.7312075554105,-1.965408364412724e-05
G17879,-481.2608937866849,-486.0472642489151,4.786370462230252
G4811,-306.1213760164534,-332.91272986329585,26.791353846842533
H21,-590.241260026673,-590.2412359289567,-2.4097716277537984e-05
H1894,-399.9492494918125,-399.9492327454272,-1.6746385313126666e-05
H537,-335.68336752113635,-335.68332241497984,-4.5106156562724216e-05
H1881,-650.9968191399391,-650.8520458578568,-0.14477328208238305
G18900,-683.483930657579,-687.275688994204,3.79175833662498
G7135,-681.3267549110254,-681.3267602626985,5.351673053155537e-06
H548,-620.2220903621669,-620.2258829187153,0.003792556548432913
H1498,-703.691055851314,-703.6912868233055,0.0002309719916411268
H1859,-580.7879630992818,-580.7879490662788,-1.4033003026270306e-05
H1497,-76.57437808835624,-76.57397622333255,-0.0004018650236901067
H1673,-382.2544209943624,-382.2543965999535,-2.4394408910666243e-05
H981,-481.3685941921372,-481.36857928070197,-1.4911435300746234e-05
G3429,-616.0844205155398,-616.098280640151,0.013860124611142057
G5412,-240.6519976541969,-268.8514322341269,28.199434579930053
H956,-373.4620511439375,-373.4620192512367,-3.1892700746993796e-05
G27060,-751.9339504733607,-760.9993007222785,9.065350248917753
H1555,-74.40017395781247,-74.3978769472306,-0.002297010581870041
H1307,-586.8538032512504,-586.853788746404,-1.4504846376439673e-05
G14966,-1333.3181604691533,-1350.6392144189974,17.3210539498441
G20407,-1357.4325238721294,-1370.6333165162055,13.200792644076044
H764,-131.4997523533113,-131.49892488409048,-0.0008274692208090072
H1685,-338.2019624915888,-338.40223039398245,0.20026790239364803
G22308,-246.20410963386882,-286.88904438004437,40.684934746175635
H1944,-586.6745957928033,-586.6745829784634,-1.2814340038858065e-05
G9250,-300.48671681801983,-300.48745091843267,0.0007341004129557406
G21344,-1186.482149918911,-1199.1913845625495,12.709234643638638
H573,-81.38313702339046,-81.38275738708211,-0.0003796363083381493
H1911,-279.2368892750131,-279.2368832715088,-6.003504324780806e-06
